response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,KAVASST,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Believe,Support,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Ingham,85 percent or higher,Cell,1,0.9964,0.475,0.2854,0.4751
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Don't know,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Ingham,85 percent or higher,Landline,1,0.933,0.5736,0.3048,0.5762
Dem,18 to 34,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Don't know,Support,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Ingham,85 percent or higher,Cell,1,0.9789,0.9885,0.4047,0.9894
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Support,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,Ingham,85 percent or higher,Landline,1,0.9975,0.6599,0.2766,0.6604
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,White,Support,support,Disapp.,Reps. keep House,Unfavorable,No,Unfavorable,Don't know,Oppose,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Non-White,Ingham,85 percent or higher,Cell,1,0.9917,0.6274,0.2513,0.6282
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Support,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Ingham,Less than 50 percent,Cell,1,0.3074,0.501,0.8613,0.616
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Support,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Non-White,Oakland,85 percent or higher,Landline,1,0.9235,1.0076,0.6874,1.0131
Rep,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Oakland,85 percent or higher,Cell,1,0.9383,1.1326,0.9665,1.123
Rep,50 to 64,[DO NOT READ] Refused,White,Male,Hispanic,Support,Don't know,Approve,Reps. keep House,Don't know,No,Favorable,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Ingham,Less than 50 percent,Landline,0.8889,0.2954,0.5931,1.2158,0.7006
Und,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Don't know,Support,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Non-White,Oakland,50 to 85 percent,Landline,1,0.7891,0.8362,0.4767,0.8588
Dem,[DO NOT READ] Refused,High school,Hispanic,Male,Hispanic,Support,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Believe,Support,30 to 44,High School Grad. or Less,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Non-White,Ingham,Less than 50 percent,Cell,1,0.2954,2.1181,4.4692,2.3817
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Support,support,Disapp.,Reps. keep House,Unfavorable,No,Favorable,Don't know,Oppose,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Oakland,Less than 50 percent,Cell,0.8889,0.4218,0.6087,1.2789,0.6203
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Believe,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Oakland,Less than 50 percent,Landline,1,0.4278,0.8134,1.1439,0.9327
Rep,35 to 49,High school,Black,Female,Other,Don't know,Don't know,Approve,Reps. keep House,Don't know,No,Don't know,Don't know,Support,30 to 44,High School Grad. or Less,Other,Female,Somewhat likely,or as a member of another political party,Nonwhite,Nonwhite,35 to 49,Non-White,Ingham,Less than 50 percent,Cell,0.5556,0.0662,1.7954,10.02,1.222
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Don't know,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Livingston,Less than 50 percent,Cell,1,0.4258,0.6654,1.1882,0.7637
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,Don't know,Approve,Reps. keep House,Don't know,No,Favorable,Don't know,Support,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Livingston,85 percent or higher,Landline,1,0.9184,0.9711,0.6854,0.9771
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Do not believe,Oppose,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Livingston,85 percent or higher,Landline,1,0.9744,1.0614,0.7217,1.0555
Und,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Unknown,Livingston,85 percent or higher,Landline,1,0.9886,0.5055,0.2425,0.5061
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Don't know,Support,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Livingston,50 to 85 percent,Cell,1,0.7183,0.6686,0.537,0.6969
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Favorable,No,Favorable,Don't know,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Oakland,50 to 85 percent,Cell,0.8889,0.7879,1.1168,0.8723,1.1303
Rep,35 to 49,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Don't know,Do not believe,Support,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Ingham,85 percent or higher,Cell,1,0.9081,0.9374,0.6257,0.9443
Dem,18 to 34,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Reps. keep House,Favorable,Yes,Unfavorable,Don't know,Support,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Ingham,50 to 85 percent,Cell,1,0.5838,1.1675,1.2283,1.2612
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Don't know,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Livingston,85 percent or higher,Landline,1,0.8943,0.6655,0.3805,0.6716
Und,18 to 34,Graduate or Professional Degree,Other,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Believe,Support,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,18 to 34,Non-White,Ingham,50 to 85 percent,Landline,1,0.6293,0.7822,0.4325,0.8337
Rep,65 and older,Some college or trade school,Unknown,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Do not believe,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Oakland,85 percent or higher,Landline,1,0.9919,1.2976,0.6857,1.2992
Dem,65 and older,Some college or trade school,White,Male,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Don't know,Support,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Livingston,85 percent or higher,Landline,1,0.8508,1.1437,0.8849,1.1351
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Support,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown,Livingston,85 percent or higher,Landline,1,0.9735,1.2179,0.6063,1.2193
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Do not believe,Oppose,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,Non-White,Ingham,85 percent or higher,Cell,1,0.9401,0.5699,0.2555,0.5651
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Believe,Support,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown,Livingston,85 percent or higher,Cell,1,0.8581,1.2191,0.5954,1.2095
Dem,18 to 34,High school,Unknown,Male,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Don't know,Believe,Support,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Unknown,Livingston,Less than 50 percent,Landline,1,0.3418,2.0246,4.1272,2.4327
Rep,65 and older,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Do not believe,Oppose,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Ingham,85 percent or higher,Cell,1,0.9923,0.8195,0.3556,0.8181
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Do not believe,Oppose,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Livingston,85 percent or higher,Cell,1,0.994,0.9868,0.7617,0.9882
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,Other,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Do not believe,Oppose,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Livingston,Less than 50 percent,Landline,1,0.13,0.7893,3.747,1.187
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Support,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Ingham,85 percent or higher,Landline,1,0.9928,0.5115,0.2303,0.5121
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Believe,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Ingham,85 percent or higher,Cell,1,0.9877,0.5565,0.2786,0.5571
Rep,35 to 49,Bachelors' degree,White,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,Yes,Unfavorable,Do not believe,Oppose,30 to 44,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Ingham,50 to 85 percent,Cell,1,0.5385,0.9234,0.9239,0.954
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Support,Don't know,Approve,Reps. keep House,Don't know,No,Favorable,Don't know,Support,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Ingham,85 percent or higher,Landline,0.7778,0.8921,0.4417,0.2231,0.4272
Und,50 to 64,Bachelors' degree,Hispanic,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Don't know,Do not believe,Oppose,45 to 64,4-year College Grad.,Republican,Female,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",White,35 to 49,Non-White,Ingham,85 percent or higher,Landline,1,0.9831,1.0042,0.452,1.0001
Dem,18 to 34,High school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Oppose,18 to 29,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Ingham,Less than 50 percent,Landline,0.4444,0.4755,1.6947,3.2684,1.3907
Und,50 to 64,Some college or trade school,White,Female,White,Support,Don't know,Approve,Reps. keep House,Don't know,Yes,Don't know,Don't know,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Livingston,50 to 85 percent,Landline,0.7778,0.7768,1.1961,1.2769,1.1915
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Do not believe,Support,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Livingston,85 percent or higher,Landline,1,0.992,0.9167,0.6171,0.9178
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Believe,Support,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Livingston,85 percent or higher,Cell,1,0.9636,0.5506,0.4079,0.5468
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Do not believe,Oppose,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Livingston,85 percent or higher,Landline,1,0.9915,0.8194,0.4947,0.8179
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Support,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Ingham,85 percent or higher,Landline,1,0.9853,0.7909,0.4494,0.7916
Rep,35 to 49,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Don't know,Do not believe,Oppose,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Oakland,50 to 85 percent,Landline,1,0.7994,1.3249,0.9551,1.358
Rep,18 to 34,High school,White,Male,White,Support,Don't know,Approve,Reps. keep House,Unfavorable,No,Don't know,Do not believe,Don't know,30 to 44,High School Grad. or Less,Other,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Ingham,Less than 50 percent,Cell,0,0.2694,1.7673,5.0227,0.4194
Rep,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Do not believe,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Oakland,85 percent or higher,Cell,1,0.9918,1.1326,0.9143,1.1306
Dem,[DO NOT READ] Refused,Bachelors' degree,Hispanic,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Believe,Support,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Non-White,Oakland,85 percent or higher,Landline,1,0.9778,1.2145,0.6277,1.2157
Und,65 and older,Graduate or Professional Degree,White,Female,Black,Support,Don't know,Disapp.,Don't know,Don't know,No,Don't know,Do not believe,Oppose,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Ingham,85 percent or higher,Landline,1,0.9822,0.5506,0.2879,0.5482
Rep,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Do not believe,Oppose,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Livingston,85 percent or higher,Landline,1,0.9843,0.9158,0.7184,0.9166
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Do not believe,Oppose,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Livingston,50 to 85 percent,Landline,1,0.5636,0.5636,0.616,0.6128
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Don't know,Favorable,Don't know,Oppose,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Livingston,85 percent or higher,Landline,1,0.9863,0.9506,0.4281,0.9474
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Don't know,Do not believe,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Livingston,85 percent or higher,Cell,1,0.9923,0.5933,0.2757,0.5941
Rep,65 and older,Some college or trade school,Unknown,Male,White,Support,support,Don't know,Dems. take House,Favorable,Yes,Favorable,Don't know,Oppose,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown,Ingham,Less than 50 percent,Landline,0.8889,0.1489,0.7358,2.2833,0.9993
Dem,35 to 49,Some college or trade school,Other,Male,Black,Oppose,support,Approve,Dems. take House,Favorable,No,Favorable,Do not believe,Support,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Non-White,Ingham,Less than 50 percent,Cell,0.8889,0.4617,0.9122,1.2389,0.9214
Und,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Oppose,oppose,Disapp.,Don't know,Don't know,Don't know,Unfavorable,Do not believe,Oppose,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown,Ingham,85 percent or higher,Landline,1,0.9869,0.5175,0.1952,0.5179
Dem,35 to 49,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Believe,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Oakland,50 to 85 percent,Landline,1,0.7782,1.2705,1.1271,1.3076
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Do not believe,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Livingston,85 percent or higher,Cell,1,0.9941,0.5114,0.3197,0.5122
Rep,65 and older,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Do not believe,Don't know,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Ingham,85 percent or higher,Landline,1,0.975,0.8195,0.3619,0.8149
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Do not believe,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Ingham,50 to 85 percent,Cell,1,0.8493,0.6954,0.3177,0.7066
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Don't know,Dems. take House,Don't know,No,Favorable,Don't know,Support,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Oakland,85 percent or higher,Cell,0.7778,0.9861,0.7497,0.5303,0.7427
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Do not believe,Support,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Livingston,85 percent or higher,Landline,1,0.957,0.5114,0.3321,0.5125
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Don't know,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Oakland,85 percent or higher,Cell,0.4444,0.9849,0.7338,0.3561,0.7235
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Favorable,No,Favorable,Don't know,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Ingham,85 percent or higher,Cell,1,0.9944,0.4413,0.2312,0.4409
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Support,oppose,Disapp.,Dems. take House,Don't know,No,Favorable,Believe,Oppose,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Ingham,85 percent or higher,Cell,0.8889,0.8507,0.4755,0.2893,0.4651
Dem,18 to 34,Some college or trade school,White,Male,White,Support,support,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Do not believe,Support,18 to 29,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Ingham,Less than 50 percent,Landline,0.7778,0.0866,0.8971,3.9282,1.2555
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Support,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Livingston,85 percent or higher,Landline,1,0.8593,0.5736,0.46,0.5819
Und,18 to 34,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Believe,Support,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Ingham,50 to 85 percent,Landline,1,0.6494,1.1675,1.1041,1.2377
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Believe,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Ingham,85 percent or higher,Landline,1,0.9791,0.563,0.3727,0.5635
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Do not believe,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,White,Oakland,85 percent or higher,Cell,1,0.9789,1.0144,0.5561,1.0094
Und,65 and older,Some college or trade school,White,Male,White,Support,Don't know,Approve,Reps. keep House,Don't know,Yes,Don't know,Don't know,Support,65 and older,Some College Educ.,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,White,Oakland,50 to 85 percent,Landline,1,0.6467,1.2911,1.0603,1.3698
