response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.904,1.6061,1.2027,1.6298,2018-10-03 23:21:51
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Guilford,50 to 85 percent,Cell,1,0.6857,0.9404,0.5657,0.9537,2018-10-03 23:23:43
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Other Non-White,Guilford,85 percent or higher,Cell,1,0.9768,0.4182,0.1911,0.4214,2018-10-03 23:24:55
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,Guilford,85 percent or higher,Landline,1,0.8518,1.1407,0.6672,1.1397,2018-10-03 23:25:40
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Guilford,85 percent or higher,Cell,1,0.9655,0.5627,0.2306,0.5674,2018-10-03 23:39:31
Rep,50 to 64,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,Black,Guilford,50 to 85 percent,Landline,0.6667,0.8184,1.0447,0.4966,1.0272,2018-10-03 23:40:39
Dem,65 and older,High school,Black,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Black,Guilford,85 percent or higher,Cell,1,0.9168,1.3797,0.5574,1.3765,2018-10-03 23:44:10
Und,65 and older,High school,Black,Female,Black,support,Disapp.,Don't know,support,Dems. take House,Don't know,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,Guilford,50 to 85 percent,Landline,0.7778,0.5343,1.4359,1.3452,1.4913,2018-10-03 23:44:37
Dem,50 to 64,Grade school,Black,Male,Black,Don't know,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Black,Guilford,50 to 85 percent,Cell,0.8889,0.6521,1.9721,1.2593,2.0566,2018-10-03 23:46:07
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Guilford,50 to 85 percent,Cell,1,0.5619,0.5587,0.3049,0.6118,2018-10-03 23:46:52
Dem,65 and older,Graduate or Professional Degree,White,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,White,Guilford,Less than 50 percent,Cell,1,0.486,0.4317,0.335,0.4547,2018-10-03 23:47:28
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9544,0.3907,0.1713,0.3943,2018-10-03 23:48:58
Und,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Approve,Check,support,Reps. keep House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,Less than 50 percent,Cell,1,0.2813,0.5706,1.1428,0.7204,2018-10-03 23:53:46
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,35 to 49,Other Non-White,Guilford,50 to 85 percent,Cell,1,0.8042,1.2615,1.1487,1.3006,2018-10-04 00:02:39
Dem,65 and older,High school,Black,Female,Other,oppose,Approve,Support,oppose,Don't know,Don't know,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,Black,Guilford,85 percent or higher,Landline,1,0.9809,1.3358,0.5582,1.3386,2018-10-04 00:05:39
Und,50 to 64,Some college or trade school,White,Male,White,Don't know,Don't know,Support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Landline,1,0.206,1.2286,4.5863,1.6657,2018-10-04 00:13:09
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Guilford,50 to 85 percent,Landline,1,0.7959,0.4478,0.1825,0.4624,2018-10-04 00:16:16
Und,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,support,Dems. take House,Don't know,Favorable,Don't know,agree,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Cell,1,0.463,1.1895,2.1934,1.2607,2018-10-04 00:16:52
Dem,18 to 34,Graduate or Professional Degree,White,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,White,Guilford,85 percent or higher,Cell,1,0.8795,0.7809,0.4516,0.7951,2018-10-04 00:18:49
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9567,0.8873,0.4666,0.8952,2018-10-04 00:28:07
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,1,0.6279,0.706,0.4563,0.758,2018-10-04 00:28:16
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.8422,1.6693,1.1059,1.7096,2018-10-04 00:42:08
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,18 to 29,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Guilford,Less than 50 percent,Cell,0.8889,0.2037,0.8577,3.2793,1.098,2018-10-04 00:42:35
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.7623,1.1864,0.8261,1.2332,2018-10-04 00:46:11
Dem,50 to 64,Bachelors' degree,Black,Male,Black,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Black,Guilford,Less than 50 percent,Cell,1,0.4108,0.7925,0.6957,0.9225,2018-10-04 00:50:13
Dem,50 to 64,Bachelors' degree,White,Male,White,support,Don't know,Don't know,Don't know,Don't know,Unfavorable,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.765,0.9634,0.5444,0.9684,2018-10-04 00:50:22
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9327,0.8803,0.3702,0.8902,2018-10-04 00:52:01
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Don't know,oppose,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9142,0.8689,0.4689,0.8669,2018-10-04 00:52:10
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9562,0.674,0.2743,0.68,2018-10-04 00:54:07
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Guilford,85 percent or higher,Cell,1,0.9864,0.5798,0.3781,0.5842,2018-10-04 01:04:37
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Guilford,50 to 85 percent,Landline,1,0.8451,0.7055,0.2667,0.7222,2018-10-04 01:08:36
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Guilford,85 percent or higher,Landline,1,0.989,0.3961,0.1329,0.3992,2018-10-04 01:11:13
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Guilford,85 percent or higher,Landline,1,0.9791,0.5484,0.1928,0.5526,2018-10-04 01:18:09
Dem,50 to 64,Bachelors' degree,Black,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Black,Guilford,85 percent or higher,Cell,1,0.9816,0.7512,0.2148,0.757,2018-10-04 01:22:48
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Don't know,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Guilford,Less than 50 percent,Landline,0.4444,0.4397,1.7178,2.7328,1.1225,2018-10-04 01:22:57
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Guilford,85 percent or higher,Landline,1,0.9145,0.8866,0.3782,0.8985,2018-10-04 01:25:21
Dem,35 to 49,Bachelors' degree,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Black,Guilford,50 to 85 percent,Cell,1,0.5509,0.741,0.3719,0.8145,2018-10-04 01:26:42
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9452,0.8846,0.4173,0.8833,2018-10-04 01:31:38
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9688,0.6525,0.2893,0.6528,2018-10-04 01:31:56
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.977,0.6568,0.2273,0.6619,2018-10-04 01:32:32
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,agree,30 to 44,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Landline,1,0.9651,0.8206,0.4529,0.8206,2018-10-04 01:43:29
Dem,50 to 64,High school,Black,Male,Black,Don't know,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Black,Guilford,50 to 85 percent,Cell,1,0.659,1.9721,1.2464,2.0994,2018-10-04 01:44:23
Dem,35 to 49,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Black,Guilford,85 percent or higher,Cell,1,0.95,0.9119,0.3248,0.9206,2018-10-04 19:32:09
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Guilford,85 percent or higher,Cell,1,0.985,0.5309,0.2044,0.535,2018-10-04 19:58:47
Und,65 and older,High school,White,Female,White,support,Approve,Support,support,Reps. keep House,Favorable,Unfavorable,Do not believe,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Guilford,Less than 50 percent,Cell,1,0.3421,1.7627,4.1891,1.9503,2018-10-04 20:07:04
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9273,0.5409,0.255,0.5473,2018-10-04 20:17:38
Dem,50 to 64,Some college or trade school,Black,Female,Black,Don't know,Disapp.,Don't know,support,Dems. take House,Favorable,Don't know,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Black,Guilford,50 to 85 percent,Cell,1,0.819,1.0181,0.4177,1.0191,2018-10-04 20:19:26
Und,18 to 34,High school,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Don't know,Don't know,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Guilford,Less than 50 percent,Cell,0.7778,0.4392,3.5254,10,2.8571,2018-10-04 20:26:02
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,1,0.952,0.5075,0.2479,0.507,2018-10-04 20:29:20
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.7596,0.9039,0.5462,0.9401,2018-10-04 20:43:27
Dem,65 and older,Some college or trade school,Black,Male,Black,oppose,Disapp.,Don't know,support,Dems. take House,Favorable,Don't know,Believe,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Black,Rest,50 to 85 percent,Cell,1,0.6992,0.7542,0.3098,0.7949,2018-10-04 20:55:43
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Guilford,50 to 85 percent,Cell,0.8889,0.8339,0.4225,0.1582,0.428,2018-10-04 21:01:07
