response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,TXHORSERACE,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Austin/Round Rock,85 percent or higher,Cell,1,0.9753,0.651,0.2887,0.6424,2018-10-02 00:18:44
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Don't know,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Ted Cruz,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Bell,85 percent or higher,Landline,1,0.9773,0.8081,0.4024,0.7973,2018-10-02 00:19:11
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Check,support,Reps. keep House,Favorable,Favorable,Do not believe,Ted Cruz,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Bell,50 to 85 percent,Cell,1,0.5125,0.5848,0.3755,0.6379,2018-10-02 00:22:02
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,Austin/Round Rock,Less than 50 percent,Cell,1,0.2993,1.0976,2.3813,1.338,2018-10-02 00:23:32
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Williamson,85 percent or higher,Landline,1,0.9637,0.7283,0.3065,0.7191,2018-10-02 00:26:14
Dem,[DO NOT READ] Refused,Bachelors' degree,Unknown,Female,Hispanic,Don't know,Disapp.,Check,Don't know,Dems. take House,Don't know,Don't know,Don't know,Don't know,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,Unknown,Williamson,50 to 85 percent,Landline,0.7778,0.6525,1.0461,0.9445,1.0416,2018-10-02 00:31:28
Dem,50 to 64,Bachelors' degree,White,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,4-year College Grad.,White,Williamson,85 percent or higher,Cell,1,0.8952,0.799,0.3136,0.7948,2018-10-02 00:38:13
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,oppose,Reps. keep House,Don't know,Favorable,Don't know,Ted Cruz,disagree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Bell,85 percent or higher,Cell,1,0.9566,0.5087,0.2152,0.5025,2018-10-02 00:41:22
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Don't know,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,Williamson,85 percent or higher,Landline,1,0.9614,0.6785,0.357,0.67,2018-10-02 00:53:12
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Williamson,85 percent or higher,Cell,1,0.9904,0.7283,0.2983,0.7163,2018-10-02 00:59:39
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,4-year College Grad.,Hispanic,Williamson,85 percent or higher,Landline,1,0.943,0.9438,0.4707,0.9334,2018-10-02 01:02:21
Dem,50 to 64,Bachelors' degree,White,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,4-year College Grad.,White,Bell,85 percent or higher,Landline,1,0.963,0.6643,0.2763,0.6559,2018-10-02 01:02:39
Dem,65 and older,Some college or trade school,White,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,Beto O'Rourke,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,Austin/Round Rock,85 percent or higher,Landline,1,0.989,1.096,0.6125,1.0814,2018-10-02 01:04:19
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,oppose,Disapp.,Support,support,Dems. take House,Favorable,Don't know,Believe,Beto O'Rourke,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Austin/Round Rock,85 percent or higher,Cell,1,0.9601,1.0643,0.6748,1.0511,2018-10-02 01:08:13
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Check,support,Reps. keep House,Unfavorable,Unfavorable,Do not believe,Ted Cruz,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Austin/Round Rock,85 percent or higher,Landline,1,0.9864,1.1412,0.5914,1.1211,2018-10-02 01:16:18
Und,18 to 34,High school,Hispanic,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,Hispanic,Williamson,Less than 50 percent,Cell,1,0.2094,2.3578,8.5573,3.118,2018-10-02 01:25:54
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,Ted Cruz,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Bell,50 to 85 percent,Landline,0,0.8415,0.7246,0.4242,0.6062,2018-10-02 01:26:57
Und,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Don't know,Don't know,Don't know,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Austin/Round Rock,85 percent or higher,Cell,0.7778,0.9565,0.651,0.2944,0.6287,2018-10-02 01:29:39
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Williamson,85 percent or higher,Cell,1,0.9868,0.7841,0.3212,0.7736,2018-10-02 01:31:37
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Don't know,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Williamson,Less than 50 percent,Cell,0.8889,0.3816,1.4789,2.0028,1.6431,2018-10-02 01:44:13
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Williamson,85 percent or higher,Landline,1,0.9519,0.9538,0.4922,0.9425,2018-10-02 01:45:07
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Williamson,85 percent or higher,Cell,1,0.963,0.799,0.2916,0.7889,2018-10-02 01:53:33
Rep,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,oppose,Reps. keep House,Don't know,Don't know,Don't know,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Austin/Round Rock,50 to 85 percent,Cell,1,0.6054,0.5965,0.4587,0.631,2018-10-02 02:04:29
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Williamson,85 percent or higher,Cell,1,0.9853,0.6118,0.2205,0.6036,2018-10-02 02:21:31
Rep,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,40 to 64,Postgraduate Degree,White,Bell,85 percent or higher,Cell,1,0.9821,0.5087,0.2096,0.5019,2018-10-02 02:26:55
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Check,oppose,Reps. keep House,Favorable,Unfavorable,Do not believe,Ted Cruz,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Williamson,50 to 85 percent,Cell,1,0.519,0.8715,0.7257,0.9484,2018-10-02 02:42:26
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,support,Approve,Don't know,oppose,Reps. keep House,Don't know,Don't know,Do not believe,Ted Cruz,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Bell,85 percent or higher,Cell,1,0.8652,1.1308,0.6813,1.1298,2018-10-02 02:42:44
Rep,35 to 49,Bachelors' degree,White,Female,Other,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,Ted Cruz,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,White,Williamson,85 percent or higher,Cell,1,0.9756,0.8012,0.3531,0.7855,2018-10-02 21:39:21
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Don't know,Beto O'Rourke,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Bell,85 percent or higher,Cell,1,0.9133,0.6769,0.2581,0.6718,2018-10-02 22:04:24
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Check,oppose,Reps. keep House,Don't know,Favorable,Believe,Ted Cruz,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Williamson,Less than 50 percent,Cell,1,0.4143,1.3571,1.5314,1.5439,2018-10-02 22:35:18
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,Don't know,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Williamson,85 percent or higher,Landline,1,0.9934,1.7355,0.9432,1.7087,2018-10-02 22:40:42
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Believe,Ted Cruz,Don't know,30 to 44,4-year College Grad.,Other,Male,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Austin/Round Rock,50 to 85 percent,Cell,1,0.5527,0.8111,0.6256,0.8236,2018-10-02 22:47:01
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,Beto O'Rourke,agree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Bell,85 percent or higher,Landline,1,0.8632,0.6055,0.3241,0.5921,2018-10-02 22:49:16
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Don't know,Beto O'Rourke,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Austin/Round Rock,85 percent or higher,Cell,1,0.9685,1.4101,0.7905,1.3919,2018-10-02 22:54:22
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,Nonwhite,40 to 64,4-year College Grad.,White,Austin/Round Rock,50 to 85 percent,Cell,1,0.8222,0.796,0.4748,0.801,2018-10-02 22:55:01
Dem,50 to 64,Some college or trade school,White,Female,Hispanic,Don't know,Don't know,Don't know,oppose,Dems. take House,Don't know,Don't know,Don't know,Beto O'Rourke,agree,45 to 64,Some College Educ.,Other,Female,Not very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,White,Williamson,Less than 50 percent,Landline,0.4444,0.1523,1.3318,4.7033,0.592,2018-10-02 22:55:16
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Don't know,Do not believe,Ted Cruz,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Bell,85 percent or higher,Cell,1,0.9863,0.617,0.2514,0.6088,2018-10-02 22:59:22
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Williamson,85 percent or higher,Landline,1,0.9177,0.9538,0.5105,0.946,2018-10-02 22:59:28
Rep,65 and older,Bachelors' degree,Other,Male,White,support,Don't know,Support,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Beto O'Rourke,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,Other Non-White,Williamson,85 percent or higher,Cell,1,0.981,1.1222,0.644,1.1072,2018-10-02 23:22:26
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,Ted Cruz,disagree,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Williamson,50 to 85 percent,Cell,1,0.7378,1.3817,0.8349,1.3635,2018-10-02 23:22:26
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Williamson,85 percent or higher,Cell,1,0.9877,0.5987,0.2024,0.5908,2018-10-02 23:22:35
Dem,65 and older,High school,White,Female,White,support,Disapp.,Support,support,Dems. take House,Favorable,Favorable,Believe,Beto O'Rourke,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Williamson,85 percent or higher,Landline,1,0.9916,1.32,0.6877,1.3028,2018-10-02 23:22:35
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,White,support,Approve,Support,Don't know,Don't know,Don't know,Favorable,Don't know,Ted Cruz,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Hispanic,Williamson,85 percent or higher,Cell,1,0.9643,0.6792,0.3402,0.6706,2018-10-02 23:23:20
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Bell,85 percent or higher,Cell,1,0.9813,0.617,0.2527,0.6055,2018-10-02 23:23:56
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Check,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Ted Cruz,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Williamson,Less than 50 percent,Landline,1,0.3527,0.8878,1.0622,1.0445,2018-10-02 23:25:35
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Don't know,Beto O'Rourke,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Williamson,85 percent or higher,Landline,1,0.9003,0.7147,0.3703,0.7105,2018-10-02 23:27:23
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Ted Cruz,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Williamson,85 percent or higher,Landline,1,0.8929,0.9538,0.5246,0.949,2018-10-02 23:27:41
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Other,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Bell,85 percent or higher,Cell,1,0.9408,0.5857,0.2714,0.5795,2018-10-02 23:27:50
Rep,18 to 34,High school,White,Male,White,Don't know,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,Ted Cruz,agree,18 to 29,High School Grad. or Less,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Williamson,50 to 85 percent,Landline,0.5556,0.647,1.9579,1.5296,1.4707,2018-10-02 23:28:44
Dem,35 to 49,Bachelors' degree,Black,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,4-year College Grad.,Other Non-White,Williamson,50 to 85 percent,Landline,1,0.5651,1.0214,0.9014,1.0941,2018-10-02 23:29:11
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,Beto O'Rourke,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Williamson,Less than 50 percent,Cell,1,0.3407,0.9596,1.1766,1.1373,2018-10-02 23:30:05
