response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,CLIMATE,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Des Moines,85 percent or higher,Cell,1,0.9892,0.5697,0.2839,0.5926
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Support,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Des Moines,50 to 85 percent,Cell,1,0.6973,0.8897,0.7709,0.9684
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Des Moines,50 to 85 percent,Landline,1,0.7985,0.9551,0.6739,1.0174
Dem,18 to 34,Bachelors' degree,Other,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown/Non-White,Des Moines,50 to 85 percent,Cell,1,0.7668,0.868,0.703,0.9304
Rep,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Don't know,support,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,>60% Trump,Less than 50 percent,Landline,1,0.3704,1.0877,2.0809,1.3351
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,support,Approve,Support,Not or not very,oppose,Don't know,Don't know,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,>60% Trump,85 percent or higher,Cell,1,0.9918,1.0715,0.7778,1.1147
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Des Moines,50 to 85 percent,Cell,1,0.7637,0.9544,0.6272,1.0236
Rep,35 to 49,Bachelors' degree,White,Female,White,oppose,Don't know,Support,Very or somewhat,support,Reps. keep House,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,<60% Trump,Less than 50 percent,Cell,0.8889,0.368,1.0337,2.1844,1.2184
Rep,18 to 34,Some college or trade school,Unknown,Male,White,support,Disapp.,Check,Very or somewhat,support,Dems. take House,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Unknown/Non-White,Polk,50 to 85 percent,Cell,1,0.6707,1.0672,1.185,1.1691
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Des Moines,50 to 85 percent,Cell,1,0.8165,0.8897,0.6583,0.9447
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Polk,50 to 85 percent,Cell,1,0.7177,0.5343,0.4784,0.5787
Dem,35 to 49,Some college or trade school,White,Female,White,Don't know,Approve,Check,Very or somewhat,oppose,Dems. take House,Favorable,Don't know,agree,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Des Moines,85 percent or higher,Cell,0.5556,0.8726,1.2785,1.0798,1.1462
Rep,50 to 64,Bachelors' degree,Black,Male,White,support,Approve,Check,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown/Non-White,Des Moines,85 percent or higher,Cell,1,0.8509,1.0467,0.5747,1.1048
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Polk,85 percent or higher,Cell,1,0.9513,1.115,0.6842,1.1495
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Polk,85 percent or higher,Landline,1,0.9882,0.9745,0.6266,1.0096
Dem,18 to 34,Some college or trade school,White,Female,White,Don't know,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Des Moines,Less than 50 percent,Cell,1,0.2981,0.8321,2.3052,1.0702
Rep,18 to 34,Bachelors' degree,White,Male,White,oppose,Approve,Check,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,>60% Trump,50 to 85 percent,Cell,0.8889,0.5513,1.1131,1.1433,1.2272
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Des Moines,85 percent or higher,Landline,1,0.99,1.0978,0.765,1.142
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Unknown/Non-White,Des Moines,85 percent or higher,Landline,1,0.8762,1.3341,0.8858,1.4027
Dem,50 to 64,High school,White,Female,White,support,Disapp.,Support,Very or somewhat,support,Dems. take House,Unfavorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Polk,85 percent or higher,Landline,0.3333,0.8897,1.4326,0.9624,1.02
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,support,Disapp.,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Polk,Less than 50 percent,Landline,0.7778,0.1739,0.782,2.7045,0.86
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Polk,85 percent or higher,Cell,1,0.9922,1.0326,0.4704,1.0743
Rep,18 to 34,High school,White,Female,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,18 to 29,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,<60% Trump,Less than 50 percent,Landline,1,0.4912,1.1023,2.3907,1.1967
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Des Moines,85 percent or higher,Cell,1,0.9774,0.72,0.4702,0.7488
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Polk,85 percent or higher,Landline,1,0.9778,0.6043,0.3034,0.6286
Dem,50 to 64,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,support,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,>60% Trump,Less than 50 percent,Landline,1,0.1008,1.1094,3.6198,1.8448
Rep,65 and older,Some college or trade school,White,Female,White,support,Don't know,Support,Very or somewhat,Don't know,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Polk,85 percent or higher,Cell,1,0.9891,0.9745,0.626,1.0136
Dem,50 to 64,High school,Black,Male,White,Don't know,Disapp.,Don't know,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Unknown/Non-White,Des Moines,85 percent or higher,Landline,0.5556,0.9666,1.4153,0.9459,1.3805
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Polk,85 percent or higher,Cell,1,0.9328,0.7637,0.5204,0.7971
Rep,18 to 34,Some college or trade school,White,Female,White,support,Approve,Check,Very or somewhat,support,Reps. keep House,Don't know,Don't know,agree,30 to 44,Some College Educ.,Democratic,Female,Not very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,<60% Trump,Less than 50 percent,Cell,0,0.3402,0.84,2.4798,0.2851
Dem,65 and older,Graduate or Professional Degree,White,Female,Other,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,White,>60% Trump,85 percent or higher,Cell,1,0.9518,0.619,0.3878,0.6449
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,<60% Trump,85 percent or higher,Cell,1,0.9899,0.885,0.7006,0.9206
Rep,65 and older,High school,White,Female,White,support,Disapp.,Check,Very or somewhat,support,Dems. take House,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Des Moines,85 percent or higher,Landline,1,0.907,1.267,0.8513,1.3047
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,White,oppose,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Favorable,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown/Non-White,Polk,50 to 85 percent,Cell,1,0.746,0.6462,0.5292,0.6956
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Polk,85 percent or higher,Cell,1,0.9674,0.8582,0.5653,0.893
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Disapp.,Check,Very or somewhat,oppose,Don't know,Don't know,Unfavorable,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Des Moines,85 percent or higher,Landline,1,0.9797,0.9069,0.4506,0.9379
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Unknown/Non-White,Des Moines,85 percent or higher,Cell,1,0.9853,0.6398,0.4185,0.6654
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,>60% Trump,50 to 85 percent,Cell,1,0.8281,1.1976,0.8708,1.269
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,<60% Trump,85 percent or higher,Cell,1,0.8733,0.8736,0.598,0.9001
Dem,18 to 34,High school,Hispanic,Female,Hispanic,support,Disapp.,Support,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,30 to 44,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Unknown/Non-White,Des Moines,Less than 50 percent,Cell,0.8889,0.2687,1.1741,3.9387,1.3114
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Polk,50 to 85 percent,Cell,1,0.6889,0.6618,0.5087,0.7218
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Polk,85 percent or higher,Cell,1,0.9497,0.9981,0.6288,1.0289
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Polk,50 to 85 percent,Cell,0.8889,0.8337,0.7079,0.3453,0.7402
Dem,65 and older,High school,White,Female,White,Don't know,Approve,Check,Not or not very,oppose,Dems. take House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Des Moines,50 to 85 percent,Landline,1,0.6211,1.0453,1.1053,1.1604
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,>60% Trump,85 percent or higher,Cell,1,0.9882,1.0975,0.7529,1.1415
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Polk,Less than 50 percent,Cell,1,0.4683,0.6776,0.9853,0.7929
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,<60% Trump,85 percent or higher,Cell,0.6667,0.9232,0.7075,0.4,0.6729
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,Not or not very,support,Reps. keep House,Don't know,Favorable,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,>60% Trump,85 percent or higher,Cell,0,0.9831,1.1501,0.7855,1.1495
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,support,Approve,Support,Not or not very,Don't know,Reps. keep House,Unfavorable,Unfavorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown/Non-White,Polk,50 to 85 percent,Cell,1,0.5523,1.032,0.8788,1.1703
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Polk,85 percent or higher,Cell,1,0.9524,0.6751,0.3394,0.7032
Rep,18 to 34,Some college or trade school,White,Male,White,oppose,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,>60% Trump,Less than 50 percent,Cell,0.4444,0.451,1.2022,2.0459,0.815
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,Not or not very,Don't know,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,<60% Trump,Less than 50 percent,Cell,0.6667,0.4573,1.0337,1.7581,0.9856
Dem,65 and older,High school,White,Male,Black,support,Disapp.,Support,Very or somewhat,support,Dems. take House,Favorable,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,White,Polk,85 percent or higher,Cell,1,0.8868,1.25,0.9029,1.3122
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,>60% Trump,85 percent or higher,Landline,1,0.9773,1.1354,0.595,1.1736
Und,[DO NOT READ] Refused,High school,Asian,Female,Black,Don't know,Disapp.,Check,Very or somewhat,oppose,Don't know,Unfavorable,Don't know,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Unknown/Non-White,Des Moines,Less than 50 percent,Cell,1,0.3221,1.8442,4.2922,2.3322
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,Not or not very,support,Reps. keep House,Unfavorable,Favorable,disagree,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,>60% Trump,Less than 50 percent,Cell,1,0.2622,1.0916,3.583,1.3006
Rep,18 to 34,Some college or trade school,White,Female,White,support,Don't know,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,18 to 29,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Polk,Less than 50 percent,Cell,1,0.3926,1.0186,1.8846,1.2352
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Polk,85 percent or higher,Cell,1,0.977,1.115,0.6662,1.1597
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Des Moines,85 percent or higher,Cell,0.8889,0.8852,0.6707,0.5186,0.6977
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Des Moines,85 percent or higher,Cell,1,0.9551,0.5658,0.3084,0.5892
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,<60% Trump,85 percent or higher,Landline,1,0.9968,0.5711,0.3629,0.5947
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,Not or not very,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,>60% Trump,85 percent or higher,Landline,1,0.9887,1.1421,0.8192,1.188
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Des Moines,85 percent or higher,Cell,1,0.8718,0.5678,0.4118,0.5974
Rep,18 to 34,Bachelors' degree,White,Female,White,support,Approve,Support,Not or not very,support,Reps. keep House,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,>60% Trump,Less than 50 percent,Cell,1,0.3325,0.9418,2.0239,1.1828
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,<60% Trump,Less than 50 percent,Cell,1,0.4537,0.875,1.3858,1.0304
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Des Moines,85 percent or higher,Cell,1,0.9766,0.8715,0.4152,0.9007
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Polk,85 percent or higher,Cell,1,0.9623,0.6001,0.3233,0.6247
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,>60% Trump,85 percent or higher,Landline,1,0.9527,0.9923,0.5807,1.0231
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,>60% Trump,85 percent or higher,Cell,1,0.9388,1.3744,1.0626,1.4335
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Des Moines,85 percent or higher,Landline,1,0.9939,0.5697,0.2826,0.5929
