response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Some college or trade school,White,Male,White,Don't know,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Phoenix,Less than 50 percent,Cell,0,0.1118,1.2412,6.5604,0.2573,2018-10-12 01:47:39
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Phoenix,85 percent or higher,Cell,1,0.965,1.0388,0.6934,1.033,2018-10-12 01:51:15
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Phoenix,50 to 85 percent,Cell,1,0.7966,1.2721,0.9024,1.3062,2018-10-12 01:53:21
Rep,65 and older,Some college or trade school,Unknown,Female,White,Don't know,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Rest,85 percent or higher,Cell,1,0.965,0.9039,0.6031,0.8989,2018-10-12 02:10:24
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Non-White,Rest,85 percent or higher,Landline,1,0.965,0.6256,0.4498,0.6221,2018-10-12 02:19:48
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Phoenix,85 percent or higher,Cell,1,0.8754,0.8144,0.508,0.8368,2018-10-12 02:23:51
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,50 to 85 percent,Cell,0.8889,0.846,1.0885,0.9436,1.0952,2018-10-12 02:30:36
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Not at all likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Rest,50 to 85 percent,Cell,1,0.6384,0.9131,0.8936,0.6735,2018-10-12 02:31:12
Dem,65 and older,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Rest,85 percent or higher,Cell,1,0.965,0.8412,0.5498,0.8365,2018-10-12 02:31:12
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9978,0.9688,0.6574,0.9722,2018-10-12 02:31:48
Und,18 to 34,High school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,18 to 29,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Phoenix,Less than 50 percent,Cell,0.7778,0.2425,1.4293,4.6332,1.1326,2018-10-12 02:36:54
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,40 to 64,4-year College Grad.,White,Phoenix,85 percent or higher,Cell,1,0.965,1.1487,0.7084,1.1519,2018-10-12 02:40:30
Rep,50 to 64,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,40 to 64,Postgraduate Degree,White,Phoenix,85 percent or higher,Cell,1,0.965,0.8651,0.4904,0.8675,2018-10-12 02:44:33
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,Rest,85 percent or higher,Cell,0.4444,0.965,0.9658,0.7305,0.9428,2018-10-12 02:46:49
Und,18 to 34,Some college or trade school,Unknown,Female,Asian,Disapp.,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Not very likely,Republican,Nonwhite,18 to 39,No 4-year College Degree,Unknown,Phoenix,Less than 50 percent,Cell,0.3333,0.0799,1.1989,5.3521,0.4747,2018-10-12 02:47:25
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Phoenix,85 percent or higher,Cell,1,0.9585,0.9654,0.5918,0.9685,2018-10-12 02:52:22
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,Postgraduate Degree,White,Rest,85 percent or higher,Cell,1,0.965,0.7298,0.4557,0.7318,2018-10-12 03:01:25
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest,50 to 85 percent,Cell,1,0.6478,1.146,1.1831,1.2168,2018-10-12 03:01:25
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Rest,Less than 50 percent,Cell,0.4444,0.2809,0.6239,1.2901,0.3001,2018-10-12 03:02:10
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Rest,85 percent or higher,Cell,1,0.9641,0.5998,0.3234,0.5965,2018-10-12 03:03:58
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest,85 percent or higher,Cell,1,0.965,0.7234,0.4661,0.7254,2018-10-12 03:04:16
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Phoenix,85 percent or higher,Cell,1,0.8841,1.3618,0.9861,1.378,2018-10-12 03:07:16
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,Rest,85 percent or higher,Cell,1,0.965,1.1,0.7006,1.0939,2018-10-12 03:13:07
Dem,65 and older,High school,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.965,1.0871,0.8253,1.09,2018-10-12 03:13:07
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Phoenix,50 to 85 percent,Cell,0.8889,0.7957,1.3395,0.9831,1.3114,2018-10-12 03:13:25
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Phoenix,85 percent or higher,Cell,1,0.965,1.1752,0.7303,1.1686,2018-10-12 03:15:22
Dem,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,50 to 85 percent,Cell,1,0.508,1.013,1.4324,1.1243,2018-10-12 03:16:37
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Phoenix,50 to 85 percent,Cell,1,0.687,1.3017,1.2226,1.3684,2018-10-12 03:18:34
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,85 percent or higher,Cell,1,0.965,0.9496,0.653,0.9522,2018-10-12 03:19:19
Und,50 to 64,Bachelors' degree,Hispanic,Female,Asian,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Non-White,Phoenix,50 to 85 percent,Cell,1,0.7261,1.1,0.9553,1.1459,2018-10-12 03:19:28
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,50 to 85 percent,Cell,1,0.7179,1.13,1.0127,1.1793,2018-10-12 03:20:49
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,50 to 85 percent,Cell,1,0.691,1.0885,1.1553,1.1432,2018-10-12 03:22:19
Dem,50 to 64,Bachelors' degree,Asian,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Non-White,Phoenix,50 to 85 percent,Cell,1,0.5496,1.0147,1.1766,1.1097,2018-10-12 03:24:25
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Phoenix,85 percent or higher,Cell,1,0.965,1.1487,0.7084,1.1584,2018-10-12 03:24:25
Und,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Phoenix/Tempe,50 to 85 percent,Cell,0.7778,0.6824,1.1169,0.9704,1.125,2018-10-12 03:24:34
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,50 to 85 percent,Cell,1,0.6722,1.0885,1.1876,1.1485,2018-10-12 03:24:52
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Rest,50 to 85 percent,Cell,1,0.5323,1.3551,1.7958,1.4908,2018-10-12 03:26:40
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Phoenix,Less than 50 percent,Cell,1,0.3453,0.8114,1.4405,0.974,2018-10-12 03:28:10
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Phoenix,50 to 85 percent,Cell,1,0.6246,1.2721,1.1509,1.3593,2018-10-12 03:29:04
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,50 to 85 percent,Cell,1,0.5303,1.1563,1.6019,1.1983,2018-10-12 03:29:22
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Phoenix,50 to 85 percent,Cell,1,0.5151,0.894,0.9283,0.9896,2018-10-12 03:33:38
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Phoenix,85 percent or higher,Cell,1,0.965,0.805,0.447,0.8072,2018-10-12 03:34:50
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest,85 percent or higher,Cell,1,0.965,0.7234,0.4661,0.7254,2018-10-12 03:37:05
Rep,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,65 and older,4-year College Grad.,White,Rest,85 percent or higher,Cell,1,0.965,1.0439,0.7386,1.0468,2018-10-12 03:37:14
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest,85 percent or higher,Cell,1,0.965,0.7862,0.5113,0.7818,2018-10-12 03:37:41
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,50 to 85 percent,Cell,1,0.6516,1.1563,1.3036,1.2265,2018-10-12 03:38:17
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Phoenix,85 percent or higher,Cell,1,0.965,1.2237,0.816,1.2169,2018-10-12 03:40:23
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Phoenix,85 percent or higher,Cell,1,0.965,0.8144,0.4608,0.8166,2018-10-12 03:41:35
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Phoenix,50 to 85 percent,Cell,1,0.8203,1.3395,0.9535,1.3695,2018-10-12 03:42:47
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Phoenix,Less than 50 percent,Cell,0.8889,0.3749,1.2772,2.4442,1.4458,2018-10-12 03:43:59
Dem,35 to 49,Bachelors' degree,Unknown,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,or as a member of another political party,Nonwhite,18 to 39,4-year College Grad.,Unknown,Phoenix,50 to 85 percent,Cell,1,0.6912,1.3594,1.04,1.4276,2018-10-12 03:44:08
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest,85 percent or higher,Landline,1,0.965,1.0439,0.7386,1.0468,2018-10-12 03:46:01
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Phoenix,85 percent or higher,Cell,1,0.965,1.2483,0.7771,1.2414,2018-10-12 03:47:44
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Asian,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Non-White,Rest,85 percent or higher,Landline,1,0.965,0.631,0.4398,0.6328,2018-10-12 03:50:04
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.8689,1.0144,0.8808,1.0073,2018-10-12 03:50:49
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Phoenix,50 to 85 percent,Cell,1,0.5973,1.2254,1.3216,1.3199,2018-10-12 03:52:19
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Phoenix,50 to 85 percent,Cell,1,0.8034,0.9018,0.582,0.9248,2018-10-12 03:52:37
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,4-year College Grad.,White,Rest,85 percent or higher,Cell,1,0.965,1.0294,0.7006,1.0322,2018-10-12 03:53:49
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Phoenix,85 percent or higher,Landline,1,0.9391,1.1035,0.7582,1.0954,2018-10-12 03:57:16
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest,85 percent or higher,Landline,1,0.965,1.0439,0.7386,1.0468,2018-10-12 03:58:10
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest,85 percent or higher,Landline,1,0.965,0.7466,0.4698,0.7486,2018-10-12 04:04:49
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,50 to 85 percent,Landline,1,0.6175,1.1008,1.2927,1.1215,2018-10-12 04:08:43
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Favorable,Favorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 39,Postgraduate Degree,White,Rest of Maricopa,50 to 85 percent,Landline,0.8889,0.801,0.9152,0.923,0.9257,2018-10-12 04:12:19
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Phoenix,85 percent or higher,Landline,0.8889,0.965,1.2131,0.8345,1.2115,2018-10-12 04:16:07
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.9318,1.0028,0.7967,1.0085,2018-10-12 04:18:04
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,50 to 85 percent,Cell,1,0.7394,1.0981,1.0558,1.1406,2018-10-12 04:19:07
Und,50 to 64,Bachelors' degree,White,Male,White,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest,85 percent or higher,Landline,1,0.9374,1.0294,0.7212,1.0346,2018-10-12 04:20:28
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Not at all likely,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,Phoenix,Less than 50 percent,Cell,0.4444,0.1172,1.122,5.3522,0.3869,2018-10-12 04:20:46
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Phoenix,85 percent or higher,Landline,0.8889,0.9369,0.9654,0.6054,0.9645,2018-10-12 04:23:46
Rep,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest,85 percent or higher,Landline,1,0.965,0.9714,0.6732,0.9741,2018-10-12 04:24:40
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest,85 percent or higher,Landline,1,0.8538,0.7316,0.5267,0.7437,2018-10-12 04:26:01
