response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Oakland, Trump",85 percent or higher,Landline,1,0.9836,1.1432,0.7176,1.1485,2018-10-01 23:19:17
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Don't know,agree,65 and older,4-year College Grad.,Other,Male,Somewhat likely,Republican,"White, 4-Year College Grads",65 and older,White,"Oakland, Trump",50 to 85 percent,Cell,0.7778,0.6897,1.2047,1.0268,1.0348,2018-10-01 23:19:53
Und,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,oppose,Disapp.,Don't know,support,Dems. take House,Don't know,Favorable,Do not believe,agree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,Nonwhite,35 to 49,Other Non-White,"Oakland, Trump",50 to 85 percent,Cell,0.7778,0.5173,0.7387,0.9671,0.715,2018-10-01 23:23:47
Dem,50 to 64,Bachelors' degree,Hispanic,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,Other Non-White,"Oakland, Trump",85 percent or higher,Cell,1,0.9497,1.0262,0.7646,1.0269,2018-10-01 23:29:56
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,Disapp.,Don't know,support,Dems. take House,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,"Oakland, Trump",85 percent or higher,Landline,1,0.9858,0.9552,0.6289,0.9644,2018-10-01 23:30:59
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Wayne, Trump",85 percent or higher,Landline,1,0.9914,0.5999,0.2667,0.6058,2018-10-01 23:33:32
Und,65 and older,Graduate or Professional Degree,Hispanic,Female,White,Don't know,Approve,Don't know,oppose,Reps. keep House,Don't know,Don't know,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Other Non-White,"Oakland, Trump",85 percent or higher,Landline,1,0.9883,0.756,0.4169,0.7604,2018-10-01 23:47:35
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Don't know,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Wayne, Trump",85 percent or higher,Landline,1,0.9227,0.9338,0.5888,0.9471,2018-10-01 23:51:20
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,White,"Oakland, Trump",85 percent or higher,Cell,1,0.9243,0.6127,0.4294,0.6213,2018-10-01 23:51:31
Dem,18 to 34,Bachelors' degree,White,Female,White,Don't know,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,White,"Wayne, Clinton",50 to 85 percent,Cell,0.7778,0.5151,1.1147,1.192,1.079,2018-10-01 23:51:38
Und,50 to 64,Graduate or Professional Degree,White,Female,Other,oppose,Disapp.,Don't know,support,Reps. keep House,Don't know,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,50 to 64,White,"Wayne, Trump",85 percent or higher,Landline,1,0.9887,0.5685,0.3081,0.5718,2018-10-01 23:52:05
Dem,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Other Non-White,"Wayne, Trump",50 to 85 percent,Cell,1,0.6315,1.0583,0.9326,1.1371,2018-10-01 23:57:56
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,35 to 49,Other Non-White,"Oakland, Trump",85 percent or higher,Cell,1,0.9166,1.1367,0.9335,1.1362,2018-10-01 23:59:53
Dem,18 to 34,Graduate or Professional Degree,Asian,Female,Asian,oppose,Disapp.,Don't know,support,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,18 to 34,Other Non-White,"Wayne, Clinton",Less than 50 percent,Landline,1,0.149,0.453,1.6478,0.6647,2018-10-02 00:05:33
Und,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,65 and older,Some College Educ.,Other,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",65 and older,White,"Oakland, Clinton",Less than 50 percent,Landline,0.7778,0.0977,0.7216,2.9055,0.8344,2018-10-02 00:08:02
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Don't know,support,Dems. take House,Favorable,Don't know,Believe,agree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,"Wayne, Trump",85 percent or higher,Landline,1,0.9912,0.5463,0.2499,0.54990000000000006,2018-10-02 00:10:17
Dem,35 to 49,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,White,"Oakland, Clinton",85 percent or higher,Cell,1,0.946,1.0652,0.8471,1.0777,2018-10-02 00:10:26
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Other Non-White,"Oakland, Trump",85 percent or higher,Landline,1,0.9143,0.6589,0.469,0.669,2018-10-02 00:16:29
Und,35 to 49,Graduate or Professional Degree,White,Female,Other,oppose,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Other,Female,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,35 to 49,White,"Oakland, Trump",50 to 85 percent,Cell,0.4444,0.5833,0.6869,0.7939,0.4445,2018-10-02 00:21:57
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,"Wayne, Trump",85 percent or higher,Cell,1,0.9869,1.0157,0.5023,1.0255,2018-10-02 00:23:00
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,Don't know,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",18 to 34,Unknown,"Wayne, Trump",50 to 85 percent,Cell,1,0.7835,1.0708,0.6665,1.0767,2018-10-02 00:32:27
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Oakland, Trump",50 to 85 percent,Cell,1,0.8404,0.6178,0.36,0.6341,2018-10-02 00:41:40
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",35 to 49,White,"Oakland, Trump",85 percent or higher,Landline,1,0.9228,1.1491,0.9505,1.1654,2018-10-02 00:42:25
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Oakland, Trump",85 percent or higher,Landline,1,0.9279,1.0478,0.7732,1.0621,2018-10-02 00:57:42
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Oakland, Clinton",50 to 85 percent,Cell,1,0.7839,0.9286,0.6051,0.9629,2018-10-02 01:00:42
Und,50 to 64,Some college or trade school,White,Female,White,oppose,Approve,Support,oppose,Don't know,Unfavorable,Unfavorable,Do not believe,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Wayne, Clinton",Less than 50 percent,Cell,1,0.1923,0.7514,2.5493,1.0373000000000001,2018-10-02 01:02:48
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,support,Approve,Don't know,support,Dems. take House,Don't know,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,"Wayne, Trump",85 percent or higher,Cell,1,0.9921,0.8165,0.3826,0.8246,2018-10-02 01:25:00
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,"Oakland, Trump",85 percent or higher,Cell,1,0.8884,1.3837,1.1759,1.4097,2018-10-02 01:32:58
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,disagree,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Oakland, Trump",50 to 85 percent,Landline,1,0.5419,0.6485,0.7579,0.6753,2018-10-02 15:49:32
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Oakland, Trump",85 percent or higher,Landline,1,0.9058,0.6719,0.5357,0.6829,2018-10-02 21:33:02
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Unfavorable,Do not believe,agree,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,"Wayne, Clinton",Less than 50 percent,Cell,1,0.3452,0.8178,1.4497,0.989,2018-10-02 21:34:23
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Unfavorable,Do not believe,Don't know,18 to 29,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,"Oakland, Trump",Less than 50 percent,Landline,1,0.487,0.5898,0.7531,0.6223,2018-10-02 21:40:14
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,"Wayne, Trump",85 percent or higher,Cell,1,0.9387,0.8165,0.4044,0.8267,2018-10-02 21:45:38
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Oakland, Trump",85 percent or higher,Landline,1,0.9968,1.1432,0.708,1.1554,2018-10-02 21:47:07
Rep,35 to 49,Some college or trade school,Other,Male,White,support,Don't know,Don't know,Don't know,Reps. keep House,Don't know,Favorable,Don't know,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,Other Non-White,"Oakland, Clinton",50 to 85 percent,Cell,1,0.7421,1.2733,1.2329,1.3316,2018-10-02 21:58:10
Und,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Don't know,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Wayne, Trump",85 percent or higher,Landline,0.8889,0.8871,0.6669,0.4562,0.659,2018-10-02 21:58:31
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Don't know,support,Don't know,Don't know,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Oakland, Trump",85 percent or higher,Cell,1,0.8888,0.7378,0.5827,0.7517,2018-10-02 22:21:35
Und,35 to 49,Graduate or Professional Degree,Unknown,Female,Other,Don't know,Disapp.,Don't know,Don't know,Don't know,Don't know,Don't know,Believe,Don't know,30 to 44,Postgraduate Degree,Other,Female,Not at all likely,or as a member of another political party,Nonwhite,35 to 49,Unknown,"Wayne, Trump",Less than 50 percent,Cell,0,0.3909,0.4318,0.6722,0.1174,2018-10-02 22:22:11
Rep,65 and older,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Don't know,Do not believe,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Wayne, Trump",85 percent or higher,Landline,1,0.994,2.1745,1.5292,2.1911,2018-10-02 22:22:29
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Support,oppose,Reps. keep House,Unfavorable,Unfavorable,Do not believe,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,"Oakland, Trump",85 percent or higher,Cell,1,0.9904,0.7378,0.523,0.745,2018-10-02 22:24:17
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,"Wayne, Trump",85 percent or higher,Landline,1,0.9966,1.0152,0.6036,1.026,2018-10-02 22:25:20
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,"Oakland, Trump",50 to 85 percent,Cell,1,0.8139,1.1543,0.8913,1.1902,2018-10-02 22:25:38
Dem,18 to 34,Graduate or Professional Degree,White,Female,Other,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,White,"Oakland, Trump",50 to 85 percent,Cell,1,0.704,0.5391,0.4124,0.5686,2018-10-02 22:26:14
Und,35 to 49,Bachelors' degree,White,Male,White,Don't know,Disapp.,Check,oppose,Don't know,Unfavorable,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Oakland, Trump",Less than 50 percent,Cell,0.8889,0.4607,0.5412,0.893,0.5958,2018-10-02 22:27:08
Und,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Don't know,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,"Oakland, Trump",85 percent or higher,Cell,1,0.99,1.0478,0.7247,1.0543,2018-10-02 22:28:47
Dem,50 to 64,Some college or trade school,Other,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Do not believe,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Other Non-White,"Wayne, Clinton",Less than 50 percent,Landline,1,0.4539,0.8081,1.1667,0.9236,2018-10-02 22:29:14
Und,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Don't know,oppose,Dems. take House,Don't know,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",35 to 49,White,"Oakland, Trump",50 to 85 percent,Cell,0.7778,0.5729,0.5432,0.6067,0.5239,2018-10-02 22:29:50
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,"Oakland, Trump",85 percent or higher,Cell,1,0.9915,0.7643,0.426,0.7718,2018-10-02 22:30:08
