response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,Black,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,No,Don't know,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Unknown,"Burlington, Clinton",85 percent or higher,Cell,1,0.9107,0.4853,0.2782,0.4897,2018-09-22 17:34:43
Dem,18 to 34,Bachelors' degree,White,Male,White,Support,oppose,Approve,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Ocean,50 to 85 percent,Cell,1,0.6176,0.7182,0.4406,0.7695,2018-09-22 17:35:10
Rep,65 and older,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Support,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.6662,1.0175,0.6155,1.076,2018-09-22 17:40:34
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Black,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Other Non-White,Ocean,Less than 50 percent,Cell,1,0.4741,1.6092,3.0321,1.8113,2018-09-22 17:59:01
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Ocean,50 to 85 percent,Landline,1,0.7644,0.6334,0.5706,0.655,2018-09-22 18:04:40
Rep,18 to 34,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Unfavorable,Oppose,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Ocean,50 to 85 percent,Cell,1,0.5705,0.8781,0.7355,0.9029,2018-09-22 18:05:16
Und,[DO NOT READ] Refused,Bachelors' degree,Black,Female,Black,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Black,"Burlington, Clinton",50 to 85 percent,Cell,0.8889,0.8346,0.622,0.3369,0.627,2018-09-22 18:25:25
Dem,18 to 34,Bachelors' degree,White,Male,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Oppose,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Ocean,Less than 50 percent,Cell,1,0.2161,0.8424,1.9352,1.1239,2018-09-22 18:34:13
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Trump",Less than 50 percent,Cell,1,0.3569,1.0501,1.9013,1.1488,2018-09-22 18:34:58
Und,50 to 64,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Ocean,50 to 85 percent,Cell,1,0.5881,0.7552,0.5185,0.774,2018-09-22 18:43:31
Rep,18 to 34,Some college or trade school,White,Male,White,Support,Don't know,Approve,Reps. keep House,Favorable,Yes,Favorable,Oppose,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Ocean,Less than 50 percent,Cell,0.7778,0.2521,1.1763,3.0877,1.1947,2018-09-22 18:44:07
Dem,18 to 34,High school,White,Male,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,"Burlington, Trump",Less than 50 percent,Cell,1,0.3555,2.188,5.7209,2.6119,2018-09-22 18:53:29
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,support,Approve,Dems. take House,Don't know,No,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Trump",85 percent or higher,Cell,1,0.9344,0.9203,0.5582,0.9259,2018-09-22 19:05:44
Dem,50 to 64,High school,Unknown,Male,Other,Oppose,oppose,Disapp.,Don't know,Favorable,No,Unfavorable,Oppose,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,Unknown,"Burlington, Clinton",85 percent or higher,Cell,1,0.8578,1.3462,1.222,1.3686,2018-09-22 19:09:29
Rep,50 to 64,Bachelors' degree,White,Female,Other,Support,support,Approve,Reps. keep House,Unfavorable,No,Don't know,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,"Burlington, Trump",85 percent or higher,Landline,1,0.9875,0.7952,0.3719,0.7975,2018-09-22 19:16:10
Rep,50 to 64,Graduate or Professional Degree,Other,Male,Asian,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Other Non-White,"Burlington, Clinton",85 percent or higher,Cell,0.8889,0.8745,0.9609,0.3771,0.9647,2018-09-22 19:17:22
Dem,18 to 34,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Favorable,No,Unfavorable,Support,18 to 29,Some College Educ.,Democratic,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,"Burlington, Clinton",50 to 85 percent,Cell,0.5556,0.7011,0.8324,0.4863,0.6519,2018-09-22 19:25:37
Und,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,support,Disapp.,Don't know,Don't know,Yes,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Burlington, Clinton",50 to 85 percent,Landline,0.6667,0.5099,0.6593,0.3621,0.6057,2018-09-22 19:29:13
Und,65 and older,High school,Unknown,Male,White,Don't know,Don't know,Approve,Reps. keep House,Don't know,No,Don't know,Oppose,65 and older,High School Grad. or Less,Other,Male,Not very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,"Burlington, Clinton",50 to 85 percent,Cell,0.6667,0.5701,1.7204,1.9295,1.1613,2018-09-22 19:41:40
Dem,18 to 34,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.7944,0.7553,0.4518,0.7764,2018-09-22 19:44:58
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Support,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.7252,1.2712,0.8515,1.2768,2018-09-22 19:50:56
Dem,65 and older,Graduate or Professional Degree,White,Female,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Don't know,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,White,"Burlington, Clinton",85 percent or higher,Landline,1,0.9876,0.6484,0.2151,0.6503,2018-09-22 19:51:14
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Support,Don't know,Approve,Reps. keep House,Don't know,No,Don't know,Oppose,30 to 44,Postgraduate Degree,Democratic,Male,Not very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Trump",50 to 85 percent,Cell,0,0.7663,0.7848,0.5112,0.4145,2018-09-22 19:56:38
Dem,18 to 34,Bachelors' degree,Black,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Black,"Burlington, Clinton",85 percent or higher,Cell,0.8889,0.9715,0.5693,0.3018,0.5644,2018-09-22 19:58:08
Dem,35 to 49,Some college or trade school,Black,Female,Black,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Favorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Black,"Burlington, Clinton",85 percent or higher,Cell,1,0.9181,0.8471,0.7842,0.8539,2018-09-22 20:10:40
Und,50 to 64,Bachelors' degree,White,Male,Black,Oppose,oppose,Disapp.,Don't know,Unfavorable,Yes,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Nonwhite,50 to 64,White,"Burlington, Trump",Less than 50 percent,Cell,1,0.1629,0.9703,3.1569,1.3842,2018-09-22 20:23:01
Dem,50 to 64,Bachelors' degree,White,Male,Black,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,"Burlington, Clinton",50 to 85 percent,Cell,1,0.689,0.8314,0.324,0.8742,2018-09-22 20:24:22
Rep,18 to 34,Some college or trade school,Unknown,Female,White,Oppose,support,Approve,Dems. take House,Favorable,Yes,Favorable,Support,18 to 29,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Unknown,Ocean,Less than 50 percent,Cell,0.6667,0.3257,1.0202,3.4236,0.9488,2018-09-22 20:29:01
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,"Burlington, Trump",85 percent or higher,Cell,1,0.9471,0.8116,0.3538,0.8155,2018-09-22 20:30:04
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,support,Disapp.,Dems. take House,Don't know,Yes,Don't know,Oppose,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,"Burlington, Trump",85 percent or higher,Cell,1,0.9915,0.8773,0.4202,0.8773,2018-09-22 20:37:45
Rep,65 and older,High school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Ocean,50 to 85 percent,Cell,1,0.5921,1.7996,1.6694,1.9427,2018-09-22 20:49:06
Dem,18 to 34,Some college or trade school,Black,Female,Black,Oppose,oppose,Approve,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,Black,"Burlington, Clinton",50 to 85 percent,Cell,1,0.8334,0.7095,0.5423,0.7061,2018-09-22 20:59:45
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Ocean,50 to 85 percent,Landline,1,0.8059,0.7552,0.3799,0.7746,2018-09-22 21:05:51
Dem,35 to 49,Bachelors' degree,White,Male,Asian,Oppose,Don't know,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,"Burlington, Clinton",Less than 50 percent,Cell,1,0.373,0.9707,1.363,1.147,2018-09-22 21:12:36
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Don't know,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown,"Burlington, Clinton",50 to 85 percent,Cell,1,0.6262,0.5405,0.3306,0.5777,2018-09-22 21:14:24
Rep,65 and older,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Favorable,Yes,Don't know,Support,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Ocean,85 percent or higher,Landline,1,0.8961,1.02,0.5444,1.0128,2018-09-22 21:42:05
Und,50 to 64,High school,Black,Male,[DO NOT READ] Don't know/Refused,Support,Don't know,Don't know,Don't know,Don't know,No,Don't know,Support,45 to 64,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,Black,"Burlington, Clinton",50 to 85 percent,Cell,0.7778,0.5334,1.3467,1.7064,1.0307,2018-09-22 21:44:20
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",50 to 85 percent,Landline,0.6667,0.8203,0.7142,0.2663,0.5141,2018-09-22 21:52:07
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Oppose,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,"Burlington, Trump",50 to 85 percent,Cell,1,0.77,0.769,0.5575,0.7942,2018-09-22 21:59:37
Und,50 to 64,Bachelors' degree,White,Male,White,Oppose,oppose,Approve,Don't know,Unfavorable,No,Unfavorable,Oppose,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Ocean,Less than 50 percent,Landline,1,0.3143,1.1679,2.2449,1.4316,2018-09-22 22:10:58
Dem,65 and older,Some college or trade school,Unknown,Female,White,Support,Don't know,Disapp.,Dems. take House,Don't know,Yes,Don't know,Support,65 and older,Some College Educ.,Other,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown,Ocean,Less than 50 percent,Landline,0,0.37,1.2064,3.2814,0.3184,2018-09-22 22:17:32
Und,65 and older,High school,White,Male,White,Support,Don't know,Don't know,Don't know,Don't know,No,Don't know,Support,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Ocean,50 to 85 percent,Landline,1,0.6078,2.0528,1.8293,2.2056,2018-09-22 22:22:29
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Ocean,85 percent or higher,Landline,1,0.9837,0.684,0.2655,0.6825,2018-09-22 22:28:02
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,Yes,Unfavorable,Support,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,"Burlington, Clinton",85 percent or higher,Landline,1,0.9912,0.6983,0.2967,0.7005,2018-09-22 22:34:33
Dem,65 and older,High school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Ocean,85 percent or higher,Landline,1,0.858,1.7343,1.4392,1.7631,2018-09-22 22:35:36
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,White,Support,oppose,Disapp.,Dems. take House,Don't know,Don't know,Favorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,"Burlington, Trump",85 percent or higher,Landline,1,0.9922,0.6505,0.4381,0.6507,2018-09-22 22:38:45
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",50 to 85 percent,Landline,1,0.7226,0.9634,0.5268,1.005,2018-09-22 22:41:45
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Don't know,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Support,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Unknown,"Burlington, Trump",85 percent or higher,Landline,1,0.9823,0.8616,0.8022,0.864,2018-09-22 22:47:39
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Ocean,50 to 85 percent,Landline,1,0.7576,0.7508,0.4775,0.7774,2018-09-22 22:53:57
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Ocean,50 to 85 percent,Cell,1,0.8477,0.7208,0.3051,0.734,2018-09-22 22:55:27
Dem,50 to 64,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Support,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Ocean,50 to 85 percent,Cell,1,0.6527,0.9435,0.7032,1.0012,2018-09-22 23:02:10
Dem,50 to 64,High school,White,Female,White,Oppose,support,Approve,Don't know,Favorable,Yes,Unfavorable,Support,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Ocean,50 to 85 percent,Landline,1,0.5005,1.8254,2.2899,2.0332,2018-09-22 23:07:52
Dem,65 and older,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Ocean,85 percent or higher,Landline,1,0.9231,0.8343,0.3431,0.8284,2018-09-22 23:11:37
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Support,support,Approve,Don't know,Don't know,Don't know,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,Ocean,85 percent or higher,Landline,1,0.8839,0.6207,0.2776,0.6165,2018-09-22 23:13:52
