response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Lower Bucks,85 percent or higher,Cell,1,0.9895,0.487,0.1917,0.4888,2018-10-11 20:32:42
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Middle/Upper Bucks,50 to 85 percent,Cell,1,0.6769,1.2594,0.987,1.3291,2018-10-11 20:34:25
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.891,1.0161,0.8406,1.0287,2018-10-11 20:47:41
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Lower Bucks,50 to 85 percent,Cell,1,0.8068,0.7816,0.5366,0.8021,2018-10-11 20:49:29
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Lower Bucks,50 to 85 percent,Cell,1,0.807,0.7978,0.6382,0.8187,2018-10-11 20:54:17
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,oppose,Disapp.,Don't know,support,Dems. take House,Don't know,Favorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,50 to 64,Non-White,Middle/Upper Bucks,Less than 50 percent,Cell,1,0.4197,1.0783,1.299,1.1534,2018-10-11 20:54:53
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Lower Bucks,85 percent or higher,Cell,1,0.9851,0.7998,0.3043,0.8026,2018-10-11 20:59:41
Dem,18 to 34,Some college or trade school,White,Male,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Don't know,agree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,White,Montgomery,85 percent or higher,Cell,0.8889,0.8933,0.4724,0.4132,0.4738,2018-10-11 21:05:01
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Non-White,Montgomery,50 to 85 percent,Cell,1,0.5114,0.6168,0.7142,0.6847,2018-10-11 21:05:28
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Unfavorable,Do not believe,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Non-White,Lower Bucks,50 to 85 percent,Cell,1,0.7122,0.9157,0.6483,0.9583,2018-10-11 21:05:46
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Disapp.,Check,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Lower Bucks,85 percent or higher,Cell,1,0.9856,0.5316,0.2832,0.5335,2018-10-11 21:11:55
Und,18 to 34,Bachelors' degree,White,Male,Hispanic,oppose,Disapp.,Don't know,support,Don't know,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Not at all likely,Independent (No party),Nonwhite,18 to 34,White,Middle/Upper Bucks,Less than 50 percent,Cell,0,0.4394,0.9828,1.4601,0.2802,2018-10-11 21:14:28
Und,35 to 49,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown,Montgomery,50 to 85 percent,Cell,1,0.619,0.9238,0.9065,0.9422,2018-10-11 21:19:15
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9872,0.7836,0.4495,0.7864,2018-10-11 21:22:15
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,Non-White,Middle/Upper Bucks,Less than 50 percent,Cell,1,0.0936,1.441,5.8301,2.3546,2018-10-11 21:22:51
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Lower Bucks,50 to 85 percent,Cell,1,0.6374,0.7816,0.6791,0.8334,2018-10-11 21:23:18
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9911,0.6432,0.2842,0.6456,2018-10-11 21:23:45
Dem,50 to 64,High school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Believe,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Middle/Upper Bucks,Less than 50 percent,Cell,1,0.4643,2.83,5.709,3.2008,2018-10-11 21:23:54
Dem,50 to 64,High school,White,Male,White,oppose,Approve,Support,oppose,Dems. take House,Don't know,Don't know,Do not believe,agree,45 to 64,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Lower Bucks,Less than 50 percent,Cell,0.6667,0.2044,1.939,6.9218,1.4067,2018-10-11 21:24:03
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Lower Bucks,85 percent or higher,Cell,1,0.987,0.867,0.501,0.8701,2018-10-11 21:24:03
Dem,65 and older,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Believe,agree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Unknown,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9956,1.0254,0.4577,1.0278,2018-10-11 21:25:33
Rep,35 to 49,High school,Unknown,Male,White,support,Approve,Support,support,Reps. keep House,Favorable,Favorable,Do not believe,agree,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,Lower Bucks,85 percent or higher,Cell,1,0.984,1.809,1.3604,1.8153,2018-10-11 21:28:24
Dem,50 to 64,Bachelors' degree,Unknown,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Unknown,Middle/Upper Bucks,Less than 50 percent,Cell,1,0.3902,1.2696,1.7592,1.372,2018-10-11 21:30:30
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9911,0.7114,0.4263,0.7141,2018-10-11 21:30:57
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Middle/Upper Bucks,50 to 85 percent,Landline,1,0.8341,1.0174,0.8146,1.0133,2018-10-11 21:32:30
Und,35 to 49,Some college or trade school,Unknown,Female,White,support,Approve,Support,support,Dems. take House,Unfavorable,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Democratic,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,Unknown,Lower Bucks,Less than 50 percent,Cell,0,0.2777,0.7569,1.9364,0.1816,2018-10-11 21:33:33
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9517,1.0223,0.6654,1.0276,2018-10-11 21:33:51
Rep,35 to 49,Bachelors' degree,White,Male,Hispanic,support,Approve,Check,support,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,35 to 49,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9873,1.1528,0.6633,1.1569,2018-10-11 21:35:39
Dem,50 to 64,High school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Montgomery,85 percent or higher,Landline,1,0.8884,1.821,1.9301,1.8442,2018-10-11 21:35:48
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Unfavorable,Unfavorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9936,0.7114,0.4252,0.7143,2018-10-11 21:35:57
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Believe,agree,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Middle/Upper Bucks,Less than 50 percent,Landline,1,0.2779,1.0356,2.3073,1.3054,2018-10-11 21:37:27
Dem,[DO NOT READ] Refused,Bachelors' degree,Unknown,Male,White,oppose,Approve,Support,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Unknown,Middle/Upper Bucks,85 percent or higher,Landline,1,0.9907,1.0324,0.4102,1.0363,2018-10-11 21:37:27
Rep,65 and older,Some college or trade school,Hispanic,Male,White,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,Non-White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9843,1.2439,0.6519,1.2423,2018-10-11 21:38:48
Dem,50 to 64,High school,Hispanic,Male,Hispanic,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Unfavorable,Believe,agree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Lower Bucks,85 percent or higher,Cell,1,0.9675,2.5568,1.7706,2.567,2018-10-11 21:40:09
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Favorable,Don't know,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Middle/Upper Bucks,50 to 85 percent,Cell,1,0.7156,0.5722,0.4844,0.5984,2018-10-11 21:45:06
Und,50 to 64,High school,White,Male,White,oppose,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Believe,agree,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Lower Bucks,Less than 50 percent,Cell,0.6667,0.4718,1.939,2.9986,1.7833,2018-10-11 21:46:49
Dem,50 to 64,Bachelors' degree,Other,Male,Other,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Middle/Upper Bucks,85 percent or higher,Landline,1,0.9821,1.5926,0.7792,1.5982,2018-10-11 21:48:28
Rep,65 and older,Bachelors' degree,White,Female,White,support,Don't know,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Lower Bucks,50 to 85 percent,Landline,1,0.642,0.9591,0.6741,1.0214,2018-10-11 21:51:10
Rep,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Favorable,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Middle/Upper Bucks,50 to 85 percent,Landline,0.8889,0.8438,0.7557,0.405,0.7616,2018-10-11 21:51:55
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",35 to 49,White,Middle/Upper Bucks,85 percent or higher,Landline,1,0.9824,1.145,0.7472,1.1431,2018-10-11 21:51:55
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Middle/Upper Bucks,50 to 85 percent,Cell,1,0.8137,1.1867,0.7039,1.2164,2018-10-11 21:52:22
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Lower Bucks,85 percent or higher,Landline,1,0.8952,0.6909,0.4212,0.6991,2018-10-11 21:53:25
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9915,0.7114,0.4261,0.7141,2018-10-11 21:53:34
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,Do not believe,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Lower Bucks,50 to 85 percent,Landline,0.7778,0.8499,1.8398,1.3407,1.7751,2018-10-11 21:53:34
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Middle/Upper Bucks,85 percent or higher,Landline,1,0.9958,0.6954,0.3875,0.6984,2018-10-11 21:54:28
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9262,1.1192,0.7238,1.1279,2018-10-11 21:55:31
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9941,0.594,0.267,0.595,2018-10-11 21:59:16
Rep,50 to 64,Graduate or Professional Degree,White,Male,Other,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Unfavorable,Do not believe,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,White,Middle/Upper Bucks,85 percent or higher,Cell,1,0.9209,0.7163,0.4092,0.7223,2018-10-11 21:59:43
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,"White, 4-Year College Grads",65 and older,White,Montgomery,85 percent or higher,Landline,1,0.9921,0.4367,0.2068,0.4325,2018-10-11 22:01:02
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Lower Bucks,50 to 85 percent,Landline,1,0.5008,0.5925,0.5173,0.6604,2018-10-11 22:01:11
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Middle/Upper Bucks,85 percent or higher,Landline,1,0.9154,0.6287,0.281,0.6344,2018-10-11 22:03:58
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Middle/Upper Bucks,85 percent or higher,Landline,1,0.9964,0.594,0.2664,0.5967,2018-10-11 22:04:38
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Unknown,Montgomery,50 to 85 percent,Cell,1,0.6026,0.6279,0.5396,0.6762,2018-10-11 22:05:55
Dem,35 to 49,High school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,White,Lower Bucks,85 percent or higher,Cell,1,0.8578,1.7092,1.6109,1.7389,2018-10-11 22:06:40
Dem,50 to 64,High school,White,Female,White,oppose,Don't know,Check,Don't know,Dems. take House,Don't know,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Lower Bucks,50 to 85 percent,Cell,1,0.6312,2.2185,2.5624,2.3696,2018-10-11 22:07:25
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Believe,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,White,Middle/Upper Bucks,50 to 85 percent,Cell,1,0.5863,1.0048,1.351,1.0874,2018-10-11 22:07:47
Und,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,oppose,Don't know,Don't know,Unfavorable,Believe,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Lower Bucks,85 percent or higher,Landline,1,0.8892,0.6909,0.4241,0.6996,2018-10-11 22:08:23
Rep,65 and older,[DO NOT READ] Refused,White,Male,White,support,Disapp.,Check,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Middle/Upper Bucks,50 to 85 percent,Landline,1,0.8288,1.082,0.854,1.1061,2018-10-11 22:08:32
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",65 and older,White,Middle/Upper Bucks,Less than 50 percent,Landline,0.4444,0.1104,0.9433,3.5328,0.4861,2018-10-11 22:08:50
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Don't know,agree,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Lower Bucks,85 percent or higher,Landline,1,0.9294,0.5268,0.3672,0.5307,2018-10-11 22:09:40
Dem,50 to 64,High school,Unknown,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Unknown,Montgomery,85 percent or higher,Landline,1,0.9886,1.7799,1.584,1.7864,2018-10-11 22:10:25
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Middle/Upper Bucks,50 to 85 percent,Cell,1,0.8302,1.1867,0.6899,1.1821,2018-10-11 22:10:29
Dem,35 to 49,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,Unknown,Middle/Upper Bucks,50 to 85 percent,Landline,1,0.7922,0.9132,0.7679,0.9121,2018-10-11 22:10:29
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Lower Bucks,85 percent or higher,Landline,1,0.9566,0.4397,0.1707,0.4417,2018-10-11 22:10:47
