response,ager,educ,file_race,gender,race_eth,approve,BIRTHRIGHT,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,REVERSERACIS,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_unkother,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Oppose,Support,agree,Reps. keep House,Don't know,Favorable,agree,disagree,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Story,85 percent or higher,Landline,1,0.97,0.7413,0.4173,0.732,2018-11-01 00:50:01
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rural,85 percent or higher,Cell,1,0.8904,0.7671,0.3961,0.7461,2018-11-01 01:03:24
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Rural,85 percent or higher,Landline,1,0.97,0.4997,0.2546,0.4873,2018-11-01 01:04:36
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Small Towns,85 percent or higher,Cell,1,0.97,0.5256,0.2527,0.519,2018-11-01 01:05:57
Rep,35 to 49,Some college or trade school,Unknown,Female,White,Approve,Oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Unknown/Non-White,Small Towns,50 to 85 percent,Cell,1,0.8034,1.4999,1.3379,1.5075,2018-11-01 01:12:24
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,agree,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,Small Towns,85 percent or higher,Cell,1,0.8929,0.9763,0.7121,0.9792,2018-11-01 01:13:09
Rep,18 to 34,Grade school,White,Male,Other,Approve,Support,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,agree,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,Nonwhite,18 to 34,White,Story,85 percent or higher,Cell,1,0.97,0.9116,0.6966,0.8956,2018-11-01 01:13:09
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Support,Don't know,agree,Dems. take House,Favorable,Unfavorable,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.8729,0.5906,0.4042,0.5951,2018-11-01 01:13:09
Dem,35 to 49,Some college or trade school,White,Female,White,Approve,Support,Support,disagree,Dems. take House,Favorable,Unfavorable,agree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",35 to 49,White,Rural,50 to 85 percent,Landline,1,0.8444,0.9359,0.7631,0.9117,2018-11-01 01:13:27
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,disagree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Unknown/Non-White,Rural,Less than 50 percent,Cell,0.7778,0.1402,0.929,4.9138,0.9925,2018-11-01 01:14:21
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,agree,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Small Towns,50 to 85 percent,Landline,1,0.7793,0.9072,0.7268,0.9361,2018-11-01 01:26:49
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,18 to 29,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",18 to 34,White,Story,85 percent or higher,Landline,1,0.9214,0.5234,0.356,0.5217,2018-11-01 01:30:25
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Support,Oppose,agree,Don't know,Favorable,Unfavorable,disagree,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Unknown/Non-White,Small Towns,85 percent or higher,Cell,1,0.8847,1.381,1.0081,1.3695,2018-11-01 01:31:28
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Oppose,Support,Don't know,Reps. keep House,Don't know,Favorable,disagree,agree,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Small Towns,85 percent or higher,Cell,1,0.97,0.6884,0.4579,0.6798,2018-11-01 01:33:44
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Support,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,agree,30 to 44,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Rural,Less than 50 percent,Cell,1,0.4493,0.8629,1.4951,1.0121,2018-11-01 01:35:14
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Support,Oppose,agree,Reps. keep House,Don't know,Favorable,disagree,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,0,0.9609,0.6217,0.4142,0.5698,2018-11-01 01:35:14
Rep,65 and older,High school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,Dems. take House,Don't know,Don't know,disagree,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.9139,0.9394,0.7052,0.9279,2018-11-01 01:38:59
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown/Non-White,Dutch,50 to 85 percent,Cell,1,0.6588,1.8838,1.7901,1.9547,2018-11-01 01:41:05
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Support,Support,agree,Dems. take House,Favorable,Favorable,agree,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,White,Rural,50 to 85 percent,Landline,1,0.7397,0.6018,0.5561,0.6126,2018-11-01 01:50:15
Rep,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Story,85 percent or higher,Cell,1,0.9589,1.2343,0.6526,1.2135,2018-11-01 01:52:30
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Oppose,Support,Don't know,Reps. keep House,Unfavorable,Favorable,agree,agree,30 to 44,4-year College Grad.,Other,Male,Already voted,Republican,"White, 4-Year College Grads",18 to 34,White,Rural,50 to 85 percent,Cell,1,0.5904,0.9127,0.8507,1.0023,2018-11-01 02:11:54
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,45 to 64,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",50 to 64,Unknown/Non-White,Small Towns,85 percent or higher,Cell,1,0.97,1.3806,0.7765,1.3633,2018-11-01 02:13:51
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,Unknown/Non-White,Rural,85 percent or higher,Cell,1,0.97,1.5741,0.7429,1.535,2018-11-01 02:20:01
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,Don't know,45 to 64,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Story,85 percent or higher,Cell,1,0.936,1.2484,0.633,1.2406,2018-11-01 02:33:24
Dem,65 and older,Some college or trade school,White,Male,White,Approve,Oppose,Support,agree,Dems. take House,Favorable,Unfavorable,agree,agree,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Small Towns,85 percent or higher,Cell,1,0.9569,0.654,0.4126,0.6473,2018-11-01 02:40:27
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,Don't know,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Dutch,85 percent or higher,Landline,1,0.97,0.6851,0.5564,0.668,2018-11-01 23:19:58
4,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Support,Oppose,agree,Reps. keep House,Don't know,Unfavorable,disagree,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rural,85 percent or higher,Landline,1,0.9456,0.5481,0.2648,0.5395,2018-11-01 23:42:02
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Support,Support,agree,Reps. keep House,Favorable,Favorable,disagree,agree,65 and older,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Dutch,50 to 85 percent,Landline,1,0.7947,0.9028,0.8681,0.9277,2018-11-01 23:54:40
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Support,Don't know,disagree,Reps. keep House,Favorable,Favorable,disagree,disagree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Dutch,85 percent or higher,Landline,0.8889,0.886,0.5506,0.3744,0.5292,2018-11-02 00:04:23
Und,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Support,Support,agree,Reps. keep House,Favorable,Favorable,disagree,Don't know,65 and older,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",65 and older,White,Dutch,50 to 85 percent,Landline,0.4444,0.7331,1.1397,1.0051,0.8472,2018-11-02 02:13:13
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Cell,1,0.97,0.6145,0.3664,0.6068,2018-11-02 02:57:37
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",35 to 49,White,Small Towns,85 percent or higher,Cell,1,0.9033,0.5838,0.3803,0.5842,2018-11-02 03:17:28
4,50 to 64,Some college or trade school,White,Female,White,Approve,Oppose,Support,agree,Reps. keep House,Favorable,Unfavorable,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rural,85 percent or higher,Landline,1,0.97,0.9173,0.5899,0.9013,2018-11-02 03:50:22
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,Support,Oppose,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,disagree,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",35 to 49,White,Dutch,50 to 85 percent,Landline,1,0.7691,1.0433,1.2802,1.0796,2018-11-02 04:09:15
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Don't know,Don't know,Don't know,Reps. keep House,Don't know,Unfavorable,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rural,50 to 85 percent,Landline,1,0.7961,1.1197,0.6856,1.1501,2018-11-02 05:12:41
Und,65 and older,Some college or trade school,White,Female,White,Approve,Support,Support,disagree,Reps. keep House,Don't know,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.9279,0.6217,0.4284,0.6189,2018-11-02 05:21:44
Rep,65 and older,High school,White,Female,White,Approve,Don't know,Don't know,agree,Reps. keep House,Don't know,Favorable,disagree,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dutch,Less than 50 percent,Landline,1,0.3891,1.5494,4.4586,1.7774,2018-11-02 05:35:33
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Small Towns,Less than 50 percent,Cell,1,0.3846,0.7568,1.824,0.8704,2018-11-02 05:37:03
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Story,85 percent or higher,Cell,1,0.97,1.0275,0.5625,1.0146,2018-11-02 05:38:51
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Support,Oppose,agree,Dems. take House,Favorable,Unfavorable,agree,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rural,85 percent or higher,Landline,1,0.8982,0.861,0.4796,0.8522,2018-11-02 05:43:30
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rural,85 percent or higher,Landline,1,0.97,0.4747,0.2272,0.4688,2018-11-02 05:48:46
Rep,65 and older,High school,White,Female,White,Approve,Oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,agree,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.8963,0.9888,0.8097,0.991,2018-11-02 05:58:49
Dem,65 and older,High school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,High School Grad. or Less,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Small Towns,85 percent or higher,Landline,1,0.891,1.1544,0.9215,1.1583,2018-11-02 20:55:11
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,Rural,50 to 85 percent,Landline,1,0.7843,0.8772,0.6417,0.8849,2018-11-02 21:03:00
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",18 to 34,Unknown/Non-White,Small Towns,85 percent or higher,Cell,1,0.8955,0.8437,0.5655,0.8457,2018-11-02 21:04:03
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,Small Towns,85 percent or higher,Cell,1,0.9003,0.4112,0.278,0.4068,2018-11-02 21:06:45
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Don't know,NA,NA,NA,Reps. keep House,Unfavorable,Unfavorable,NA,NA,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Unknown/Non-White,Dutch,85 percent or higher,Landline,1,0.962,0.8749,0.6473,0.86,2018-11-02 21:09:45
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Female,Already voted,Democrat,[DO NOT READ] Don't know/Refused,50 to 64,White,Rural,85 percent or higher,Landline,1,0.97,0.8857,0.567,0.8746,2018-11-02 21:10:12
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,Postgraduate Degree,Democratic,Female,Somewhat likely,Republican,"White, 4-Year College Grads",50 to 64,White,Rural,85 percent or higher,Landline,1,0.8765,0.7004,0.3566,0.6504,2018-11-02 21:10:30
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,NA,NA,NA,Don't know,Favorable,Unfavorable,NA,NA,65 and older,Postgraduate Degree,Democratic,Female,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,White,Small Towns,85 percent or higher,Cell,1,0.9149,0.5052,0.2662,0.5043,2018-11-02 21:10:48
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Dutch,50 to 85 percent,Landline,1,0.6479,1.6817,1.6433,1.7501,2018-11-02 21:12:27
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rural,50 to 85 percent,Landline,1,0.7363,1.3087,0.9996,1.3331,2018-11-02 21:13:39
Und,65 and older,Bachelors' degree,White,Female,White,Approve,NA,NA,NA,Dems. take House,Don't know,Favorable,NA,NA,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rural,85 percent or higher,Landline,0.8889,0.9523,0.7849,0.4462,0.7682,2018-11-02 21:15:00
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Cell,1,0.97,0.6145,0.3664,0.6038,2018-11-02 21:21:26
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,NA,NA,NA,Don't know,Favorable,Unfavorable,NA,NA,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Rural,85 percent or higher,Cell,1,0.8715,0.4073,0.2614,0.4047,2018-11-02 21:23:05
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,Rural,Less than 50 percent,Cell,1,0.3518,0.7111,1.7874,0.7636,2018-11-02 21:24:08
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,Story,85 percent or higher,Cell,1,0.9289,0.7043,0.387,0.7009,2018-11-02 21:24:35
Rep,50 to 64,High school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Small Towns,85 percent or higher,Cell,1,0.9208,1.5528,1.2699,1.5325,2018-11-02 21:25:38
Dem,50 to 64,High school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,45 to 64,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",50 to 64,White,Small Towns,85 percent or higher,Cell,1,0.9666,1.4752,1.0737,1.4576,2018-11-02 21:28:29
Rep,65 and older,Some college or trade school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Small Towns,85 percent or higher,Landline,1,0.957,0.6617,0.4624,0.6444,2018-11-02 21:28:29
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Unfavorable,Favorable,NA,NA,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Story,85 percent or higher,Landline,1,0.97,1.1252,0.6354,1.1055,2018-11-02 21:28:38
Dem,65 and older,High school,White,Female,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rural,85 percent or higher,Landline,1,0.97,0.9394,0.6653,0.923,2018-11-02 21:32:21
Rep,65 and older,Grade school,White,Male,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,High School Grad. or Less,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Dutch,85 percent or higher,Landline,1,0.8853,1.0896,1.1164,1.0947,2018-11-02 21:32:21
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,NA,NA,NA,Dems. take House,Don't know,Unfavorable,NA,NA,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Small Towns,50 to 85 percent,Landline,1,0.647,1.1194,0.7734,1.2035,2018-11-02 21:33:06
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,NA,NA,NA,Dems. take House,Favorable,Unfavorable,NA,NA,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Small Towns,85 percent or higher,Landline,1,0.97,0.5256,0.2527,0.519,2018-11-02 21:35:21
Rep,65 and older,High school,White,Female,White,Approve,NA,NA,NA,Reps. keep House,Don't know,Favorable,NA,NA,65 and older,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Small Towns,85 percent or higher,Landline,1,0.97,1.0524,0.8345,1.0262,2018-11-02 21:35:48
