response,ager,educ,file_race,gender,race_eth,approve,COAL,CRIMES,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,yes,disagree,disagree,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,85 percent or higher,Cell,1,0.9346,1.1285,0.5635,1.1454,2018-09-10 20:17:18
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,support,Don't know,Dems. take House,Favorable,Don't know,support,support,yes,disagree,disagree,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9453,0.7258,0.3305,0.7359,2018-09-10 20:25:51
Dem,18 to 34,Bachelors' degree,White,Male,White,Approve,support,disagree,Don't know,Favorable,Unfavorable,oppose,support,yes,agree,disagree,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,18 to 34,White,85 percent or higher,Cell,1,0.8639,0.9813,0.4602,1.0055,2018-09-10 20:25:15
Rep,50 to 64,High school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,disagree,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,Less than 50 percent,Cell,1,0.4792,1.5085,1.8334,1.7093,2018-09-10 20:24:30
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,oppose,support,no,disagree,disagree,disagree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,35 to 49,White,85 percent or higher,Cell,1,0.8809,0.7664,0.4569,0.7832,2018-09-10 20:25:15
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,agree,agree,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,18 to 34,White,Less than 50 percent,Cell,1,0.3913,0.8504,1.2996,1.0037,2018-09-10 20:20:27
Rep,65 and older,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,yes,agree,agree,agree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,50 to 85 percent,Cell,0.8889,0.6975,1.2503,0.8596,1.24,2018-09-10 20:26:36
Rep,35 to 49,Grade school,White,Female,White,Approve,support,disagree,Dems. take House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,disagree,30 to 44,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,35 to 49,White,50 to 85 percent,Cell,1,0.7334,1.7819,1.19,1.871,2018-09-10 20:31:42
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Dems. take House,Favorable,Don't know,oppose,oppose,yes,disagree,disagree,agree,30 to 44,Postgraduate Degree,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",White,Coal Country,35 to 49,White,Less than 50 percent,Cell,0.4444,0.4571,0.4784,0.6854,0.2598,2018-09-10 20:17:54
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Huntington/West,35 to 49,White,50 to 85 percent,Cell,1,0.6461,0.8756,0.4517,0.8965,2018-09-10 20:26:27
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Don't know,oppose,support,no,disagree,agree,disagree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,35 to 49,Unknown/Non-White,85 percent or higher,Cell,1,0.8743,0.7609,0.3934,0.7784,2018-09-10 20:17:18
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Unfavorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.855,0.6254,0.295,0.6418,2018-09-10 20:17:00
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,support,support,no,disagree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Cell,1,0.967,0.6235,0.285,0.6261,2018-09-10 20:23:36
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,agree,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,35 to 49,White,85 percent or higher,Cell,1,0.967,0.6515,0.369,0.6594,2018-09-10 20:25:51
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,no,Don't know,agree,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.9823,0.4841,0.1935,0.4897,2018-09-10 20:29:54
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,oppose,agree,Dems. take House,Favorable,Don't know,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9734,0.4439,0.167,0.4492,2018-09-10 20:21:57
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,no,disagree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,35 to 49,White,85 percent or higher,Cell,1,0.9201,0.6261,0.3162,0.6366,2018-09-10 20:31:06
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Reps. keep House,Favorable,Unfavorable,oppose,oppose,yes,disagree,disagree,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,35 to 49,White,85 percent or higher,Cell,1,0.9725,0.6052,0.2778,0.61240000000000006,2018-09-10 20:31:24
Rep,50 to 64,Bachelors' degree,White,Male,White,Don't know,support,agree,Reps. keep House,Unfavorable,Unfavorable,oppose,support,no,disagree,disagree,disagree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Greenbrier/East,18 to 34,White,50 to 85 percent,Cell,1,0.6529,1.073,0.6156,1.1486,2018-09-10 20:17:00
Und,35 to 49,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,yes,Don't know,disagree,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,Less than 50 percent,Cell,0.5556,0.4691,0.756,1.2437,0.7341,2018-09-10 20:26:00
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,50 to 85 percent,Cell,1,0.756,0.7653,0.4096,0.7996,2018-09-10 20:24:21
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,50 to 85 percent,Cell,1,0.8468,0.9198,0.5366,0.945,2018-09-10 20:30:39
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,disagree,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Coal Country,35 to 49,White,50 to 85 percent,Cell,1,0.8241,1.1608,0.6907,1.1973,2018-09-10 20:28:06
Rep,50 to 64,Some college or trade school,White,Male,Other,Approve,support,disagree,Don't know,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Republican,Nonwhite,Nonwhite,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9525,0.6254,0.2668,0.6123,2018-09-10 20:18:39
Dem,50 to 64,Some college or trade school,White,Male,White,Don't know,support,Don't know,Dems. take House,Favorable,Don't know,oppose,support,yes,agree,agree,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,50 to 64,White,50 to 85 percent,Cell,1,0.5756,0.8271,0.7237,0.9054,2018-09-10 20:31:06
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,Other,Don't know,oppose,Don't know,Don't know,Favorable,Don't know,support,support,no,agree,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Coal Country,35 to 49,White,85 percent or higher,Cell,1,0.8938,1.0237,0.6457,1.0444,2018-09-10 20:19:15
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,support,agree,Reps. keep House,Unfavorable,Don't know,oppose,support,yes,disagree,disagree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,35 to 49,White,85 percent or higher,Cell,1,0.96,0.5215,0.2292,0.5281,2018-09-10 20:26:09
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,support,yes,agree,agree,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.9603,0.5621,0.2487,0.5692,2018-09-10 20:21:30
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Don't know,oppose,oppose,no,agree,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,50 to 64,White,85 percent or higher,Cell,1,0.9591,0.399,0.1593,0.4041,2018-09-10 20:26:09
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Huntington/West,18 to 34,White,85 percent or higher,Cell,1,0.9087,0.5821,0.248,0.583,2018-09-10 20:20:00
Und,50 to 64,High school,White,Male,White,Approve,support,disagree,Don't know,Don't know,Don't know,oppose,oppose,yes,disagree,disagree,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,50 to 64,White,50 to 85 percent,Cell,1,0.6443,1.4543,0.8336,1.5603,2018-09-10 20:23:27
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,support,support,yes,disagree,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Coal Country,35 to 49,White,50 to 85 percent,Cell,1,0.6936,1.1697,0.6043,1.1896,2018-09-10 20:25:33
Dem,50 to 64,Some college or trade school,White,Male,White,Don't know,Don't know,disagree,Don't know,Favorable,Don't know,Don't know,Don't know,yes,Don't know,disagree,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,50 to 64,White,85 percent or higher,Cell,1,0.9412,0.6765,0.3169,0.6862,2018-09-10 20:22:51
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Mr. Ojeda's District,50 to 64,White,50 to 85 percent,Cell,1,0.7922,0.743,0.3464,0.7708,2018-09-10 20:19:24
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,50 to 64,White,85 percent or higher,Cell,1,0.9801,0.4593,0.1787,0.4646,2018-09-10 20:24:21
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,no,disagree,agree,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,18 to 34,White,Less than 50 percent,Cell,1,0.4295,0.8504,1.1857,0.9848,2018-09-10 20:27:12
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,oppose,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Mr. Ojeda's District,50 to 64,White,85 percent or higher,Cell,1,0.9301,0.5458,0.2273,0.5468,2018-09-10 20:25:06
Dem,65 and older,[DO NOT READ] Refused,White,Male,White,Approve,support,agree,Dems. take House,Don't know,Don't know,support,oppose,no,agree,disagree,agree,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,50 to 85 percent,Cell,1,0.756,1.3771,1.2989,1.3909,2018-09-10 20:18:03
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Mr. Ojeda's District,35 to 49,White,50 to 85 percent,Cell,0,0.6528,0.9717,0.891,0.6768,2018-09-10 20:22:42
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Coal Country,35 to 49,Unknown/Non-White,85 percent or higher,Cell,1,0.9586,1.2535,0.5324,1.2695,2018-09-10 20:30:57
Dem,50 to 64,High school,White,Female,Hispanic,Don't know,support,disagree,Reps. keep House,Favorable,Don't know,oppose,support,yes,agree,disagree,Don't know,45 to 64,High School Grad. or Less,Other,Female,Very likely,Republican,Nonwhite,Nonwhite,Coal Country,50 to 64,White,50 to 85 percent,Cell,1,0.7599,1.5046,0.7699,1.5191,2018-09-10 20:21:57
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,disagree,disagree,agree,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Greenbrier/East,35 to 49,White,85 percent or higher,Cell,1,0.9404,0.5029,0.241,0.504,2018-09-10 20:19:42
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,agree,Reps. keep House,Unfavorable,Don't know,oppose,oppose,no,agree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Greenbrier/East,35 to 49,White,85 percent or higher,Cell,1,0.9383,0.5836,0.2965,0.5921,2018-09-10 20:17:00
Dem,50 to 64,High school,Unknown,Female,White,Disapp.,oppose,agree,Dems. take House,Don't know,Don't know,oppose,oppose,yes,agree,agree,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Coal Country,50 to 64,Unknown/Non-White,85 percent or higher,Cell,1,0.9581,2.2826,1.0659,2.2901,2018-09-10 20:20:09
Dem,65 and older,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Favorable,Don't know,oppose,oppose,no,agree,agree,agree,45 to 64,Some College Educ.,Democratic,Female,Not at all likely,Republican,"White, No 4-Year College Degree",White,Huntington/West,50 to 64,White,Less than 50 percent,Cell,0.1111,0.4114,0.7299,1.1931,0.2275,2018-09-10 20:28:33
