response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_edu,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,85 percent or higher,Landline,1,0.9946,0.4258,0.1593,0.4296,2018-09-15 00:59:36
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,agree,Don't know,support,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",West,85 percent or higher,Landline,1,0.8807,1.0977,0.5493,1.0964,2018-09-15 01:01:08
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Don't know,Unfavorable,Favorable,disagree,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,"White, 4-Year College Grads",Northwest,85 percent or higher,Landline,1,0.9903,1.2979,0.5976,1.309,2018-09-15 01:04:53
Dem,35 to 49,Some college or trade school,Black,Female,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Black,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9677,0.6644,0.3871,0.6702,2018-09-15 01:05:11
Dem,65 and older,Bachelors' degree,Black,Female,Black,Oppose,agree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Favorable,disagree,Ted Cruz,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,Black,West,85 percent or higher,Landline,1,0.8922,0.6407,0.2817,0.6397,2018-09-15 01:05:29
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,agree,Disapp.,oppose,Oppose,disagree,Don't know,Don't know,Favorable,agree,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Male,Somewhat likely,or as a member of another political party,"White, 4-Year College Grads",35 to 49,"White, 4-Year College Grads",Inner Loop/Bellaire,Less than 50 percent,Cell,0.8889,0.3209,1.3439,2.0784,1.1567,2018-09-15 01:06:05
Dem,18 to 34,Bachelors' degree,White,Male,Other,Oppose,Don't know,Don't know,oppose,Don't know,disagree,Dems. take House,Don't know,Don't know,disagree,Beto O'Rourke,18 to 29,4-year College Grad.,Other,Male,Not very likely,Democrat,Nonwhite,18 to 34,"White, 4-Year College Grads",Northwest,Less than 50 percent,Cell,0.2222,0.256,2.9157,5.9757,1.1188,2018-09-15 01:06:32
Rep,35 to 49,Bachelors' degree,Hispanic,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Hispanic,Northwest,50 to 85 percent,Cell,1,0.7201,0.8492,0.6598,0.8913,2018-09-15 01:07:53
Dem,35 to 49,Bachelors' degree,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,"White, 4-Year College Grads",Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9434,0.6461,0.3378,0.6531,2018-09-15 01:10:08
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,85 percent or higher,Landline,1,0.9957,0.4216,0.1735,0.4255,2018-09-15 01:10:35
Rep,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Oppose,disagree,Approve,support,Oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,Ted Cruz,30 to 44,Postgraduate Degree,Other,Female,Not very likely,Republican,Nonwhite,35 to 49,Asian,Inner Loop/Bellaire,Less than 50 percent,Cell,0.3333,0.4694,0.9968,1.8113,0.4977,2018-09-15 01:11:29
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,agree,Approve,oppose,Support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,Ted Cruz,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,"White, 4-Year College Grads",Northwest,50 to 85 percent,Cell,1,0.8453,1.1588,0.6094,1.187,2018-09-15 01:11:38
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,"White, 4-Year College Grads",West,85 percent or higher,Landline,1,0.987,1.2648,0.5545,1.2754,2018-09-15 01:15:41
Dem,50 to 64,Bachelors' degree,Hispanic,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Hispanic,Northwest,50 to 85 percent,Cell,1,0.8374,1.0369,0.5752,1.0635,2018-09-15 01:16:17
Dem,50 to 64,High school,Hispanic,Female,Hispanic,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,Beto O'Rourke,45 to 64,High School Grad. or Less,Other,Female,Almost certain,or as a member of another political party,Nonwhite,50 to 64,Hispanic,West,Less than 50 percent,Landline,1,0.196,1.9766,7.882,2.7133,2018-09-15 01:19:26
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,Nonwhite,35 to 49,"White, 4-Year College Grads",Inner Loop/Bellaire,85 percent or higher,Cell,1,0.8566,0.6241,0.3698,0.6381,2018-09-15 01:20:47
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,85 percent or higher,Cell,1,0.986,0.4216,0.1752,0.4252,2018-09-15 01:20:56
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,50 to 85 percent,Cell,1,0.5071,0.8894,0.7749,0.9936,2018-09-15 01:23:38
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Don't know,agree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,"White, No 4-Year College Degree",Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9957,0.6149,0.3916,0.6193,2018-09-15 01:23:38
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,agree,Approve,support,Support,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Inner Loop/Bellaire,85 percent or higher,Landline,1,0.996,1.1001,0.5001,1.1081,2018-09-15 01:26:47
Rep,65 and older,High school,White,Female,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,Ted Cruz,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,"White, No 4-Year College Degree",Northwest,85 percent or higher,Landline,1,0.9513,1.5491,1.2273,1.5646,2018-09-15 01:26:56
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,"White, 4-Year College Grads",Northwest,85 percent or higher,Landline,1,0.9913,0.8079,0.3423,0.8149,2018-09-15 01:27:14
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,"White, No 4-Year College Degree",West,85 percent or higher,Landline,1,0.9653,0.6076,0.4289,0.6131,2018-09-15 01:28:26
Dem,50 to 64,Bachelors' degree,White,Male,White,Support,agree,Disapp.,support,Support,agree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,"White, 4-Year College Grads",West,85 percent or higher,Landline,1,0.9775,1.2648,0.5599,1.2754,2018-09-15 01:28:53
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Support,agree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Don't know,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Hispanic,West,Less than 50 percent,Cell,0.8889,0.1729,2.2613,10,2.6101,2018-09-15 01:29:02
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9981,0.6848,0.2866,0.6915,2018-09-15 01:29:20
Dem,18 to 34,Bachelors' degree,White,Male,Asian,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,"White, 4-Year College Grads",Northwest,85 percent or higher,Cell,1,0.969,1.4156,0.6848,1.4279,2018-09-15 01:31:29
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Support,agree,Disapp.,oppose,Support,disagree,Dems. take House,Don't know,Don't know,agree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,65 and older,Black,West,85 percent or higher,Cell,1,0.98,0.3852,0.1481,0.3884,2018-09-15 01:33:53
Und,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Don't know,Don't know,agree,Don't know,30 to 44,Postgraduate Degree,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",18 to 34,Unknown,Inner Loop/Bellaire,Less than 50 percent,Cell,0,0.2122,2.057,4.3351,0.4653,2018-09-15 01:37:20
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9938,0.4158,0.1519,0.4195,2018-09-15 01:40:11
Rep,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,Ted Cruz,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,Nonwhite,35 to 49,"White, 4-Year College Grads",Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.7602,0.8275,0.5041,0.8611,2018-09-15 01:44:05
Dem,35 to 49,Some college or trade school,White,Male,Black,Oppose,disagree,Approve,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,Beto O'Rourke,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),Nonwhite,35 to 49,"White, No 4-Year College Degree",Inner Loop/Bellaire,85 percent or higher,Cell,1,0.9177,0.9411,0.7571,0.9396,2018-09-15 01:44:23
Rep,50 to 64,Some college or trade school,White,Female,Hispanic,Oppose,agree,Don't know,oppose,Support,agree,Reps. keep House,Don't know,Favorable,disagree,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,or as a member of another political party,Nonwhite,50 to 64,"White, No 4-Year College Degree",West,50 to 85 percent,Landline,0.6667,0.8269,1.2143,0.9528,1.0582,2018-09-15 01:46:17
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,oppose,Support,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,Northwest,Less than 50 percent,Cell,1,0.2901,1.6937,4.7575,2.1249,2018-09-15 01:50:38
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,"White, No 4-Year College Degree",West,85 percent or higher,Landline,1,0.8903,1.1357,0.8397,1.1553,2018-09-15 01:51:23
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Favorable,Favorable,disagree,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,"White, No 4-Year College Degree",Northwest,85 percent or higher,Cell,1,0.9868,1.0214,0.6634,1.0299,2018-09-15 01:51:41
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,85 percent or higher,Cell,1,0.9714,1.1375,0.4932,1.1473,2018-09-15 01:51:41
Dem,35 to 49,High school,Other,Male,Asian,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),Nonwhite,35 to 49,Other,Northwest,85 percent or higher,Cell,1,0.9804,0.9496,0.76,0.9522,2018-09-15 01:52:53
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,Beto O'Rourke,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,50 to 85 percent,Cell,1,0.8395,0.8981,0.4305,0.9208,2018-09-15 01:57:23
Dem,65 and older,Bachelors' degree,White,Female,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,Beto O'Rourke,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,"White, 4-Year College Grads",West,Less than 50 percent,Cell,1,0.1814,1.3939,3.8222,1.9488,2018-09-15 01:57:50
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,Ted Cruz,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,"White, 4-Year College Grads",Northwest,50 to 85 percent,Cell,1,0.6049,1.4936,1.0461,1.6151,2018-09-15 01:58:53
