response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9913,0.7644,0.4469,0.795,2018-09-04 21:48:17
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,Non-White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9836,1.0708,0.652,1.1079,2018-09-04 21:33:44
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,White,Well-educ. Clinton,50 to 85 percent,Cell,0.7778,0.7747,0.7544,0.5449,0.7498,2018-09-04 21:40:29
Rep,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,Non-White,Well-educ. Clinton,Less than 50 percent,Cell,1,0.4617,1.2684,1.8763,1.488,2018-09-04 21:45:53
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9518,0.8857,0.4913,0.9224,2018-09-04 21:57:44
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Don't know,disagree,yes,disagree,disagree,18 to 29,4-year College Grad.,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Trump,Less than 50 percent,Cell,0.5556,0.1429,0.5228,2.6439,0.3562,2018-09-04 21:54:44
Rep,18 to 34,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,yes,agree,disagree,18 to 29,4-year College Grad.,Other,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,White,Less educ. Trump,Less than 50 percent,Cell,0.4444,0.0912,0.6979,2.7947,0.4305,2018-09-04 22:05:15
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,yes,disagree,disagree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9618,0.7822,0.5461,0.814,2018-09-04 22:14:15
Rep,50 to 64,Graduate or Professional Degree,White,Female,Asian,Approve,support,disagree,Reps. keep House,Don't know,Favorable,disagree,no,disagree,disagree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,Nonwhite,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.8316,1.1143,0.7461,1.15,2018-09-04 22:04:39
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,agree,no,agree,disagree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,White,Less-educ. Clinton,50 to 85 percent,Cell,0.6667,0.7264,0.7107,0.5976,0.6851,2018-09-04 22:03:18
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Less educ. Trump,Less than 50 percent,Cell,1,0.4089,0.6979,1.0259,0.8391,2018-09-04 22:10:12
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Don't know,agree,no,disagree,disagree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.907,0.3991,0.2232,0.4177,2018-09-04 22:04:12
Rep,65 and older,High school,Unknown,Female,White,Approve,oppose,agree,Dems. take House,Don't know,Favorable,agree,no,agree,agree,65 and older,High School Grad. or Less,Other,Female,Not very likely,Democrat,"White, No 4-Year College Degree",White,Unknown,Well-educ. Clinton,50 to 85 percent,Cell,1,0.5348,2.2424,2.3442,1.8687,2018-09-04 22:09:00
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,support,agree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,Less-educ. Clinton,Less than 50 percent,Cell,1,0.2663,0.8083,2.1533,1.066,2018-09-04 22:21:01
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9811,0.5847,0.342,0.608,2018-09-04 22:18:01
Dem,50 to 64,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,oppose,agree,Dems. take House,Don't know,Unfavorable,disagree,no,agree,agree,45 to 64,Postgraduate Degree,Democratic,Female,Somewhat likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,Less-educ. Clinton,50 to 85 percent,Cell,0.1111,0.6758,0.8098,0.6334,0.5101,2018-09-04 22:22:31
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,White,Less-educ. Clinton,Less than 50 percent,Cell,0.6667,0.4535,1.225,1.9839,1.1679,2018-09-04 22:26:16
Und,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,White,Less educ. Trump,85 percent or higher,Cell,1,0.9686,1.5825,1.1393,1.6336,2018-09-04 22:27:46
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Favorable,disagree,no,disagree,disagree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9288,0.4003,0.2566,0.4179,2018-09-04 22:21:55
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,agree,agree,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.5463,1.3523,1.4337,1.449,2018-09-04 22:20:25
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Don't know,agree,Reps. keep House,Unfavorable,Favorable,agree,yes,agree,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.8391,1.1427,0.7016,1.2082,2018-09-04 22:29:49
Dem,18 to 34,Graduate or Professional Degree,Other,Male,Asian,Disapp.,oppose,agree,Dems. take House,Favorable,Favorable,agree,no,agree,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Non-White,Less educ. Trump,50 to 85 percent,Cell,1,0.6271,0.938,0.9248,1.0393,2018-09-04 22:17:31
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9891,1.1497,0.632,1.1956,2018-09-04 22:22:46
Rep,35 to 49,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9083,1.2628,0.8278,1.3215,2018-09-04 22:26:58
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,yes,disagree,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9076,0.6276,0.3749,0.6569,2018-09-04 22:53:28
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9921,0.6165,0.3558,0.6413,2018-09-04 22:46:07
Rep,65 and older,High school,White,Female,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,disagree,no,disagree,disagree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.8218,2.257,1.8536,2.3936,2018-09-04 22:59:28
Rep,18 to 34,Some college or trade school,Asian,Female,Asian,Disapp.,support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,no,agree,disagree,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,Nonwhite,Nonwhite,Non-White,Well-educ. Trump,Less than 50 percent,Cell,0.6667,0.4518,1.1207,2.1189,1.1747,2018-09-04 22:48:13
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.7135,0.5059,0.5042,0.5275,2018-09-04 22:56:46
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Don't know,disagree,yes,agree,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.882,1.5496,1.2333,1.596,2018-09-04 23:06:05
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9799,0.8484,0.5217,0.8822,2018-09-04 23:11:02
Und,50 to 64,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,yes,disagree,Don't know,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,White,Less educ. Trump,85 percent or higher,Cell,1,0.9407,1.3178,0.7461,1.3576,2018-09-04 23:10:35
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Trump,85 percent or higher,Landline,1,0.977,0.9273,0.5097,0.9642,2018-09-04 23:04:17
Und,35 to 49,Some college or trade school,White,Female,Black,Disapp.,support,disagree,Don't know,Don't know,Don't know,agree,no,disagree,disagree,30 to 44,Some College Educ.,Other,Female,Not at all likely,Independent (No party),Nonwhite,Nonwhite,White,Less-educ. Clinton,Less than 50 percent,Cell,0,0.361,0.9109,2.0394,0.2469,2018-09-04 23:06:41
Dem,18 to 34,High school,Unknown,Male,White,Don't know,support,disagree,Dems. take House,Don't know,Don't know,agree,yes,agree,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.8512,0.5241,0.435,0.5404,2018-09-04 23:02:56
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,support,disagree,Don't know,Don't know,Favorable,disagree,no,disagree,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.9838,1.2952,0.6004,1.3467,2018-09-04 23:04:44
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,no,disagree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9878,1.2404,0.7896,1.2899,2018-09-04 23:00:50
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,no,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9685,0.7569,0.469,0.7873,2018-09-04 23:07:53
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Favorable,agree,no,disagree,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Unknown,Well-educ. Clinton,Less than 50 percent,Cell,0.8889,0.3786,0.6786,0.937,0.7957,2018-09-04 23:25:38
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.977,0.7512,0.4186,0.7811,2018-09-04 23:16:29
Und,35 to 49,Bachelors' degree,White,Female,White,Don't know,support,disagree,Dems. take House,Don't know,Don't know,Don't know,no,agree,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.694,1.6405,1.2692,1.7149,2018-09-04 23:21:17
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,yes,Don't know,disagree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,White,Less-educ. Clinton,50 to 85 percent,Cell,0.5556,0.7228,1.5958,1.5731,1.4892,2018-09-04 23:22:02
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,oppose,Don't know,Reps. keep House,Don't know,Don't know,Don't know,no,agree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,White,Less-educ. Clinton,50 to 85 percent,Cell,1,0.6013,1.6292,1.5741,1.8187,2018-09-04 23:35:23
Und,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,no,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.9935,0.6083,0.3145,0.6329,2018-09-04 23:17:23
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Non-White,Less-educ. Clinton,85 percent or higher,Landline,1,0.981,0.948,0.5802,0.9803,2018-09-04 23:18:08
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,Don't know,no,disagree,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9796,1.1826,0.5904,1.2297,2018-09-04 23:15:08
Rep,65 and older,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Unfavorable,Unfavorable,agree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9809,1.2369,0.9206,1.2862,2018-09-04 23:45:26
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,Well-educ. Trump,85 percent or higher,Landline,0.4444,0.9634,1.0603,0.6401,0.9971,2018-09-04 23:29:32
Rep,18 to 34,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,yes,agree,agree,30 to 44,Some College Educ.,Republican,Male,Somewhat likely,or as a member of another political party,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,Less-educ. Clinton,50 to 85 percent,Cell,0.6667,0.7079,1.1867,1.3143,1.0123,2018-09-04 23:37:29
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,support,agree,Reps. keep House,Unfavorable,Unfavorable,agree,yes,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9115,1.2404,0.8555,1.2976,2018-09-04 23:42:26
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,agree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9657,0.6824,0.4399,0.71,2018-09-04 23:43:38
Rep,65 and older,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9785,1.0415,0.6724,1.083,2018-09-04 23:32:23
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,oppose,agree,Don't know,Favorable,Favorable,disagree,no,disagree,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9842,0.861,0.5136,0.8953,2018-09-04 23:39:53
Rep,65 and older,High school,White,Female,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,Don't know,no,agree,agree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,White,Less-educ. Clinton,50 to 85 percent,Landline,1,0.838,2.257,1.8177,2.3285,2018-09-04 23:34:56
Rep,65 and older,Bachelors' degree,White,Female,Black,Disapp.,oppose,disagree,Dems. take House,Don't know,Favorable,agree,yes,agree,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9668,0.7512,0.423,0.7815,2018-09-04 23:35:14
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9502,0.5847,0.3531,0.6091,2018-09-04 23:37:38
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,no,agree,disagree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.965,1.082,0.6152,1.1165,2018-09-04 23:37:02
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9726,1.0154,0.6317,1.056,2018-09-04 23:40:02
Rep,18 to 34,High school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,agree,no,agree,disagree,18 to 29,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,White,Well-educ. Trump,Less than 50 percent,Cell,0.7778,0.0772,0.8816,5.2401,1.0881,2018-09-04 23:41:59
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9899,0.4585,0.292,0.4768,2018-09-04 23:55:37
Rep,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,agree,Don't know,Don't know,Don't know,agree,no,disagree,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Less-educ. Clinton,Less than 50 percent,Landline,0.6667,0.3527,1.0237,1.6722,1.1009,2018-09-04 23:42:53
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,yes,disagree,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,White,Less educ. Trump,85 percent or higher,Cell,1,0.9732,0.961,0.5133,0.9995,2018-09-04 23:57:07
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.979,0.4994,0.2961,0.5193,2018-09-05 00:00:25
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,support,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,White,Less educ. Trump,85 percent or higher,Landline,1,0.8696,1.3325,0.9244,1.4021,2018-09-04 23:55:37
