response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIA,CRIMES,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,file_race_noblack,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Hispanic,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.8889,0.1667,0.5838,2.4044,0.7945,2018-09-05 01:46:22
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Disapp.,agree,Dems. take House,Don't know,Don't know,oppose,oppose,no,disagree,agree,disagree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Hispanic,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.6524,0.9115,0.9717,0.9468,2018-09-05 01:59:34
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Don't know,agree,Dems. take House,Don't know,Unfavorable,oppose,support,no,disagree,agree,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Hispanic,Costa Mesa/North,50 to 85 percent,Cell,1,0.8413,1.2536,1.0468,1.3091,2018-09-05 01:50:52
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9709,0.6782,0.4489,0.6969,2018-09-05 02:00:28
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Disapp.,Don't know,disagree,Reps. keep House,Don't know,Favorable,Don't know,Don't know,no,disagree,disagree,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Unknown,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.828,1.3026,1.1282,1.3634,2018-09-05 01:47:16
Und,65 and older,Bachelors' degree,Asian,Male,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,oppose,support,yes,disagree,agree,disagree,45 to 64,4-year College Grad.,Other,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",Asian,Huntington Beach/Fountain Valley,50 to 85 percent,Landline,0,0.7281,2.3951,2.1713,1.023,2018-09-05 02:06:10
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Disapp.,agree,Don't know,Don't know,Unfavorable,oppose,oppose,no,agree,agree,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9783,1.101,0.786,1.1311,2018-09-05 02:07:31
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Disapp.,agree,Dems. take House,Don't know,Don't know,support,support,no,disagree,agree,disagree,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,Hispanic,Costa Mesa/North,Less than 50 percent,Cell,0.7778,0.4289,0.994,1.6281,0.9885,2018-09-05 02:11:34
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,oppose,support,yes,disagree,disagree,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Newport Beach,50 to 85 percent,Cell,1,0.5589,1.0117,1.1367,1.1306,2018-09-05 02:07:22
Dem,18 to 34,High school,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Don't know,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Laguna Beach/South,Less than 50 percent,Cell,0.8889,0.3314,1.0752,2.9745,1.2758,2018-09-05 02:02:43
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Don't know,oppose,support,yes,Don't know,disagree,agree,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Unknown,Laguna Beach/South,Less than 50 percent,Cell,1,0.4172,0.6378,1.1335,0.6989,2018-09-05 02:02:43
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Disapp.,Disapp.,agree,Dems. take House,Don't know,Don't know,Don't know,support,no,disagree,agree,disagree,30 to 44,4-year College Grad.,Democratic,Female,Not at all likely,Democrat,Nonwhite,Asian,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0,0.4558,1.8987,3.0001,0.5646,2018-09-05 00:46:55
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,support,yes,disagree,agree,agree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Costa Mesa/North,50 to 85 percent,Cell,0.7778,0.7505,0.3958,0.3569,0.4056,2018-09-05 02:18:47
Und,18 to 34,Bachelors' degree,White,Female,Hispanic,Disapp.,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,support,yes,disagree,agree,disagree,18 to 29,4-year College Grad.,Other,Female,Not very likely,Independent (No party),Nonwhite,White,Laguna Beach/South,50 to 85 percent,Cell,0.6667,0.5249,0.4925,0.7141,0.3323,2018-09-05 00:49:55
Und,50 to 64,Bachelors' degree,Other,Female,White,Disapp.,Disapp.,agree,Dems. take House,Don't know,Unfavorable,support,support,no,agree,disagree,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",Other Non-White,Newport Beach,85 percent or higher,Landline,1,0.9423,1.6018,1.3714,1.6496,2018-09-05 02:15:56
Und,18 to 34,Some college or trade school,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Favorable,Don't know,oppose,oppose,no,disagree,agree,Don't know,18 to 29,Some College Educ.,Republican,Female,Not at all likely,Republican,"White, No 4-Year College Degree",White,Newport Beach,Less than 50 percent,Cell,0.4444,0.3966,0.7118,1.3283,0.3057,2018-09-05 00:49:01
Dem,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,no,disagree,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8462,0.9188,0.7097,0.9587,2018-09-05 00:56:31
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,oppose,support,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Landline,1,0.9609,0.6782,0.4536,0.6973,2018-09-05 02:24:20
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,yes,agree,agree,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.6902,1.3616,1.2248000000000001,1.4068,2018-09-05 00:58:55
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9177,1.0143,0.7166,1.0317,2018-09-05 00:47:58
Rep,18 to 34,Some college or trade school,White,Female,White,Don't know,Don't know,agree,Dems. take House,Don't know,Don't know,oppose,support,no,agree,disagree,disagree,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Laguna Beach/South,Less than 50 percent,Cell,0.4444,0.3067,0.5146,1.4157,0.3242,2018-09-05 00:55:10
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Approve,agree,Reps. keep House,Unfavorable,Don't know,oppose,oppose,yes,Don't know,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Newport Beach,85 percent or higher,Cell,1,0.9479,1.5229,0.9844,1.5504,2018-09-05 00:56:04
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Disapp.,Don't know,Dems. take House,Favorable,Unfavorable,oppose,oppose,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Unknown,Newport Beach,85 percent or higher,Cell,1,0.9926,0.7628,0.4954,0.7839,2018-09-05 02:24:11
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Favorable,Favorable,Don't know,oppose,no,disagree,disagree,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.5312,0.7583,0.8015,0.8555,2018-09-05 01:14:46
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Asian,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9554,1.2365,0.765,1.272,2018-09-05 02:28:14
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,Hispanic,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.8958,0.5158,0.3409,0.5246,2018-09-05 00:55:01
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,Don't know,Don't know,no,disagree,disagree,disagree,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,0.8889,0.3489,0.434,0.9766,0.4635,2018-09-05 01:00:58
Rep,65 and older,Graduate or Professional Degree,Asian,Male,White,Approve,Approve,disagree,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Asian,Newport Beach,85 percent or higher,Cell,1,0.9868,2.1844,1.2629,2.2441,2018-09-05 00:50:22
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Unfavorable,Don't know,support,support,yes,disagree,agree,disagree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9163,0.6725,0.4791,0.6841,2018-09-05 01:06:22
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Female,White,Disapp.,Disapp.,agree,Don't know,Don't know,Unfavorable,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",Other Non-White,Costa Mesa/North,Less than 50 percent,Cell,1,0.4606,0.8697,1.5378,0.7039,2018-09-05 01:06:58
Und,35 to 49,Bachelors' degree,Asian,Female,White,Approve,Disapp.,disagree,Don't know,Don't know,Unfavorable,support,support,no,disagree,agree,agree,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Asian,Costa Mesa/North,50 to 85 percent,Cell,0.8889,0.8442,2.2706,1.7913,2.1423,2018-09-05 02:39:50
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Disapp.,agree,Dems. take House,Unfavorable,Unfavorable,support,support,no,disagree,disagree,disagree,18 to 29,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Laguna Beach/South,85 percent or higher,Cell,1,0.9412,0.4145,0.3099,0.427,2018-09-05 01:03:31
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Disapp.,agree,Dems. take House,Unfavorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,White,Newport Beach,85 percent or higher,Cell,1,0.91,0.7545,0.4912,0.7799,2018-09-05 01:13:34
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,disagree,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,Nonwhite,Hispanic,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8423,0.8277,0.638,0.8642,2018-09-05 01:01:16
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Don't know,support,support,yes,disagree,disagree,agree,18 to 29,Some College Educ.,Republican,Male,Not at all likely,Republican,"White, No 4-Year College Degree",White,Costa Mesa/North,Less than 50 percent,Cell,0.4444,0.2455,0.5589,1.5691,0.2133,2018-09-05 01:02:55
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Costa Mesa/North,85 percent or higher,Cell,1,0.9024,1.1958,0.7561,1.2373,2018-09-05 01:03:31
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,oppose,support,yes,disagree,disagree,disagree,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,Costa Mesa/North,50 to 85 percent,Cell,1,0.6929,0.791,0.7028,0.7456,2018-09-05 02:32:29
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,support,no,agree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9611,0.7508,0.4996,0.772,2018-09-05 01:14:37
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Approve,disagree,Reps. keep House,Unfavorable,Don't know,oppose,support,no,agree,agree,agree,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Costa Mesa/North,85 percent or higher,Cell,1,0.977,0.8777,0.5137,0.9017,2018-09-05 01:03:31
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,disagree,agree,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Laguna Beach/South,50 to 85 percent,Cell,0.8889,0.8323,0.5565,0.4506,0.5585,2018-09-05 01:04:16
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Male,Other,Approve,Approve,disagree,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,yes,agree,agree,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.915,1.0892,0.8195,1.1252,2018-09-05 01:07:07
Dem,18 to 34,High school,Unknown,Male,Hispanic,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,support,yes,disagree,agree,disagree,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Unknown,Costa Mesa/North,Less than 50 percent,Cell,1,0.4276,0.8446,1.7893,0.9941,2018-09-05 01:08:19
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Don't know,agree,Dems. take House,Don't know,Don't know,support,support,no,disagree,agree,disagree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.3752,0.476,1.0295,0.5296,2018-09-05 01:07:25
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9776,1.1169,0.7935,1.1475,2018-09-05 01:05:55
Und,65 and older,Bachelors' degree,White,Male,White,Disapp.,Disapp.,agree,Don't know,Don't know,Don't know,oppose,oppose,yes,disagree,Don't know,disagree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9093,1.2293,0.8364,1.2504,2018-09-05 02:39:14
Rep,[DO NOT READ] Refused,Bachelors' degree,Other,Male,Other,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Other Non-White,Laguna Beach/South,85 percent or higher,Cell,1,0.9003,1.4775,1.1869,1.5293,2018-09-05 01:06:49
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,disagree,disagree,30 to 44,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,0.6667,0.9334,0.7701,0.5248,0.7289,2018-09-05 01:07:16
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,disagree,Dems. take House,Don't know,Don't know,Don't know,support,yes,disagree,agree,disagree,65 and older,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Newport Beach,50 to 85 percent,Cell,0.8889,0.6756,1.3052,1.3975,1.1836,2018-09-05 01:02:19
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9261,0.7559,0.5481,0.7799,2018-09-05 01:05:37
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Disapp.,agree,Dems. take House,Unfavorable,Unfavorable,oppose,support,no,disagree,disagree,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",Unknown,Costa Mesa/North,50 to 85 percent,Cell,0.8889,0.7721,0.9179,0.8892,0.9216,2018-09-05 01:07:07
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Approve,disagree,Reps. keep House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Newport Beach,85 percent or higher,Cell,1,0.9857,1.3604,0.8475,1.3975,2018-09-05 01:07:07
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Disapp.,agree,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Unknown,Laguna Beach/South,85 percent or higher,Cell,1,0.9821,0.6049,0.4241,0.6214,2018-09-05 01:12:49
