response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Fairfax/Prince William,Less than 50 percent,Cell,1,0.4984,1.1031,1.5099,1.2091,2018-10-11 21:43:18
Rep,50 to 64,Bachelors' degree,Asian,Female,Asian,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Non-White,Fairfax/Prince William,85 percent or higher,Cell,1,0.8994,0.9856,0.6279,0.991,2018-10-11 21:44:57
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Loudon,Less than 50 percent,Landline,1,0.331,0.7482,1.341,0.8917,2018-10-11 21:47:43
Und,18 to 34,Some college or trade school,Asian,Male,Asian,Don't know,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Ms. Wexton's District,50 to 85 percent,Landline,0.6667,0.745,1.1932,0.9047,1.0931,2018-10-11 21:49:58
Rep,[DO NOT READ] Refused,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Loudon,85 percent or higher,Cell,1,0.9424,0.733,0.4524,0.7246,2018-10-11 21:50:07
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Loudon,85 percent or higher,Landline,1,0.9648,0.8565,0.5014,0.8451,2018-10-11 21:50:07
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Loudon,85 percent or higher,Landline,1,0.965,0.6517,0.355,0.643,2018-10-11 21:52:49
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Ms. Wexton's District,50 to 85 percent,Landline,1,0.829,1.2898,0.6898,1.2625,2018-10-11 21:54:01
Dem,65 and older,Grade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,85 percent or higher,Cell,1,0.9011,1.9524,1.4466,1.9063,2018-10-11 21:57:01
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Somewhat likely,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Unknown,West,50 to 85 percent,Cell,0.7778,0.7156,0.9749,0.8298,0.8241,2018-10-11 21:57:37
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Fairfax/Prince William,50 to 85 percent,Landline,1,0.7448,1.4017,0.9101,1.3815,2018-10-11 21:58:49
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Non-White,Loudon,85 percent or higher,Landline,1,0.965,0.6383,0.341,0.6298,2018-10-11 22:01:29
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fairfax/Prince William,50 to 85 percent,Landline,1,0.8118,0.8413,0.552,0.8244,2018-10-11 22:06:08
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Fairfax/Prince William,Less than 50 percent,Landline,1,0.3896,0.9239,1.1618,1.0639,2018-10-11 22:11:14
Und,18 to 34,Bachelors' degree,White,Male,White,Approve,Don't know,Don't know,Favorable,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Loudon,Less than 50 percent,Cell,1,0.0454,0.9005,3.5908,1.4201,2018-10-11 22:12:26
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Loudon,Less than 50 percent,Cell,1,0.2341,0.9005,2.3009,1.0369,2018-10-11 22:13:20
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Unknown,Loudon,50 to 85 percent,Landline,0.5556,0.7576,0.7922,0.5845,0.6279,2018-10-11 22:13:47
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fairfax/Prince William,85 percent or higher,Landline,1,0.965,0.7655,0.4313,0.7553,2018-10-11 22:15:08
Dem,[DO NOT READ] Refused,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Non-White,Loudon,50 to 85 percent,Cell,1,0.7551,0.8602,0.6209,0.8762,2018-10-11 22:15:32
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fairfax/Prince William,85 percent or higher,Landline,1,0.965,0.7655,0.4313,0.7553,2018-10-11 22:17:20
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Loudon,85 percent or higher,Landline,1,0.9411,0.6517,0.364,0.6443,2018-10-11 22:18:14
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Loudon,50 to 85 percent,Cell,1,0.8452,0.6868,0.3795,0.688,2018-10-11 22:19:26
Dem,[DO NOT READ] Refused,Bachelors' degree,Unknown,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,4-year College Grad.,Unknown,Loudon,85 percent or higher,Landline,1,0.9555,1.1105,0.7171,1.0965,2018-10-11 22:21:50
Dem,35 to 49,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Non-White,West,50 to 85 percent,Landline,1,0.8087,1.4637,1.0742,1.4756,2018-10-11 22:22:26
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Loudon,85 percent or higher,Landline,1,0.965,0.7013,0.4592,0.6919,2018-10-11 22:22:49
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Non-White,Loudon,50 to 85 percent,Cell,1,0.5407,0.7519,0.6992,0.8116,2018-10-11 22:26:20
Dem,50 to 64,[DO NOT READ] Refused,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,[DO NOT READ] Don't know/Refused,White,Loudon,50 to 85 percent,Cell,1,0.8244,0.6751,0.4423,0.6611,2018-10-11 22:26:20
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Ms. Wexton's District,Less than 50 percent,Landline,1,0.4994,0.7867,0.9818,0.862,2018-10-11 22:27:05
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Ms. Wexton's District,50 to 85 percent,Cell,1,0.5368,1.0828,1.0923,1.1703,2018-10-11 22:27:46
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,85 percent or higher,Landline,1,0.9632,1.8215,1.2682,1.7974,2018-10-11 22:33:09
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Loudon,85 percent or higher,Landline,1,0.9272,0.8797,0.4153,0.859,2018-10-11 22:33:36
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Fairfax/Prince William,Less than 50 percent,Landline,1,0.3753,1.0579,1.7439,0.9491,2018-10-11 22:36:09
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Loudon,50 to 85 percent,Cell,1,0.7919,1.2937,0.8439,1.3082,2018-10-11 22:36:36
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,West,85 percent or higher,Cell,0.8889,0.932,0.6836,0.3583,0.6721,2018-10-11 22:37:03
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Non-White,Fairfax/Prince William,50 to 85 percent,Landline,1,0.6856,1.0631,0.813,1.1001,2018-10-11 22:38:24
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,85 percent or higher,Landline,1,0.965,1.4104,1.0835,1.3916,2018-10-11 22:40:48
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Fairfax/Prince William,85 percent or higher,Landline,1,0.8874,0.787,0.4354,0.7832,2018-10-11 22:42:18
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Fairfax/Prince William,85 percent or higher,Landline,1,0.965,0.6552,0.3802,0.6501,2018-10-11 22:47:31
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Loudon,50 to 85 percent,Landline,1,0.612,1.454,1.4476,1.5343,2018-10-11 22:47:49
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Loudon,50 to 85 percent,Landline,1,0.8434,1.5176,1.0898,1.4844,2018-10-11 22:49:28
Und,18 to 34,Some college or trade school,Other,Female,Asian,Disapp.,Don't know,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Loudon,50 to 85 percent,Landline,1,0.6047,1.4878,1.7029,1.5734,2018-10-11 22:50:49
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Fairfax/Prince William,85 percent or higher,Cell,1,0.9094,0.7465,0.4127,0.7408,2018-10-11 22:51:07
Und,50 to 64,Bachelors' degree,White,Male,Other,Don't know,Don't know,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Not at all likely,or as a member of another political party,Nonwhite,40 to 64,4-year College Grad.,White,Fairfax/Prince William,85 percent or higher,Landline,0,0.8975,0.8002,0.4462,0.4653,2018-10-11 22:53:13
Dem,35 to 49,Bachelors' degree,White,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,4-year College Grad.,White,Ms. Wexton's District,Less than 50 percent,Landline,1,0.497,1.015,1.2773,1.1131,2018-10-11 22:53:58
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Fairfax/Prince William,85 percent or higher,Landline,1,0.9624,1.2134,0.7798,1.187,2018-10-11 22:55:01
Und,18 to 34,Some college or trade school,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,18 to 39,No 4-year College Degree,Non-White,Loudon,Less than 50 percent,Landline,1,0.303,1.4842,4.0408,1.8034,2018-10-11 22:55:55
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Fairfax/Prince William,85 percent or higher,Landline,1,0.8511,1.0334,0.5498,1.0104,2018-10-11 22:56:22
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,Postgraduate Degree,White,Loudon,85 percent or higher,Cell,1,0.9468,0.6517,0.3618,0.6368,2018-10-11 23:00:25
Rep,[DO NOT READ] Refused,Grade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,West,85 percent or higher,Landline,1,0.965,1.9524,1.3509,1.9105,2018-10-11 23:00:25
Rep,18 to 34,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Fairfax/Prince William,85 percent or higher,Cell,0.4444,0.9224,1.2134,0.8136,1.0489,2018-10-11 23:03:06
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Fairfax/Prince William,50 to 85 percent,Landline,1,0.6167,1.911,1.9324,1.916,2018-10-11 23:03:42
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Ms. Wexton's District,85 percent or higher,Landline,1,0.8596,0.755,0.436,0.7546,2018-10-11 23:03:51
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Ms. Wexton's District,85 percent or higher,Cell,1,0.9365,0.8283,0.4317,0.8193,2018-10-11 23:04:00
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Fairfax/Prince William,Less than 50 percent,Landline,1,0.4429,1.1739,1.8656,1.2247,2018-10-11 23:06:15
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,Less than 50 percent,Landline,1,0.3863,0.985,1.5626,0.883,2018-10-11 23:06:24
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Ms. Wexton's District,85 percent or higher,Landline,1,0.965,1.1085,0.6752,1.0847,2018-10-11 23:07:54
Und,65 and older,High school,Hispanic,Male,Hispanic,Disapp.,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,No 4-year College Degree,Non-White,Fairfax/Prince William,50 to 85 percent,Cell,1,0.83,1.3887,0.8808,1.3947,2018-10-11 23:09:24
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fairfax/Prince William,50 to 85 percent,Landline,1,0.8237,1.0854,0.7044,1.0912,2018-10-11 23:09:33
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,West,50 to 85 percent,Landline,1,0.7789,2.0035,1.9689,2.0312,2018-10-11 23:09:33
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,West,85 percent or higher,Landline,1,0.965,1.5118,1.1562,1.4794,2018-10-11 23:11:12
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Fairfax/Prince William,85 percent or higher,Landline,1,0.9148,1.0828,0.8314,1.0737,2018-10-11 23:12:24
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Fairfax/Prince William,85 percent or higher,Landline,1,0.965,0.6552,0.3802,0.6411,2018-10-11 23:14:21
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Ms. Wexton's District,85 percent or higher,Landline,1,0.965,0.7044,0.3639,0.695,2018-10-11 23:14:30
Dem,18 to 34,Some college or trade school,Black,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Non-White,Loudon,50 to 85 percent,Cell,0,0.718,1.388,1.3438,1.085,2018-10-11 23:14:57
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Loudon,50 to 85 percent,Landline,1,0.7132,0.7486,0.4975,0.7696,2018-10-11 23:16:09
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fairfax/Prince William,85 percent or higher,Cell,1,0.965,0.6526,0.3136,0.6439,2018-10-11 23:18:14
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Non-White,Ms. Wexton's District,50 to 85 percent,Cell,1,0.5744,0.7582,0.6323,0.8093,2018-10-11 23:19:26
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Loudon,Less than 50 percent,Cell,1,0.4663,0.9889,1.1723,1.0981,2018-10-11 23:20:02
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Fairfax/Prince William,85 percent or higher,Landline,0.8889,0.9601,0.8002,0.4171,0.7863,2018-10-11 23:20:11
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Ms. Wexton's District,85 percent or higher,Cell,1,0.8732,0.6755,0.3498,0.6737,2018-10-11 23:22:53
