response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,High school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.97,1.3914,0.8999,1.3613,2018-10-18 21:01:12
Dem,65 and older,Some college or trade school,White,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.97,0.9174,0.6111,0.8975,2018-10-18 21:04:40
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8765,0.9438,0.6702,0.9331,2018-10-18 21:15:55
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",18 to 39,White,"Virginia Beach, Clinton",Less than 50 percent,Cell,0.4444,0.2081,1.2253,3.0597,0.7119,2018-10-18 21:29:13
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9227,1.1893,0.8939,1.1685,2018-10-18 21:29:49
Rep,50 to 64,Graduate or Professional Degree,Black,Female,White,Don't know,Don't know,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Black,"Rest, Trump",Less than 50 percent,Landline,0.7778,0.3055,0.661,0.8619,0.6425,2018-10-18 21:32:33
Dem,65 and older,Bachelors' degree,White,Female,White,Approve,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",Less than 50 percent,Landline,1,0.3388,0.9143,1.2944,0.9832,2018-10-18 21:40:30
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),Nonwhite,18 to 39,Other Non-White,"Rest, Trump",50 to 85 percent,Cell,1,0.8462,1.3231,0.6735,1.2834,2018-10-18 21:41:11
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8757,1.9816,1.5344,1.9869,2018-10-18 21:41:51
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.8877,0.8119,0.3371,0.8014,2018-10-18 21:42:14
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Unknown,"Rest, Trump",Less than 50 percent,Cell,1,0.3466,0.4496,0.4515,0.5262,2018-10-18 21:44:47
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.734,0.2322,0.7128,2018-10-18 21:45:53
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.8305,0.2644,0.8125,2018-10-18 21:45:53
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Unknown,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.6406,1.0287,0.4963,1.0681,2018-10-18 21:46:35
Rep,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.7628,0.4011,0.7463,2018-10-18 21:46:38
Dem,[DO NOT READ] Refused,High school,White,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,White,"Rest, Clinton",Less than 50 percent,Landline,0.4444,0.2682,1.2839,3.4671,1.1723,2018-10-18 21:47:23
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.8414,0.9083,0.5506,0.903,2018-10-18 21:47:41
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9271,0.9438,0.6337,0.9141,2018-10-18 21:48:08
Dem,18 to 34,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,18 to 39,White,"Rest, Trump",Less than 50 percent,Landline,1,0.1265,2.1144,10.16,2.703,2018-10-18 21:48:26
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,Unknown,"Rest, Trump",85 percent or higher,Cell,0.7778,0.8549,0.8026,0.2841,0.755,2018-10-18 21:49:41
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,or as a member of another political party,"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9422,0.6827,0.2915,0.6748,2018-10-18 21:50:14
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Clinton",Less than 50 percent,Landline,1,0.2051,0.6095,1.3635,0.8029,2018-10-18 21:52:41
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.6082,0.1872,0.595,2018-10-18 21:59:23
Dem,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 39,Black,"Rest, Clinton",Less than 50 percent,Cell,1,0.3634,1.2117,2.4537,1.4042,2018-10-18 21:59:36
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.97,1.1391,0.7528,1.1144,2018-10-18 22:00:03
Und,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",40 to 64,White,"Rest, Trump",Less than 50 percent,Landline,1,0.3935,0.7151,0.7611,0.815,2018-10-18 22:00:20
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",50 to 85 percent,Landline,1,0.8131,1.1706,0.7898,1.1377,2018-10-18 22:00:48
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",40 to 64,Unknown,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.7697,1.0794,0.6911,1.0526,2018-10-18 22:03:12
Und,[DO NOT READ] Refused,Bachelors' degree,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,40 to 64,Black,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.5746,1.1159,0.5818,1.1182,2018-10-18 22:07:24
Dem,65 and older,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,Black,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.9343,1.1156,0.7024,1.0807,2018-10-18 22:08:09
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.7015,1.7127,1.7277,1.7511,2018-10-18 22:10:05
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Landline,1,0.6357,1.0127,0.9176,1.0886,2018-10-18 22:15:29
Und,35 to 49,Graduate or Professional Degree,Other,Male,White,Approve,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Other Non-White,"Rest, Trump",50 to 85 percent,Cell,0.8889,0.6641,0.7238,0.4338,0.6955,2018-10-18 22:21:04
Rep,65 and older,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Clinton",50 to 85 percent,Landline,1,0.772,0.7262,0.2677,0.7312,2018-10-18 22:22:16
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.9164,0.8764,0.3847,0.8617,2018-10-18 22:22:25
Dem,65 and older,Graduate or Professional Degree,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Other Non-White,"Rest, Clinton",85 percent or higher,Landline,1,0.9583,0.5862,0.2695,0.5739,2018-10-18 22:24:49
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Unknown,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.97,0.5775,0.1844,0.565,2018-10-18 22:25:16
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.8551,1.1379,0.7118,1.1288,2018-10-18 22:26:46
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9297,0.6539,0.2617,0.642,2018-10-18 22:29:01
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9156,0.8671,0.3161,0.8397,2018-10-18 22:32:28
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,"Rest, Trump",50 to 85 percent,Cell,1,0.7719,1.1131,0.7214,1.1207,2018-10-18 22:32:55
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.5862,1.4106,0.9342,1.4878,2018-10-18 22:33:40
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",85 percent or higher,Cell,1,0.94,1.0594,0.5784,1.0265,2018-10-18 22:37:13
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,"Rest, Trump",50 to 85 percent,Cell,1,0.8168,0.9167,0.309,0.9153,2018-10-18 22:40:40
Und,65 and older,Some college or trade school,Hispanic,Male,Asian,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Other Non-White,"Virginia Beach, Clinton",Less than 50 percent,Landline,1,0.4797,0.7742,1.6181,0.848,2018-10-18 22:47:40
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.6772,0.8712,0.4386,0.896,2018-10-18 22:48:52
Dem,35 to 49,Bachelors' degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Black,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.97,0.8745,0.3189,0.8556,2018-10-18 22:49:46
Dem,65 and older,Bachelors' degree,Hispanic,Female,Asian,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Other Non-White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9229,1.265,0.7297,1.2429,2018-10-18 22:51:52
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Clinton",85 percent or higher,Landline,1,0.9622,1.6547,0.9892,1.5569,2018-10-18 22:52:46
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.97,1.1718,0.7463,1.1464,2018-10-18 22:55:37
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.609,0.8414,0.4585,0.7495,2018-10-18 22:57:25
Und,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,18 to 39,Black,"Virginia Beach, Clinton",Less than 50 percent,Cell,1,0.4982,1.3447,2.1479,1.3704,2018-10-18 22:57:43
Dem,35 to 49,Bachelors' degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,40 to 64,White,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.4274,0.7688,0.9413,0.8616,2018-10-18 22:58:28
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9138,1.4429,0.8961,1.4345,2018-10-18 23:01:10
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.9315,0.7551,0.2397,0.7412,2018-10-18 23:02:48
Dem,65 and older,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,65 and older,White,"Rest, Trump",Less than 50 percent,Landline,1,0.333,1.4151,2.7825,1.5258,2018-10-18 23:02:57
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.97,0.9323,0.4005,0.9121,2018-10-18 23:03:15
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.1076,0.3643,1.0836,2018-10-18 23:04:16
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.97,1.2235,0.8431,1.197,2018-10-18 23:04:54
Dem,35 to 49,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,40 to 64,Black,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.7279,0.88,0.385,0.8943,2018-10-18 23:11:03
Und,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Don't know,Don't know,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.8634,1.1977,0.8345,1.1865,2018-10-18 23:11:21
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",50 to 85 percent,Landline,1,0.7817,1.2043,0.8143,1.2103,2018-10-18 23:14:39
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,"Rest, Trump",Less than 50 percent,Landline,0.7778,0.4922,0.6641,0.5137,0.676,2018-10-18 23:15:24
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.97,1.1718,0.7463,1.1464,2018-10-18 23:15:51
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.8445,0.9857,0.4011,0.9562,2018-10-18 23:20:17
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9676,1.5286,0.9976,1.4957,2018-10-18 23:22:14
Rep,65 and older,High school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,Unknown,"Rest, Trump",85 percent or higher,Landline,0.8889,0.97,1.5589,0.6694,1.5067,2018-10-18 23:22:23
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Clinton",Less than 50 percent,Landline,0.8889,0.3421,0.8425,1.7554,0.9462,2018-10-18 23:24:47
Rep,35 to 49,High school,White,Male,Black,Approve,Reps. keep House,Don't know,Favorable,30 to 44,High School Grad. or Less,Other,Male,Very likely,Independent (No party),Nonwhite,40 to 64,White,"Rest, Trump",50 to 85 percent,Cell,1,0.5563,1.452,1.334,1.4603,2018-10-18 23:25:41
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.5017,1.1156,0.764,1.2113,2018-10-18 23:25:41
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.7652,0.9128,1.727,2018-10-18 23:25:59
Dem,65 and older,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Black,"Rest, Clinton",85 percent or higher,Landline,1,0.9355,0.5373,0.1746,0.5205,2018-10-18 23:26:53
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Unknown,"Virginia Beach, Clinton",Less than 50 percent,Cell,0.7778,0.3217,0.7945,0.8611,0.7686,2018-10-18 23:30:11
