response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.97,0.8947,0.4817,0.8804
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,Less than 50 percent,Landline,1,0.4532,0.5511,0.5451,0.6185
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,50 to 85 percent,Cell,1,0.7761,0.9788,0.7039,0.9978
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,West,50 to 85 percent,Landline,1,0.5281,0.6894,0.6507,0.7069
Dem,65 and older,Bachelors' degree,White,Female,White,Approve,Don't know,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Cell,1,0.8945,0.9963,0.5801,0.9956
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.893,1.1066,0.6979,1.1061
Und,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Landline,0.5556,0.97,1.1655,0.6233,1.1206
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,Approve,Dems. take House,Unfavorable,Unfavorable,Beto O'Rourke,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,Other Non-White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.962,0.8014,0.4768,0.7949
Rep,35 to 49,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Other Non-White,Northwest,50 to 85 percent,Landline,1,0.5049,1.0819,1.1343,1.1889
Dem,50 to 64,Graduate or Professional Degree,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,40 to 64,Postgraduate Degree,Other Non-White,West,85 percent or higher,Cell,1,0.97,0.7217,0.4311,0.7155
Und,18 to 34,Some college or trade school,Other,Male,Asian,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,30 to 44,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,Other Non-White,Northwest,85 percent or higher,Cell,1,0.9531,1.1874,0.9204,1.1666
Dem,50 to 64,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Favorable,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,White,West,Less than 50 percent,Cell,1,0.4661,0.7948,0.9405,0.887
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,West,85 percent or higher,Cell,1,0.9624,0.978,0.5821,0.9758
Dem,18 to 34,Bachelors' degree,Hispanic,Male,White,Disapp.,Don't know,Favorable,Unfavorable,Beto O'Rourke,18 to 29,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,Hispanic,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.8754,1.3689,0.9951,1.344
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Northwest,85 percent or higher,Cell,1,0.9559,0.8034,0.3828,0.7972
Dem,18 to 34,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Inner Loop/Bellaire,Less than 50 percent,Cell,1,0.2828,1.1417,2.5106,1.4158
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,Less than 50 percent,Landline,1,0.442,0.6447,0.6513,0.6762
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Northwest,85 percent or higher,Cell,0.7778,0.9037,1.0024,0.6234,0.983
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Landline,1,0.97,1.2889,0.7897,1.2778
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,West,85 percent or higher,Landline,1,0.97,1.0121,0.5972,1.0033
Dem,65 and older,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,65 and older,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,1.1263,0.6029,1.1083
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Northwest,85 percent or higher,Landline,1,0.97,1.2692,0.7745,1.2489
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.7933,0.3792,0.7865
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Northwest,50 to 85 percent,Cell,1,0.7418,1.2465,0.9739,1.2798
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,40 to 64,Postgraduate Degree,White,Northwest,50 to 85 percent,Cell,1,0.6638,0.8522,0.5242,0.8525
Rep,65 and older,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,Other Non-White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,1.1043,0.6797,1.0867
Dem,65 and older,High school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Hispanic,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,1.8024,1.2441,1.796
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,85 percent or higher,Cell,1,0.9023,0.9966,0.6296,0.9948
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Northwest,Less than 50 percent,Cell,1,0.4996,0.5631,0.5474,0.5813
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Landline,0.8889,0.97,0.9403,0.5078,0.9288
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Other Non-White,Northwest,Less than 50 percent,Cell,1,0.2851,0.7855,1.5824,0.9724
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Northwest,85 percent or higher,Landline,1,0.9374,1.2889,0.8172,1.2922
Dem,18 to 34,Some college or trade school,Asian,Male,Asian,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,18 to 29,Some College Educ.,Other,Male,Very likely,or as a member of another political party,Nonwhite,18 to 39,No 4-year College Degree,Other Non-White,Northwest,Less than 50 percent,Cell,0.7778,0.2488,0.9799,2.8134,0.985
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Beto O'Rourke,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,50 to 85 percent,Cell,1,0.5177,1.0945,1.0752,1.1971
Dem,18 to 34,High school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,White,Inner Loop/Bellaire,85 percent or higher,Cell,0.5556,0.8548,1.3835,1.0411,1.2691
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,1.4847,0.9024,1.461
Dem,65 and older,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,Postgraduate Degree,White,West,85 percent or higher,Landline,1,0.97,0.73,0.3827,0.7183
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,4-year College Grad.,Unknown,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9204,1.3423,0.7996,1.3369
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.9472,0.7018,0.3446,0.6893
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Northwest,85 percent or higher,Cell,1,0.97,0.7105,0.3862,0.7043
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.97,0.9403,0.5078,0.9369
Rep,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,Nonwhite,40 to 64,Postgraduate Degree,White,Northwest,50 to 85 percent,Cell,1,0.5899,0.8522,0.5899,0.9098
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,18 to 29,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Northwest,50 to 85 percent,Landline,0.4444,0.5314,1.202,1.4289,0.8068
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,1.1263,0.6029,1.1223
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.8278,0.3917,0.8206
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Northwest,85 percent or higher,Landline,1,0.97,0.8226,0.3843,0.8156
Dem,65 and older,Graduate or Professional Degree,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Hispanic,Northwest,85 percent or higher,Landline,1,0.97,0.8389,0.4549,0.8317
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,1.1263,0.6029,1.1223
Und,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Favorable,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9582,1.4571,0.901,1.4456
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,West,Less than 50 percent,Cell,1,0.398,0.7948,1.1016,0.9158
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,Ted Cruz,18 to 29,Some College Educ.,Other,Male,Not at all likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Northwest,Less than 50 percent,Cell,0.4444,0.344,0.976,1.7714,0.3874
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Cell,1,0.8955,0.9259,0.5395,0.8717
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,50 to 85 percent,Cell,1,0.8417,0.9093,0.552,0.916
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,0.8278,0.3917,0.8145
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,White,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.6015,0.8112,0.6601,0.8196
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Northwest,50 to 85 percent,Cell,1,0.7315,0.6978,0.4924,0.718
Dem,65 and older,Bachelors' degree,Black,Male,White,Approve,Dems. take House,Don't know,Favorable,Ted Cruz,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,Other Non-White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9139,1.0672,0.6978,1.0637
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,85 percent or higher,Cell,1,0.8883,0.9811,0.5729,0.9812
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Male,Very likely,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,West,50 to 85 percent,Cell,1,0.6731,0.8202,0.6294,0.8195
Dem,[DO NOT READ] Refused,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,Inner Loop/Bellaire,85 percent or higher,Cell,1,0.97,1.4405,1.0026,1.4281
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Don't know,Don't know,Unfavorable,Beto O'Rourke,18 to 29,Some College Educ.,Other,Male,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Northwest,Less than 50 percent,Landline,0.6667,0.4107,0.976,1.4835,0.7222
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Northwest,50 to 85 percent,Landline,1,0.8359,1.1418,0.6282,1.1513
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.9638,0.691,0.3321,0.6853
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,White,West,85 percent or higher,Landline,1,0.97,0.7188,0.3753,0.7126
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Northwest,85 percent or higher,Cell,0.4444,0.8647,1.3711,0.9247,1.0828
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.9558,0.8699,0.4191,0.8548
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.9476,0.4392,0.9394
