response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Bachelors' degree,Unknown,Male,Other,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,NA,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,50 to 64,Less Rep,Unknown,Dakota,50 to 85 percent,Cell,1,0.7088,1.2008,1.1524,1.3058,2018-09-29 17:28:57
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,NA,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Less Rep,White,Dakota,85 percent or higher,Cell,1,0.9665,2.688,2.213,2.8025,2018-09-29 17:31:57
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,NA,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Less Dem,White,Dakota,50 to 85 percent,Cell,1,0.6665,0.8964,1.1418,0.9849,2018-09-29 17:45:04
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,NA,agree,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Less Dem,White,Rest,Less than 50 percent,Cell,1,0.3855,0.2841,0.4628,0.3464,2018-09-29 17:45:40
Rep,65 and older,Bachelors' degree,Unknown,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Less Rep,Unknown,Dakota,85 percent or higher,Landline,1,0.997,1.0417,0.7114,1.0867,2018-09-29 17:48:38
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Less Rep,White,Dakota,85 percent or higher,Landline,1,0.9952,1.0892,0.869,1.1358,2018-09-29 17:49:59
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Most Rep,White,Dakota,85 percent or higher,Landline,1,0.9974,0.92490000000000006,0.7082,0.9649,2018-09-29 17:51:20
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Less Dem,White,Scott,50 to 85 percent,Landline,1,0.8233,0.8759,0.9381,0.9306,2018-09-29 17:51:56
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,Most Dem,White,Dakota,50 to 85 percent,Cell,0.8889,0.7943,0.9348,1.0043,0.9841,2018-09-29 17:52:32
Rep,18 to 34,Bachelors' degree,White,Female,White,support,Disapp.,Check,support,Reps. keep House,Unfavorable,Favorable,Don't know,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,Less Dem,White,Dakota,50 to 85 percent,Cell,1,0.8443,0.7202,0.6782,0.7625,2018-09-29 17:54:20
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9947,0.4735,0.3389,0.4938,2018-09-29 18:02:46
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,NA,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Less Rep,White,Rest,85 percent or higher,Cell,1,0.8591,1.112,0.9144,1.1745,2018-09-29 18:03:58
Dem,50 to 64,High school,White,Female,White,oppose,Don't know,Don't know,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",50 to 64,Most Dem,White,Dakota,85 percent or higher,Cell,0.8889,0.962,2.6239,2.3021,2.6349,2018-09-29 18:05:55
Und,65 and older,High school,White,Female,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,Don't know,65 and older,High School Grad. or Less,Other,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,Less Rep,White,Rest,85 percent or higher,Landline,0.4444,0.8854,2.6091,2.2169,2.2143,2018-09-29 18:09:31
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Most Dem,White,Dakota,85 percent or higher,Cell,1,0.9451,1.0176,0.8459,1.0628,2018-09-29 18:10:16
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Not at all likely,Republican,"White, 4-Year College Grads",18 to 34,Most Dem,White,Dakota,50 to 85 percent,Cell,0,0.507,0.4851,0.6674,0.1553,2018-09-29 18:12:13
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Unfavorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9626,0.9391,0.8435,0.9708,2018-09-29 18:12:45
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Check,support,Reps. keep House,Favorable,Favorable,Don't know,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Less Rep,White,Dakota,85 percent or higher,Landline,1,0.946,1.1583,0.9727,1.2096,2018-09-29 18:17:23
Rep,50 to 64,Some college or trade school,White,Male,White,oppose,Don't know,Don't know,support,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,Less Rep,White,Dakota,50 to 85 percent,Cell,1,0.7073,1.2556,1.4081,1.3131,2018-09-29 18:18:44
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Less Dem,White,Dakota,85 percent or higher,Cell,1,0.9989,0.8191,0.6434,0.8551,2018-09-29 18:19:20
Dem,50 to 64,Bachelors' degree,White,Male,White,support,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Most Rep,White,Scott,85 percent or higher,Cell,1,0.9208,0.9339,0.811,0.9779,2018-09-29 18:23:41
Und,35 to 49,High school,Asian,Female,Asian,oppose,Don't know,Check,oppose,Dems. take House,Don't know,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,Nonwhite,35 to 49,Most Dem,Non-White,Rest,Less than 50 percent,Cell,0.4444,0.2875,2.2334,5.5148,1.4171,2018-09-29 18:24:26
Dem,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Don't know,Do not believe,agree,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,Less Dem,White,Scott,Less than 50 percent,Cell,1,0.3551,0.5511,1.3098,0.627,2018-09-29 18:24:35
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Less Dem,Unknown,Scott,50 to 85 percent,Cell,1,0.591,1.1146,1.5146,1.2507,2018-09-29 18:25:29
Dem,50 to 64,Bachelors' degree,Other,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Less Rep,Non-White,Rest,85 percent or higher,Landline,1,0.9106,1.0937,0.7714,1.1467,2018-09-29 18:26:41
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,NA,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Most Rep,White,Scott,85 percent or higher,Cell,1,0.9661,0.9037,0.742,0.9422,2018-09-29 18:26:41
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,NA,agree,30 to 44,Some College Educ.,Other,Female,Not at all likely,Republican,"White, No 4-Year College Degree",35 to 49,Less Dem,White,Scott,85 percent or higher,Cell,0.4444,0.9203,1.0405,1.0519,0.8253,2018-09-29 18:30:44
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,support,Approve,Support,support,Reps. keep House,Favorable,Favorable,Don't know,agree,30 to 44,4-year College Grad.,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",18 to 34,Most Rep,Unknown,Rest,85 percent or higher,Cell,0.7778,0.9355,0.8809,0.668,0.8603,2018-09-29 18:31:38
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,NA,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Most Rep,White,Rest,85 percent or higher,Landline,1,0.9279,0.5519,0.39,0.5774,2018-09-29 18:31:38
Dem,65 and older,High school,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Less Rep,White,Scott,85 percent or higher,Landline,1,0.9796,2.7142,2.3083,2.8283,2018-09-29 18:32:23
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Less Dem,White,Rest,85 percent or higher,Landline,1,0.9942,0.7235,0.5353,0.7544,2018-09-29 18:32:50
Rep,18 to 34,Some college or trade school,White,Male,White,oppose,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,agree,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,Less Dem,White,Dakota,50 to 85 percent,Cell,0.7778,0.6915,0.8532,1.0897,0.8926,2018-09-29 18:37:11
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Don't know,Believe,agree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Democrat,Nonwhite,35 to 49,Most Rep,Non-White,Dakota,50 to 85 percent,Cell,1,0.8132,1.4064,1.4074,1.497,2018-09-29 18:37:56
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Most Dem,Non-White,Dakota,50 to 85 percent,Cell,1,0.8327,0.559,0.4447,0.593,2018-09-29 18:41:23
Dem,35 to 49,Bachelors' degree,Other,Male,Black,oppose,Disapp.,Check,oppose,Dems. take House,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,35 to 49,Less Rep,Non-White,Scott,85 percent or higher,Cell,1,0.8995,1.2901,1.0568,1.3546,2018-09-29 18:42:08
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Less Dem,White,Dakota,85 percent or higher,Cell,1,0.9258,0.5036,0.3875,0.527,2018-09-29 18:43:11
Dem,18 to 34,Bachelors' degree,Unknown,Female,Hispanic,oppose,Don't know,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,18 to 34,Less Dem,Unknown,Dakota,Less than 50 percent,Cell,1,0.4058,0.5394,0.9262,0.6509,2018-09-29 18:47:00
Rep,50 to 64,High school,Unknown,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Less Rep,Unknown,Dakota,50 to 85 percent,Cell,1,0.6515,3.5106,4.0804,3.8723,2018-09-29 18:49:17
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Less Dem,White,Dakota,85 percent or higher,Landline,1,0.9864,0.8546,0.7426,0.8905,2018-09-29 18:50:20
Und,65 and older,Bachelors' degree,White,Male,White,support,Disapp.,Check,Don't know,Don't know,Unfavorable,Unfavorable,Don't know,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Less Rep,White,Dakota,85 percent or higher,Landline,1,0.9986,0.9501,0.6855,0.9917,2018-09-29 18:59:09
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,Don't know,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,Most Dem,White,Dakota,85 percent or higher,Landline,1,0.9639,0.9363,0.8045,0.9681,2018-09-29 18:59:09
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Less Rep,White,Scott,85 percent or higher,Landline,1,0.8659,1.0299,0.973,1.0866,2018-09-29 19:01:17
Dem,65 and older,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Less Rep,Unknown,Dakota,85 percent or higher,Landline,1,0.9691,1.0417,0.7319,1.0859,2018-09-29 19:02:39
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Don't know,Favorable,Don't know,Don't know,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Less Rep,White,Scott,85 percent or higher,Landline,1,0.9625,0.9872,0.7681,1.0295,2018-09-29 19:04:27
Und,[DO NOT READ] Refused,High school,Unknown,Male,[DO NOT READ] Don't know/Refused,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,agree,30 to 44,High School Grad. or Less,Other,Male,Not at all likely,or as a member of another political party,[DO NOT READ] Don't know/Refused,18 to 34,Less Dem,Unknown,Dakota,Less than 50 percent,Cell,0,0.4349,1.6297,2.9302,0.4801,2018-09-29 19:08:03
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Less Rep,White,Dakota,85 percent or higher,Cell,0.8889,0.8949,1.1839,0.9962,1.2079,2018-09-29 19:10:00
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Most Rep,White,Rest,85 percent or higher,Landline,1,0.9529,0.8442,0.6394,0.881,2018-09-29 19:11:48
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Less Rep,White,Scott,85 percent or higher,Landline,1,0.9265,0.8984,0.7199,0.9401,2018-09-29 19:12:24
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,oppose,Approve,Check,support,Dems. take House,Favorable,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Democrat,Nonwhite,50 to 64,Less Dem,Non-White,Scott,50 to 85 percent,Cell,1,0.8306,0.5949,0.4984,0.6312,2018-09-29 19:16:00
Rep,50 to 64,Grade school,White,Male,White,Don't know,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,Most Rep,White,Rest,Less than 50 percent,Cell,0.4444,0.4725,1.8808,2.9397,1.0633,2018-09-29 19:16:54
Dem,35 to 49,Some college or trade school,White,Male,White,support,Approve,Support,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,30 to 44,Some College Educ.,Republican,Male,Not at all likely,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,Most Rep,White,Rest,85 percent or higher,Landline,0.1111,0.948,1.2059,1.0573,0.9149,2018-09-29 19:21:06
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Less Rep,White,Dakota,85 percent or higher,Cell,1,0.8942,0.5206,0.3898,0.547,2018-09-29 19:21:15
Dem,18 to 34,High school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,18 to 29,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,Most Dem,White,Dakota,50 to 85 percent,Cell,1,0.7282,2.3069,2.7093,2.4068,2018-09-29 19:23:12
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,Less Dem,White,Dakota,50 to 85 percent,Cell,0.7778,0.7724,0.9851,1.0922,0.8959,2018-09-29 19:23:21
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Most Rep,White,Scott,50 to 85 percent,Cell,1,0.8252,1.2322,1.3397,1.3088,2018-09-29 19:24:51
Dem,65 and older,Graduate or Professional Degree,White,Female,Hispanic,oppose,Disapp.,Don't know,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Less Dem,White,Dakota,85 percent or higher,Landline,0.4444,0.9218,0.4582,0.3511,0.4579,2018-09-29 19:25:18
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,Disapp.,Check,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Less Dem,White,Rest,85 percent or higher,Landline,1,0.9917,0.8295,0.6779,0.8646,2018-09-29 19:26:48
Dem,50 to 64,Grade school,Hispanic,Male,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,50 to 64,Less Rep,Non-White,Dakota,50 to 85 percent,Cell,1,0.742,3.5711,3.6335,3.8549,2018-09-29 19:29:03
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Most Dem,White,Dakota,85 percent or higher,Cell,1,0.978,0.5517,0.3883,0.5749,2018-09-29 19:30:38
Und,35 to 49,Bachelors' degree,White,Male,White,support,Disapp.,Check,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",35 to 49,Most Rep,White,Scott,85 percent or higher,Landline,1,0.9288,1.0589,0.9446,1.0927,2018-09-29 19:32:30
Rep,50 to 64,Graduate or Professional Degree,White,Female,Black,oppose,Disapp.,Check,oppose,Dems. take House,Unfavorable,Unfavorable,Believe,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Less Dem,White,Dakota,50 to 85 percent,Cell,1,0.8224,0.5282,0.4532,0.5613,2018-09-29 19:32:57
Dem,50 to 64,High school,White,Female,White,oppose,Disapp.,Support,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",50 to 64,Less Rep,White,Dakota,85 percent or higher,Cell,0.4444,0.9648,2.9539,2.4572,2.6104,2018-09-29 19:32:57
Rep,50 to 64,Some college or trade school,White,Female,White,support,Don't know,Check,support,Reps. keep House,Unfavorable,Don't know,Do not believe,disagree,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",50 to 64,Less Dem,White,Scott,85 percent or higher,Landline,0.7778,0.9543,0.9176,0.8635,0.9074,2018-09-29 19:36:50
Dem,18 to 34,Bachelors' degree,White,Male,White,support,Disapp.,Check,oppose,Reps. keep House,Don't know,Don't know,Don't know,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,Less Rep,White,Rest,85 percent or higher,Cell,1,0.9526,0.8494,0.6269,0.8865,2018-09-29 19:37:08
Dem,50 to 64,Graduate or Professional Degree,White,Female,Asian,support,Disapp.,Check,support,Reps. keep House,Don't know,Don't know,Believe,agree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,or as a member of another political party,Nonwhite,50 to 64,Most Dem,White,Dakota,85 percent or higher,Landline,1,0.9203,0.5517,0.4127,0.5693,2018-09-29 19:40:17
