response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,18 to 39,Postgraduate Degree,Hispanic,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.7632,0.5778,0.7404,2018-10-29 23:20:25
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",50 to 85 percent,Cell,1,0.6093,0.9245,0.8538,0.9901,2018-10-29 23:21:46
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.8635,0.9091,0.5064,0.9019,2018-10-29 23:23:25
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,0.7769,0.4697,0.7538,2018-10-29 23:23:52
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.9114,0.4262,0.8842,2018-10-29 23:27:28
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.97,1.1357,0.8183,1.0882,2018-10-29 23:27:46
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.6157,0.2924,0.5943,2018-10-29 23:30:40
Und,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,1.3636,0.9175,1.3229,2018-10-29 23:33:04
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,4-year College Grad.,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9325,1.3661,0.8513,1.3347,2018-10-29 23:34:25
Rep,18 to 34,Some college or trade school,Unknown,Female,White,Don't know,Reps. keep House,Don't know,Favorable,Ted Cruz,18 to 29,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Unknown,"Rest, Trump",Less than 50 percent,Cell,1,0.4532,1.3008,1.6277,1.4215,2018-10-29 23:34:52
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,40 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.7439,0.3766,0.7217,2018-10-29 23:36:13
Rep,35 to 49,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Dallas, Trump",50 to 85 percent,Landline,1,0.7717,1.0224,0.7045,1.0387,2018-10-29 23:37:07
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,"Rest, Clinton",85 percent or higher,Cell,1,0.8532,1.0551,0.8823,1.0329,2018-10-29 23:42:49
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.9209,0.9114,0.449,0.8927,2018-10-29 23:43:34
Rep,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.9364,1.5137,1.029,1.4652,2018-10-29 23:48:32
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Rest, Clinton",85 percent or higher,Landline,1,0.97,0.582,0.3478,0.5647,2018-10-29 23:50:11
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.5523,0.2381,0.5331,2018-10-29 23:50:38
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Trump",85 percent or higher,Cell,1,0.97,1.2362,0.7145,1.1993,2018-10-29 23:54:59
Und,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Already voted,[DO NOT READ] Refused,Nonwhite,40 to 64,No 4-year College Degree,Other Non-White,"Dallas, Clinton",Less than 50 percent,Cell,1,0.3462,1.2979,2.3363,1.5988,2018-10-29 23:55:44
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Dallas, Clinton",50 to 85 percent,Cell,0.8889,0.5598,1.1473,1.0773,1.0993,2018-10-29 23:57:05
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Trump",50 to 85 percent,Cell,0.8889,0.7957,0.6231,0.3291,0.5874,2018-10-29 23:58:17
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.97,1.5098,1.0507,1.4648,2018-10-29 23:58:53
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,30 to 44,Some College Educ.,Republican,Female,Already voted,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,"Rest, Trump",85 percent or higher,Landline,1,0.97,1.304,0.8877,1.2651,2018-10-30 00:02:00
Rep,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,White,"Rest, Trump",50 to 85 percent,Cell,1,0.8288,0.8152,0.499,0.8013,2018-10-30 00:02:20
3,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,30 to 44,Some College Educ.,Other,Female,Very likely,or as a member of another political party,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,"Rest, Trump",Less than 50 percent,Cell,0.8889,0.3953,1.3241,2.4481,1.3096,2018-10-30 00:04:42
Dem,18 to 34,Some college or trade school,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,18 to 39,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,1.2788,0.8892,1.2407,2018-10-30 00:05:09
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,1.0443,0.5808,1.008,2018-10-30 00:09:30
Und,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Rest, Trump",50 to 85 percent,Landline,1,0.836,1.1347,0.7125,1.1334,2018-10-30 00:12:12
Dem,35 to 49,High school,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,High School Grad. or Less,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Trump",Less than 50 percent,Cell,1,0.3809,0.8181,1.0872,0.983,2018-10-30 00:18:16
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.5628,0.2467,0.5433,2018-10-30 00:24:34
3,18 to 34,Some college or trade school,White,Male,White,Approve,Don't know,Don't know,Don't know,Beto O'Rourke,18 to 29,Some College Educ.,Republican,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,"Dallas, Trump",50 to 85 percent,Cell,0,0.749,1.2521,1.1112,0.6205,2018-10-30 00:29:40
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Landline,1,0.97,0.9288,0.4416,0.9011,2018-10-30 00:31:40
Rep,35 to 49,High school,Other,Male,White,Disapp.,Don't know,Unfavorable,Favorable,Ted Cruz,30 to 44,High School Grad. or Less,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Other Non-White,"Dallas, Clinton",Less than 50 percent,Cell,1,0.3842,0.982,1.379,1.1774,2018-10-30 00:32:16
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.85,1.3394,0.9643,1.3332,2018-10-30 00:34:22
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,Don't know,30 to 44,Some College Educ.,Other,Female,Not at all likely,Republican,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,"Rest, Clinton",Less than 50 percent,Cell,0.7778,0.1307,0.9058,4.2234,0.4322,2018-10-30 00:34:40
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Clinton",50 to 85 percent,Landline,1,0.5842,0.7784,0.8136,0.8419,2018-10-30 00:35:34
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Male,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Dallas, Trump",85 percent or higher,Cell,1,0.9549,0.62,0.3149,0.6032,2018-10-30 00:38:07
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.908,0.6289,0.3057,0.6108,2018-10-30 00:40:05
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,4-year College Grad.,Republican,Female,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.2045,0.6506,1.1686,2018-10-30 00:40:31
Und,65 and older,Graduate or Professional Degree,Unknown,Male,Asian,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,Very likely,Democrat,Nonwhite,65 and older,Postgraduate Degree,Unknown,"Rest, Clinton",50 to 85 percent,Cell,0.4444,0.75,0.6451,0.3887,0.5433,2018-10-30 00:46:59
3,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Don't know,Favorable,Unfavorable,Don't know,18 to 29,4-year College Grad.,Republican,Male,Very likely,or as a member of another political party,Nonwhite,18 to 39,4-year College Grad.,Hispanic,"Rest, Clinton",Less than 50 percent,Cell,1,0.4209,0.833,1.477,0.8564,2018-10-30 00:47:09
Und,50 to 64,Some college or trade school,Unknown,Male,Hispanic,Approve,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,40 to 64,No 4-year College Degree,Unknown,"Rest, Clinton",85 percent or higher,Cell,1,0.97,0.8603,0.4234,0.8305,2018-10-30 00:47:09
Und,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Unknown,"Dallas, Trump",Less than 50 percent,Cell,1,0.2815,0.7958,1.4671,1.0361,2018-10-30 00:51:49
Dem,18 to 34,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,Postgraduate Degree,Other,Male,Already voted,Independent (No party),Nonwhite,18 to 39,Postgraduate Degree,White,"Dallas, Clinton",50 to 85 percent,Cell,1,0.6113,0.8601,0.8154,0.9205,2018-10-30 00:53:09
Dem,[DO NOT READ] Refused,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 39,4-year College Grad.,Other Non-White,"Rest, Clinton",85 percent or higher,Landline,1,0.9041,1.5133,1.3547,1.4459,2018-10-30 00:56:36
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Dallas, Clinton",85 percent or higher,Cell,1,0.97,0.6225,0.2961,0.604,2018-10-30 00:56:54
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,40 to 64,4-year College Grad.,Hispanic,"Rest, Clinton",85 percent or higher,Cell,1,0.941,0.7781,0.4563,0.759,2018-10-30 00:57:30
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,Nonwhite,40 to 64,Postgraduate Degree,Unknown,"Rest, Trump",85 percent or higher,Cell,1,0.8715,0.5426,0.202,0.5373,2018-10-30 00:58:42
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,0.5523,0.2381,0.5358,2018-10-30 00:59:18
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.2045,0.6506,1.1627,2018-10-30 01:02:37
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Dems. take House,Unfavorable,Favorable,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,"Dallas, Clinton",85 percent or higher,Landline,1,0.97,1.1453,0.6509,1.1112,2018-10-30 01:05:28
Rep,35 to 49,High school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,High School Grad. or Less,Republican,Male,Already voted,Republican,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,"Dallas, Trump",50 to 85 percent,Cell,1,0.6786,1.1096,1.0336,1.1596,2018-10-30 01:07:04
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,"Dallas, Trump",50 to 85 percent,Cell,0.7778,0.7131,1.0156,0.9094,0.9813,2018-10-30 01:07:25
Rep,35 to 49,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,Ted Cruz,30 to 44,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,"Rest, Clinton",Less than 50 percent,Cell,1,0.4219,0.9471,1.7873000000000001,1.1087,2018-10-30 01:07:58
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Cell,1,0.8883,1.2014,0.7513,1.17,2018-10-30 01:08:25
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,Ted Cruz,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,"Rest, Trump",85 percent or higher,Landline,1,0.8647,1.2014,0.7719,1.1917,2018-10-30 01:09:37
Dem,35 to 49,Bachelors' degree,Unknown,Female,Hispanic,Disapp.,Don't know,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,18 to 39,4-year College Grad.,Unknown,"Rest, Trump",85 percent or higher,Cell,1,0.97,1.4768,0.7866,1.4328,2018-10-30 01:11:46
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,"Rest, Clinton",85 percent or higher,Cell,1,0.8704,1.0524,0.9146,1.0424,2018-10-30 01:12:37
