response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIAWI1,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,IMPEACH,MUELLER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Don't know,Approve,disagree,Don't know,Don't know,Reps. keep House,Don't know,Don't know,Support,Support,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Lean Trump,Unknown,Rest,85 percent or higher,Cell,0.5556,0.9193,0.7293,0.5577,0.7011,2018-09-11 22:24:16
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Rest,50 to 85 percent,Cell,1,0.6819,1.163,0.8164,1.0832,2018-09-11 22:29:13
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Unfavorable,Don't know,Support,Support,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9771,0.8644,0.436,0.8784,2018-09-11 22:35:33
Rep,50 to 64,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,Probably Clinton,White,Rest,85 percent or higher,Cell,1,0.9941,0.5091,0.3661,0.5163,2018-09-11 22:41:24
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Disapp.,agree,agree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Support,18 to 29,Some College Educ.,Other,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",White,18 to 34,Lean Clinton,White,Rest,50 to 85 percent,Cell,0.8889,0.7025,0.8239,0.7198,0.8205,2018-09-11 22:41:42
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Approve,disagree,Don't know,disagree,Dems. take House,Unfavorable,Favorable,Oppose,Support,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Lean Trump,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.9707,0.8367,0.404,0.8504,2018-09-11 22:45:09
Und,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Unfavorable,Don't know,Support,Support,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Lean Trump,Unknown,Racine/Kenosha Cty.,85 percent or higher,Cell,1,0.9881,0.6654,0.4169,0.6736,2018-09-11 22:45:54
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Postgraduate Degree,Other,Male,[DO NOT READ] Don't know/Refused,Republican,"White, 4-Year College Grads",White,50 to 64,Lean Trump,Unknown,Racine/Kenosha Cty.,85 percent or higher,Cell,0.5556,0.9257,0.7191,0.5886,0.64,2018-09-11 22:47:15
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Unfavorable,Oppose,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.981,1.2592,0.6443,1.2795,2018-09-11 22:47:51
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Approve,disagree,Don't know,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,45 to 64,Some College Educ.,Other,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,50 to 64,Lean Clinton,White,Rest,85 percent or higher,Landline,0.8889,0.9827,0.6712,0.532,0.6763,2018-09-11 22:50:42
Rep,65 and older,High school,White,Female,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9915,0.971,0.6928,0.987,2018-09-11 22:50:51
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Disapp.,disagree,agree,agree,Don't know,Unfavorable,Don't know,Support,Support,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Probably Trump,Unknown,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9979,0.8275,0.5888,0.8411,2018-09-11 22:51:10
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Approve,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Lean Clinton,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.9876,0.7396,0.4971,0.7516,2018-09-11 22:51:19
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Oppose,45 to 64,High School Grad. or Less,Other,Male,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,Lean Clinton,Non-White,Racine/Kenosha City,85 percent or higher,Cell,0.8889,0.9232,2.1163,1.209,2.1104,2018-09-11 22:53:15
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Don't know,Oppose,Oppose,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Lean Clinton,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9608,0.5366,0.3693,0.5457,2018-09-11 22:54:46
Dem,65 and older,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Unfavorable,Oppose,Oppose,65 and older,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,0.5556,0.9344,0.8637,0.4882,0.7951,2018-09-11 22:55:48
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Approve,agree,disagree,Don't know,Reps. keep House,Unfavorable,Favorable,Oppose,Don't know,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Rest,85 percent or higher,Landline,1,0.8768,0.6195,0.456,0.6236,2018-09-11 22:56:06
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Disapp.,disagree,disagree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Racine/Kenosha City,85 percent or higher,Cell,1,0.9946,0.5435,0.3085,0.5526,2018-09-11 23:01:11
Dem,65 and older,High school,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.978,1.4752,1.089,1.4991,2018-09-11 23:01:29
Dem,50 to 64,High school,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,White,Racine/Kenosha Cty.,50 to 85 percent,Cell,1,0.5904,1.8704,2.8259,2.0471,2018-09-11 23:03:44
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Approve,agree,agree,agree,Don't know,Don't know,Favorable,Oppose,Support,18 to 29,4-year College Grad.,Other,Female,Not very likely,Republican,"White, 4-Year College Grads",White,18 to 34,Lean Clinton,White,Milwaukee Suburbs,50 to 85 percent,Cell,0.3333,0.5698,0.6816,0.6375,0.3719,2018-09-11 23:03:44
Und,35 to 49,Some college or trade school,White,Female,White,Disapp.,Approve,agree,agree,agree,Reps. keep House,Favorable,Don't know,Support,Support,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,35 to 49,Lean Clinton,White,Rest,85 percent or higher,Cell,0.7778,0.8743,0.7927,0.5568,0.7312,2018-09-11 23:08:23
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9754,0.8637,0.47,0.8777,2018-09-11 23:08:32
Rep,65 and older,High school,White,Female,White,Approve,Don't know,Don't know,Don't know,agree,Reps. keep House,Don't know,Favorable,Oppose,Don't know,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Rest,85 percent or higher,Landline,1,0.9574,1.8029,0.9581,1.8168,2018-09-11 23:10:11
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Approve,agree,agree,agree,Reps. keep House,Don't know,Don't know,Oppose,Support,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Lean Clinton,White,Rest,Less than 50 percent,Cell,0.7778,0.3821,1.1932,4.3501,0.9669,2018-09-11 23:12:35
Dem,65 and older,High school,White,Female,White,Disapp.,Disapp.,disagree,disagree,disagree,Dems. take House,Don't know,Don't know,Oppose,Support,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.9757,0.8822,0.6543,0.8966,2018-09-11 23:13:11
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,Lean Clinton,Unknown,Rest,85 percent or higher,Cell,1,0.9548,0.5737,0.3393,0.5838,2018-09-11 23:15:22
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,Unknown,Rest,85 percent or higher,Landline,1,0.936,0.4361,0.3405,0.4446,2018-09-11 23:16:52
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Support,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Probably Trump,White,Rest,85 percent or higher,Cell,0.8889,0.8579,1.0787,0.5065,1.0991,2018-09-11 23:17:19
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,Probably Trump,Non-White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9537,1.4131,0.6007,1.4236,2018-09-11 23:18:13
Und,18 to 34,High school,White,Male,White,Disapp.,Approve,disagree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Support,18 to 29,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Lean Trump,White,Milwaukee Suburbs,Less than 50 percent,Cell,0.1111,0.396,2.4875,10,0.9672,2018-09-11 23:19:25
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Don't know,Don't know,Reps. keep House,Don't know,Don't know,Oppose,Don't know,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Racine/Kenosha Cty.,85 percent or higher,Landline,0.7778,0.9357,0.8165,0.5968,0.808,2018-09-11 23:19:25
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,18 to 29,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9051,0.8145,0.5906,0.8333,2018-09-11 23:20:28
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,Oppose,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.8894,0.7167,0.5531,0.7348,2018-09-11 23:20:28
Rep,65 and older,High school,White,Male,White,Approve,Approve,disagree,disagree,disagree,Reps. keep House,Unfavorable,Unfavorable,Oppose,Oppose,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Lean Clinton,White,Rest,85 percent or higher,Cell,1,0.9312,1.1164,0.8353,1.1386,2018-09-11 23:21:13
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Don't know,Don't know,Oppose,Don't know,65 and older,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Lean Clinton,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.9543,0.5825,0.3654,0.5868,2018-09-11 23:23:55
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Disapp.,disagree,disagree,agree,Dems. take House,Favorable,Don't know,Support,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Probably Clinton,White,Racine/Kenosha City,85 percent or higher,Landline,1,0.9474,0.5444,0.3343,0.5543,2018-09-11 23:25:34
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Disapp.,agree,disagree,disagree,Reps. keep House,Favorable,Unfavorable,Oppose,Oppose,45 to 64,Postgraduate Degree,Other,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,50 to 64,Lean Trump,Unknown,Rest,85 percent or higher,Cell,1,0.9459,0.7275,0.5611,0.7325,2018-09-11 23:27:58
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Lean Trump,White,Milwaukee Suburbs,Less than 50 percent,Cell,1,0.4013,1.471,5.2022,1.7348,2018-09-11 23:27:58
Dem,65 and older,High school,White,Female,White,Don't know,Disapp.,Don't know,disagree,Don't know,Dems. take House,Favorable,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.9903,1.7822,0.9558,1.7834,2018-09-11 23:30:13
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Approve,Don't know,agree,agree,Dems. take House,Unfavorable,Favorable,Support,Oppose,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Rest,50 to 85 percent,Landline,1,0.7068,0.9667,0.8987,1.0256,2018-09-11 23:32:12
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Probably Trump,White,Racine/Kenosha Cty.,50 to 85 percent,Cell,0.7778,0.6461,1.2479,0.8057,1.281,2018-09-11 23:34:18
Dem,65 and older,High school,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,High School Grad. or Less,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Lean Trump,White,Rest,50 to 85 percent,Landline,1,0.7278,1.7421,1.748,1.7725,2018-09-11 23:34:45
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Don't know,Don't know,Support,Support,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,White,Rest,50 to 85 percent,Cell,0.4444,0.8094,1.0473,1.0372,0.8474,2018-09-11 23:36:06
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Lean Clinton,Unknown,Rest,85 percent or higher,Landline,1,0.9147,0.5936,0.5609,0.5972,2018-09-11 23:39:15
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,65 and older,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Lean Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9136,0.68,0.4652,0.6841,2018-09-11 23:40:00
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Lean Clinton,White,Rest,85 percent or higher,Landline,1,0.9896,0.6384,0.4418,0.6488,2018-09-11 23:40:00
Und,65 and older,Some college or trade school,White,Female,White,Approve,Approve,Don't know,disagree,disagree,Don't know,Don't know,Favorable,Oppose,Oppose,65 and older,Some College Educ.,Democratic,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Racine/Kenosha City,85 percent or higher,Landline,1,0.9781,0.5444,0.3255,0.5532,2018-09-11 23:41:39
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Lean Clinton,White,Milwaukee Suburbs,50 to 85 percent,Cell,1,0.7829,0.7637,0.5737,0.7729,2018-09-11 23:42:42
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Disapp.,agree,disagree,disagree,Reps. keep House,Unfavorable,Unfavorable,Oppose,Oppose,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Racine/Kenosha City,85 percent or higher,Landline,1,0.9883,0.5444,0.3227,0.5532,2018-09-11 23:42:51
Rep,50 to 64,High school,White,Male,White,Don't know,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Don't know,Oppose,Oppose,45 to 64,High School Grad. or Less,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,0.5556,0.8771,1.6905,1.2823,1.4854,2018-09-11 23:43:45
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Approve,disagree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Racine/Kenosha City,50 to 85 percent,Landline,1,0.8106,1.3909,0.8897,1.4444,2018-09-11 23:44:12
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,65 and older,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Lean Trump,White,Racine/Kenosha City,85 percent or higher,Landline,1,0.9893,0.8637,0.4463,0.8745,2018-09-11 23:46:01
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,Don't know,Don't know,agree,Reps. keep House,Don't know,Don't know,Oppose,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,Lean Trump,White,Rest,85 percent or higher,Cell,1,0.8543,1.0543,0.7985,1.0868,2018-09-11 23:47:04
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Lean Trump,Unknown,Racine/Kenosha Cty.,85 percent or higher,Landline,1,0.938,0.7824,0.7663,0.7974,2018-09-11 23:47:04
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,Lean Clinton,Non-White,Racine/Kenosha Cty.,50 to 85 percent,Cell,1,0.8184,1.2297,0.9324,1.2413,2018-09-11 23:48:16
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Disapp.,disagree,agree,Don't know,Dems. take House,Favorable,Unfavorable,Support,Support,45 to 64,Some College Educ.,Republican,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Cell,1,0.9751,0.9357,0.6084,0.9447,2018-09-11 23:52:19
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,disagree,agree,disagree,Dems. take House,Favorable,Don't know,Oppose,Support,45 to 64,Some College Educ.,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Milwaukee Suburbs,85 percent or higher,Landline,1,0.9919,0.9381,0.5802,0.9506,2018-09-11 23:53:22
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Lean Trump,Unknown,Rest,50 to 85 percent,Cell,1,0.8412,0.9241,0.6804,0.9546,2018-09-11 23:56:49
