response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,18 to 39,White,85 percent or higher,Cell,1,0.8615,1.5182,1.0813,1.5613,2018-11-01 22:29:46
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Cell,1,0.9445,0.9509,0.4629,0.9673,2018-11-01 22:31:02
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9745,0.9703,0.7147,0.9783,2018-11-01 22:32:59
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.8859,1.2933,0.9663,1.3251,2018-11-01 22:38:14
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,65 and older,White,50 to 85 percent,Landline,1,0.8053,1.0045,0.5311,1.0429,2018-11-01 22:42:44
Und,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Don't know,Don't know,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Landline,1,0.9895,0.8505,0.4577,0.8634,2018-11-01 22:42:53
Rep,65 and older,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,65 and older,White,85 percent or higher,Landline,1,0.8578,0.9933,0.4008,1.022,2018-11-01 22:42:53
Dem,35 to 49,Bachelors' degree,White,Male,Black,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,Fayette,40 to 64,White,50 to 85 percent,Cell,1,0.7631,0.8435,0.4173,0.8829,2018-11-01 22:44:14
Rep,50 to 64,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,Fayette,40 to 64,White,Less than 50 percent,Landline,0.5556,0.4168,0.8638,1.3177,0.6087,2018-11-01 22:47:00
Dem,35 to 49,Bachelors' degree,Unknown,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,Fayette,40 to 64,Unknown,50 to 85 percent,Landline,0.4444,0.5002,0.7301,0.6512,0.61,2018-11-01 22:49:33
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,40 to 64,Unknown,85 percent or higher,Cell,1,0.9612,0.7662,0.3964,0.7783,2018-11-01 22:49:42
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,White,85 percent or higher,Cell,1,0.9829,0.9689,0.3869,0.9784,2018-11-01 22:51:03
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,40 to 64,Unknown,50 to 85 percent,Cell,1,0.67,0.7586,0.6973,0.8111,2018-11-01 22:54:03
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,White,85 percent or higher,Landline,0,0.9802,0.8766,0.3601,0.8356,2018-11-01 22:55:33
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Cell,1,0.9861,0.8505,0.4593,0.8632,2018-11-01 22:57:12
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,40 to 64,White,85 percent or higher,Cell,1,0.9845,0.7762,0.5733,0.7878,2018-11-01 23:02:46
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Fayette,18 to 39,White,85 percent or higher,Cell,1,0.8839,1.271,0.747,1.2776,2018-11-01 23:06:40
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9805,0.8068,0.5012,0.8188,2018-11-01 23:07:32
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,18 to 39,White,50 to 85 percent,Cell,1,0.7121,0.9993,0.5393,1.0576,2018-11-01 23:08:55
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Cell,1,0.9875,0.9509,0.4427,0.9651,2018-11-01 23:12:31
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Don't know,Unfavorable,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Rest,18 to 39,Unknown,85 percent or higher,Landline,1,0.9079,0.7597,0.5909,0.7634,2018-11-01 23:22:49
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Fayette,40 to 64,White,85 percent or higher,Landline,1,0.9924,0.8852,0.3753,0.8988,2018-11-01 23:23:51
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9415,0.8972,0.6273,0.913,2018-11-01 23:24:19
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Fayette,40 to 64,Unknown,50 to 85 percent,Cell,1,0.7138,0.7252,0.4544,0.7672,2018-11-01 23:25:12
Rep,35 to 49,High school,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Landline,1,0.9877,1.3322,0.9825,1.3468,2018-11-01 23:26:42
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Fayette,65 and older,White,Less than 50 percent,Landline,1,0.2717,0.9527,2.1404,1.2207,2018-11-01 23:27:00
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9766,0.8454,0.4157,0.8581,2018-11-01 23:29:07
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,White,85 percent or higher,Landline,1,0.8541,0.7793,0.3838,0.8024,2018-11-01 23:29:42
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,18 to 39,Unknown,50 to 85 percent,Cell,0.8889,0.8011,0.9411,0.6453,0.9641,2018-11-01 23:32:17
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Landline,0.7778,0.9894,0.8397,0.4085,0.8356,2018-11-01 23:42:29
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,18 to 39,White,85 percent or higher,Cell,1,0.9582,1.2118,0.8078,1.2313,2018-11-01 23:43:32
Rep,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.8802,0.8454,0.4612,0.8499,2018-11-01 23:46:52
Dem,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,40 to 64,White,50 to 85 percent,Cell,1,0.7919,0.9245,0.752,0.9623,2018-11-01 23:48:04
Dem,35 to 49,Bachelors' degree,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,Black,85 percent or higher,Cell,1,0.9796,0.7176,0.5547,0.7283,2018-11-01 23:48:04
Und,18 to 34,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Not very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Inner Bluegrass,18 to 39,White,50 to 85 percent,Cell,0,0.8413,1.0806,0.5383,0.6527,2018-11-01 23:48:31
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Fayette,65 and older,Black,85 percent or higher,Cell,1,0.9207,1.4956,1.1586,1.5253,2018-11-01 23:51:04
Rep,65 and older,High school,White,Female,White,Don't know,Don't know,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,White,50 to 85 percent,Landline,1,0.5339,1.4244,1.4347,1.5861,2018-11-01 23:52:52
Rep,50 to 64,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,40 to 64,White,85 percent or higher,Landline,1,0.9785,0.8123,0.5045,0.8195,2018-11-01 23:55:07
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,Fayette,65 and older,White,85 percent or higher,Cell,1,0.8626,1.1865,0.5623,1.2384,2018-11-01 23:55:16
Und,65 and older,High school,White,Male,White,Approve,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.9824,1.2447,0.6077,1.2568,2018-11-01 23:55:34
Dem,65 and older,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Rest,65 and older,White,85 percent or higher,Cell,0,0.9831,0.6697,0.3172,0.6532,2018-11-01 23:58:16
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,18 to 39,White,Less than 50 percent,Cell,1,0.3233,1.0148,2.263,1.2512,2018-11-02 00:01:59
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,18 to 39,White,85 percent or higher,Cell,1,0.9566,1.1876,0.5079,1.2068,2018-11-02 00:08:08
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,50 to 85 percent,Landline,1,0.5092,1.186,1.0024,1.3326,2018-11-02 00:09:38
Rep,35 to 49,Some college or trade school,Black,Female,White,Disapp.,Don't know,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,18 to 39,Black,85 percent or higher,Landline,1,0.9529,1.1578,1.0544,1.1769,2018-11-02 00:10:50
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,White,85 percent or higher,Landline,1,0.8758,1.4949,1.0229,1.5339,2018-11-02 00:11:08
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,White,85 percent or higher,Cell,1,0.9933,0.9185,0.2936,0.9326,2018-11-02 00:13:05
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,18 to 39,White,85 percent or higher,Cell,1,0.9457,1.0145,0.5802,1.0319,2018-11-02 00:14:26
Dem,18 to 34,Some college or trade school,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Fayette,18 to 39,White,50 to 85 percent,Cell,1,0.5825,1.3076,1.2291,1.4328,2018-11-02 00:15:02
Rep,50 to 64,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9854,0.9338,0.4929,0.9477,2018-11-02 00:22:50
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,18 to 39,White,85 percent or higher,Landline,1,0.9704,1.0897,0.6638,1.1063,2018-11-02 00:23:17
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Inner Bluegrass,18 to 39,White,50 to 85 percent,Cell,1,0.6428,1.2487,1.2142,1.3446,2018-11-02 00:23:51
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,White,Less than 50 percent,Cell,1,0.4765,0.7137,1.2006,0.8122,2018-11-02 00:31:05
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Inner Bluegrass,40 to 64,White,85 percent or higher,Cell,1,0.9804,0.9703,0.7104,0.9847,2018-11-02 00:31:18
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Cell,1,0.9763,0.9573,0.4498,0.9717,2018-11-02 00:34:36
Rep,35 to 49,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Rest,18 to 39,White,Less than 50 percent,Landline,0.7778,0.1951,0.7169,2.8099,0.7586,2018-11-02 00:41:12
Dem,50 to 64,Some college or trade school,Other,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Fayette,40 to 64,Other Non-White,85 percent or higher,Landline,0.6667,0.9833,1.516,1.2973,1.5145,2018-11-02 00:44:30
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,40 to 64,White,85 percent or higher,Landline,1,0.9955,0.8505,0.4549,0.8639,2018-11-02 00:48:41
