response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Bachelors' degree,White,Female,Black,oppose,Disapp.,Dems. take House,Favorable,Don't know,Oppose,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,White,Allentown/Bethlehem,Less than 50 percent,Cell,1,0.4835,0.6825,0.727,0.7723,2018-09-22 15:16:52
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Monroe/Northampton,50 to 85 percent,Landline,1,0.6431,1.0031,0.9124,1.0769,2018-09-22 15:17:59
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Oppose,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Allentown/Bethlehem,50 to 85 percent,Landline,1,0.8361,1.1297,0.5579,1.1631,2018-09-22 15:28:29
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Lehigh,85 percent or higher,Landline,1,0.9899,1.0978,0.6277,1.1111,2018-09-22 15:28:56
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,White,Monroe/Northampton,85 percent or higher,Cell,1,0.8513,0.8369,0.3587,0.8398,2018-09-22 15:38:42
Dem,35 to 49,Some college or trade school,White,Female,Other,oppose,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Lehigh,Less than 50 percent,Cell,1,0.4784,1.3306,2.1138,1.5088,2018-09-22 16:15:09
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Monroe/Northampton,85 percent or higher,Landline,0.7778,0.8691,0.8743,0.4491,0.8524,2018-09-22 16:21:11
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Monroe/Northampton,85 percent or higher,Landline,1,0.9533,0.5807,0.2567,0.5885,2018-09-22 16:26:35
Und,50 to 64,Graduate or Professional Degree,Unknown,Female,White,support,Don't know,Don't know,Favorable,Unfavorable,Support,Oppose,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown,Monroe/Northampton,85 percent or higher,Cell,1,0.9091,0.4405,0.2526,0.4486,2018-09-22 16:34:27
Und,65 and older,High school,White,Male,White,oppose,Approve,Dems. take House,Favorable,Don't know,Oppose,Oppose,Support,disagree,65 and older,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Allentown/Bethlehem,85 percent or higher,Landline,0.4444,0.988,1.875,1.0971,1.809,2018-09-22 16:39:24
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Lehigh,85 percent or higher,Landline,1,0.9967,0.6202,0.2571,0.6283,2018-09-22 16:40:00
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Lehigh,85 percent or higher,Landline,1,0.9896,1.2585,0.5206,1.2738,2018-09-22 16:47:31
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Allentown/Bethlehem,85 percent or higher,Cell,1,0.9206,0.9806,0.6339,0.9972,2018-09-22 16:47:40
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Monroe/Northampton,50 to 85 percent,Landline,1,0.8413,0.7002,0.2701,0.7203,2018-09-22 16:48:16
Rep,65 and older,High school,White,Female,White,support,Approve,Don't know,Unfavorable,Favorable,Oppose,Support,Support,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Allentown/Bethlehem,Less than 50 percent,Landline,1,0.4814,1.4681,2.6408,1.5548,2018-09-22 16:51:43
Dem,50 to 64,Bachelors' degree,White,Female,White,support,Disapp.,Dems. take House,Favorable,Don't know,Don't know,Oppose,Don't know,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Lehigh,50 to 85 percent,Cell,1,0.8328,0.8351,0.3995,0.8603,2018-09-22 16:51:52
Dem,65 and older,High school,White,Male,White,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Support,Don't know,Oppose,Don't know,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Monroe/Northampton,50 to 85 percent,Landline,1,0.8358,2.1564,1.6845,2.2203,2018-09-22 16:53:22
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Monroe/Northampton,85 percent or higher,Landline,1,0.9793,0.741,0.3012,0.7499,2018-09-22 16:53:40
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,support,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Oppose,Don't know,disagree,30 to 44,4-year College Grad.,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Monroe/Northampton,85 percent or higher,Landline,0.7778,0.9659,0.9777,0.5405,0.9712,2018-09-22 17:00:25
Dem,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Support,disagree,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Monroe/Northampton,Less than 50 percent,Cell,0.3333,0.3284,0.5925,1.3526,0.3383,2018-09-22 17:03:14
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Monroe/Northampton,85 percent or higher,Landline,1,0.9957,0.6069,0.2064,0.6147,2018-09-22 17:08:02
Und,35 to 49,Graduate or Professional Degree,White,Male,White,support,Disapp.,Reps. keep House,Don't know,Don't know,Support,Oppose,Support,disagree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Monroe/Northampton,Less than 50 percent,Cell,1,0.3066,0.7203,1.2283,0.8959,2018-09-22 17:08:20
Dem,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Monroe/Northampton,50 to 85 percent,Landline,1,0.6937,1.179,0.6988,1.2496,2018-09-22 17:09:05
Dem,65 and older,High school,Black,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Non-White,Monroe/Northampton,85 percent or higher,Landline,1,0.9866,1.8513,1.1925,1.8736,2018-09-22 17:10:35
Dem,50 to 64,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Monroe/Northampton,85 percent or higher,Landline,0.8889,0.99,0.9148,0.4409,0.9244,2018-09-22 17:10:44
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Don't know,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Lehigh,50 to 85 percent,Cell,1,0.5636,1.0847,0.7858,1.1923,2018-09-22 17:12:59
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Unfavorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Monroe/Northampton,85 percent or higher,Cell,0.7778,0.9877,0.5168,0.1823,0.5208,2018-09-22 17:14:20
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Not very likely,or as a member of another political party,"White, 4-Year College Grads",White,50 to 64,White,Lehigh,50 to 85 percent,Landline,0,0.631,0.8178,0.5939,0.3649,2018-09-22 17:14:38
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,65 and older,White,Monroe/Northampton,85 percent or higher,Landline,1,0.9882,1.0743,0.5042,1.0872,2018-09-22 17:15:14
Und,18 to 34,Bachelors' degree,White,Male,White,Don't know,Disapp.,Don't know,Don't know,Don't know,Support,Oppose,Don't know,disagree,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,or as a member of another political party,"White, 4-Year College Grads",White,18 to 34,White,Monroe/Northampton,Less than 50 percent,Cell,0.7778,0.2763,0.6651,1.5013,0.5322,2018-09-22 17:25:48
Dem,35 to 49,Graduate or Professional Degree,White,Male,Black,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Support,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,35 to 49,White,Allentown/Bethlehem,Less than 50 percent,Landline,0.5556,0.466,0.7709,0.7809,0.5514,2018-09-22 17:26:15
Dem,50 to 64,High school,White,Female,White,support,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Support,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Allentown/Bethlehem,85 percent or higher,Landline,1,0.9207,1.4224,1.1048,1.4465,2018-09-22 17:30:00
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Lehigh,85 percent or higher,Landline,1,0.9947,0.6962,0.2405,0.705,2018-09-22 17:30:45
Und,50 to 64,Graduate or Professional Degree,Other,Male,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Non-White,Lehigh,85 percent or higher,Cell,1,0.8831,0.6743,0.2948,0.6892,2018-09-22 17:32:01
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,65 and older,White,Monroe/Northampton,85 percent or higher,Cell,1,0.8921,0.8318,0.3087,0.849,2018-09-22 17:33:31
Rep,65 and older,High school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Don't know,Support,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Monroe/Northampton,85 percent or higher,Landline,1,0.987,1.5607,1.2173,1.5794,2018-09-22 17:39:04
Rep,50 to 64,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Don't know,Favorable,Don't know,Support,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Lehigh,85 percent or higher,Landline,0.6667,0.8916,0.7088,0.38,0.6423,2018-09-22 17:42:58
Dem,65 and older,High school,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Allentown/Bethlehem,85 percent or higher,Landline,1,0.8846,1.6704,1.3125,1.7067,2018-09-22 17:43:07
Und,18 to 34,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown,Monroe/Northampton,Less than 50 percent,Cell,1,0.4853,0.4224,0.7222,0.4777,2018-09-22 17:47:16
Und,65 and older,Some college or trade school,White,Male,White,support,Disapp.,Dems. take House,Unfavorable,Unfavorable,Support,Oppose,Support,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Allentown/Bethlehem,50 to 85 percent,Landline,0.8889,0.8069,1.299,0.7431,1.3259,2018-09-22 17:48:46
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,support,Disapp.,Dems. take House,Favorable,Don't know,Support,Support,Support,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Non-White,Monroe/Northampton,Less than 50 percent,Landline,1,0.4282,0.9538,1.0931,1.1056,2018-09-22 17:49:40
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,50 to 64,White,Monroe/Northampton,85 percent or higher,Landline,1,0.9129,0.815,0.5122,0.8295,2018-09-22 17:50:25
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Monroe/Northampton,50 to 85 percent,Cell,1,0.8259,1.2395,0.6672,1.2454,2018-09-22 17:53:52
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Oppose,Support,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Monroe/Northampton,Less than 50 percent,Landline,1,0.4834,0.7641,1.2019,0.8647,2018-09-22 17:55:40
Dem,50 to 64,Bachelors' degree,White,Female,Hispanic,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Other,Female,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Monroe/Northampton,50 to 85 percent,Landline,1,0.6373,0.7605,0.5731,0.6692,2018-09-22 17:56:43
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Allentown/Bethlehem,85 percent or higher,Landline,1,0.9699,0.5421,0.294,0.5488,2018-09-22 17:59:16
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Monroe/Northampton,85 percent or higher,Landline,1,0.9258,0.9773,0.5119,0.9933,2018-09-22 18:02:52
Rep,65 and older,Some college or trade school,Hispanic,Male,Hispanic,support,Approve,Reps. keep House,Don't know,Don't know,Support,Oppose,Support,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,Non-White,Allentown/Bethlehem,85 percent or higher,Landline,1,0.9123,1.3078,0.6555,1.3313,2018-09-22 18:04:04
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown,Allentown/Bethlehem,85 percent or higher,Landline,1,0.8847,0.4617,0.2824,0.4717,2018-09-22 18:07:13
Dem,18 to 34,Graduate or Professional Degree,White,Male,Other,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Oppose,Oppose,disagree,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,White,Monroe/Northampton,Less than 50 percent,Cell,1,0.2275,0.4646,1.0642,0.618,2018-09-22 18:07:49
Rep,50 to 64,High school,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Oppose,Support,Support,agree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Monroe/Northampton,85 percent or higher,Cell,1,0.9883,1.4919,0.9944,1.504,2018-09-22 18:09:46
Dem,65 and older,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Unfavorable,Unfavorable,Oppose,Support,Support,disagree,65 and older,4-year College Grad.,Democratic,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",White,65 and older,Unknown,Lehigh,85 percent or higher,Cell,1,0.9407,0.9324,0.3604,0.9348,2018-09-22 18:10:22
Rep,65 and older,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Don't know,Don't know,Oppose,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Allentown/Bethlehem,85 percent or higher,Landline,1,0.9806,1.1498,0.491,1.1635,2018-09-22 18:10:40
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Lehigh,Less than 50 percent,Landline,1,0.3131,1.0088,2.0103,1.249,2018-09-22 18:20:30
Rep,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Republican,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Monroe/Northampton,85 percent or higher,Landline,1,0.915,0.815,0.511,0.8166,2018-09-22 18:23:48
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Lehigh,85 percent or higher,Landline,1,0.9628,0.7956,0.3286,0.8058,2018-09-22 18:24:42
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Monroe/Northampton,85 percent or higher,Cell,1,0.8537,0.815,0.5477,0.8176,2018-09-22 18:26:48
