response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedd,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Cell,1,0.8826,0.8957,0.4978,0.9011
Dem,65 and older,Some college or trade school,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Unknown,North King County,50 to 85 percent,Cell,1,0.7889,1.1588,0.8177,1.1845
Dem,50 to 64,Some college or trade school,White,Female,Other,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Favorable,Support,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,45 to 64,White,Pierce,50 to 85 percent,Cell,1,0.6239,0.8511,0.6938,0.861
Dem,65 and older,Some college or trade school,Unknown,Male,White,Support,Don't know,Don't know,Dems. take House,Favorable,No,Unfavorable,Oppose,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown,Eastern Wash.,85 percent or higher,Landline,1,0.9736,0.9149,0.5716,0.9116
Rep,65 and older,High school,White,Male,White,Support,support,Disapp.,Reps. keep House,Don't know,No,Favorable,Support,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,0.4444,0.965,0.9787,0.7061,0.9498
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Support,support,Don't know,Reps. keep House,Unfavorable,No,Favorable,Oppose,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 44,White,South King County,85 percent or higher,Cell,1,0.8936,1.0147,0.766,1.0192
Dem,65 and older,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Favorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.8538,0.7074,0.4079,0.7148
Rep,50 to 64,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,Pierce,85 percent or higher,Cell,1,0.9684,0.7332,0.3597,0.7307
Und,35 to 49,Bachelors' degree,White,Female,White,Support,oppose,Don't know,Dems. take House,Don't know,No,Don't know,Support,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 44,White,North King County,85 percent or higher,Landline,1,0.9189,1.0821,0.8125,1.0834
Dem,18 to 34,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 44,White,North King County,85 percent or higher,Cell,1,0.9729,1.0739,0.7059,1.07
Rep,[DO NOT READ] Refused,Grade school,Hispanic,Female,Hispanic,Support,support,Approve,Don't know,Don't know,No,Favorable,Don't know,30 to 44,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 44,Non-White,South King County,85 percent or higher,Landline,1,0.9795,2.1305,2.4005,2.1101
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,45 to 64,White,North King County,85 percent or higher,Cell,1,0.9918,1.0009,0.443,0.9973
Dem,65 and older,Some college or trade school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.9751,0.7537,0.3442,0.7459
Rep,50 to 64,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,45 to 64,White,North King County,85 percent or higher,Landline,1,0.9711,0.9934,0.5694,0.9899
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,support,Disapp.,Reps. keep House,Unfavorable,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 44,White,Pierce,50 to 85 percent,Cell,0.6667,0.5782,1.1949,1.216,1.0919
Rep,50 to 64,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,45 to 64,White,North King County,85 percent or higher,Cell,1,0.9849,0.9934,0.48,0.9849
Dem,50 to 64,Grade school,Asian,Female,Asian,Support,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,45 to 64,Non-White,North King County,85 percent or higher,Cell,1,0.8633,1.7743,1.5409,1.7516
Rep,65 and older,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.9878,0.8957,0.5203,0.8923
Dem,35 to 49,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 44,White,Pierce,50 to 85 percent,Landline,1,0.7911,0.927,0.7388,0.9472
Und,65 and older,Bachelors' degree,White,Female,White,Oppose,support,Disapp.,Don't know,Don't know,No,Don't know,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South King County,85 percent or higher,Cell,1,0.9926,0.7594,0.3677,0.7546
Dem,65 and older,Grade school,White,Male,White,Oppose,oppose,Don't know,Dems. take House,Don't know,Yes,Unfavorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9088,0.9787,0.7498,0.9811
Dem,65 and older,High school,White,Female,White,Support,Don't know,Approve,Reps. keep House,Don't know,Yes,Unfavorable,Oppose,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Cell,1,0.9834,1.4728,1.3383,1.4671
Rep,50 to 64,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,Pierce,85 percent or higher,Cell,1,0.9181,0.7332,0.3794,0.7232
Dem,50 to 64,High school,Unknown,Male,Hispanic,Support,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Support,45 to 64,High School Grad. or Less,Democratic,Male,Somewhat likely,Democrat,Nonwhite,Nonwhite,45 to 64,Unknown,South King County,50 to 85 percent,Landline,0.5556,0.5338,1.8459,2.46,1.334
Dem,65 and older,Bachelors' degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,Pierce,85 percent or higher,Landline,1,0.9875,0.7425,0.4212,0.7397
Rep,35 to 49,Some college or trade school,White,Female,White,Support,Don't know,Don't know,Don't know,Don't know,No,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,North King County,85 percent or higher,Cell,1,0.9854,0.9934,0.5611,0.9896
Rep,35 to 49,Some college or trade school,White,Female,White,Support,Don't know,Don't know,Don't know,Don't know,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,45 to 64,White,Pierce,50 to 85 percent,Cell,1,0.6265,0.8511,0.691,0.9036
Und,50 to 64,High school,White,Male,White,Oppose,oppose,Approve,Don't know,Don't know,No,Unfavorable,Support,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,or as a member of another political party,"White, No 4-Year College Degree",White,45 to 64,White,South King County,Less than 50 percent,Cell,0.3333,0.3765,1.4242,2.5188,0.8201
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,North King County,50 to 85 percent,Landline,1,0.7927,1.2506,0.7966,1.2774
Dem,65 and older,High school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9868,0.9787,0.6906,0.9749
Dem,50 to 64,High school,White,Male,White,Oppose,Don't know,Disapp.,Reps. keep House,Don't know,No,Unfavorable,Support,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,45 to 64,White,South King County,85 percent or higher,Landline,1,0.935,1.2845,0.9195,1.2837
Und,18 to 34,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 44,White,South King County,50 to 85 percent,Landline,1,0.6039,1.5131,1.7179,1.6168
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.9839,0.8957,0.5224,0.8879
Rep,35 to 49,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Support,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 44,White,Eastern Wash.,85 percent or higher,Landline,1,0.9671,0.9842,0.8905,0.9809
Rep,35 to 49,Some college or trade school,White,Male,Asian,Support,support,Approve,Reps. keep House,Don't know,No,Don't know,Support,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,45 to 64,White,North King County,Less than 50 percent,Landline,1,0.1341,0.9268,2.6558,1.1931
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,45 to 64,White,Pierce,50 to 85 percent,Cell,1,0.6432,0.8575,0.6255,0.9062
Rep,65 and older,[DO NOT READ] Refused,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.9837,1.012,0.6018,1.008
Dem,[DO NOT READ] Refused,Grade school,White,Female,White,Oppose,oppose,Disapp.,Don't know,Favorable,Yes,Don't know,Support,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,Pierce,50 to 85 percent,Cell,1,0.8437,1.1775,1.0039,1.1635
Rep,65 and older,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9573,0.7128,0.3955,0.7108
Rep,65 and older,High school,White,Male,White,Don't know,support,Approve,Reps. keep House,Don't know,No,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,South King County,50 to 85 percent,Landline,1,0.7512,1.7094,1.591,1.7605
Und,18 to 34,High school,White,Female,White,Oppose,oppose,Approve,Dems. take House,Don't know,No,Don't know,Support,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 44,White,Pierce,50 to 85 percent,Cell,1,0.6271,1.798,3.3615,1.9085
Dem,18 to 34,Bachelors' degree,White,Female,Asian,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Don't know,Support,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 44,White,Pierce,Less than 50 percent,Landline,0.6667,0.2002,0.687,2.1544,0.7623
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.9801,0.5063,0.2602,0.5044
Dem,50 to 64,High school,Asian,Male,[DO NOT READ] Don't know/Refused,Support,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,45 to 64,Non-White,South King County,85 percent or higher,Cell,1,0.9718,1.6582,1.0877,1.6522
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Don't know,Support,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,South King County,Less than 50 percent,Cell,1,0.4941,0.8357,0.8766,0.9269
Rep,65 and older,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,South King County,50 to 85 percent,Cell,1,0.5495,1.1361,0.9927,1.1654
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Support,support,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,45 to 64,White,Pierce,85 percent or higher,Cell,1,0.8776,0.5248,0.2484,0.5284
Rep,65 and older,Bachelors' degree,White,Male,Other,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,65 and older,White,Pierce,85 percent or higher,Cell,1,0.9143,0.7127,0.354,0.7029
Rep,65 and older,High school,Hispanic,Female,White,Support,support,Don't know,Reps. keep House,Don't know,Yes,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Non-White,South King County,85 percent or higher,Landline,1,0.9849,1.9013,1.6429,1.8938
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Support,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,45 to 64,White,North King County,85 percent or higher,Cell,1,0.99,0.845,0.3912,0.8418
Rep,65 and older,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.9556,0.7391,0.4738,0.7371
Rep,35 to 49,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,30 to 44,Some College Educ.,Democratic,Female,Very likely,or as a member of another political party,"White, No 4-Year College Degree",White,18 to 44,White,Pierce,85 percent or higher,Cell,1,0.8573,0.7927,0.6905,0.7828
Rep,18 to 34,Some college or trade school,Asian,Female,Asian,Oppose,oppose,Disapp.,Reps. keep House,Unfavorable,No,Unfavorable,Support,18 to 29,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,18 to 44,Non-White,Eastern Wash.,Less than 50 percent,Landline,0.4444,0.4832,1.0929,1.718,0.7203
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,support,Disapp.,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Cell,0.8889,0.892,0.7673,0.491,0.7482
Und,50 to 64,High school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Unfavorable,No,Unfavorable,Don't know,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,South King County,Less than 50 percent,Landline,1,0.2016,1.4243,5.504,0.8827
Rep,50 to 64,Some college or trade school,Other,Female,White,Support,support,Don't know,Reps. keep House,Don't know,Yes,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,Non-White,Pierce,50 to 85 percent,Cell,1,0.7436,1.0987,0.7157,1.1333
Rep,35 to 49,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Favorable,Yes,Favorable,Support,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,Pierce,50 to 85 percent,Landline,1,0.8224,0.8511,0.4499,0.8646
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,Other,Don't know,Don't know,Approve,Don't know,Don't know,No,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,45 to 64,White,Eastern Wash.,85 percent or higher,Landline,1,0.8924,0.6516,0.4158,0.6547
Dem,35 to 49,Some college or trade school,White,Female,White,Don't know,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Support,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 44,White,South King County,50 to 85 percent,Cell,1,0.7081,1.1651,1.1204,1.1647
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,45 to 64,White,Eastern Wash.,Less than 50 percent,Cell,1,0.3582,0.7147,1.0656,0.8461
Rep,35 to 49,Some college or trade school,White,Male,White,Oppose,Don't know,Disapp.,Dems. take House,Unfavorable,No,Unfavorable,Oppose,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 44,White,South King County,50 to 85 percent,Cell,0.6667,0.5019,1.5017,1.9013,1.3704
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Don't know,Disapp.,Dems. take House,Unfavorable,Yes,Don't know,Support,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,50 to 85 percent,Landline,1,0.6574,0.9304,0.7867,0.9795
Rep,50 to 64,Some college or trade school,White,Female,White,Support,Don't know,Approve,Don't know,Don't know,Yes,Don't know,Oppose,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,45 to 64,White,Eastern Wash.,50 to 85 percent,Landline,1,0.6604,0.8892,0.7285,0.9354
Dem,50 to 64,Bachelors' degree,White,Male,White,Oppose,Don't know,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,45 to 64,White,North King County,85 percent or higher,Cell,1,0.8572,0.8422,0.3916,0.8506
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,Don't know,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,45 to 64,White,Pierce,85 percent or higher,Cell,1,0.9673,0.7333,0.4213,0.7308
Rep,65 and older,High school,Unknown,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,South King County,85 percent or higher,Cell,1,0.9788,1.8234,1.6526,1.8163
Dem,50 to 64,Grade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Oppose,45 to 64,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,45 to 64,White,Eastern Wash.,Less than 50 percent,Landline,0.8889,0.2616,1.1751,3.7368,1.2616
Rep,65 and older,High school,White,Male,White,Oppose,support,Approve,Reps. keep House,Unfavorable,Yes,Unfavorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,South King County,85 percent or higher,Cell,1,0.989,1.4728,1.1376,1.4672
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,South King County,85 percent or higher,Landline,1,0.9863,0.7619,0.4269,0.759
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,45 to 64,White,North King County,85 percent or higher,Cell,1,0.9539,0.8359,0.3786,0.8338
Rep,35 to 49,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,45 to 64,White,South King County,Less than 50 percent,Cell,1,0.1466,0.8662,2.4689,1.259
Rep,65 and older,High school,Unknown,Male,White,Support,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown,South King County,85 percent or higher,Landline,1,0.9801,1.8234,1.6505,1.8163
Und,35 to 49,Some college or trade school,White,Male,Other,Support,Don't know,Approve,Don't know,Don't know,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,45 to 64,White,Pierce,50 to 85 percent,Landline,0.7778,0.5635,0.7161,0.5018,0.6818
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Oppose,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.9807,0.8125,0.4003,0.8093
Rep,18 to 34,Some college or trade school,White,Male,Asian,Oppose,oppose,Disapp.,Reps. keep House,Don't know,No,Unfavorable,Support,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,18 to 44,White,South King County,Less than 50 percent,Cell,0.4444,0.1119,1.1129,4.6946,0.6534
