response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Rest,85 percent or higher,Landline,1,0.9798,0.9455,0.856,0.9653
Dem,65 and older,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9917,0.6408,0.2761,0.6543
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Butler,85 percent or higher,Cell,1,0.851,0.7287,0.6098,0.755
Und,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9803,0.7595,0.466,0.7753
Rep,65 and older,High school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Don't know,disagree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9841,1.5748,1.0027,1.6076
Dem,35 to 49,Bachelors' degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",35 to 49,White,Butler,85 percent or higher,Landline,0.8889,0.9313,0.7242,0.3565,0.7261
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Check,oppose,Dems. take House,Don't know,Unfavorable,Believe,agree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.9763,0.5519,0.3021,0.5634
Dem,65 and older,High school,White,Female,White,oppose,Approve,Support,Don't know,Don't know,Favorable,Unfavorable,Do not believe,disagree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9826,1.3478,0.6867,1.3758
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Erie,50 to 85 percent,Landline,1,0.5753,1.3219,1.1129,1.4604
Rep,50 to 64,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.7583,1.8144,1.4903,1.9122
Dem,65 and older,High school,Black,Female,White,oppose,Disapp.,Don't know,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Non-White,Rest,85 percent or higher,Cell,1,0.9761,1.9508,2.0677,1.9917
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Unfavorable,Do not believe,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,0.8889,0.7618,0.6343,0.5964,0.633
Rep,35 to 49,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,disagree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Erie,85 percent or higher,Cell,1,0.9837,4.2047,3.5958,4.2923
Dem,65 and older,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Dems. take House,Favorable,Unfavorable,Do not believe,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9662,0.5339,0.3517,0.5454
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Erie,50 to 85 percent,Cell,1,0.5856,0.8582,0.7512,0.945
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Erie,50 to 85 percent,Cell,1,0.7394,1.3941,0.9679,1.4751
Dem,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,0.8889,0.8784,0.9396,0.6026,0.96
Rep,35 to 49,Some college or trade school,Unknown,Female,White,oppose,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Do not believe,agree,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,Butler,50 to 85 percent,Cell,1,0.6864,0.6167,0.6714,0.6605
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Check,Don't know,Reps. keep House,Don't know,Favorable,Don't know,agree,30 to 44,4-year College Grad.,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",35 to 49,White,Butler,85 percent or higher,Cell,1,0.869,0.8461,0.5527,0.8152
Dem,18 to 34,Some college or trade school,White,Female,White,oppose,Disapp.,Check,oppose,Dems. take House,Favorable,Unfavorable,Don't know,agree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,White,Erie,85 percent or higher,Cell,1,0.9412,1.7866,1.4045,1.807
Und,18 to 34,Some college or trade school,Other,Female,White,oppose,Don't know,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,Non-White,Erie,50 to 85 percent,Cell,0.6667,0.8427,2.472,3.7705,2.3786
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Erie,85 percent or higher,Cell,0,0.9812,0.8321,0.4202,0.8139
Rep,65 and older,High school,White,Female,Other,oppose,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,Nonwhite,65 and older,White,Rest,85 percent or higher,Landline,1,0.91,1.5975,1.258,1.6147
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Don't know,agree,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Erie,85 percent or higher,Cell,1,0.923,1.4583,0.9751,1.4956
Dem,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Support,support,Dems. take House,Favorable,Favorable,Don't know,agree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Rest,Less than 50 percent,Landline,0.6667,0.4589,1.2762,2.0557,1.1944
Rep,65 and older,High school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.8779,1.0281,0.7746,1.0397
Rep,35 to 49,Graduate or Professional Degree,White,Female,Asian,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,Postgraduate Degree,Republican,Female,Somewhat likely,Republican,Nonwhite,35 to 49,White,Rest,50 to 85 percent,Cell,1,0.847,0.7485,0.6258,0.7177
Und,65 and older,High school,White,Female,White,oppose,Disapp.,Check,support,Don't know,Don't know,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Butler,Less than 50 percent,Landline,1,0.3268,0.7818,1.6249,0.9674
Rep,18 to 34,Bachelors' degree,White,Male,White,support,Disapp.,Check,support,Don't know,Unfavorable,Favorable,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Erie,Less than 50 percent,Cell,0.2222,0.4347,1.4955,2.3045,0.6687
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Favorable,Do not believe,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Butler,Less than 50 percent,Cell,1,0.4652,0.8229,1.1236,0.9465
Rep,18 to 34,Bachelors' degree,White,Male,White,oppose,Disapp.,Support,support,Dems. take House,Favorable,Favorable,Believe,agree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Rest,85 percent or higher,Landline,1,0.8634,1.3122,0.9958,1.3568
Dem,65 and older,High school,White,Female,White,Don't know,Disapp.,Don't know,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Erie,85 percent or higher,Landline,1,0.9856,2.4895,1.4198,2.53
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Check,support,Reps. keep House,Favorable,Unfavorable,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Erie,Less than 50 percent,Landline,0.8889,0.4191,1.9166,3.1219,1.9933
Dem,18 to 34,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,White,Erie,50 to 85 percent,Cell,1,0.6175,1.7325,1.9748000000000001,1.7981
Dem,65 and older,High school,Other,Female,White,support,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Non-White,Erie,85 percent or higher,Landline,1,0.9768,3.5521,3.7186,3.6265
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Don't know,Do not believe,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Landline,1,0.4165,0.4795,0.8131,0.5639
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Favorable,Don't know,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Butler,Less than 50 percent,Cell,1,0.4774,0.7088,1.1858,0.811
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9888,0.7613,0.3399,0.7743
Dem,50 to 64,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.5118,0.6358,0.6411,0.7179
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Butler,50 to 85 percent,Cell,1,0.841,0.5726,0.3617,0.5942
Und,18 to 34,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Don't know,Believe,agree,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,White,Butler,50 to 85 percent,Cell,0.8889,0.7556,0.7333,0.5614,0.732
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,1,0.9892,0.6606,0.3993,0.6744
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9828,0.5598,0.3466,0.5715
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Don't know,Approve,Don't know,Don't know,Don't know,Don't know,Favorable,Do not believe,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,Butler,85 percent or higher,Cell,1,0.9215,0.599,0.4122,0.6144
Rep,18 to 34,Bachelors' degree,Unknown,Male,Other,support,Approve,Support,support,Reps. keep House,Favorable,Favorable,Do not believe,agree,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Unknown,Erie,Less than 50 percent,Cell,0.7778,0.3741,1.2865,2.2114,1.2833
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Don't know,Unfavorable,Don't know,agree,30 to 44,Postgraduate Degree,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",18 to 34,White,Erie,85 percent or higher,Cell,1,0.9151,1.4583,0.9833,1.4221
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Erie,50 to 85 percent,Landline,1,0.836,1.3334,0.8909,1.385
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Butler,85 percent or higher,Cell,1,0.9354,0.5904,0.3516,0.6047
Dem,35 to 49,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",35 to 49,White,Erie,85 percent or higher,Landline,1,0.8926,1.4735,1.1439,1.4896
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,support,Approve,Don't know,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,65 and older,White,Erie,85 percent or higher,Landline,1,0.9179,1.191,0.9539,1.2039
Und,18 to 34,Some college or trade school,White,Female,White,oppose,Approve,Support,support,Don't know,Don't know,Don't know,Don't know,agree,30 to 44,Some College Educ.,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Erie,Less than 50 percent,Cell,0,0.3908,1.3067,3.2291,0.3591
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Don't know,Favorable,Do not believe,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Butler,50 to 85 percent,Cell,1,0.7567,0.4278,0.2257,0.4511
Rep,18 to 34,Some college or trade school,Unknown,Female,White,oppose,Approve,Don't know,support,Reps. keep House,Unfavorable,Favorable,Don't know,agree,18 to 29,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,Unknown,Butler,Less than 50 percent,Cell,0.7778,0.3516,0.4826,1.183,0.5369
Rep,50 to 64,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Unfavorable,Do not believe,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Erie,85 percent or higher,Landline,1,0.9449,1.3949,0.9892,1.4272
Dem,65 and older,Some college or trade school,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9107,0.5598,0.3725,0.5659
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,support,Approve,Check,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Unknown,Erie,85 percent or higher,Cell,1,0.9632,1.2089,0.8786,1.235
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Unfavorable,Do not believe,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9168,0.6164,0.3406,0.6231
Rep,65 and older,High school,White,Female,White,support,Approve,Support,support,Reps. keep House,Unfavorable,Unfavorable,Believe,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Landline,1,0.4926,1.5537,2.5557,1.7672
Und,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,oppose,Don't know,Don't know,Favorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Cell,0.8889,0.9797,0.6463,0.3204,0.6537
Rep,65 and older,High school,Unknown,Female,White,support,Approve,Support,support,Reps. keep House,Don't know,Favorable,Do not believe,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Rest,85 percent or higher,Landline,0.7778,0.9555,1.3742,0.9934,1.3904
Rep,65 and older,Bachelors' degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,agree,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,0.7778,0.7299,0.726,0.4963,0.7072
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,support,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Do not believe,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,65 and older,White,Erie,85 percent or higher,Landline,1,0.9726,1.191,0.9014,1.2161
Rep,18 to 34,High school,White,Male,White,oppose,Approve,Support,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,disagree,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Butler,Less than 50 percent,Cell,0.6667,0.378,1.3507,2.6918,1.0216
Und,50 to 64,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,White,Erie,85 percent or higher,Landline,1,0.9834,1.1939,0.6508,1.2127
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Support,Don't know,Reps. keep House,Favorable,Favorable,Do not believe,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Erie,50 to 85 percent,Cell,1,0.8284,1.3434,0.9814,1.3971
Dem,18 to 34,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Check,support,Dems. take House,Unfavorable,Unfavorable,Don't know,agree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,Unknown,Butler,50 to 85 percent,Cell,0.8889,0.645,0.6308,0.5436,0.6675
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Butler,85 percent or higher,Cell,1,0.9426,0.5114,0.3789,0.5173
Rep,50 to 64,Some college or trade school,Unknown,Male,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,Butler,Less than 50 percent,Cell,0.8889,0.4227,0.494,0.6922,0.5133
Dem,35 to 49,Graduate or Professional Degree,Other,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Don't know,Unfavorable,Don't know,agree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Non-White,Erie,50 to 85 percent,Cell,1,0.6316,1.6405,2.2577,1.7824
Dem,35 to 49,Bachelors' degree,Black,Female,Hispanic,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,Rest,50 to 85 percent,Cell,1,0.7742,1.3001,1.624,1.3658
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Check,support,Reps. keep House,Don't know,Favorable,Don't know,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Landline,0.8889,0.4371,0.4727,0.6686,0.5308
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Check,Don't know,Dems. take House,Favorable,Unfavorable,Believe,agree,65 and older,Postgraduate Degree,Democratic,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Erie,85 percent or higher,Landline,1,0.9631,0.8202,0.3699,0.8141
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Check,oppose,Dems. take House,Unfavorable,Favorable,Do not believe,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Butler,85 percent or higher,Landline,1,0.9667,0.4115,0.223,0.4203
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Support,oppose,Reps. keep House,Unfavorable,Favorable,Do not believe,disagree,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Erie,50 to 85 percent,Cell,1,0.8354,1.3434,0.9734,1.3609
