response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Rest of Clark,50 to 85 percent,Cell,1,0.8006,0.8371,0.4913,0.8654,2018-10-14 23:38:08
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Cell,1,0.8891,0.9164,0.5117,0.9337,2018-10-15 01:02:54
Rep,50 to 64,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,White,Rest,50 to 85 percent,Cell,1,0.7112,0.8916,0.5299,0.939,2018-10-15 01:06:57
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,Less than 50 percent,Cell,0.4444,0.4005,0.9207,1.4712,0.5924,2018-10-15 01:09:21
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Favorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Cell,1,0.8045,0.7827,0.5161,0.8085,2018-10-15 01:12:39
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Landline,1,0.965,0.9334,0.4817,0.943,2018-10-15 01:22:32
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Male,Not very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,0.4444,0.965,0.9463,0.5806,0.8488,2018-10-15 01:24:56
Rep,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,40 to 64,White,Rest,85 percent or higher,Landline,0.7778,0.8602,0.9164,0.5287,0.8906,2018-10-15 01:31:50
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.705,1.1563,0.9949,1.1721,2018-10-15 01:31:59
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,Unknown,Rest of Clark,85 percent or higher,Landline,1,0.965,1.3787,0.8485,1.3814,2018-10-15 01:32:09
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Landline,1,0.9487,0.7678,0.4072,0.7767,2018-10-15 01:32:27
Rep,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,White,Vancouver,85 percent or higher,Cell,1,0.965,0.6315,0.316,0.638,2018-10-15 01:42:30
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Landline,1,0.965,0.864,0.4959,0.8778,2018-10-15 01:51:51
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.6936,0.359,0.7007,2018-10-15 01:55:36
Und,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,Rest,50 to 85 percent,Landline,1,0.6936,1.272,0.9253,1.3451,2018-10-15 01:58:27
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.9094,0.8942,0.6088,0.9085,2018-10-15 22:47:08
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.9476,0.8027,0.4837,0.812,2018-10-15 22:50:53
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.966,0.5576,0.9759,2018-10-15 22:54:02
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.746,0.3674,0.7536,2018-10-15 22:54:11
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,Less than 50 percent,Cell,1,0.3035,1.1721,2.6931,1.4577,2018-10-15 22:59:17
Rep,65 and older,Some college or trade school,Hispanic,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Not at all likely,Republican,"White, No 4-Year College Degree",65 and older,Non-White,Rest,Less than 50 percent,Landline,0,0.3348,1.1195,1.7423,0.2866,2018-10-15 23:03:37
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.965,1.0605,0.6255,1.0715,2018-10-15 23:05:16
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,White,Rest of Clark,85 percent or higher,Cell,1,0.9024,1.2553,0.9049,1.2765,2018-10-15 23:08:25
Dem,65 and older,Graduate or Professional Degree,White,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.6164,0.2903,0.6176,2018-10-15 23:12:10
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,Unknown,Vancouver,85 percent or higher,Landline,1,0.965,1.3959,1.1879,1.4103,2018-10-15 23:13:58
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Landline,1,0.965,1.321,0.9714,1.3346,2018-10-15 23:16:04
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Unknown,Vancouver,85 percent or higher,Cell,1,0.965,1.6458,1.2734,1.6627,2018-10-15 23:19:57
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",40 to 64,White,Vancouver,50 to 85 percent,Cell,0.5556,0.7616,1.372,1.3363,1.0579,2018-10-15 23:23:33
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Vancouver,85 percent or higher,Cell,1,0.965,0.6446,0.346,0.6513,2018-10-15 23:33:39
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Unknown,Vancouver,50 to 85 percent,Cell,1,0.6935,1.8318,1.9808,1.9371,2018-10-15 23:34:51
Rep,65 and older,Grade school,White,Female,White,Approve,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Cell,1,0.7527,1.1327,0.8504,1.1821,2018-10-15 23:37:24
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,Vancouver,Less than 50 percent,Cell,1,0.2103,1.6158,6.4079,2.1844,2018-10-15 23:40:51
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.965,0.7755,0.4105,0.7835,2018-10-15 23:42:21
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.965,0.849,0.6621,0.8578,2018-10-15 23:47:08
Und,18 to 34,High school,Asian,Female,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,High School Grad. or Less,Other,Female,Not very likely,Republican,"White, No 4-Year College Degree",18 to 39,Non-White,Rest,Less than 50 percent,Landline,0.3333,0.0988,2.2987,9.94,0.9163,2018-10-15 23:47:53
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Rest,85 percent or higher,Cell,1,0.965,0.7168,0.2943,0.7241,2018-10-15 23:48:20
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,White,Rest,50 to 85 percent,Landline,1,0.6831,1.3916,1.2063,1.4754,2018-10-15 23:50:08
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Vancouver,85 percent or higher,Cell,1,0.965,0.6933,0.354,0.7004,2018-10-15 23:55:14
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest,Less than 50 percent,Landline,1,0.4048,0.8103,1.1189,0.9479,2018-10-16 00:04:20
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.7418,0.3402,0.7495,2018-10-16 00:05:05
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of Clark,85 percent or higher,Cell,1,0.965,0.7179,0.4153,0.7252,2018-10-16 00:05:32
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.7615,0.4023,0.7693,2018-10-16 00:07:20
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest,85 percent or higher,Landline,1,0.963,0.8177,0.3852,0.8263,2018-10-16 00:18:29
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,Rest of Clark,85 percent or higher,Landline,1,0.965,0.864,0.4873,0.8728,2018-10-16 00:36:49
Dem,18 to 34,High school,White,Male,White,Approve,Dems. take House,Favorable,Don't know,18 to 29,High School Grad. or Less,Other,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",18 to 39,White,Rest of Clark,Less than 50 percent,Landline,0.2222,0.1169,1.4868,8.6574,1.0118,2018-10-16 00:41:41
Rep,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,Rest of Clark,50 to 85 percent,Landline,1,0.7145,1.1128,0.9907,1.171,2018-10-16 00:42:13
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,White,Rest,85 percent or higher,Cell,1,0.9517,1.2128,0.7409,1.2266,2018-10-16 00:48:17
Rep,65 and older,High school,White,Female,White,Approve,Don't know,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Vancouver,85 percent or higher,Landline,1,0.965,1.1245,0.9013,1.1361,2018-10-16 00:48:32
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,White,Rest of Clark,50 to 85 percent,Cell,1,0.55,1.5026,1.6963,1.6553,2018-10-16 00:49:08
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of Clark,85 percent or higher,Landline,1,0.965,0.6164,0.2903,0.6227,2018-10-16 00:50:11
Und,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",40 to 64,White,Vancouver,50 to 85 percent,Cell,1,0.6681,1.5063,1.7092,1.3302,2018-10-16 00:50:14
Dem,50 to 64,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,White,Rest,85 percent or higher,Cell,1,0.9431,1.046,0.6055,1.0587,2018-10-16 00:50:14
Rep,50 to 64,Some college or trade school,Asian,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,Non-White,Vancouver,50 to 85 percent,Cell,1,0.5442,1.3536,1.7128,1.4942,2018-10-16 00:52:02
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Vancouver,85 percent or higher,Landline,1,0.965,0.8569,0.6214,0.8586,2018-10-16 00:52:35
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Landline,1,0.965,0.966,0.6363,0.9759,2018-10-16 00:59:29
Rep,65 and older,High school,White,Female,White,Approve,Don't know,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.965,1.0605,0.7138,1.0714,2018-10-16 01:01:17
Rep,50 to 64,High school,White,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,Nonwhite,40 to 64,White,Rest,Less than 50 percent,Cell,1,0.3772,1.1285,2.1404,1.3395,2018-10-16 01:07:49
Und,35 to 49,Some college or trade school,Unknown,Female,Black,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Not at all likely,Independent (No party),Nonwhite,40 to 64,Unknown,Rest,Less than 50 percent,Cell,0.4444,0.2055,1.4492,4.7344,0.5285,2018-10-16 01:07:49
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Rest of Clark,85 percent or higher,Landline,1,0.9632,0.9837,0.5042,0.9939,2018-10-16 01:09:19
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Vancouver,85 percent or higher,Cell,1,0.965,0.7758,0.4057,0.7838,2018-10-16 01:10:31
Dem,65 and older,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,Rest of Clark,85 percent or higher,Landline,1,0.9548,1.7881,1.5996,1.8078,2018-10-16 01:11:52
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Don't know,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,Rest,85 percent or higher,Landline,1,0.965,1.2897,0.8578,1.3029,2018-10-16 01:12:28
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.811,1.1563,0.8657,1.1603,2018-10-16 01:13:40
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,White,Vancouver,85 percent or higher,Cell,1,0.965,1.0313,0.7298,1.0333,2018-10-16 01:15:46
