response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Bachelors' degree,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,Nonwhite,65 and older,White,Rest,85 percent or higher,Landline,1,0.9051,0.9225,0.4241,0.9165,2018-10-15 21:51:48
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,35 to 49,Hispanic,Miami/Coral Gables,Less than 50 percent,Cell,0.4444,0.347,1.14,1.9701,0.7008,2018-10-15 21:52:24
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Unknown,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Favorable,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,50 to 64,Unknown,Rest,85 percent or higher,Cell,1,0.965,0.7327,0.5403,0.7234,2018-10-15 21:55:51
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,50 to 64,Hispanic,Rest,50 to 85 percent,Cell,0.7778,0.7786,1.1758,0.6762,1.1093,2018-10-15 21:55:57
Rep,35 to 49,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Hispanic,Rest,85 percent or higher,Cell,0.8889,0.965,0.9972,0.5446,0.9713,2018-10-15 21:57:30
Rep,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,50 to 64,Hispanic,Rest,Less than 50 percent,Cell,1,0.275,1.2619,2.4984,1.4152,2018-10-15 21:57:57
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,Hispanic,Rest,Less than 50 percent,Cell,1,0.252,1.9114,4.1108,2.422,2018-10-15 22:02:03
Rep,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,50 to 64,White,Miami/Coral Gables,50 to 85 percent,Cell,1,0.8169,0.4325,0.2475,0.424,2018-10-15 22:02:55
Rep,65 and older,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,Hispanic,Rest,85 percent or higher,Landline,1,0.965,0.9934,0.4605,0.9808,2018-10-15 22:07:52
Dem,65 and older,Bachelors' degree,Hispanic,Male,White,Disapp.,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Hispanic,Miami/Coral Gables,85 percent or higher,Landline,1,0.965,0.9185,0.4274,0.9069,2018-10-15 22:09:04
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Not at all likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Miami/Coral Gables,Less than 50 percent,Cell,0.2222,0.1161,0.9343,3.8198,0.2469,2018-10-15 22:09:22
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Not very likely,Independent (No party),Nonwhite,65 and older,Hispanic,Miami/Coral Gables,Less than 50 percent,Cell,1,0.4317,1.7985,2.8542,1.3899,2018-10-15 22:13:43
Dem,[DO NOT READ] Refused,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Not at all likely,Democrat,Nonwhite,65 and older,Hispanic,Rest,50 to 85 percent,Landline,0.4444,0.8413,2.9329,2.2201,1.9221,2018-10-15 22:14:39
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,Hispanic,Rest,50 to 85 percent,Landline,0.5556,0.8378,2.9329,2.2293,2.7754,2018-10-15 22:18:54
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Rest,85 percent or higher,Landline,1,0.965,0.6128,0.2683,0.6001,2018-10-15 22:19:30
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Miami/Coral Gables,85 percent or higher,Landline,1,0.965,0.8211,0.4447,0.8106,2018-10-15 22:21:54
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,1,0.965,0.606,0.2969,0.5983,2018-10-15 22:22:12
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,Hispanic,Miami/Coral Gables,50 to 85 percent,Cell,1,0.7435,0.9385,0.6703,0.959,2018-10-15 22:24:45
Und,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,Hispanic,Rest,85 percent or higher,Cell,1,0.965,0.5665,0.2593,0.5594,2018-10-15 22:25:39
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Hispanic,Rest,85 percent or higher,Cell,1,0.965,1.2081,0.6843,1.1928,2018-10-15 22:25:57
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,Hispanic,Miami/Coral Gables,50 to 85 percent,Cell,1,0.7017,1.3421,1.0536,1.4235,2018-10-15 22:26:06
Und,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Republican,Male,Somewhat likely,Democrat,Nonwhite,18 to 34,Hispanic,Miami/Coral Gables,85 percent or higher,Landline,0.2222,0.9564,0.9643,0.6544,0.837,2018-10-15 22:27:18
Und,50 to 64,Some college or trade school,Other,Male,White,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",50 to 64,Other Non-White,Rest,85 percent or higher,Cell,1,0.8643,0.6851,0.3261,0.6846,2018-10-15 22:27:36
Dem,50 to 64,Some college or trade school,Hispanic,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,Miami/Coral Gables,85 percent or higher,Cell,1,0.8543,1.1342,0.8012,1.1352,2018-10-15 22:28:39
3,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Miami/Coral Gables,50 to 85 percent,Cell,1,0.8447,0.4718,0.292,0.4617,2018-10-15 22:29:24
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Disapp.,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Hispanic,Rest,85 percent or higher,Cell,0.8889,0.8709,2.3795,1.6552,2.3513,2018-10-15 22:29:33
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Unknown,Miami/Coral Gables,85 percent or higher,Landline,1,0.965,0.7685,0.4355,0.7587,2018-10-15 22:31:03
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,50 to 64,Hispanic,Miami/Coral Gables,85 percent or higher,Cell,1,0.9179,1.0741,0.6883,1.0494,2018-10-15 22:31:12
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,50 to 64,Hispanic,Rest,Less than 50 percent,Cell,0.7778,0.4978,1.3326,1.5104,1.0687,2018-10-15 22:33:02
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,Nonwhite,50 to 64,Hispanic,Rest,Less than 50 percent,Landline,1,0.1981,0.782,1.956,1.1478,2018-10-15 22:33:56
Dem,50 to 64,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Other Non-White,Rest,85 percent or higher,Cell,1,0.9201,0.3796,0.1682,0.3764,2018-10-15 22:34:05
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,Miami/Coral Gables,Less than 50 percent,Cell,1,0.3428,0.7771,1.4656,0.9198,2018-10-15 22:34:05
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Hispanic,Rest,85 percent or higher,Cell,1,0.9518,1.2188,0.4597,1.2045,2018-10-15 22:35:17
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Miami/Coral Gables,50 to 85 percent,Cell,1,0.8123,1.1164,0.6869,1.1254,2018-10-15 22:37:41
Dem,65 and older,Graduate or Professional Degree,Black,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Other Non-White,Rest,85 percent or higher,Cell,1,0.9521,0.4605,0.1912,0.4551,2018-10-15 22:40:41
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,1,0.9005,0.514,0.2568,0.511,2018-10-15 22:40:50
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Other Non-White,Miami/Coral Gables,50 to 85 percent,Cell,0.6667,0.5414,0.3536,0.2598,0.3198,2018-10-15 22:41:17
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Cell,1,0.9045,0.4976,0.2275,0.4944,2018-10-15 22:41:44
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,Other,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,Other Non-White,Rest,85 percent or higher,Landline,1,0.9269,0.6861,0.5086,0.6798,2018-10-15 22:41:44
Und,18 to 34,Graduate or Professional Degree,Unknown,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 34,Unknown,Rest,50 to 85 percent,Cell,1,0.658,0.5524,0.365,0.576,2018-10-15 22:43:05
Dem,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,White,Miami/Coral Gables,Less than 50 percent,Cell,1,0.4257,0.705,1.0953,0.7977,2018-10-15 22:43:14
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,Hispanic,Rest,50 to 85 percent,Landline,0.7778,0.8324,1.3507,0.695,1.3214,2018-10-15 22:44:44
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Other Non-White,Rest,50 to 85 percent,Cell,1,0.7715,0.4134,0.2048,0.4199,2018-10-15 22:44:53
Und,35 to 49,High school,White,Male,White,Disapp.,Don't know,Favorable,Don't know,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Miami/Coral Gables,85 percent or higher,Cell,1,0.8843,2.0015,2.0124,1.9941,2018-10-15 22:46:14
Und,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,50 to 64,Hispanic,Miami/Coral Gables,50 to 85 percent,Cell,0.8889,0.525,0.8391,0.8596,0.8262,2018-10-15 22:46:14
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Hispanic,Rest,85 percent or higher,Cell,1,0.9178,0.6679,0.3351,0.6625,2018-10-15 22:46:50
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,50 to 64,Hispanic,Rest,Less than 50 percent,Cell,1,0.2851,1.3868,2.0628,1.5462,2018-10-15 22:47:53
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9355,0.7604,0.3469,0.7527,2018-10-15 22:48:47
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8464,0.4597,0.2053,0.4683,2018-10-15 22:48:47
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Hispanic,Rest,50 to 85 percent,Landline,1,0.7359,0.7106,0.4612,0.7273,2018-10-15 22:51:20
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,Nonwhite,65 and older,Hispanic,Miami/Coral Gables,85 percent or higher,Cell,1,0.965,1.303,0.7806,1.2391,2018-10-15 22:55:14
Dem,50 to 64,High school,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Hispanic,Miami/Coral Gables,50 to 85 percent,Cell,0.8889,0.7608,2.0024,1.6512,2.0056,2018-10-15 22:55:32
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,65 and older,Hispanic,Rest,85 percent or higher,Cell,1,0.9036,1.2404,0.6141,1.2325,2018-10-15 22:57:11
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Somewhat likely,Democrat,Nonwhite,35 to 49,Hispanic,Miami/Coral Gables,50 to 85 percent,Cell,1,0.7522,0.599,0.4645,0.5463,2018-10-15 22:57:20
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9531,0.6739,0.2912,0.666,2018-10-15 22:58:14
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Miami/Coral Gables,50 to 85 percent,Cell,1,0.7262,0.5099,0.3405,0.523,2018-10-15 23:00:02
Und,18 to 34,Bachelors' degree,Unknown,Male,Hispanic,Don't know,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Not very likely,Democrat,Nonwhite,18 to 34,Unknown,Miami/Coral Gables,Less than 50 percent,Cell,1,0.4306,0.9893,1.2854,0.7643,2018-10-15 23:03:24
Rep,65 and older,High school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,Hispanic,Miami/Coral Gables,50 to 85 percent,Landline,1,0.7713,2.7597,2.8681,2.8038,2018-10-15 23:04:36
Und,35 to 49,Graduate or Professional Degree,Hispanic,Male,White,Don't know,Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Hispanic,Miami/Coral Gables,Less than 50 percent,Cell,0.7778,0.2676,0.7887,1.6604,0.7833,2018-10-15 23:04:58
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Republican,Nonwhite,50 to 64,Hispanic,Miami/Coral Gables,Less than 50 percent,Cell,1,0.2776,0.8675,2.0766,1.0754,2018-10-15 23:06:10
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Rest,85 percent or higher,Cell,1,0.8822,0.5052,0.247,0.5035,2018-10-15 23:06:15
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,Less than 50 percent,Cell,1,0.4429,3.0924,4.9913,3.4713,2018-10-15 23:07:13
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Other Non-White,Miami/Coral Gables,85 percent or higher,Cell,1,0.965,0.7213,0.447,0.7121,2018-10-15 23:07:31
Dem,65 and older,Some college or trade school,Other,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,Other Non-White,Rest,85 percent or higher,Landline,1,0.9568,0.8311,0.3508,0.821,2018-10-15 23:09:06
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Miami/Coral Gables,85 percent or higher,Landline,1,0.965,0.9434,0.5366,0.9315,2018-10-15 23:09:37
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Hispanic,Rest,50 to 85 percent,Cell,1,0.6861,0.6062,0.2943,0.6276,2018-10-15 23:13:58
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,Rest,85 percent or higher,Cell,1,0.8812,1.2054,0.6583,1.2015,2018-10-15 23:14:16
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,Miami/Coral Gables,85 percent or higher,Cell,1,0.965,0.9084,0.5675,0.8969,2018-10-15 23:17:25
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,Miami/Coral Gables,50 to 85 percent,Cell,1,0.6515,0.8861,0.7563,0.9255,2018-10-15 23:17:25
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Miami/Coral Gables,50 to 85 percent,Cell,1,0.7292,0.7453,0.3857,0.7639,2018-10-15 23:21:00
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Miami/Coral Gables,50 to 85 percent,Cell,1,0.6974,0.4636,0.2767,0.4597,2018-10-15 23:22:21
Rep,50 to 64,Grade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,Less than 50 percent,Cell,1,0.3105,2.5492,5.9443,2.8034,2018-10-15 23:22:48
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Don't know,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,35 to 49,Hispanic,Rest,50 to 85 percent,Cell,1,0.5466,0.6365,0.5352,0.6472,2018-10-15 23:23:42
