response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.97,1.1057,0.5219,1.0779,2018-10-26 02:12:16
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Santa Clarita,Less than 50 percent,Cell,1,0.4696,1.6109,1.7853,1.7655,2018-10-26 02:15:38
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.3139,0.5744,1.1249,0.7334,2018-10-26 02:17:44
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,50 to 64,White,Santa Clarita,50 to 85 percent,Landline,1,0.84,1.0423,0.5615,1.0504,2018-10-26 02:19:32
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest of LA County,85 percent or higher,Cell,1,0.8753,1.4946,1.2881,1.443,2018-10-26 02:20:08
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Hispanic,Santa Clarita,50 to 85 percent,Cell,1,0.6793,1.2818,1.0708,1.2583,2018-10-26 02:20:44
Dem,50 to 64,High school,Hispanic,Female,Hispanic,Approve,Dems. take House,Favorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,50 to 64,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.401,1.7526,2.6415,2.099,2018-10-26 02:20:53
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Lancaster/Palmdale,50 to 85 percent,Cell,0.4444,0.6665,0.641,0.3855,0.5746,2018-10-26 02:22:50
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Rest of LA County,85 percent or higher,Cell,1,0.9677,1.1213,0.5543,1.0933,2018-10-26 02:23:44
Rep,35 to 49,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,Nonwhite,35 to 49,White,Rest of LA County,85 percent or higher,Cell,1,0.9488,0.9539,0.4576,0.9383,2018-10-26 02:28:05
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Rest of LA County,50 to 85 percent,Cell,1,0.5379,1.2841,1.5751,1.4302,2018-10-26 02:28:14
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,35 to 49,Hispanic,Ventura/Simi Valley,Less than 50 percent,Cell,1,0.2785,1.1646,1.8601,1.2872,2018-10-26 02:28:59
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Santa Clarita,50 to 85 percent,Cell,0.7778,0.5283,1.3716,1.971,1.3795,2018-10-26 02:29:08
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Santa Clarita,85 percent or higher,Cell,1,0.9672,1.0945,0.6704,1.0672,2018-10-26 02:35:05
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of LA County,Less than 50 percent,Landline,0.4444,0.4634,1.1193,1.4268,0.7151,2018-10-26 02:37:20
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Hispanic,Rest of LA County,Less than 50 percent,Cell,1,0.2328,1.1009,2.1433,1.4031,2018-10-26 02:40:47
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.8544,0.6731,0.4134,0.6654,2018-10-26 02:41:05
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9259,0.4871,0.2283,0.4768,2018-10-26 02:44:14
Dem,18 to 34,Bachelors' degree,Unknown,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,18 to 34,Unknown,Santa Clarita,85 percent or higher,Cell,0.8889,0.8876,1.1556,0.7737,1.1262,2018-10-26 02:48:33
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,White,Santa Clarita,85 percent or higher,Cell,1,0.9417,1.0666,0.9305,1.0422,2018-10-26 02:57:24
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Santa Clarita,85 percent or higher,Cell,1,0.8603,0.7074,0.4339,0.7094,2018-10-26 02:57:42
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,50 to 64,Hispanic,Ventura/Simi Valley,85 percent or higher,Landline,1,0.8548,0.958,0.4786,0.9256,2018-10-26 02:58:00
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Santa Clarita,85 percent or higher,Landline,1,0.97,0.9664,0.4575,0.9421,2018-10-26 02:59:03
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest of LA County,85 percent or higher,Landline,1,0.9688,1.0102,0.659,0.9774,2018-10-26 03:00:42
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.7942,0.9719,0.5802,0.9425,2018-10-26 03:01:36
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,50 to 64,Other Non-White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.8672,0.3955,0.201,0.396,2018-10-26 03:01:56
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Santa Clarita,85 percent or higher,Landline,1,0.97,0.8129,0.2926,0.7965,2018-10-26 03:02:59
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,65 and older,Hispanic,Ventura/Simi Valley,Less than 50 percent,Cell,1,0.1825,1.1031,2.3738,1.6369,2018-10-26 03:05:23
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.9694,0.6064,0.2022,0.5942,2018-10-26 03:07:29
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,Santa Clarita,85 percent or higher,Cell,1,0.8549,1.156,0.5117,1.1426,2018-10-26 03:07:56
Rep,18 to 34,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.2049,1.4905,6.5685,1.7363,2018-10-26 03:09:08
Rep,50 to 64,Some college or trade school,White,Female,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Independent (No party),Nonwhite,50 to 64,White,Rest of LA County,85 percent or higher,Cell,1,0.9654,1.1055,0.6722,1.0841,2018-10-26 03:10:47
Dem,18 to 34,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,Ventura/Simi Valley,Less than 50 percent,Landline,1,0.4389,2.3562,4.2983,2.4325,2018-10-26 03:13:11
Dem,50 to 64,High school,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Other Non-White,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9564,0.8887,0.6688,0.8672,2018-10-26 03:16:08
Und,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.97,0.9861,0.415,0.9614,2018-10-26 03:16:44
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Hispanic,Rest of LA County,85 percent or higher,Landline,1,0.97,1.8602,0.923,1.8135,2018-10-26 03:21:59
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Lancaster/Palmdale,50 to 85 percent,Landline,1,0.7373,0.7708,0.7567,0.7789,2018-10-26 03:23:38
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,Unknown,Rest of LA County,50 to 85 percent,Cell,1,0.5305,0.9738,0.812,1.0882,2018-10-26 03:32:46
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Unknown,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.403,0.8593,1.3664,0.9711,2018-10-26 03:36:22
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,85 percent or higher,Cell,1,0.8913,0.5816,0.4426,0.5613,2018-10-26 03:44:37
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Santa Clarita,85 percent or higher,Cell,1,0.97,0.9876,0.4704,0.9628,2018-10-26 03:47:58
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,Don't know,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),Nonwhite,18 to 34,Other Non-White,Ventura/Simi Valley,85 percent or higher,Cell,1,0.9082,0.8672,0.502,0.8602,2018-10-26 03:47:58
Und,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Don't know,Don't know,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Not at all likely,Independent (No party),Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,0,0.0889,0.8247,4.0214,0.1644,2018-10-26 03:49:37
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,Nonwhite,50 to 64,White,Rest of LA County,85 percent or higher,Cell,1,0.97,0.8001,0.4004,0.784,2018-10-26 03:49:55
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,Nonwhite,35 to 49,Hispanic,Santa Clarita,50 to 85 percent,Landline,1,0.5745,1.2837,0.9753,1.3542,2018-10-26 03:50:40
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Ventura/Simi Valley,85 percent or higher,Landline,1,0.97,0.6064,0.2021,0.5912,2018-10-26 04:05:18
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,Lancaster/Palmdale,85 percent or higher,Landline,1,0.8563,0.5296,0.3047,0.5316,2018-10-26 04:08:18
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Santa Clarita,85 percent or higher,Landline,1,0.8595,0.7074,0.4343,0.6987,2018-10-26 04:09:03
Rep,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,White,Santa Clarita,85 percent or higher,Cell,1,0.8779,0.6586,0.3498,0.6487,2018-10-26 04:19:29
Rep,35 to 49,Graduate or Professional Degree,Black,Male,Hispanic,Approve,Don't know,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,35 to 49,Other Non-White,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.2444,0.4132,0.8496,0.5647,2018-10-26 04:28:02
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,Other,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Other Non-White,Santa Clarita,85 percent or higher,Cell,0.7778,0.9203,0.7529,0.6217,0.7261,2018-10-26 04:29:23
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Very likely,[DO NOT READ] Refused,Nonwhite,18 to 34,Hispanic,Lancaster/Palmdale,Less than 50 percent,Cell,1,0.1313,0.7356,3.1981,0.9303,2018-10-26 04:42:47
Und,35 to 49,Bachelors' degree,Asian,Male,Asian,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,Other Non-White,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.8488,0.8004,0.3701,0.792,2018-10-26 23:54:58
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of LA County,85 percent or higher,Cell,1,0.9461,1.6475,1.0594,1.609,2018-10-26 23:56:10
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,or as a member of another political party,"White, 4-Year College Grads",35 to 49,White,Santa Clarita,85 percent or higher,Cell,1,0.97,0.6018,0.3115,0.5897,2018-10-26 23:59:28
Dem,65 and older,Bachelors' degree,White,Female,White,Don't know,Don't know,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,White,Santa Clarita,Less than 50 percent,Cell,1,0.3367,1.5908,1.7806,1.867,2018-10-27 00:01:21
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,Lancaster/Palmdale,85 percent or higher,Cell,1,0.9631,0.6003,0.2916,0.5805,2018-10-27 00:06:18
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Santa Clarita,85 percent or higher,Cell,1,0.8893,0.9009,0.4536,0.8694,2018-10-27 00:15:09
Und,35 to 49,Some college or trade school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,Other Non-White,Lancaster/Palmdale,50 to 85 percent,Cell,1,0.7978,0.626,0.3674,0.625,2018-10-27 00:15:36
Dem,65 and older,Bachelors' degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,65 and older,White,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.7069,1.1709,0.4871,1.2247,2018-10-27 00:18:54
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Other Non-White,Santa Clarita,50 to 85 percent,Cell,1,0.5532,0.7312,0.569,0.7767,2018-10-27 00:22:48
Rep,18 to 34,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Santa Clarita,85 percent or higher,Cell,1,0.8541,0.7662,0.6,0.7694,2018-10-27 00:27:18
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),Nonwhite,50 to 64,Other Non-White,Ventura/Simi Valley,50 to 85 percent,Cell,1,0.8435,0.6561,0.3257,0.6606,2018-10-27 00:29:33
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Santa Clarita,50 to 85 percent,Cell,1,0.6852,1.2732,0.9519,1.3022,2018-10-27 00:31:12
Rep,65 and older,Some college or trade school,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Hispanic,Lancaster/Palmdale,85 percent or higher,Landline,1,0.9664,0.61240000000000006,0.2209,0.5971,2018-10-27 00:34:28
