response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Reps. keep House,Favorable,No,Unfavorable,Support,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Assembly Dist. 73/74,Less than 50 percent,Cell,1,0.431,1.3199,1.8672,1.5383,2018-09-22 02:05:14
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Favorable,Don't know,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9584,1.023,0.4909,1.0435,2018-09-22 02:05:32
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,support,Approve,Reps. keep House,Don't know,No,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9805,1.0563,0.6098,1.0762,2018-09-22 02:05:41
Dem,18 to 34,High school,White,Female,White,Support,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,18 to 29,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Irvine,Less than 50 percent,Cell,0.7778,0.2133,1.1944,3.9081,1.2554,2018-09-22 02:08:05
Dem,65 and older,Bachelors' degree,White,Male,White,Don't know,oppose,Disapp.,Dems. take House,Favorable,No,Don't know,Support,65 and older,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.98,1.0015,0.5587,1.0204,2018-09-22 02:08:50
Dem,35 to 49,Some college or trade school,Other,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,Other Non-White,Assembly Dist. 68,Less than 50 percent,Landline,1,0.4119,1.7154,3.2939,2.0176,2018-09-22 02:09:08
Rep,35 to 49,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.7526,1.0592,0.8787,1.1154,2018-09-22 02:11:59
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.8731,0.8788,0.5442,0.9055,2018-09-22 02:12:08
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9834,0.8274,0.472,0.8242,2018-09-22 02:13:11
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Unfavorable,Support,30 to 44,4-year College Grad.,Republican,Female,Not very likely,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,Unknown,Assembly Dist. 68,Less than 50 percent,Cell,0.6667,0.3048,1.4422,2.6402,0.8691,2018-09-22 02:14:23
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Irvine,85 percent or higher,Landline,1,0.9801,1.0965,0.6053,1.1109,2018-09-22 02:14:32
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,Unknown,Assembly Dist. 73/74,50 to 85 percent,Landline,1,0.5494,0.9575,1.1439,1.0646,2018-09-22 02:14:50
Rep,35 to 49,Bachelors' degree,White,Male,Black,Support,support,Disapp.,Dems. take House,Don't know,No,Favorable,Support,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,35 to 49,4-year College Grad.,White,Irvine,50 to 85 percent,Cell,1,0.5331,1.0494,1.1916,1.105,2018-09-22 02:16:09
Dem,65 and older,Bachelors' degree,Other,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,Other Non-White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9228,1.5097,1.2113,1.5452,2018-09-22 02:17:48
Und,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,oppose,Disapp.,Don't know,Don't know,No,Don't know,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Postgraduate Degree,Hispanic,Irvine,50 to 85 percent,Cell,0,0.598,0.8215,1.0702,0.6288,2018-09-22 02:19:45
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Support,support,Approve,Reps. keep House,Unfavorable,Don't know,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,[DO NOT READ] Don't know/Refused,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9712,1.0603,0.5214,1.0457,2018-09-22 02:19:45
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Postgraduate Degree,Hispanic,Assembly Dist. 68,85 percent or higher,Cell,1,0.916,0.6707,0.4348,0.6871,2018-09-22 02:20:03
Dem,18 to 34,Some college or trade school,White,Female,White,Oppose,Don't know,Disapp.,Dems. take House,Don't know,No,Don't know,Support,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 68,50 to 85 percent,Cell,0.8889,0.8196,0.8271,0.675,0.8232,2018-09-22 02:21:24
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Unknown,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.8349,0.8,0.6116,0.8089,2018-09-22 02:22:36
Rep,18 to 34,Some college or trade school,White,Female,White,Support,Don't know,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,18 to 29,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9284,0.7859,0.5198,0.793,2018-09-22 02:23:03
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9696,1.1154,0.7145,1.1283,2018-09-22 02:23:48
Dem,35 to 49,Some college or trade school,Asian,Male,Asian,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Oppose,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,35 to 49,No 4-year College Degree,Other Non-White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9536,1.059,0.7213,1.0806,2018-09-22 02:24:15
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Irvine,85 percent or higher,Landline,1,0.9889,0.86240000000000006,0.6168,0.8755,2018-09-22 02:25:45
Rep,65 and older,Some college or trade school,Hispanic,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Hispanic,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9716,0.9141,0.7466,0.9316,2018-09-22 02:26:57
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Irvine,50 to 85 percent,Cell,1,0.6759,0.8528,0.7961,0.8755,2018-09-22 02:29:21
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Disapp.,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.8985,1.0762,0.7164,1.0858,2018-09-22 02:31:09
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9851,0.7805,0.4801,0.7952,2018-09-22 02:32:57
Rep,50 to 64,High school,Hispanic,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Hispanic,Assembly Dist. 68,50 to 85 percent,Cell,1,0.8247,0.9582,0.7615,0.9952,2018-09-22 02:34:36
Rep,65 and older,Some college or trade school,Other,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Support,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Other Non-White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9075,1.3443,1.1049,1.3561,2018-09-22 02:34:54
Dem,18 to 34,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Irvine,50 to 85 percent,Cell,1,0.745,1.0019,0.7452,1.0568,2018-09-22 02:36:42
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Don't know,Don't know,No,Don't know,Support,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Landline,0.8889,0.9069,0.756,0.4104,0.7691,2018-09-22 02:39:24
Dem,50 to 64,Graduate or Professional Degree,Other,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Oppose,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Other Non-White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9886,1.141,0.8156,1.1626,2018-09-22 02:40:00
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,Asian,Oppose,oppose,Disapp.,Dems. take House,Don't know,Don't know,Unfavorable,Oppose,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,4-year College Grad.,White,Irvine,85 percent or higher,Landline,1,0.9864,1.1261,0.7264,1.1473,2018-09-22 02:41:21
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Oppose,oppose,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,Unknown,Assembly Dist. 68,Less than 50 percent,Cell,1,0.4176,1.4422,1.927,1.6916,2018-09-22 02:41:57
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.9597,0.8274,0.4837,0.8438,2018-09-22 02:44:03
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,No,Unfavorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.8655,0.8274,0.5363,0.8354,2018-09-22 02:48:00
Rep,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,Oppose,Don't know,Disapp.,Reps. keep House,Don't know,No,Favorable,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,35 to 49,Postgraduate Degree,Other Non-White,Irvine,50 to 85 percent,Landline,0.6667,0.8498,1.2376,1.1792,1.19,2018-09-22 02:48:45
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9889,1.0466,0.6784,1.0665,2018-09-22 02:48:54
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Support,support,Approve,Reps. keep House,Unfavorable,Don't know,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,Postgraduate Degree,White,Irvine,50 to 85 percent,Landline,0.7778,0.8485,0.8769,0.6084,0.8851,2018-09-22 02:49:12
