response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,West,85 percent or higher,Landline,1,0.9492,0.3443,0.1607,0.3443,2018-09-14 02:49:58
Und,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,Non-White,West,85 percent or higher,Cell,1,0.98,0.6705,0.2513,0.6654,2018-09-14 02:59:43
Und,35 to 49,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Don't know,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Dona Ana,Less than 50 percent,Cell,1,0.3838,1.0617,1.7647,1.2412,2018-09-14 03:01:24
Rep,18 to 34,Some college or trade school,White,Male,White,Support,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 34,White,West,50 to 85 percent,Cell,1,0.6502,0.9368,0.7401,0.9457,2018-09-14 03:03:57
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,East,50 to 85 percent,Landline,1,0.7798,0.4915,0.2397,0.4887,2018-09-14 03:17:24
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,West,50 to 85 percent,Landline,1,0.7733,1.114,0.5508,1.1444,2018-09-14 03:25:12
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Don't know,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Republican,Nonwhite,50 to 64,Non-White,West,50 to 85 percent,Cell,1,0.7624,1.3525,0.6547,1.3468,2018-09-14 03:25:57
Rep,65 and older,High school,Hispanic,Female,Other,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,Non-White,East,85 percent or higher,Landline,1,0.9259,1.5534,1.1058,1.557,2018-09-14 03:36:28
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Favorable,Unfavorable,disagree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,Non-White,West,85 percent or higher,Cell,1,0.9741,1.4469,0.9689,1.4443,2018-09-14 03:37:49
Dem,65 and older,High school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,East,Less than 50 percent,Cell,1,0.4285,1.4626,2.3725,1.6717,2018-09-14 03:38:16
Rep,65 and older,Bachelors' degree,Hispanic,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Non-White,West,85 percent or higher,Cell,1,0.9465,0.8294,0.5201,0.8295,2018-09-15 00:43:49
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,East,50 to 85 percent,Landline,1,0.802,0.764,0.5412,0.7805,2018-09-15 00:47:47
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Other,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Unfavorable,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Democrat,Nonwhite,50 to 64,Non-White,West,85 percent or higher,Cell,1,0.9703,1.293,0.5792,1.2814,2018-09-15 01:21:00
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,East,85 percent or higher,Cell,1,0.9425,1.5516,0.914,1.5343,2018-09-15 01:40:13
Und,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,East,85 percent or higher,Cell,1,0.9767,0.4445,0.1824,0.4409,2018-09-15 01:58:53
Dem,65 and older,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,West,85 percent or higher,Cell,1,0.9797,0.7514,0.2905,0.7457,2018-09-15 02:11:04
Und,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Non-White,Dona Ana,Less than 50 percent,Cell,1,0.1614,0.9459,3.1714,1.346,2018-09-15 02:29:37
Rep,35 to 49,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,East,Less than 50 percent,Cell,1,0.2746,0.9657,2.7542,1.2139,2018-09-15 16:32:14
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,agree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.9481,0.925,0.3583,0.925,2018-09-15 16:32:23
Und,35 to 49,High school,Hispanic,Female,Hispanic,Oppose,disagree,Don't know,oppose,Oppose,disagree,Don't know,Don't know,Don't know,disagree,30 to 44,High School Grad. or Less,Democratic,Female,Not at all likely,Independent (No party),Nonwhite,18 to 34,Non-White,West,50 to 85 percent,Landline,0,0.6998,2.5923,2.0377,1.0289,2018-09-15 16:46:51
Dem,65 and older,High school,White,Female,White,Support,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",65 and older,White,West,Less than 50 percent,Landline,1,0.3558,1.085,1.6614,0.987,2018-09-15 16:47:09
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,Don't know,Reps. keep House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,West,85 percent or higher,Cell,1,0.9836,0.5202,0.2946,0.5166,2018-09-15 16:48:48
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Don't know,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,West,50 to 85 percent,Landline,1,0.7203,0.8783,0.4925,0.9124,2018-09-15 16:50:54
Rep,50 to 64,Grade school,Unknown,Male,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,Unknown,West,50 to 85 percent,Cell,1,0.6064,2.8965,2.4165,3.0987,2018-09-15 16:52:33
Dem,65 and older,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Dona Ana,85 percent or higher,Landline,1,0.9929,1.442,0.3905,1.4398,2018-09-15 16:53:09
Rep,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Oppose,agree,Don't know,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Not very likely,Independent (No party),Nonwhite,35 to 49,White,Dona Ana,Less than 50 percent,Cell,0.6667,0.223,0.6962,1.5236,0.3987,2018-09-15 17:03:53
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Dona Ana,85 percent or higher,Cell,1,0.9726,0.6105,0.2329,0.6094,2018-09-15 17:06:44
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Support,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,West,50 to 85 percent,Cell,1,0.6781,0.4916,0.266,0.5158,2018-09-15 17:09:17
Rep,50 to 64,High school,White,Female,White,Oppose,disagree,Approve,oppose,Support,Don't know,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,West,85 percent or higher,Cell,1,0.8904,1.4878,0.7595,1.4981,2018-09-15 17:09:44
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,East,85 percent or higher,Cell,1,0.9808,0.7181,0.3884,0.7166,2018-09-15 17:10:11
Dem,50 to 64,High school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,West,85 percent or higher,Landline,1,0.9692,1.7798,0.6807,1.777,2018-09-15 17:10:11
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,agree,Approve,support,Oppose,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,West,85 percent or higher,Cell,1,0.928,0.8493,0.4082,0.8511,2018-09-15 17:11:23
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,Black,Support,agree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,or as a member of another political party,Nonwhite,65 and older,Unknown,East,85 percent or higher,Cell,1,0.9506,0.4321,0.3061,0.432,2018-09-15 17:11:32
Rep,65 and older,High school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,West,50 to 85 percent,Landline,1,0.5496,1.5386,1.1519,1.6757,2018-09-15 17:12:26
Rep,50 to 64,Some college or trade school,White,Female,White,Support,disagree,Approve,Don't know,Support,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,East,Less than 50 percent,Landline,1,0.4236,0.7021,1.1172,0.8044,2018-09-15 17:13:20
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Unfavorable,Don't know,disagree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.8531,0.925,0.3976,0.9153,2018-09-15 17:13:29
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Support,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,West,85 percent or higher,Landline,1,0.9388,0.3443,0.1624,0.3404,2018-09-15 17:16:11
Und,50 to 64,Some college or trade school,White,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,50 to 64,White,West,85 percent or higher,Cell,1,0.9844,0.811,0.3356,0.8055,2018-09-15 17:16:28
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,West,50 to 85 percent,Landline,1,0.8384,0.473,0.2335,0.4801,2018-09-15 17:16:37
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.9755,0.6114,0.3091,0.6103,2018-09-15 17:17:22
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,agree,Approve,support,Oppose,agree,Reps. keep House,Unfavorable,Don't know,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dona Ana,85 percent or higher,Cell,1,0.854,0.7383,0.3549,0.7475,2018-09-15 17:18:16
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.9423,0.6114,0.3198,0.6118,2018-09-15 17:18:43
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Non-White,Dona Ana,50 to 85 percent,Cell,1,0.8315,1.0197,0.5481,1.0363,2018-09-15 17:20:31
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Dona Ana,50 to 85 percent,Landline,1,0.7911,0.6977,0.2398,0.7142,2018-09-15 17:21:43
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,West,85 percent or higher,Landline,1,0.9688,0.811,0.3409,0.8035,2018-09-15 17:22:28
Dem,50 to 64,High school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,West,Less than 50 percent,Cell,1,0.362,1.6915,1.8655,2.002,2018-09-15 17:22:37
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,West,50 to 85 percent,Landline,1,0.5464,0.588,0.3206,0.6411,2018-09-15 17:24:34
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Unknown,West,85 percent or higher,Cell,1,0.9906,0.7537,0.2815,0.7524,2018-09-15 17:26:40
Rep,65 and older,Bachelors' degree,White,Female,White,Support,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,West,50 to 85 percent,Landline,1,0.7084,0.8783,0.5007,0.9149,2018-09-15 17:28:28
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,East,85 percent or higher,Landline,1,0.9578,0.3681,0.1846,0.3678,2018-09-15 17:31:05
Rep,50 to 64,High school,White,Male,Hispanic,Oppose,disagree,Approve,Don't know,Support,agree,Don't know,Unfavorable,Favorable,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,White,West,85 percent or higher,Cell,1,0.9042,1.7965,0.7534,1.8055,2018-09-15 17:34:50
Rep,50 to 64,High school,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Dona Ana,85 percent or higher,Landline,1,0.9135,1.7488,0.771,1.7554,2018-09-15 17:34:50
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,East,85 percent or higher,Landline,1,0.9151,0.4404,0.1882,0.442,2018-09-15 17:35:08
Dem,18 to 34,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Dona Ana,50 to 85 percent,Cell,1,0.5013,1.3796,1.1182,1.5289,2018-09-15 17:36:47
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Unfavorable,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,West,Less than 50 percent,Cell,1,0.4864,0.6252,0.7024,0.6969,2018-09-15 17:37:32
Und,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Oppose,disagree,Don't know,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,35 to 49,Non-White,Dona Ana,50 to 85 percent,Cell,0.7778,0.5033,1.863,1.9921,1.7846,2018-09-15 17:37:50
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.991,0.7315,0.2968,0.7302,2018-09-15 17:42:47
Rep,65 and older,Some college or trade school,White,Male,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,East,85 percent or higher,Landline,1,0.8711,0.6716,0.3884,0.6781,2018-09-15 17:44:35
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Dona Ana,Less than 50 percent,Cell,1,0.419,0.514,0.5807,0.5902,2018-09-15 17:48:27
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Non-White,East,Less than 50 percent,Cell,1,0.211,0.8906,3.6495,1.0569,2018-09-15 17:49:03
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Favorable,Don't know,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Dona Ana,50 to 85 percent,Cell,1,0.765,0.8729,0.4697,0.8982,2018-09-15 17:49:21
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Dona Ana,85 percent or higher,Landline,0.8889,0.9224,0.4842,0.1677,0.4821,2018-09-15 17:51:45
Und,50 to 64,Some college or trade school,White,Female,White,Oppose,Don't know,Approve,oppose,Don't know,disagree,Reps. keep House,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,East,50 to 85 percent,Landline,1,0.8463,0.794,0.4745,0.8048,2018-09-15 17:56:42
Rep,65 and older,Bachelors' degree,White,Female,White,Support,disagree,Approve,Don't know,Support,disagree,Reps. keep House,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,East,85 percent or higher,Landline,1,0.86240000000000006,0.7033,0.4503,0.7111,2018-09-15 17:57:36
Dem,18 to 34,High school,White,Male,White,Oppose,disagree,Don't know,support,Oppose,disagree,Don't know,Favorable,Don't know,disagree,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Dona Ana,Less than 50 percent,Landline,1,0.2548,2.1573,4.8276,2.758,2018-09-15 17:58:12
Dem,65 and older,Some college or trade school,White,Male,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,West,50 to 85 percent,Landline,1,0.7458,0.8629,0.5039,0.8606,2018-09-15 17:58:21
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Dona Ana,85 percent or higher,Landline,1,0.9343,0.6251,0.1871,0.626,2018-09-15 18:00:27
