response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,1.211,0.9541,1.188,2018-10-30 03:00:49
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.97,0.592,0.4731,0.5808,2018-10-30 03:01:07
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.97,0.8578,0.5566,0.8373,2018-10-30 03:01:24
Rep,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,35 to 49,Postgraduate Degree,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.1785,0.5435,2.0747,0.6498,2018-10-30 03:03:58
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9582,1.1845,0.744,1.1645,2018-10-30 03:08:28
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Laguna Beach/South,85 percent or higher,Cell,1,0.9427,0.7964,0.4675,0.77,2018-10-30 03:08:55
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,Unknown,Newport Beach,85 percent or higher,Cell,1,0.8683,0.6664,0.493,0.6678,2018-10-30 03:09:49
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.943,0.7291,0.4514,0.7049,2018-10-30 03:10:52
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9269,0.6742,0.3731,0.6606,2018-10-30 03:11:01
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Costa Mesa/North,85 percent or higher,Cell,1,0.956,0.9669,0.6196,0.9447,2018-10-30 03:11:19
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Laguna Beach/South,50 to 85 percent,Cell,1,0.639,0.801,0.7441,0.8302,2018-10-30 03:13:34
Rep,35 to 49,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,35 to 49,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9441,0.8359,0.4839,0.8176,2018-10-30 03:15:22
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Newport Beach,85 percent or higher,Landline,1,0.97,1.3979,0.7851,1.3715,2018-10-30 03:15:43
Und,50 to 64,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Already voted,or as a member of another political party,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Huntington Beach/Fountain Valley,Less than 50 percent,Landline,1,0.158,1.0683,3.2434,1.6542,2018-10-30 03:17:13
Rep,65 and older,Graduate or Professional Degree,White,Male,Other,Don't know,Don't know,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,[DO NOT READ] Refused,Nonwhite,65 and older,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.961,0.8578,0.5618,0.8429,2018-10-30 03:18:57
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Hispanic,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9657,0.5364,0.2536,0.5237,2018-10-30 03:19:28
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.97,0.7181,0.4811,0.7045,2018-10-30 03:20:31
Rep,50 to 64,Bachelors' degree,White,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Already voted,Independent (No party),Nonwhite,50 to 64,4-year College Grad.,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9324,1.2033,0.6876,1.1889,2018-10-30 03:20:40
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Newport Beach,85 percent or higher,Cell,1,0.97,0.8203,0.5843,0.8048,2018-10-30 03:22:19
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9367,0.7194,0.4745,0.6954,2018-10-30 03:22:55
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Newport Beach,50 to 85 percent,Landline,1,0.6214,0.7993,0.8065,0.8324,2018-10-30 03:23:49
Rep,65 and older,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,Nonwhite,65 and older,No 4-year College Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9493,1.344,1.0077,1.3236,2018-10-30 03:24:52
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.9376,0.6199,0.4123,0.6067,2018-10-30 03:25:55
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Costa Mesa/North,85 percent or higher,Landline,1,0.97,1.5547,1.2786,1.5176,2018-10-30 03:27:43
Und,65 and older,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Laguna Beach/South,85 percent or higher,Landline,1,0.97,1.3129,1.1083,1.2881,2018-10-30 03:28:37
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Hispanic,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9592,0.5686,0.3132,0.5554,2018-10-30 03:28:55
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.2643,1.0153,3.0146,1.3598,2018-10-30 03:31:33
Rep,50 to 64,Graduate or Professional Degree,White,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,White,Newport Beach,85 percent or higher,Landline,1,0.97,0.7992,0.4249,0.7801,2018-10-30 03:32:37
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9509,0.9226,0.5595,0.9082,2018-10-30 03:33:49
Und,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,No 4-year College Degree,Hispanic,Costa Mesa/North,85 percent or higher,Landline,1,0.8724,1.3854,0.8932,1.3674,2018-10-30 03:35:01
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Landline,1,0.97,0.9219,0.6448,0.9045,2018-10-30 03:35:10
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9459,0.811,0.5155,0.7931,2018-10-30 03:36:22
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Landline,1,0.9663,0.6681,0.4169,0.6559,2018-10-30 03:37:25
Rep,50 to 64,Graduate or Professional Degree,White,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,White,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9083,0.6303,0.3615,0.626,2018-10-30 03:38:28
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Newport Beach,85 percent or higher,Landline,1,0.97,1.2982,0.7116,1.2672,2018-10-30 03:39:49
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Laguna Beach/South,85 percent or higher,Cell,1,0.9461,0.9073,0.6621,0.8941,2018-10-30 03:40:34
Rep,65 and older,Graduate or Professional Degree,Other,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,Other Non-White,Costa Mesa/North,85 percent or higher,Landline,1,0.97,1.1196,0.7291,1.0929,2018-10-30 03:40:43
Rep,35 to 49,Bachelors' degree,White,Female,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,35 to 49,4-year College Grad.,White,Laguna Beach/South,85 percent or higher,Landline,1,0.9633,0.7649,0.482,0.7469,2018-10-30 03:42:58
Rep,35 to 49,High school,White,Male,Asian,Don't know,Don't know,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),Nonwhite,35 to 49,No 4-year College Degree,White,Huntington Beach/Fountain Valley,50 to 85 percent,Cell,1,0.8183,1.0353,0.9624,1.0035,2018-10-30 03:44:51
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Huntington Beach/Fountain Valley,Less than 50 percent,Cell,1,0.346,0.7196,1.3914,0.8407,2018-10-30 03:45:09
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Laguna Beach/South,85 percent or higher,Landline,1,0.97,1.2299,1.0023,1.2066,2018-10-30 03:46:33
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,Unknown,Huntington Beach/Fountain Valley,85 percent or higher,Cell,1,0.9388,0.9292,0.5107,0.9093,2018-10-30 03:50:24
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Costa Mesa/North,85 percent or higher,Cell,1,0.9455,0.7851,0.4968,0.7737,2018-10-30 04:03:12
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,Unknown,Laguna Beach/South,85 percent or higher,Cell,1,0.9043,1.0384,0.8093,1.0203,2018-10-30 04:03:21
