response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_party_model,file_race_white,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Unfavorable,agree,no,disagree,agree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,35 to 49,Probably Trump,White,50 to 85 percent,Cell,1,0.8146,0.6373,0.5614,0.6656,2018-09-10 20:25:51
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,yes,agree,disagree,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Duluth,18 to 34,Unknown,White,Less than 50 percent,Cell,1,0.4824,0.9789,1.6523,1.0474,2018-09-10 20:27:21
Rep,35 to 49,Bachelors' degree,Hispanic,Female,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,35 to 49,Unknown,Non-White,85 percent or higher,Cell,1,0.9419,0.6667,0.5095,0.6835,2018-09-10 20:26:36
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,50 to 85 percent,Cell,0.7778,0.6169,0.7631,0.9327,0.7919,2018-09-10 20:22:06
Rep,65 and older,Some college or trade school,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Unknown,White,85 percent or higher,Cell,0.8889,0.9619,1.0778,0.8735,1.0875,2018-09-10 20:25:42
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,disagree,no,agree,disagree,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Minn. Exurbs,50 to 64,Probably Trump,Unknown,Less than 50 percent,Cell,0.6667,0.4049,1.046,1.8496,0.9834,2018-09-10 20:30:30
Rep,65 and older,High school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,yes,disagree,disagree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Cell,1,0.9919,1.3365,1.0604,1.3673,2018-09-10 20:29:00
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Unfavorable,agree,no,agree,disagree,18 to 29,Some College Educ.,Other,Female,Not very likely,Republican,"White, No 4-Year College Degree",White,Rest,18 to 34,Unknown,White,Less than 50 percent,Cell,0.1111,0.4308,0.6734,1.4678,0.2719,2018-09-10 20:29:27
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Duluth,35 to 49,Unknown,White,50 to 85 percent,Cell,1,0.8311,1.016,0.9472,1.058,2018-09-10 20:26:18
Rep,35 to 49,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Reps. keep House,Favorable,Favorable,agree,yes,disagree,agree,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,Duluth,35 to 49,Unknown,White,50 to 85 percent,Cell,0.7778,0.8461,0.9375,0.7221,0.8598,2018-09-10 20:18:21
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,Duluth,35 to 49,Unknown,White,85 percent or higher,Cell,1,0.9152,1.299,1.1504,1.3359,2018-09-10 20:21:57
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,Iron Range,35 to 49,Unknown,White,85 percent or higher,Cell,1,0.8743,0.7977,0.7053,0.8082,2018-09-10 20:26:09
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,Don't know,no,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Cell,1,0.9971,0.8945,0.5794,0.9158,2018-09-10 20:25:51
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Approve,support,disagree,Don't know,Don't know,Don't know,agree,yes,disagree,disagree,18 to 29,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Duluth,18 to 34,Probably Clinton,White,50 to 85 percent,Cell,0.6667,0.7317,0.8127,0.7109,0.7711,2018-09-10 20:30:21
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Iron Range,35 to 49,Unknown,White,50 to 85 percent,Cell,1,0.8119,0.7474,0.656,0.781,2018-09-10 20:23:09
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,agree,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Cell,1,0.985,0.8945,0.5866,0.9148,2018-09-10 20:24:03
Dem,50 to 64,High school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Minn. Exurbs,50 to 64,Probably Trump,White,50 to 85 percent,Cell,0.6667,0.7698,1.4979,1.3647,1.2892,2018-09-10 20:17:36
Und,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,Most Trump,White,85 percent or higher,Cell,1,0.9159,1.0028,0.8973,1.0312,2018-09-10 20:28:06
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,yes,agree,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,Unknown,85 percent or higher,Cell,1,0.9953,1.2476,0.951,1.2769,2018-09-10 20:23:45
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,agree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Iron Range,18 to 34,Probably Clinton,Non-White,50 to 85 percent,Cell,0.7778,0.5188,0.6217,1.0698,0.6095,2018-09-10 20:30:03
Und,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Rest,65 and older,Probably Trump,White,50 to 85 percent,Landline,1,0.5329,0.6556,0.7159,0.7359,2018-09-10 20:21:03
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,no,agree,agree,18 to 29,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,Minn. Exurbs,18 to 34,Probably Trump,White,50 to 85 percent,Cell,0.4444,0.5709,1.1934,1.5954,0.7104,2018-09-10 20:31:33
Rep,50 to 64,High school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,65 and older,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,85 percent or higher,Landline,0.8889,0.9283,1.4247,1.1906,1.4306,2018-09-10 20:31:42
Und,50 to 64,Grade school,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,agree,no,agree,disagree,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,Probably Trump,White,Less than 50 percent,Cell,0.4444,0.4648,1.0007,1.7101,0.6714,2018-09-10 20:29:18
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,support,agree,Dems. take House,Don't know,Don't know,agree,yes,agree,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Minn. Exurbs,35 to 49,Unknown,White,Less than 50 percent,Cell,1,0.4226,0.7796,1.2486,0.9156,2018-09-10 20:31:15
Und,65 and older,High school,Unknown,Female,White,Disapp.,support,disagree,Don't know,Don't know,Don't know,Don't know,no,Don't know,disagree,65 and older,High School Grad. or Less,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,Unknown,Less than 50 percent,Landline,0.5556,0.3782,0.9197,1.9385,0.6446,2018-09-10 20:23:27
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,Don't know,no,Don't know,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,35 to 49,Probably Trump,White,50 to 85 percent,Landline,0.7778,0.8189,0.7386,0.6137,0.7496,2018-09-10 20:16:51
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.8977,0.6997,0.492,0.7212,2018-09-10 20:20:54
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Cell,1,0.9932,0.7202,0.4913,0.7369,2018-09-10 20:22:42
Rep,65 and older,High school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,disagree,no,agree,disagree,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9388,1.6288,1.349,1.6706,2018-09-10 20:17:00
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Unfavorable,Favorable,agree,yes,agree,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,50 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.9682,1.3501,1.1161,1.3706,2018-09-10 20:27:57
Rep,35 to 49,Some college or trade school,Unknown,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,35 to 49,Probably Trump,Unknown,50 to 85 percent,Cell,0.8889,0.8304,1.3,1.2258,1.2989,2018-09-10 20:31:15
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Minn. Exurbs,50 to 64,Most Trump,White,50 to 85 percent,Cell,1,0.5458,1.0704,1.4196,1.1961,2018-09-10 20:16:51
Und,65 and older,High school,White,Female,White,Disapp.,support,agree,Dems. take House,Don't know,Don't know,disagree,no,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.9569,1.7455,1.4261,1.7873000000000001,2018-09-10 20:27:03
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Don't know,Don't know,no,agree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Minn. Exurbs,50 to 64,Most Trump,White,85 percent or higher,Landline,1,0.8957,1.227,0.8127,1.265,2018-09-10 20:29:45
Rep,65 and older,High school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,disagree,65 and older,High School Grad. or Less,Other,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,White,50 to 85 percent,Cell,0,0.5571,0.9019,1.2848,0.3014,2018-09-10 20:21:57
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,Probably Trump,White,50 to 85 percent,Landline,0.8889,0.6194,0.7737,1.0346,0.7803,2018-09-10 20:26:00
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Minn. Exurbs,50 to 64,Most Trump,White,85 percent or higher,Cell,1,0.9892,1.227,0.7358,1.255,2018-09-10 20:26:36
Dem,50 to 64,High school,White,Male,White,Approve,support,agree,Dems. take House,Don't know,Don't know,agree,no,agree,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Minn. Exurbs,50 to 64,Probably Trump,White,50 to 85 percent,Cell,1,0.6475,1.4979,1.6224,1.6233,2018-09-10 20:28:51
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,support,disagree,Reps. keep House,Favorable,Unfavorable,agree,no,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,35 to 49,Probably Clinton,Unknown,85 percent or higher,Landline,1,0.8694,0.9024,0.7795,0.934,2018-09-10 20:18:57
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Don't know,agree,yes,disagree,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,Probably Trump,White,50 to 85 percent,Cell,1,0.8217,0.8274,0.8284,0.8631,2018-09-10 20:22:42
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,50 to 64,Probably Clinton,White,85 percent or higher,Landline,1,0.9959,0.9795,0.8882,1.0007,2018-09-10 20:17:00
Und,50 to 64,Some college or trade school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,no,agree,agree,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,50 to 64,Probably Trump,White,85 percent or higher,Cell,1,0.9076,1.1801,1.1463,1.2147,2018-09-10 20:26:27
Dem,65 and older,High school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Don't know,disagree,no,disagree,disagree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,White,85 percent or higher,Landline,1,0.9976,1.1532,0.9596,1.1809,2018-09-10 20:21:12
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,35 to 49,Probably Clinton,Unknown,85 percent or higher,Cell,1,0.8688,1.3562,1.0335,1.4037,2018-09-10 20:25:15
Und,50 to 64,High school,Unknown,Female,White,Approve,support,agree,Don't know,Don't know,Don't know,agree,yes,agree,agree,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,Unknown,Unknown,50 to 85 percent,Landline,0,0.5903,1.0368,1.3905,0.3615,2018-09-10 20:20:00
