response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,educ3,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Somewhat likely,Independent (No party),Nonwhite,South Miami-Dade,18 to 34,4-year College Grad.,Hispanic,50 to 85 percent,Cell,0.7778,0.527,1.0454,0.6041,0.8437,2018-10-23 14:04:33
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,North Miami-Dade,50 to 64,4-year College Grad.,Hispanic,Less than 50 percent,Cell,1,0.4656,0.8202,0.901,0.9583,2018-10-23 14:04:33
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Monroe,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.97,1.429,0.742,1.4111,2018-10-23 14:04:42
Rep,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,North Miami-Dade,50 to 64,4-year College Grad.,Hispanic,50 to 85 percent,Landline,0.7778,0.6396,0.8077,0.5078,0.8062,2018-10-23 14:04:42
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Monroe,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.97,0.8977,0.3348,0.8864,2018-10-23 14:04:51
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",North Miami-Dade,65 and older,Postgraduate Degree,White,50 to 85 percent,Landline,1,0.7651,0.5592,0.2262,0.5691,2018-10-23 14:05:00
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",North Miami-Dade,18 to 34,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.1482,1.2556,5.4266,1.572,2018-10-23 14:05:00
Dem,[DO NOT READ] Refused,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,South Miami-Dade,35 to 49,No 4-year College Degree,Other Non-White,Less than 50 percent,Landline,1,0.4547,0.8924,1.3329,0.9969,2018-10-23 14:05:00
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",North Miami-Dade,65 and older,4-year College Grad.,White,85 percent or higher,Landline,1,0.97,1.0492,0.3788,1.036,2018-10-23 14:05:00
Rep,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Don't know,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,North Miami-Dade,50 to 64,4-year College Grad.,Hispanic,50 to 85 percent,Cell,1,0.8446,0.8077,0.3845,0.81,2018-10-23 14:05:00
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,North Miami-Dade,65 and older,Postgraduate Degree,Hispanic,85 percent or higher,Cell,1,0.9082,0.71,0.274,0.7054,2018-10-23 14:05:09
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,North Miami-Dade,50 to 64,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.97,1.4115,0.8025,1.3834,2018-10-23 14:05:18
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,North Miami-Dade,18 to 34,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.8755,1.5211,0.9597,1.5181,2018-10-23 14:05:18
Dem,50 to 64,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,South Miami-Dade,50 to 64,No 4-year College Degree,Other Non-White,50 to 85 percent,Landline,1,0.7475,1.1472,0.8065,1.1316,2018-10-23 14:05:18
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Monroe,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.97,0.6117,0.195,0.6071,2018-10-23 14:05:18
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",North Miami-Dade,50 to 64,4-year College Grad.,Unknown,85 percent or higher,Cell,1,0.9252,1.1678,0.8242,1.169,2018-10-23 14:05:18
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Monroe,50 to 64,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.6258,0.3497,0.1757,0.3807,2018-10-23 14:05:18
Rep,65 and older,Some college or trade school,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Monroe,65 and older,No 4-year College Degree,Hispanic,85 percent or higher,Landline,1,0.9549,1.6816,0.8798,1.6622,2018-10-23 14:05:18
Rep,65 and older,Graduate or Professional Degree,Hispanic,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,North Miami-Dade,65 and older,Postgraduate Degree,Hispanic,85 percent or higher,Cell,1,0.97,0.6797,0.2464,0.6711,2018-10-23 14:05:18
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",South Miami-Dade,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.97,2.114,1.0724,2.0875,2018-10-23 14:05:18
Dem,35 to 49,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,South Miami-Dade,35 to 49,4-year College Grad.,Other Non-White,85 percent or higher,Cell,1,0.97,0.6331,0.2458,0.6252,2018-10-23 14:05:27
Dem,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,North Miami-Dade,35 to 49,No 4-year College Degree,Hispanic,50 to 85 percent,Cell,1,0.5637,1.2169,1.1452,1.3047,2018-10-23 14:05:27
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Monroe,65 and older,4-year College Grad.,Unknown,50 to 85 percent,Cell,1,0.7287,1.4832,1.3976,1.5211,2018-10-23 14:05:27
Dem,50 to 64,Grade school,Hispanic,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,North Miami-Dade,50 to 64,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,1,0.3199,1.2174,2.3537,1.3331,2018-10-23 14:05:27
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Female,Somewhat likely,Republican,Nonwhite,South Miami-Dade,35 to 49,4-year College Grad.,Hispanic,Less than 50 percent,Cell,0.7778,0.4357,0.8352,0.9064,0.6626,2018-10-23 14:05:27
Rep,65 and older,Bachelors' degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,Nonwhite,Southeast,65 and older,4-year College Grad.,Hispanic,Less than 50 percent,Cell,1,0.4061,1.3383,1.5429,1.5295,2018-10-23 14:05:27
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,North Miami-Dade,35 to 49,Postgraduate Degree,Hispanic,85 percent or higher,Cell,1,0.9489,0.4102,0.1582,0.4057,2018-10-23 14:05:36
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Monroe,65 and older,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.406,1.3218,2.1173,1.5108,2018-10-23 14:05:36
Rep,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,Nonwhite,North Miami-Dade,65 and older,Postgraduate Degree,Hispanic,85 percent or higher,Cell,1,0.97,0.71,0.2565,0.6959,2018-10-23 14:05:36
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,North Miami-Dade,35 to 49,4-year College Grad.,Hispanic,50 to 85 percent,Cell,1,0.8256,0.7279,0.3726,0.7457,2018-10-23 14:05:45
Rep,35 to 49,Some college or trade school,Black,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,South Miami-Dade,35 to 49,No 4-year College Degree,Other Non-White,50 to 85 percent,Cell,1,0.5503,0.9846,1.0962,1.0603,2018-10-23 14:05:54
Rep,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Reps. keep House,Unfavorable,Unfavorable,18 to 29,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,North Miami-Dade,18 to 34,4-year College Grad.,Hispanic,Less than 50 percent,Cell,1,0.3318,0.8462,1.3109,1.0091,2018-10-23 14:05:54
Dem,50 to 64,High school,Black,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Already voted,Democrat,Nonwhite,South Miami-Dade,50 to 64,No 4-year College Degree,Other Non-White,85 percent or higher,Cell,1,0.9,1.1183,0.6197,1.1255,2018-10-23 14:05:54
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Don't know,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,South Miami-Dade,35 to 49,4-year College Grad.,Other Non-White,50 to 85 percent,Cell,1,0.7947,0.5767,0.2774,0.5665,2018-10-23 14:06:03
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,South Miami-Dade,35 to 49,No 4-year College Degree,Other Non-White,Less than 50 percent,Landline,1,0.492,0.8924,1.232,0.9817,2018-10-23 14:06:03
Dem,50 to 64,Bachelors' degree,Hispanic,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,South Miami-Dade,50 to 64,4-year College Grad.,Hispanic,85 percent or higher,Cell,1,0.9651,1.148,0.3711,1.1246,2018-10-23 14:06:12
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,North Miami-Dade,35 to 49,Postgraduate Degree,Hispanic,Less than 50 percent,Cell,1,0.4962,0.3964,0.3763,0.4353,2018-10-23 14:06:12
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Monroe,35 to 49,4-year College Grad.,White,85 percent or higher,Cell,1,0.9006,0.5277,0.191,0.5248,2018-10-23 14:06:12
Rep,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,North Miami-Dade,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.97,0.404,0.1458,0.3989,2018-10-23 14:06:21
Rep,50 to 64,Graduate or Professional Degree,Black,Female,Hispanic,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,South Miami-Dade,50 to 64,Postgraduate Degree,Other Non-White,50 to 85 percent,Cell,1,0.6596,0.4037,0.2017,0.4209,2018-10-23 14:06:21
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Democrat,Nonwhite,North Miami-Dade,50 to 64,Postgraduate Degree,Hispanic,85 percent or higher,Landline,1,0.9682,0.5216,0.168,0.5178,2018-10-23 14:06:21
Dem,35 to 49,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,South Miami-Dade,35 to 49,No 4-year College Degree,Other Non-White,85 percent or higher,Landline,1,0.97,1.0078,0.5447,0.9952,2018-10-23 14:06:21
