response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",Brooklyn,18 to 34,White,Less than 50 percent,Cell,0,0.3327,0.7137,1.1371,0.1797,2018-10-23 23:05:29
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,White,Less than 50 percent,Landline,1,0.0702,1.8532,6.8434,1.9579,2018-10-23 23:06:41
Dem,18 to 34,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,18 to 34,Unknown,85 percent or higher,Landline,1,0.9462,0.8653,0.2758,0.863,2018-10-23 23:07:26
Rep,65 and older,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,65 and older,Other Non-White,50 to 85 percent,Landline,1,0.8433,1.021,0.4948,1.0325,2018-10-23 23:08:56
Und,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",Staten Island,35 to 49,Unknown,Less than 50 percent,Landline,1,0.0647,0.897,4.3281,1.5902,2018-10-23 23:10:35
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Staten Island,50 to 64,White,Less than 50 percent,Landline,1,0.4202,0.862,1.1939,0.9863,2018-10-23 23:12:05
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Staten Island,50 to 64,White,Less than 50 percent,Cell,1,0.4268,0.9519,1.2761,1.0074,2018-10-23 23:14:38
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,35 to 49,White,85 percent or higher,Landline,1,0.9207,0.895,0.3138,0.895,2018-10-23 23:15:14
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",Staten Island,65 and older,White,Less than 50 percent,Landline,0.2222,0.2913,1.0776,1.9988,0.5383,2018-10-23 23:17:34
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Staten Island,50 to 64,White,50 to 85 percent,Cell,1,0.8215,0.9374,0.4339,0.9515,2018-10-23 23:18:37
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,Unknown,85 percent or higher,Landline,1,0.9512,1.1511,0.3981,1.1474,2018-10-23 23:19:04
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",Staten Island,50 to 64,White,Less than 50 percent,Cell,0,0.3433,1.0168,1.1877,0.2589,2018-10-23 23:22:49
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,50 to 64,White,85 percent or higher,Landline,1,0.97,0.802,0.2,0.7984,2018-10-23 23:23:43
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,50 to 64,White,50 to 85 percent,Landline,1,0.8461,0.8249,0.1963,0.8338,2018-10-23 23:25:40
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Brooklyn,65 and older,White,50 to 85 percent,Landline,1,0.7202,0.9794,0.3789,1.0417,2018-10-23 23:28:31
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,35 to 49,White,50 to 85 percent,Cell,1,0.805,0.7065,0.3482,0.7193,2018-10-23 23:28:40
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Staten Island,50 to 64,White,Less than 50 percent,Landline,1,0.3645,1.8641,2.7612,2.1967,2018-10-23 23:29:34
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Staten Island,35 to 49,White,50 to 85 percent,Landline,1,0.7157,1.034,0.3946,1.0722,2018-10-23 23:30:37
Rep,65 and older,High school,Other,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,65 and older,Other Non-White,50 to 85 percent,Landline,1,0.7762,1.4514,0.9005,1.4858,2018-10-23 23:35:41
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Brooklyn,50 to 64,White,85 percent or higher,Landline,1,0.8816,0.7488,0.2961,0.7527,2018-10-23 23:38:32
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.8583,0.7067,0.3296,0.6972,2018-10-23 23:39:26
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Somewhat likely,Independent (No party),Nonwhite,Staten Island,35 to 49,Hispanic,Less than 50 percent,Landline,0.4444,0.4273,1.1779,1.3929,0.7559,2018-10-23 23:49:15
Und,65 and older,[DO NOT READ] Refused,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,65 and older,White,50 to 85 percent,Landline,1,0.6428,0.7254,0.2174,0.7659,2018-10-23 23:54:12
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Brooklyn,50 to 64,White,85 percent or higher,Landline,1,0.9054,0.6545,0.3425,0.6558,2018-10-23 23:54:39
Rep,65 and older,Bachelors' degree,Other,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Staten Island,65 and older,Other Non-White,85 percent or higher,Cell,1,0.9604,1.0137,0.3705,1.0098,2018-10-23 23:55:42
Und,18 to 34,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",Brooklyn,18 to 34,White,Less than 50 percent,Landline,1,0.2643,0.8127,1.501,0.9252,2018-10-23 23:59:18
Und,65 and older,High school,Hispanic,Female,Black,Don't know,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,65 and older,Hispanic,50 to 85 percent,Landline,1,0.7791,2.0471,1.189,2.0944,2018-10-24 00:05:18
Rep,65 and older,Grade school,White,Male,Other,Disapp.,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Very likely,Republican,Nonwhite,Staten Island,65 and older,White,Less than 50 percent,Landline,0.6667,0.3473,1.262,1.9143,1.1611,2018-10-24 00:06:57
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,65 and older,White,50 to 85 percent,Landline,1,0.7664,0.8229,0.338,0.844,2018-10-24 00:18:33
Dem,35 to 49,Graduate or Professional Degree,Other,Female,Asian,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,35 to 49,Other Non-White,50 to 85 percent,Cell,1,0.8474,1.1808,0.45,1.1933,2018-10-24 00:19:20
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Dems. take House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,18 to 34,White,Less than 50 percent,Cell,1,0.3567,0.6599,0.7134,0.7812,2018-10-24 00:19:47
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Brooklyn,50 to 64,White,85 percent or higher,Landline,1,0.9693,0.7453,0.3355,0.742,2018-10-24 00:23:39
Rep,50 to 64,Graduate or Professional Degree,Other,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,Staten Island,35 to 49,Other Non-White,85 percent or higher,Cell,1,0.9514,0.9535,0.3574,0.9505,2018-10-24 00:24:17
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,18 to 34,Hispanic,Less than 50 percent,Landline,1,0.2427,1.0871,2.232,1.4012,2018-10-24 00:25:45
Rep,35 to 49,Some college or trade school,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Brooklyn,35 to 49,Other Non-White,85 percent or higher,Cell,1,0.9365,0.9136,0.5886,0.912,2018-10-24 00:30:08
3,18 to 34,Bachelors' degree,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Brooklyn,18 to 34,White,85 percent or higher,Cell,0.6667,0.9638,0.6462,0.2406,0.6265,2018-10-24 00:30:35
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,65 and older,White,85 percent or higher,Landline,1,0.9022,0.7002,0.2091,0.7019,2018-10-24 00:37:41
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Staten Island,65 and older,White,50 to 85 percent,Landline,1,0.73740000000000006,0.9609,0.4762,0.9916,2018-10-24 00:41:53
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.9232,0.802,0.2101,0.8018,2018-10-24 00:44:35
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Staten Island,35 to 49,White,85 percent or higher,Landline,1,0.955,0.8639,0.3901,0.8609,2018-10-24 00:47:16
Rep,35 to 49,Bachelors' degree,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,35 to 49,Hispanic,85 percent or higher,Cell,1,0.8646,0.9737,0.4768,0.9813,2018-10-24 00:50:16
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Staten Island,35 to 49,White,85 percent or higher,Cell,1,0.8804,0.895,0.3281,0.8998,2018-10-24 00:52:49
Rep,65 and older,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Brooklyn,65 and older,Unknown,50 to 85 percent,Landline,1,0.5381,1.8554,1.9794,2.0229,2018-10-24 00:54:10
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",Brooklyn,65 and older,White,Less than 50 percent,Cell,1,0.4289,0.7936,1.3082,0.9043,2018-10-24 00:56:25
Dem,18 to 34,High school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,18 to 34,White,85 percent or higher,Cell,1,0.9123,1.1944,0.5082,1.1957,2018-10-24 01:01:56
Dem,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Republican,Nonwhite,Staten Island,50 to 64,Hispanic,50 to 85 percent,Cell,0.7778,0.7975,1.2405,0.5011,1.1817,2018-10-24 01:05:14
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Brooklyn,35 to 49,White,50 to 85 percent,Landline,1,0.5974,0.9609,0.7931,1.0277,2018-10-24 01:08:23
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Staten Island,50 to 64,Other Non-White,85 percent or higher,Cell,1,0.9457,1.015,0.4595,1.0123,2018-10-24 01:11:05
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Brooklyn,50 to 64,White,85 percent or higher,Landline,1,0.97,0.6523,0.2091,0.6493,2018-10-24 01:13:20
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",Staten Island,35 to 49,White,50 to 85 percent,Cell,1,0.57,0.7065,0.4913,0.7211,2018-10-24 01:13:47
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Staten Island,35 to 49,White,85 percent or higher,Cell,1,0.9418,0.895,0.3068,0.8929,2018-10-24 01:18:41
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Staten Island,50 to 64,White,85 percent or higher,Cell,1,0.9371,0.802,0.207,0.7906,2018-10-24 01:28:35
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Not at all likely,Republican,"White, 4-Year College Grads",Staten Island,50 to 64,White,Less than 50 percent,Landline,0.4444,0.3301,1.123,1.3408,0.4426,2018-10-24 01:28:53
Dem,18 to 34,Some college or trade school,Other,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Staten Island,18 to 34,Other Non-White,Less than 50 percent,Landline,1,0.3698,1.0683,1.8508,1.1538,2018-10-24 01:32:38
Und,35 to 49,Bachelors' degree,Asian,Female,Asian,Disapp.,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),Nonwhite,Staten Island,35 to 49,Other Non-White,Less than 50 percent,Landline,0.7778,0.4604,1.0674,1.1077,0.8575,2018-10-24 01:37:03
Und,18 to 34,High school,Other,Male,Other,Disapp.,Reps. keep House,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Male,Not at all likely,Republican,Nonwhite,Brooklyn,18 to 34,Other Non-White,Less than 50 percent,Cell,0,0.1803,1.2795,5.157,0.2775,2018-10-24 02:01:55
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Staten Island,35 to 49,Hispanic,50 to 85 percent,Landline,1,0.635,1.2854,1.0192,1.3601,2018-10-24 02:01:55
Und,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Don't know,Favorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Staten Island,35 to 49,Hispanic,85 percent or higher,Cell,1,0.9211,0.8481,0.3474,0.8481,2018-10-24 02:04:01
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Brooklyn,65 and older,Unknown,85 percent or higher,Landline,1,0.9545,0.9596,0.4087,0.9563,2018-10-24 02:04:55
