response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedc,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Pierce,85 percent or higher,Landline,1,0.97,0.83,0.442,0.7955,2018-10-31 01:15:11
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Already voted,Republican,"White, 4-Year College Grads",White,18 to 39,Unknown,North King County,85 percent or higher,Cell,1,0.9298,0.9429,0.6176,0.9222,2018-10-31 01:15:47
Dem,50 to 64,High school,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Male,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.9246,1.7195,1.7087,1.6835,2018-10-31 01:36:14
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,North King County,Less than 50 percent,Cell,1,0.3662,1.1876,1.7752,1.4421,2018-10-31 01:37:44
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.97,1.7314,1.4338,1.6596,2018-10-31 01:45:59
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Don't know,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Landline,1,0.97,0.9515,0.637,0.9235,2018-10-31 01:46:17
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Landline,1,0.97,0.8884,0.5405,0.8622,2018-10-31 01:57:49
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.9525,1.1692,0.7063,1.1189,2018-10-31 02:11:38
Rep,50 to 64,High school,White,Male,Black,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9284,1.3232,1.3311,1.2945,2018-10-31 02:46:09
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Pierce,85 percent or higher,Landline,1,0.9673,0.7558,0.4332,0.7299,2018-10-31 02:55:18
Rep,35 to 49,Graduate or Professional Degree,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,South King County,85 percent or higher,Cell,1,0.8927,0.6827,0.4432,0.673,2018-10-31 02:55:45
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,North King County,85 percent or higher,Cell,1,0.9623,0.9448,0.517,0.9182,2018-10-31 02:55:45
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Cell,1,0.97,0.8237,0.5203,0.7995,2018-10-31 02:57:33
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,Pierce,50 to 85 percent,Cell,1,0.6912,0.7309,0.564,0.761,2018-10-31 02:58:00
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North King County,50 to 85 percent,Cell,1,0.659,1.2075,1.1389,1.2707,2018-10-31 02:58:09
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Disapp.,Don't know,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,Unknown,South King County,50 to 85 percent,Landline,0.7778,0.5898,1.2495,1.2404,1.1515,2018-10-31 02:59:57
Und,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 39,White,North King County,Less than 50 percent,Cell,1,0.364,1.2565,2.0791,1.4367,2018-10-31 03:00:42
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.931,0.7223,0.49370000000000003,0.6998,2018-10-31 03:01:00
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Cell,1,0.97,0.8884,0.5405,0.8622,2018-10-31 03:01:50
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,South King County,85 percent or higher,Cell,1,0.969,1.1545,0.6897,1.1064,2018-10-31 03:02:35
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.9697,0.8739,0.5041,0.8482,2018-10-31 03:12:47
Rep,50 to 64,High school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Already voted,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.9637,1.2269,1.2344,1.1921,2018-10-31 03:27:09
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.9691,0.4642,0.1793,0.4506,2018-10-31 03:27:27
Dem,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Eastern Wash.,85 percent or higher,Cell,1,0.9554,0.5504,0.2245,0.5321,2018-10-31 03:28:39
Und,18 to 34,Graduate or Professional Degree,White,Male,Asian,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,Postgraduate Degree,Other,Male,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,Nonwhite,18 to 39,White,North King County,Less than 50 percent,Cell,0.4444,0.1837,0.8098,2.9179,0.4064,2018-10-31 03:44:16
Rep,35 to 49,High school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Already voted,Republican,Nonwhite,Nonwhite,40 to 64,White,South King County,85 percent or higher,Landline,1,0.9557,1.7195,1.6535,1.6732,2018-10-31 04:10:27
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.9562,0.823,0.5534,0.8007,2018-10-31 04:32:53
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.97,1.1534,0.7228,1.1195,2018-10-31 04:37:32
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,40 to 64,White,Eastern Wash.,Less than 50 percent,Cell,1,0.4199,0.5719,0.6161,0.5884,2018-10-31 04:38:17
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,40 to 64,Unknown,Pierce,85 percent or higher,Cell,1,0.97,0.6404,0.4786,0.6138,2018-10-31 04:38:26
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Pierce,85 percent or higher,Cell,1,0.97,0.6795,0.459,0.6562,2018-10-31 04:42:38
Dem,18 to 34,Grade school,White,Male,Other,Disapp.,Don't know,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,18 to 39,White,South King County,Less than 50 percent,Cell,0.3333,0.2835,1.8484,7.4869,0.9856,2018-10-31 04:42:47
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.97,0.8132,0.4153,0.7892,2018-10-31 04:43:23
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,Less than 50 percent,Cell,0.8889,0.4569,0.6097,0.7516,0.6427,2018-10-31 23:00:48
Rep,35 to 49,Some college or trade school,Other,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,Non-White,South King County,Less than 50 percent,Cell,1,0.4698,1.1631,1.9435,1.1787,2018-10-31 23:03:01
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 39,White,North King County,50 to 85 percent,Cell,1,0.6055,1.097,1.1828,1.0788,2018-10-31 23:06:19
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Republican,"White, 4-Year College Grads",White,18 to 39,White,South King County,Less than 50 percent,Cell,1,0.4583,0.8896,1.3025,1.0204,2018-10-31 23:12:55
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,Pierce,Less than 50 percent,Cell,1,0.4144,0.6973,1.0622,0.7761,2018-10-31 23:13:13
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Female,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,85 percent or higher,Cell,1,0.9247,0.6609,0.3541,0.6471,2018-10-31 23:14:50
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,South King County,85 percent or higher,Cell,1,0.9155,0.8562,0.5292,0.8311,2018-10-31 23:20:29
Dem,50 to 64,Bachelors' degree,White,Female,White,Approve,Don't know,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.9435,1.0593,0.5872,1.0331,2018-10-31 23:22:17
Dem,35 to 49,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,40 to 64,White,Pierce,50 to 85 percent,Cell,1,0.7944,0.9555,0.5798,0.9651,2018-10-31 23:26:56
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,18 to 39,White,South King County,85 percent or higher,Cell,1,0.9324,0.7954,0.5342,0.7775,2018-10-31 23:30:14
Rep,35 to 49,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Already voted,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,40 to 64,White,North King County,85 percent or higher,Cell,1,0.9456,1.0203,0.6155,0.9947,2018-10-31 23:31:36
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown,South King County,85 percent or higher,Cell,1,0.9629,0.9689,0.632,0.9415,2018-10-31 23:50:53
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 39,White,Pierce,85 percent or higher,Cell,1,0.9512,0.6932,0.5117,0.6703,2018-10-31 23:52:50
Rep,35 to 49,Bachelors' degree,White,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 39,White,North King County,Less than 50 percent,Cell,1,0.4073,1.2565,1.8592,1.4035,2018-10-31 23:54:56
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Already voted,Independent (No party),Nonwhite,Nonwhite,18 to 39,Non-White,North King County,Less than 50 percent,Cell,1,0.2925,1.541,2.9754,1.9862,2018-10-31 23:57:38
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,40 to 64,Unknown,North King County,85 percent or higher,Cell,1,0.9609,0.7663,0.437,0.7404,2018-10-31 23:58:02
Rep,50 to 64,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,South King County,85 percent or higher,Cell,1,0.9645,1.0695,0.6995,1.039,2018-11-01 00:00:20
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,18 to 39,White,South King County,Less than 50 percent,Cell,1,0.1885,1.1607,3.4832,1.6905,2018-11-01 00:03:29
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Approve,Dems. take House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,Pierce,Less than 50 percent,Cell,1,0.2957,0.5763,1.3957,0.7407,2018-11-01 00:12:13
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Pierce,50 to 85 percent,Cell,0.7778,0.7146,0.9586,1.1926,0.8826,2018-11-01 00:17:41
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.97,0.6827,0.4088,0.6626,2018-11-01 00:18:44
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",White,40 to 64,Unknown,Pierce,50 to 85 percent,Cell,1,0.8485,0.6264,0.4017,0.614,2018-11-01 00:19:07
Rep,18 to 34,Graduate or Professional Degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Other,Female,Already voted,Independent (No party),Nonwhite,Nonwhite,18 to 39,White,South King County,Less than 50 percent,Cell,1,0.3734,0.8896,1.596,1.0748,2018-11-01 00:20:14
Und,50 to 64,Some college or trade school,White,Female,Other,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,40 to 64,White,South King County,50 to 85 percent,Cell,1,0.6047,1.2536,1.1799,1.2979,2018-11-01 00:23:23
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,40 to 64,White,Pierce,85 percent or higher,Cell,1,0.9608,0.823,0.5508,0.7952,2018-11-01 00:29:59
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North King County,85 percent or higher,Cell,1,0.8979,0.9736,0.6786,0.9472,2018-11-01 00:31:50
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Eastern Wash.,85 percent or higher,Cell,1,0.9318,0.552,0.2338,0.5397,2018-11-01 00:36:00
Und,65 and older,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Already voted,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,White,North King County,85 percent or higher,Cell,1,0.9655,1.274,0.7101,1.2374,2018-11-01 00:40:41
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Landline,1,0.97,0.8823,0.6132,0.8563,2018-11-01 00:43:59
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,40 to 64,White,Eastern Wash.,50 to 85 percent,Landline,1,0.835,0.604,0.3163,0.5786,2018-11-01 00:47:05
Und,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Already voted,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,White,Eastern Wash.,85 percent or higher,Landline,1,0.97,0.6743,0.2891,0.6544,2018-11-01 00:49:58
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,South King County,85 percent or higher,Cell,1,0.9136,0.8823,0.6503,0.8433,2018-11-01 00:50:34
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,North King County,85 percent or higher,Landline,1,0.97,1.1226,0.5318,1.0896,2018-11-01 00:51:01
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,18 to 39,White,South King County,85 percent or higher,Landline,0.7778,0.9049,0.8015,0.6271,0.7656,2018-11-01 00:53:23
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,North King County,85 percent or higher,Landline,1,0.97,0.8922,0.4455,0.8659,2018-11-01 00:57:19
Rep,50 to 64,Graduate or Professional Degree,Asian,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,40 to 64,Non-White,North King County,50 to 85 percent,Cell,1,0.5574,1.1458,1.0252,1.2038,2018-11-01 01:00:42
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,40 to 64,White,North King County,50 to 85 percent,Cell,1,0.5285,1.4637,1.6102,1.6217,2018-11-01 01:00:44
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,40 to 64,White,South King County,85 percent or higher,Landline,1,0.97,0.8739,0.5039,0.8481,2018-11-01 01:10:28
