response,ager,educ,file_race,gender,race_eth,approve,APPRUSSIA,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,IMPEACH,MUELLER,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9831,0.792,0.1808,0.7883
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Don't know,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Bexar,65 and older,White,85 percent or higher,Landline,1,0.9732,0.9022,0.2334,0.8982
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Bexar,65 and older,Other Non-White,85 percent or higher,Landline,1,0.974,0.7405,0.254,0.7372
Dem,65 and older,High school,White,Male,White,Disapp.,Disapp.,Don't know,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,Beto O'Rourke,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,0.8889,0.9716,1.1008,0.5273,1.0921
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,50 to 64,White,85 percent or higher,Cell,1,0.9199,0.544,0.1696,0.5442
Dem,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Approve,disagree,agree,disagree,Dems. take House,Favorable,Favorable,Oppose,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,65 and older,Hispanic,85 percent or higher,Landline,1,0.9646,0.4537,0.113,0.4519
Rep,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Don't know,agree,agree,agree,Reps. keep House,Unfavorable,Favorable,Support,Support,Ted Cruz,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Republican,Nonwhite,Dem. Rio Grande,35 to 49,Hispanic,50 to 85 percent,Cell,0.7778,0.6363,0.8557,0.4332,0.8121
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Approve,disagree,agree,agree,Dems. take House,Don't know,Favorable,Support,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Democrat,Nonwhite,Dem. Rio Grande,35 to 49,Hispanic,Less than 50 percent,Cell,1,0.2064,0.7281,1.3648,0.8651
Dem,65 and older,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Other,Male,Very likely,Democrat,Nonwhite,Bexar,65 and older,Hispanic,50 to 85 percent,Landline,1,0.8433,1.0013,0.2921,0.9886
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Unfavorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Bexar,65 and older,White,Less than 50 percent,Landline,1,0.2539,1.304,1.4618,1.4949
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Approve,disagree,agree,agree,Dems. take House,Don't know,Don't know,Oppose,Support,Ted Cruz,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Democrat,"White, 4-Year College Grads",Bexar,18 to 34,White,Less than 50 percent,Cell,0,0.1736,1.8168,5.5007,0.3918
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Unfavorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,Bexar,50 to 64,Hispanic,50 to 85 percent,Cell,1,0.8005,2.6584,2.9776,2.7092
Dem,65 and older,Graduate or Professional Degree,Hispanic,Male,Other,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Bexar,65 and older,Hispanic,85 percent or higher,Cell,1,0.9489,0.7421,0.1725,0.7401
Rep,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Approve,Disapp.,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Bexar,50 to 64,White,50 to 85 percent,Cell,1,0.6367,0.7513,0.2945,0.7947
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Favorable,Don't know,Support,Beto O'Rourke,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,18 to 34,White,Less than 50 percent,Cell,1,0.2633,1.282,2.523,1.6224
Rep,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,Unknown,50 to 85 percent,Cell,1,0.7498,0.6434,0.1596,0.6398
Dem,35 to 49,Bachelors' degree,White,Female,Hispanic,Disapp.,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,35 to 49,White,50 to 85 percent,Cell,1,0.8239,0.6809,0.2064,0.691
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Approve,agree,disagree,Don't know,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,50 to 64,White,85 percent or higher,Cell,1,0.924,0.6003,0.23,0.6002
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Don't know,agree,disagree,agree,Dems. take House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Male,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,Bexar,35 to 49,Hispanic,50 to 85 percent,Cell,0.6667,0.5881,1.1477,0.6875,0.8375
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Approve,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,Bexar,18 to 34,Hispanic,85 percent or higher,Cell,1,0.8888,1.9796,1.6417,1.9513
Und,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Don't know,agree,agree,agree,Don't know,Favorable,Favorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,85 percent or higher,Cell,1,0.921,0.7665,0.3346,0.7554
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Dem. Rio Grande,50 to 64,White,85 percent or higher,Landline,1,0.8675,0.3628,0.1188,0.3578
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Unfavorable,Don't know,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,Bexar,50 to 64,White,Less than 50 percent,Cell,0.8889,0.2216,1.3106,1.9361,1.439
Und,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Don't know,Unfavorable,Oppose,Oppose,Beto O'Rourke,30 to 44,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,Nonwhite,Bexar,35 to 49,Hispanic,50 to 85 percent,Cell,0.7778,0.7385,1.6989,1.0287,1.4597
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Disapp.,disagree,disagree,agree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9828,0.5904,0.1444,0.5876
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Rep. Rio Grande,65 and older,Hispanic,85 percent or higher,Cell,1,0.9626,0.4913,0.1432,0.4851
Dem,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Disapp.,Disapp.,disagree,agree,Don't know,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,65 and older,White,50 to 85 percent,Landline,1,0.8335,0.4001,0.0795,0.4053
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,Support,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,Bexar,35 to 49,Hispanic,50 to 85 percent,Cell,1,0.8361,1.445,0.5138,1.4272
Dem,35 to 49,Some college or trade school,Asian,Female,White,Disapp.,Disapp.,disagree,agree,Don't know,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Bexar,35 to 49,Other Non-White,85 percent or higher,Cell,1,0.9631,0.9394,0.6436,0.9357
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,50 to 64,Unknown,85 percent or higher,Landline,1,0.9146,0.7538,0.2946,0.7546
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9452,0.5589,0.1387,0.5575
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Don't know,disagree,disagree,agree,Dems. take House,Favorable,Unfavorable,Oppose,Support,Beto O'Rourke,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,50 to 85 percent,Landline,1,0.5653,0.6,0.1503,0.6484
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Disapp.,agree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9415,0.6166,0.187,0.6081
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Disapp.,agree,agree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,4-year College Grad.,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9773,0.8177,0.1707,0.7916
Rep,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Beto O'Rourke,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,50 to 85 percent,Cell,1,0.5318,0.94,0.7665,0.9672
Dem,65 and older,High school,Unknown,Female,White,Approve,Disapp.,agree,disagree,disagree,Reps. keep House,Don't know,Unfavorable,Oppose,Oppose,Ted Cruz,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,65 and older,Unknown,85 percent or higher,Landline,1,0.9617,1.4685,0.8058,1.4629
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,White,85 percent or higher,Cell,1,0.9633,0.6571,0.2237,0.6545
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9833,0.572,0.1142,0.5693
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Don't know,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",Rep. Rio Grande,18 to 34,Unknown,Less than 50 percent,Cell,0.6667,0.1246,1.3747,6.2861,1.0013
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Favorable,Don't know,Support,Support,Beto O'Rourke,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Rep. Rio Grande,65 and older,Hispanic,85 percent or higher,Cell,1,0.9614,0.8,0.282,0.797
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,Support,Beto O'Rourke,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rep. Rio Grande,35 to 49,White,50 to 85 percent,Landline,1,0.7256,0.7373,0.303,0.7629
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,65 and older,Unknown,85 percent or higher,Landline,1,0.992,0.5215,0.1259,0.5193
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9896,0.5934,0.1618,0.5907
Rep,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Approve,agree,Don't know,disagree,Reps. keep House,Unfavorable,Unfavorable,Support,Oppose,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,Nonwhite,Dem. Rio Grande,65 and older,Hispanic,50 to 85 percent,Landline,1,0.5746,1.4157,1.0142,1.5252
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Disapp.,disagree,disagree,disagree,Don't know,Unfavorable,Unfavorable,Oppose,Don't know,Ted Cruz,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Republican,Nonwhite,Dem. Rio Grande,65 and older,Hispanic,85 percent or higher,Landline,0.8889,0.8649,1.2374,0.8106,1.2043
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,50 to 64,White,85 percent or higher,Cell,1,0.8803,1.0694,0.5398,1.0755
Dem,50 to 64,Graduate or Professional Degree,Other,Female,[DO NOT READ] Don't know/Refused,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,Bexar,50 to 64,Other Non-White,85 percent or higher,Cell,1,0.9817,0.4426,0.155,0.4406
Rep,50 to 64,Some college or trade school,White,Male,Other,Approve,Disapp.,agree,disagree,agree,Reps. keep House,Don't know,Unfavorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Rep. Rio Grande,50 to 64,White,85 percent or higher,Landline,1,0.9719,0.6604,0.2529,0.6575
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Don't know,agree,Don't know,disagree,Reps. keep House,Don't know,Don't know,Don't know,Don't know,Ted Cruz,65 and older,Some College Educ.,Other,Female,Somewhat likely,Republican,Nonwhite,Bexar,65 and older,Hispanic,Less than 50 percent,Landline,0.8889,0.2753,1.6919,2.2013,1.4416
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Don't know,Unfavorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,Rep. Rio Grande,35 to 49,Hispanic,85 percent or higher,Cell,1,0.8837,0.9199,0.5449,0.9068
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,50 to 64,White,85 percent or higher,Cell,1,0.913,0.544,0.1706,0.5362
Rep,50 to 64,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Don't know,Don't know,agree,agree,Don't know,Unfavorable,Favorable,Support,Oppose,Beto O'Rourke,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,85 percent or higher,Cell,0.6667,0.8974,0.5739,0.1881,0.559
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Bexar,50 to 64,White,85 percent or higher,Cell,1,0.9843,0.796,0.2047,0.7923
Und,50 to 64,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,disagree,Don't know,Don't know,Don't know,Don't know,Oppose,Oppose,Don't know,45 to 64,Some College Educ.,Other,Male,Somewhat likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",Rep. Rio Grande,50 to 64,White,Less than 50 percent,Landline,0.1111,0.4641,0.8957,0.7089,0.4553
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,Nonwhite,Dem. Rio Grande,35 to 49,Hispanic,Less than 50 percent,Cell,1,0.3051,1.2241,1.9039,1.4991
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,disagree,Don't know,agree,Dems. take House,Don't know,Don't know,Oppose,Support,Beto O'Rourke,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Bexar,50 to 64,White,50 to 85 percent,Cell,1,0.804,0.7513,0.2397,0.7652
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Approve,disagree,agree,agree,Dems. take House,Favorable,Favorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,Bexar,35 to 49,Other Non-White,50 to 85 percent,Cell,1,0.7012,1.2674,1.4118,1.2671
Rep,18 to 34,Some college or trade school,White,Male,White,Don't know,Don't know,agree,disagree,agree,Don't know,Unfavorable,Favorable,Don't know,Don't know,Don't know,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,18 to 34,White,Less than 50 percent,Landline,0.8889,0.358,1.3194,1.6151,1.4958
Rep,35 to 49,Some college or trade school,White,Female,Hispanic,Approve,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,Nonwhite,Bexar,35 to 49,White,50 to 85 percent,Cell,1,0.6153,1.5443,1.4577,1.6434
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Don't know,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Landline,1,0.9774,0.9926,0.2673,0.988
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,50 to 85 percent,Landline,1,0.8309,0.797,0.2715,0.8079
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Don't know,disagree,agree,agree,Dems. take House,Favorable,Favorable,Support,Support,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,Nonwhite,Dem. Rio Grande,50 to 64,Hispanic,85 percent or higher,Cell,1,0.9047,0.7193,0.2755,0.7089
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Approve,Approve,disagree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,Nonwhite,Rep. Rio Grande,50 to 64,Hispanic,Less than 50 percent,Landline,1,0.43,1.1256,1.3283,1.1902
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Don't know,Don't know,disagree,agree,Dems. take House,Don't know,Unfavorable,Don't know,Don't know,Beto O'Rourke,65 and older,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Bexar,65 and older,Hispanic,50 to 85 percent,Landline,0.4444,0.7313,2.3155,1.3452,1.6363
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,Don't know,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Ted Cruz,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,Nonwhite,Rep. Rio Grande,18 to 34,White,Less than 50 percent,Cell,0.8889,0.1493,1.5561,7.438,1.8146
