response,ager,educ,file_race,gender,race_eth,approve,GOVHR,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Dem.,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Rest,85 percent or higher,Cell,1,0.9801,0.8988,0.4734,0.8955,2018-10-09 00:56:30
Und,35 to 49,High school,Hispanic,Female,Hispanic,Disapp.,Lib./Don't know,Favorable,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Not at all likely,[DO NOT READ] Refused,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Central/North Las Vegas,Less than 50 percent,Cell,0,0.1076,1.088,3.9589,0.2237,2018-10-09 00:57:24
Rep,65 and older,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Postgraduate Degree,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9762,0.6739,0.3168,0.6715,2018-10-09 01:02:43
Rep,50 to 64,Some college or trade school,White,Female,White,Don't know,Rep.,Unfavorable,Rep.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Cell,1,0.5993,1.2724,0.9562,1.3617,2018-10-09 01:03:46
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Central/North Las Vegas,Less than 50 percent,Cell,1,0.4149,0.9909,1.9003,1.0539,2018-10-09 01:05:52
Dem,50 to 64,Graduate or Professional Degree,Other,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,Washoe/Carson City,85 percent or higher,Cell,1,0.935,0.9836,0.4894,0.9831,2018-10-09 01:05:52
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest,85 percent or higher,Landline,1,0.9899,0.7016,0.2589,0.6992,2018-10-09 01:06:01
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.9431,1.0111,0.635,1.0098,2018-10-09 01:07:22
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Rep.,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Washoe/Carson City,85 percent or higher,Landline,1,0.9914,0.9985,0.5405,0.9951,2018-10-09 01:07:31
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dem.,Don't know,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest of Clark,85 percent or higher,Landline,0.7778,0.9925,0.792,0.2882,0.787,2018-10-09 01:09:10
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Central/North Las Vegas,85 percent or higher,Landline,1,0.9932,0.7517,0.4351,0.7492,2018-10-09 01:12:01
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.8823,0.9534,0.5632,0.9408,2018-10-09 01:12:46
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,85 percent or higher,Cell,1,0.9895,0.8524,0.4226,0.8463,2018-10-09 01:13:58
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.9927,1.0491,0.629,1.0456,2018-10-09 01:15:01
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,Less than 50 percent,Cell,1,0.4035,0.9864,1.2055,1.0532,2018-10-09 01:15:19
Dem,65 and older,Graduate or Professional Degree,Other,Male,White,Disapp.,Dem.,Don't know,Dem.,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Other Non-White,Washoe/Carson City,Less than 50 percent,Cell,1,0.2531,0.8636,1.9292,1.1039,2018-10-09 01:19:40
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dem.,Don't know,Dem.,Don't know,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Rest of Clark,Less than 50 percent,Cell,1,0.1317,0.8966,3.7942,1.338,2018-10-09 01:21:37
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.976,1.0589,0.5213,1.0551,2018-10-09 01:21:46
Dem,65 and older,High school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,50 to 85 percent,Landline,1,0.8409,1.2217,0.5618,1.2374,2018-10-09 01:21:46
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Washoe/Carson City,50 to 85 percent,Cell,1,0.5484,1.2913,1.3058,1.4045,2018-10-09 01:22:13
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9356,1.0229,0.4596,1.0223,2018-10-09 01:23:25
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Rest of Clark,85 percent or higher,Landline,1,0.9929,1.0221,0.4904,1.0188,2018-10-09 01:24:01
Und,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Unfavorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Landline,1,0.7828,1.131,0.678,1.1576,2018-10-09 01:24:01
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Rep.,Don't know,Rep.,Don't know,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Unknown,Rest of Clark,Less than 50 percent,Cell,1,0.1102,1.1618,5.5865,1.8109,2018-10-09 01:26:25
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,Some College Educ.,Republican,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Rest of Clark,Less than 50 percent,Cell,0.4444,0.3689,1.0698,2.1986,0.6701,2018-10-09 01:26:43
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Don't know,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest of Clark,85 percent or higher,Landline,1,0.9949,0.7067,0.2792,0.7046,2018-10-09 01:28:22
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Washoe/Carson City,85 percent or higher,Landline,1,0.9255,0.7363,0.2788,0.7367,2018-10-09 01:29:07
Und,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.9745,0.9189,0.4891,0.9156,2018-10-09 01:31:22
Dem,65 and older,High school,Hispanic,Male,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Central/North Las Vegas,85 percent or higher,Landline,1,0.9713,1.0193,0.4197,1.0084,2018-10-09 01:31:49
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Rest,85 percent or higher,Landline,1,0.9821,0.7016,0.261,0.699,2018-10-09 01:33:19
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,Less than 50 percent,Landline,1,0.3588,0.8783,1.3188,0.954,2018-10-09 01:33:37
Und,18 to 34,Bachelors' degree,Hispanic,Female,White,Approve,Lib./Don't know,Don't know,Rep.,Don't know,18 to 29,4-year College Grad.,Republican,Female,Not at all likely,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,Hispanic,Rest,85 percent or higher,Cell,0,0.8731,0.924,0.5387,0.509,2018-10-09 01:33:46
Rep,65 and older,High school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.9906,1.0038,0.4015,0.997,2018-10-09 01:34:40
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,50 to 85 percent,Cell,1,0.5791,1.0684,0.7989,1.1505,2018-10-09 01:35:25
Rep,50 to 64,High school,White,Male,Hispanic,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,Nonwhite,40 to 64,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.9023,1.0943,0.6797,1.0795,2018-10-09 01:38:34
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.9555,0.7622,0.3196,0.7604,2018-10-09 01:38:43
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Lib./Don't know,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.955,0.7455,0.3721,0.7438,2018-10-09 01:40:22
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9805,0.6682,0.3312,0.662,2018-10-09 01:41:34
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest of Clark,50 to 85 percent,Cell,1,0.5293,0.9478,0.7037,1.0378,2018-10-09 01:42:01
Dem,18 to 34,High school,Hispanic,Female,Hispanic,Disapp.,Dem.,Favorable,Dem.,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,Hispanic,Central/North Las Vegas,Less than 50 percent,Cell,1,0.2554,1.1106,2.7971,1.2732,2018-10-09 01:42:10
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Washoe/Carson City,50 to 85 percent,Cell,1,0.749,0.9128,0.5776,0.9407,2018-10-09 01:43:58
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Cell,1,0.7773,1.131,0.6828,1.1588,2018-10-09 01:45:43
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Landline,1,0.972,0.9591,0.5241,0.949,2018-10-09 01:45:43
Rep,65 and older,High school,White,Male,White,Approve,Rep.,Don't know,Rep.,Don't know,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest of Clark,85 percent or higher,Landline,1,0.9798,0.9585,0.4778,0.9549,2018-10-09 01:45:52
Rep,50 to 64,Some college or trade school,White,Male,Other,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,Rest of Clark,Less than 50 percent,Cell,0.8889,0.1017,1.0932,4.4152,1.6052,2018-10-09 01:45:52
Dem,65 and older,High school,Asian,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Other Non-White,Washoe/Carson City,85 percent or higher,Landline,1,0.853,1.1904,0.7244,1.1759,2018-10-09 01:46:55
Rep,18 to 34,High school,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Rest of Clark,50 to 85 percent,Cell,1,0.753,1.3251,1.0461,1.3644,2018-10-09 01:47:58
Rep,50 to 64,Bachelors' degree,Other,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Other Non-White,Rest,85 percent or higher,Landline,1,0.9915,1.0482,0.6278,1.0446,2018-10-09 01:48:16
Dem,50 to 64,Some college or trade school,Other,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Other Non-White,Washoe/Carson City,85 percent or higher,Landline,1,0.8631,1.3099,0.8994,1.2934,2018-10-09 01:49:56
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Rest of Clark,Less than 50 percent,Cell,1,0.3891,0.8966,1.4628,1.0434,2018-10-09 01:50:31
Rep,35 to 49,Some college or trade school,White,Male,Black,Disapp.,Dem.,Don't know,Dem.,Don't know,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.9775,1.1275,0.6149,1.1234,2018-10-09 01:50:40
Rep,65 and older,Some college or trade school,White,Female,White,Approve,5,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,50 to 85 percent,Landline,1,0.8094,1.1456,0.6916,1.1667,2018-10-09 01:50:41
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9729,0.7201,0.3087,0.7126,2018-10-09 01:51:34
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest of Clark,85 percent or higher,Cell,1,0.8812,0.7888,0.3753,0.7784,2018-10-09 01:52:10
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Rest,50 to 85 percent,Cell,1,0.6871,0.9262,0.7389,0.968,2018-10-09 01:52:37
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Rest of Clark,85 percent or higher,Cell,1,0.9694,0.8524,0.4314,0.8496,2018-10-09 01:54:34
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Postgraduate Degree,White,Rest of Clark,85 percent or higher,Cell,1,0.9879,0.7226,0.2416,0.72,2018-10-09 01:54:34
Und,65 and older,High school,White,Female,Black,Disapp.,Lib./Don't know,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,Rest of Clark,Less than 50 percent,Cell,0.6667,0.3422,0.9738,1.3476,0.6467,2018-10-09 01:55:10
Dem,65 and older,High school,White,Male,White,Approve,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.933,0.9722,0.4928,0.9719,2018-10-09 01:55:19
Rep,65 and older,Some college or trade school,White,Male,White,Disapp.,Rep.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9782,1.0004,0.5115,0.9967,2018-10-09 01:57:16
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Approve,Dem.,Don't know,Dem.,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Hispanic,Central/North Las Vegas,Less than 50 percent,Cell,1,0.4683,1.1349,1.2455,1.1876,2018-10-09 01:57:25
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Lib./Don't know,Don't know,Dem.,Don't know,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Rest of Clark,50 to 85 percent,Cell,1,0.7253,1.041,0.6911,1.0388,2018-10-09 01:57:43
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Rep.,Don't know,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Washoe/Carson City,85 percent or higher,Cell,1,0.9794,0.7596,0.3922,0.7525,2018-10-09 01:57:52
Rep,18 to 34,High school,Other,Male,White,Approve,Rep.,Unfavorable,Rep.,Don't know,30 to 44,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Other Non-White,Rest,50 to 85 percent,Cell,1,0.672,1.5907,1.7649,1.6687,2018-10-09 01:58:10
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Rep.,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest of Clark,85 percent or higher,Landline,1,0.9021,0.7888,0.3666,0.7916,2018-10-09 01:58:29
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Rep.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Central/North Las Vegas,Less than 50 percent,Cell,1,0.4161,0.664,0.8948,0.7059,2018-10-09 01:59:13
Rep,50 to 64,Graduate or Professional Degree,White,Female,Asian,Approve,Rep.,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9089,0.722,0.4519,0.7239,2018-10-09 02:00:07
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Lib./Don't know,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Washoe/Carson City,50 to 85 percent,Cell,1,0.5361,1.0436,0.9498,1.1399,2018-10-09 02:00:25
Dem,65 and older,High school,White,Female,White,Disapp.,Dem.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Central/North Las Vegas,85 percent or higher,Cell,1,0.9085,0.932,0.5152,0.9194,2018-10-09 02:02:27
