response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Hamilton,50 to 85 percent,Landline,1,0.7461,0.8721,0.3973,0.8937
Dem,18 to 34,Bachelors' degree,White,Male,White,Don't know,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,[DO NOT READ] Don't know/Refused,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Cincinnati,Less than 50 percent,Cell,1,0.1342,1.1969,4.8001,1.0371
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0944,0.8907,1.0839
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,85 percent or higher,Landline,1,0.9056,0.7459,0.4514,0.752
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,Non-White,Cincinnati,50 to 85 percent,Cell,1,0.6599,1.0026,0.8025,1.0818
Dem,35 to 49,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,40 to 64,Postgraduate Degree,White,Hamilton,50 to 85 percent,Cell,1,0.6416,0.6831,0.3821,0.7177
Rep,35 to 49,Some college or trade school,Unknown,Male,Black,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,40 to 64,No 4-year College Degree,Unknown,Warren,Less than 50 percent,Cell,1,0.4181,1.2324,1.6329,1.4043
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.9449,1.0944,0.9144,1.0859
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,50 to 85 percent,Cell,1,0.6621,0.9174,0.6338,0.9588
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Hamilton,50 to 85 percent,Landline,1,0.8157,0.8436,0.4497,0.8528
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Hamilton,50 to 85 percent,Landline,1,0.8302,0.8927,0.3642,0.9
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Hamilton,50 to 85 percent,Cell,1,0.7841,1.2382,0.762,1.259
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Warren,85 percent or higher,Cell,1,0.9459,0.7459,0.4323,0.7401
Rep,65 and older,Graduate or Professional Degree,Black,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Non-White,Hamilton,85 percent or higher,Landline,1,0.97,0.7691,0.312,0.7617
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Cincinnati,85 percent or higher,Landline,1,0.97,0.8525,0.3938,0.8443
Dem,35 to 49,High school,White,Male,Black,Don't know,Don't know,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 39,No 4-year College Degree,White,Cincinnati,50 to 85 percent,Cell,1,0.7681,1.04,1.2338,1.0608
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Hamilton,85 percent or higher,Cell,1,0.97,0.9267,0.3668,0.9177
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.8727,1.0944,0.9898,1.0734
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,0.7475,0.3098,0.7403
Und,50 to 64,Some college or trade school,Black,Male,Other,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Cincinnati,Less than 50 percent,Landline,0.4444,0.1049,1.1728,4.9485,0.6855
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Cell,1,0.8572,1.067,0.6801,1.071
Rep,35 to 49,High school,White,Male,White,Disapp.,Reps. keep House,Don't know,Don't know,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,Less than 50 percent,Landline,0.8889,0.3795,1.0993,2.5272,1.2267
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cincinnati,Less than 50 percent,Landline,1,0.3584,1.1667,4.158,1.3726
Und,50 to 64,Bachelors' degree,Black,Female,White,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,Non-White,Cincinnati,50 to 85 percent,Cell,1,0.7707,0.9873,0.6912,0.9745
Dem,18 to 34,High school,White,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,High School Grad. or Less,Other,Female,Very likely,Democrat,Nonwhite,18 to 39,No 4-year College Degree,White,Cincinnati,Less than 50 percent,Cell,1,0.2933,1.3901,6.613,1.5478
Rep,50 to 64,High school,Unknown,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Unknown,Hamilton,85 percent or higher,Landline,1,0.97,1.0373000000000001,0.8781,1.0325
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Hamilton,85 percent or higher,Landline,1,0.97,1.0957,0.5543,1.0851
Dem,18 to 34,Some college or trade school,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Warren,Less than 50 percent,Landline,1,0.3388,1.4883,2.884,1.6202
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Hamilton,85 percent or higher,Landline,1,0.97,0.9768,0.3816,0.9674
Und,18 to 34,High school,Unknown,Male,White,Don't know,Don't know,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Unknown,Hamilton,Less than 50 percent,Cell,0.4444,0.4015,1.481,3.6271,0.7584
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cincinnati,85 percent or higher,Cell,1,0.9056,0.9061,0.4783,0.9032
Und,50 to 64,Some college or trade school,White,Male,White,Disapp.,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,85 percent or higher,Cell,0.8889,0.97,1.0057,0.5128,0.9839
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Hamilton,85 percent or higher,Cell,1,0.9666,0.8758,0.4466,0.8605
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Cincinnati,50 to 85 percent,Landline,1,0.659,0.9428,0.7293,0.9861
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cincinnati,Less than 50 percent,Landline,1,0.2465,1.1255,2.6506,1.4381
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Hamilton,85 percent or higher,Cell,1,0.9188,0.7258,0.3204,0.7222
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Cincinnati,85 percent or higher,Landline,1,0.9676,0.8581,0.4449,0.8545
Dem,65 and older,High school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9648,0.9953,1.0502,0.986
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,85 percent or higher,Cell,1,0.8879,1.0762,1.0755,1.0753
Dem,65 and older,Graduate or Professional Degree,Asian,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Postgraduate Degree,Non-White,Cincinnati,Less than 50 percent,Landline,1,0.2226,0.8643,2.4311,1.1307
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.9202,1.0944,0.9388,1.0729
Rep,35 to 49,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,50 to 85 percent,Cell,1,0.7436,0.885,0.491,0.8759
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Non-White,Cincinnati,85 percent or higher,Landline,1,0.97,0.6842,0.4091,0.6776
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cincinnati,50 to 85 percent,Landline,1,0.8092,0.9048,1.0355,0.9157
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Hamilton,85 percent or higher,Landline,1,0.9547,0.7258,0.3084,0.7124
Und,65 and older,High school,Unknown,Female,White,Don't know,Dems. take House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Hamilton,50 to 85 percent,Landline,1,0.525,1.1921,1.6303,1.0706
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,50 to 85 percent,Cell,0.8889,0.804,0.9174,0.5223,0.8873
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,0.7651,0.3159,0.7577
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,Warren,50 to 85 percent,Cell,1,0.6266,1.0212,0.7014,1.1149
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0693,0.4416,1.0589
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0693,0.4416,1.0511
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Cincinnati,Less than 50 percent,Cell,1,0.2572,0.8156,2.0472,1.0322
Rep,18 to 34,Bachelors' degree,Black,Male,Hispanic,Disapp.,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,Non-White,Hamilton,Less than 50 percent,Cell,1,0.4744,1.1901,1.2534,1.2354
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Cell,1,0.97,1.0558,0.3916,1.0456
Und,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.9506,1.0693,0.4506,1.0604
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,50 to 85 percent,Landline,1,0.8204,1.017,0.7782,1.0272
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Cincinnati,85 percent or higher,Landline,1,0.97,0.6835,0.3324,0.6769
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Warren,50 to 85 percent,Cell,1,0.5806,1.0279,0.8529,1.0994
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Don't know,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.9588,1.0144,0.4294,1.0053
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Warren,85 percent or higher,Cell,1,0.9177,0.9305,0.528,0.9121
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Warren,85 percent or higher,Cell,1,0.9502,1.0468,0.4829,1.0457
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0693,0.8736,1.0589
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Warren,85 percent or higher,Landline,1,0.97,0.9343,0.4009,0.9253
Rep,35 to 49,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,Unknown,Hamilton,50 to 85 percent,Cell,0.8889,0.6506,1.1756,1.2826,1.1446
Rep,65 and older,High school,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Non-White,Warren,85 percent or higher,Landline,1,0.9481,1.1307,1.2513,1.1216
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,40 to 64,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Cell,1,0.9312,0.9442,0.5284,0.9468
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Cell,1,0.97,1.0944,0.4503,1.0894
Und,[DO NOT READ] Refused,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,[DO NOT READ] Refused,Nonwhite,65 and older,4-year College Grad.,Non-White,Cincinnati,85 percent or higher,Landline,1,0.9493,0.8884,0.4569,0.8811
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,0.8889,0.9327,1.0693,0.4592,1.0044
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Warren,85 percent or higher,Landline,1,0.9573,0.9685,0.4671,0.9599
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Hamilton,85 percent or higher,Landline,1,0.97,1.0693,0.4416,1.0643
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Cincinnati,Less than 50 percent,Cell,1,0.4499,0.9911,1.1193,1.1128
Dem,50 to 64,High school,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Non-White,Cincinnati,85 percent or higher,Cell,1,0.9663,0.9442,1.0077,0.9353
