response,ager,educ,file_race,gender,race_eth,approve,FLAMED4,SENC,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_noasian,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,35 to 49,Bachelors' degree,White,Male,Other,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,White,I-4,85 percent or higher,Cell,1,0.8907,1.0244,0.6875,1.0207,2018-10-23 22:31:42
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Unknown,North/Rural,50 to 85 percent,Cell,1,0.5388,1.0637,0.8276,1.1508,2018-10-23 22:33:30
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Rep.,65 and older,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Central,50 to 85 percent,Cell,1,0.8281,0.967,0.6151,0.9482,2018-10-23 22:35:36
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,Rep.,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,North/Rural,50 to 85 percent,Cell,0.8889,0.7721,0.5822,0.377,0.562,2018-10-23 22:40:51
Dem,18 to 34,Bachelors' degree,Black,Male,Black,Disapp.,Yes,Dem.,30 to 44,4-year College Grad.,Other,Male,Very likely,Democrat,Nonwhite,18 to 34,Black,I-4,50 to 85 percent,Cell,0.6667,0.6902,0.6943,0.5839,0.6335,2018-10-23 22:41:00
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Yes,Rep.,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,I-4,85 percent or higher,Landline,1,0.9951,0.991,0.5219,0.9809,2018-10-23 22:41:18
Dem,50 to 64,High school,Black,Female,Other,Disapp.,Yes,Dem.,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,Nonwhite,50 to 64,Black,Southeast,50 to 85 percent,Cell,1,0.5219,1.4426,1.8043,1.2924,2018-10-23 22:42:03
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Yes,Dem.,65 and older,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown,North/Rural,85 percent or higher,Landline,1,0.9644,1.9701,0.9502,1.9583,2018-10-23 22:42:39
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,50 to 64,Black,Southeast,50 to 85 percent,Cell,1,0.574,0.5855,0.4755,0.6509,2018-10-23 22:44:18
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Yes,Dem.,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Central,85 percent or higher,Landline,1,0.9431,0.696,0.4439,0.6891,2018-10-23 22:44:50
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Yes,Dem.,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,Hispanic,I-4,85 percent or higher,Cell,1,0.9383,0.7525,0.4586,0.7363,2018-10-23 22:45:44
Dem,65 and older,High school,White,Female,White,Disapp.,Yes,Dem.,65 and older,High School Grad. or Less,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Central,50 to 85 percent,Landline,1,0.731,1.7939,1.8445,1.8875,2018-10-23 22:49:38
Dem,18 to 34,High school,Hispanic,Male,Hispanic,Approve,Yes,Dem.,18 to 29,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Hispanic,Southeast,Less than 50 percent,Cell,0.7778,0.1798,2.0529,9.5834,2.1352,2018-10-23 22:49:47
Dem,18 to 34,Some college or trade school,White,Female,White,Approve,Yes,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,North/Rural,50 to 85 percent,Cell,1,0.7449,1.1217,0.9749,1.147,2018-10-23 22:52:29
Dem,50 to 64,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,50 to 64,White,Southwest,85 percent or higher,Cell,1,0.9556,1.2687,0.7278,1.2548,2018-10-23 22:53:05
Rep,65 and older,High school,White,Female,White,Don't know,Yes,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,North/Rural,85 percent or higher,Landline,1,0.9895,2.4508,1.8328,2.421,2018-10-23 22:54:35
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,No,Rep.,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Central,50 to 85 percent,Cell,0.7778,0.7119,0.8094,0.6323,0.7625,2018-10-23 22:57:35
Dem,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Yes,Dem.,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Hispanic,Southeast,85 percent or higher,Cell,1,0.9668,1.17,0.5477,1.1562,2018-10-23 22:59:14
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Yes,Rep.,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,White,North/Rural,Less than 50 percent,Cell,1,0.4925,0.9408,1.3118,1.0353,2018-10-23 23:02:38
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Yes,Rep.,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,I-4,85 percent or higher,Landline,1,0.8965,1.0917,0.6555,1.0869,2018-10-23 23:03:59
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,No,Rep.,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,North/Rural,85 percent or higher,Cell,1,0.8822,1.0316,0.6341,1.0291,2018-10-23 23:05:38
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,No,Rep.,65 and older,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Southwest,50 to 85 percent,Cell,1,0.6227,0.6815,0.4285,0.7434,2018-10-23 23:05:38
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Rep.,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,North/Rural,85 percent or higher,Cell,1,0.8604,0.5867,0.2986,0.5872,2018-10-23 23:11:02
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Yes,Dem.,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,I-4,85 percent or higher,Landline,1,0.9913,1.0623,0.5669,1.0496,2018-10-23 23:13:17
Rep,65 and older,Some college or trade school,White,Female,White,Approve,No,Rep.,65 and older,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Central,50 to 85 percent,Landline,1,0.5432,1.0935,1.1043,1.2315,2018-10-23 23:14:29
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,Approve,No,Rep.,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,Hispanic,I-4,85 percent or higher,Cell,1,0.9889,0.8819,0.413,0.8734,2018-10-23 23:14:47
Dem,65 and older,Bachelors' degree,White,Female,White,Approve,Yes,Don't know,65 and older,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,Central,85 percent or higher,Landline,1,0.907,0.9453,0.6075,0.9244,2018-10-23 23:16:17
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Southeast,50 to 85 percent,Cell,1,0.7154,0.7607,0.564,0.7533,2018-10-23 23:16:26
Und,50 to 64,[DO NOT READ] Refused,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Yes,Dem.,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,Black,Central,50 to 85 percent,Cell,1,0.5956,0.6549,0.6168,0.6956,2018-10-23 23:16:44
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,I-4,85 percent or higher,Cell,1,0.9927,0.8073,0.442,0.7954,2018-10-23 23:19:54
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Yes,Dem.,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Southeast,50 to 85 percent,Cell,1,0.7878,0.517,0.2713,0.5241,2018-10-23 23:21:15
Dem,65 and older,Bachelors' degree,Black,Male,Black,Disapp.,Yes,Dem.,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Black,North/Rural,50 to 85 percent,Cell,1,0.5967,0.6054,0.4398,0.6428,2018-10-23 23:22:45
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Yes,Dem.,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,I-4,85 percent or higher,Cell,1,0.99,0.9979,0.5944,0.9858,2018-10-23 23:24:42
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Yes,Dem.,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Central,50 to 85 percent,Cell,1,0.82,0.7151,0.4638,0.7206,2018-10-23 23:26:12
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Yes,Dem.,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Central,85 percent or higher,Landline,1,0.9814,0.6304,0.3232,0.6227,2018-10-23 23:28:54
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,No,Dem.,65 and older,Postgraduate Degree,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",65 and older,White,Central,Less than 50 percent,Cell,0.4444,0.38,0.612,0.7104,0.3818,2018-10-23 23:30:58
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Yes,Rep.,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Central,85 percent or higher,Cell,1,0.9898,1.2901,0.7589,1.2775,2018-10-23 23:36:22
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,No,Rep.,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Unknown,Central,50 to 85 percent,Cell,1,0.839,0.7821,0.447,0.7856,2018-10-23 23:37:25
Und,35 to 49,Some college or trade school,White,Male,White,Don't know,Yes,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,North/Rural,Less than 50 percent,Cell,1,0.1368,1.0637,3.9142,1.5591,2018-10-23 23:37:43
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Yes,Don't know,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,65 and older,Hispanic,North/Rural,85 percent or higher,Cell,1,0.8805,0.8955,0.4338,0.8761,2018-10-23 23:48:57
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,No,Rep.,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,North/Rural,50 to 85 percent,Cell,1,0.8175,0.9302,0.5952,0.9127,2018-10-23 23:51:30
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Yes,Don't know,65 and older,4-year College Grad.,Republican,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Central,85 percent or higher,Cell,1,0.9952,0.8818,0.5117,0.8728,2018-10-23 23:51:57
Dem,18 to 34,Bachelors' degree,Black,Female,Black,Disapp.,Yes,Dem.,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 34,Black,Southeast,50 to 85 percent,Cell,1,0.7233,0.7511,0.6134,0.7717,2018-10-23 23:53:18
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Yes,Rep.,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,I-4,85 percent or higher,Cell,1,0.9925,0.7485,0.3132,0.741,2018-10-23 23:55:24
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Yes,Dem.,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,50 to 64,Hispanic,Southeast,85 percent or higher,Cell,1,0.9968,0.459,0.1683,0.4543,2018-10-23 23:55:42
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Other,Approve,No,Don't know,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Hispanic,Southeast,50 to 85 percent,Cell,0.7778,0.5223,0.4253,0.2922,0.4025,2018-10-23 23:57:39
Und,35 to 49,High school,Hispanic,Female,Hispanic,Disapp.,No,Don't know,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,Southwest,Less than 50 percent,Cell,0.7778,0.1468,1.9426,8.7946,2.4247,2018-10-23 23:59:27
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Yes,Dem.,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Central,85 percent or higher,Landline,1,0.9595,0.666,0.3177,0.6585,2018-10-24 00:01:24
Dem,35 to 49,Bachelors' degree,Other,Male,Black,Disapp.,Yes,Dem.,30 to 44,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,35 to 49,Other Non-White,North/Rural,50 to 85 percent,Cell,1,0.501,0.5292,0.5399,0.5443,2018-10-24 00:02:18
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,No,Rep.,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,Southwest,85 percent or higher,Landline,1,0.9911,0.8041,0.3371,0.7961,2018-10-24 00:02:45
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,No,Rep.,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,White,North/Rural,85 percent or higher,Cell,1,0.9891,0.5867,0.2598,0.581,2018-10-24 00:03:39
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Yes,Dem.,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Central,85 percent or higher,Cell,1,0.9114,0.6318,0.4059,0.6278,2018-10-24 00:05:54
