response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Essex,85 percent or higher,Cell,1,0.8901,0.8613,0.5109,0.8661,2018-10-13 16:23:52
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Passaic,85 percent or higher,Landline,1,0.8874,0.8738,0.459,0.879,2018-10-13 16:26:52
Und,35 to 49,Bachelors' degree,Other,Male,Asian,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,35 to 49,4-year College Grad.,Non-White,Rest,50 to 85 percent,Cell,1,0.5341,1.2223,1.3423,1.3946,2018-10-13 16:30:19
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Passaic,85 percent or higher,Landline,1,0.8864,1.0307,0.5208,1.0369,2018-10-13 16:30:55
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,"Morris, well-educ.",50 to 85 percent,Cell,1,0.516,0.7594,0.8537,0.7853,2018-10-13 16:33:29
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Rest,Less than 50 percent,Cell,1,0.272,1.1068,3.0409,1.3924,2018-10-13 16:37:50
Und,18 to 34,Some college or trade school,Hispanic,Female,White,Don't know,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Republican,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,Non-White,Rest,Less than 50 percent,Landline,0.6667,0.4358,0.9581,1.9625,0.7175,2018-10-13 16:39:11
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Unknown,Rest,85 percent or higher,Landline,1,0.965,0.899,0.3781,0.8966,2018-10-13 16:39:56
Dem,35 to 49,Bachelors' degree,Asian,Female,Asian,Disapp.,Dems. take House,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,4-year College Grad.,Non-White,"Morris, well-educ.",85 percent or higher,Cell,1,0.9375,1.292,0.9982,1.2916,2018-10-13 16:43:41
Rep,65 and older,Graduate or Professional Degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,65 and older,Postgraduate Degree,White,"Morris, well-educ.",85 percent or higher,Landline,1,0.8805,0.8954,0.4812,0.8839,2018-10-13 16:43:59
Dem,65 and older,Graduate or Professional Degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Non-White,Essex,85 percent or higher,Landline,1,0.965,0.9423,0.4666,0.9451,2018-10-13 16:44:17
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,Rest,Less than 50 percent,Cell,1,0.3465,0.5019,0.6742,0.5988,2018-10-13 16:45:38
Und,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Essex,Less than 50 percent,Cell,1,0.4499,0.8635,1.5878,0.9087,2018-10-13 16:45:56
Dem,65 and older,Graduate or Professional Degree,Other,Male,White,Approve,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Non-White,Passaic,85 percent or higher,Landline,1,0.8918,1.0545,0.6132,1.0601,2018-10-13 16:46:57
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest,85 percent or higher,Landline,1,0.8561,1.2389,0.632,1.2522,2018-10-13 16:46:59
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Unknown,Essex,85 percent or higher,Cell,1,0.965,0.9034,0.4033,0.901,2018-10-13 16:47:51
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Essex,Less than 50 percent,Cell,1,0.2877,1.1774,1.7417,1.4627,2018-10-13 16:50:24
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,White,Essex,85 percent or higher,Cell,1,0.9443,0.7809,0.3552,0.7801,2018-10-13 16:55:39
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Passaic,50 to 85 percent,Landline,1,0.7017,1.0111,0.6448,1.0534,2018-10-13 16:58:30
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,"Morris, well-educ.",Less than 50 percent,Cell,1,0.3676,0.9589,1.2121,1.2011,2018-10-13 17:00:00
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Don't know,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Passaic,50 to 85 percent,Cell,1,0.8144,0.783,0.3996,0.797,2018-10-13 17:00:54
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,Rest,50 to 85 percent,Cell,1,0.6071,0.4318,0.3125,0.4612,2018-10-13 17:05:19
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Morris, well-educ.",50 to 85 percent,Landline,1,0.8109,0.8411,0.4358,0.8733,2018-10-13 17:06:40
Dem,50 to 64,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,4-year College Grad.,Non-White,Rest,Less than 50 percent,Cell,1,0.2926,1.5706,2.6724,1.9438,2018-10-13 17:07:52
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Rest,85 percent or higher,Cell,1,0.8868,1.0504,0.7142,1.0567,2018-10-13 17:09:04
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,Rest,50 to 85 percent,Cell,1,0.5435,0.6221,0.5065,0.678,2018-10-13 17:09:22
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Passaic,85 percent or higher,Cell,1,0.965,1.0231,0.6159,1.0204,2018-10-13 17:11:10
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,White,"Morris, well-educ.",50 to 85 percent,Cell,0.8889,0.7874,0.7557,0.5348,0.7359,2018-10-13 17:15:31
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,"Morris, well-educ.",50 to 85 percent,Cell,1,0.8051,1.0939,0.7941,1.084,2018-10-13 17:20:04
Und,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Don't know,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,35 to 49,No 4-year College Degree,Non-White,"Morris, well-educ.",85 percent or higher,Cell,0.7778,0.8857,1.1223,1.2637,1.107,2018-10-13 17:22:46
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Essex,85 percent or higher,Landline,1,0.9039,1.1954,0.9052,1.1797,2018-10-13 17:35:23
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Approve,Dems. take House,Favorable,Favorable,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,No 4-year College Degree,Non-White,Essex,50 to 85 percent,Cell,1,0.6507,1.1326,1.5126,1.1952,2018-10-13 17:38:14
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Essex,85 percent or higher,Landline,1,0.965,0.9211,0.3939,0.911,2018-10-13 17:40:38
Und,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Passaic,50 to 85 percent,Cell,1,0.7184,1.0254,0.7766,1.0642,2018-10-13 17:41:41
Und,18 to 34,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Don't know,Don't know,18 to 29,Postgraduate Degree,Democratic,Male,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",18 to 34,Postgraduate Degree,White,Essex,Less than 50 percent,Cell,1,0.1699,0.4981,1.4226,0.6138,2018-10-13 17:44:23
Rep,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,White,Rest,50 to 85 percent,Cell,1,0.5634,0.6964,0.4459,0.7126,2018-10-13 17:45:17
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Passaic,Less than 50 percent,Cell,1,0.3286,1.5022,2.126,1.8126,2018-10-13 17:48:05
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,"Morris, well-educ.",50 to 85 percent,Landline,1,0.8335,1.0813,0.578,1.0696,2018-10-13 17:49:08
Rep,50 to 64,Bachelors' degree,Asian,Male,Asian,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,4-year College Grad.,Non-White,Rest,85 percent or higher,Cell,1,0.9162,1.2701,0.6858,1.2727,2018-10-13 17:51:41
Und,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Postgraduate Degree,Non-White,Essex,85 percent or higher,Cell,1,0.965,0.8361,0.5394,0.8338,2018-10-13 18:02:05
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.965,0.7906,0.3625,0.7885,2018-10-13 18:05:32
4,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Don't know,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),Nonwhite,35 to 49,4-year College Grad.,Non-White,Essex,Less than 50 percent,Cell,1,0.4276,1.4099,2.1371000000000002,1.4938,2018-10-13 18:07:47
Dem,65 and older,Graduate or Professional Degree,White,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,White,"Morris, well-educ.",50 to 85 percent,Landline,1,0.7086,0.7923,0.4634,0.8242,2018-10-13 18:11:32
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Essex,85 percent or higher,Landline,1,0.965,1.245,0.598,1.2314,2018-10-13 18:11:59
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,Postgraduate Degree,White,Essex,85 percent or higher,Cell,1,0.9125,0.6495,0.282,0.641,2018-10-13 18:12:08
Dem,65 and older,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,Essex,85 percent or higher,Cell,1,0.965,0.9092,0.4617,0.9067,2018-10-13 18:15:08
Dem,18 to 34,Some college or trade school,Other,Female,White,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,Non-White,Passaic,85 percent or higher,Cell,1,0.9,0.9943,1.1808,0.9984,2018-10-13 18:17:23
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,Unknown,"Morris, well-educ.",50 to 85 percent,Cell,1,0.5046,0.8786,1.0128,0.9711,2018-10-13 18:17:50
Und,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,"Morris, well-educ.",50 to 85 percent,Cell,1,0.8444,1.1392,0.6229,1.1535,2018-10-13 18:30:08
Rep,50 to 64,Graduate or Professional Degree,Asian,Female,Asian,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Republican,Nonwhite,50 to 64,Postgraduate Degree,Non-White,"Morris, well-educ.",85 percent or higher,Cell,0.7778,0.9082,0.9744,0.5831,0.9408,2018-10-13 18:46:21
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Rest,85 percent or higher,Landline,1,0.9079,1.2938,0.929,1.2979,2018-10-13 18:48:25
Rep,65 and older,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,"Morris, well-educ.",Less than 50 percent,Landline,0,0.1743,1.1762,3.7087,0.3833,2018-10-13 18:52:37
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Passaic,85 percent or higher,Landline,1,0.965,1.2847,0.9347,1.2706,2018-10-13 18:52:46
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Essex,50 to 85 percent,Landline,1,0.5341,0.808,0.5935,0.8834,2018-10-13 18:54:34
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,Unknown,Essex,85 percent or higher,Cell,1,0.965,1.1047,0.9173,1.0926,2018-10-13 19:12:28
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Essex,50 to 85 percent,Cell,1,0.6072,0.9542,0.6225,0.9685,2018-10-13 19:21:54
Rep,35 to 49,Bachelors' degree,Other,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,35 to 49,4-year College Grad.,Non-White,Rest,85 percent or higher,Cell,1,0.965,1.1489,0.7354,1.1363,2018-10-13 19:24:36
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,Don't know,Favorable,Don't know,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,Unknown,Essex,Less than 50 percent,Cell,1,0.3888,0.9687,1.4092,1.1279,2018-10-13 19:34:18
Und,50 to 64,Grade school,Hispanic,Female,Hispanic,Disapp.,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,[DO NOT READ] Refused,Nonwhite,50 to 64,No 4-year College Degree,Non-White,Rest,50 to 85 percent,Landline,1,0.729,1.4111,1.3577,1.296,2018-10-13 19:41:39
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,35 to 49,Postgraduate Degree,Non-White,"Morris, well-educ.",85 percent or higher,Landline,1,0.965,0.7783,0.5117,0.7698,2018-10-13 19:43:54
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Rest,85 percent or higher,Landline,1,0.965,1.094,0.4629,1.091,2018-10-13 19:46:36
Dem,18 to 34,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,4-year College Grad.,White,Essex,Less than 50 percent,Cell,1,0.2452,0.8373,1.9261,1.0784,2018-10-13 19:46:45
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,"Morris, well-educ.",Less than 50 percent,Cell,0.5556,0.4055,1.2715,1.9418,0.8766,2018-10-13 19:47:12
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,"Morris, well-educ.",Less than 50 percent,Landline,1,0.4245,1.4966,2.5014,1.5872,2018-10-13 19:54:42
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Passaic,Less than 50 percent,Cell,1,0.4628,1.2799,1.8481,1.3418,2018-10-13 19:56:57
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Essex,50 to 85 percent,Cell,1,0.6389,0.7204,0.6002,0.7626,2018-10-13 20:04:16
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,"Morris, well-educ.",85 percent or higher,Cell,1,0.9583,1.1127,0.8099,1.1102,2018-10-13 20:04:52
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Rest,85 percent or higher,Cell,1,0.9456,0.7153,0.405,0.7145,2018-10-13 20:16:07
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Other,Female,Very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,[DO NOT READ] Don't know/Refused,White,Passaic,50 to 85 percent,Landline,1,0.8192,1.1693,0.7742,1.1576,2018-10-13 20:18:22
Dem,18 to 34,Bachelors' degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,Non-White,Rest,50 to 85 percent,Cell,1,0.8189,0.7492,0.4981,0.762,2018-10-13 20:20:19
