response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,State Sen. 5,Less than 50 percent,Cell,1,0.4141,1.0172,1.0159,1.2187
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,50 to 64,White,State Sen. 5,50 to 85 percent,Cell,1,0.6293,1.0158,0.8836,1.0999
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9631,0.4836,0.2119,0.4757
Dem,[DO NOT READ] Refused,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Already voted,Independent (No party),Nonwhite,65 and older,Hispanic,State Sen. 5,85 percent or higher,Landline,1,0.9603,0.6187,0.3603,0.61240000000000006
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9543,0.4836,0.2137,0.4712
Dem,35 to 49,High school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Republican,Male,Almost certain,Democrat,Nonwhite,35 to 49,White,State Sen. 8,Less than 50 percent,Cell,1,0.2657,2.1629,5.9245,2.6973
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Cell,1,0.9598,0.7523,0.4922,0.7448
Rep,50 to 64,Some college or trade school,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,Hispanic,State Sen. 8,85 percent or higher,Cell,1,0.97,0.8555,0.448,0.8348
Rep,65 and older,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,White,State Sen. 8,85 percent or higher,Landline,0.4444,0.9634,0.6155,0.2868,0.5889
Rep,35 to 49,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,4-year College Grad.,Other,Male,Almost certain,or as a member of another political party,Nonwhite,35 to 49,White,State Sen. 5,50 to 85 percent,Cell,1,0.7979,0.6854,0.3718,0.6901
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9392,0.9688,0.4797,0.9629
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Landline,1,0.9615,0.7057,0.4615,0.6942
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9332,0.725,0.3874,0.7215
Dem,50 to 64,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Hispanic,State Sen. 8,85 percent or higher,Cell,0.6667,0.9551,1.8579,0.9353,1.7985
Rep,65 and older,Some college or trade school,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,Hispanic,State Sen. 12,85 percent or higher,Cell,1,0.9612,0.7905,0.4394,0.7824
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,State Sen. 5,50 to 85 percent,Landline,1,0.588,0.7424,0.7025,0.7865
Und,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,[DO NOT READ] Don't know/Refused,Independent (No party),"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.97,0.4426,0.1682,0.4208
Rep,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Hispanic,State Sen. 5,Less than 50 percent,Cell,1,0.2622,0.995,2.7059,1.2446
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,35 to 49,Hispanic,State Sen. 5,Less than 50 percent,Cell,1,0.3984,0.8512,1.1633,0.9724
Rep,50 to 64,Bachelors' degree,White,Female,Black,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,Nonwhite,50 to 64,White,State Sen. 5,Less than 50 percent,Cell,1,0.2374,1.214,3.0981,1.687
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,State Sen. 5,50 to 85 percent,Cell,1,0.7989,1.8325,1.2179,1.8446
Rep,50 to 64,Some college or trade school,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,State Sen. 8,85 percent or higher,Landline,1,0.9321,1.0294,0.6799,1.0153
Dem,18 to 34,Some college or trade school,White,Female,White,Approve,Don't know,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,State Sen. 8,50 to 85 percent,Cell,1,0.7761,0.9062,0.824,0.9366
Und,50 to 64,High school,Hispanic,Male,White,Don't know,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,Hispanic,State Sen. 5,85 percent or higher,Cell,1,0.8854,1.7939,0.904,1.7463
Rep,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Disapp.,Dems. take House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Male,Already voted,Independent (No party),Nonwhite,65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9437,0.4059,0.1608,0.403
Rep,[DO NOT READ] Refused,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Landline,1,0.9697,1.7418,1.0689,1.7126
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",35 to 49,White,State Sen. 5,50 to 85 percent,Cell,1,0.7794,0.9136,0.7042,0.9434
Dem,35 to 49,Grade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,State Sen. 5,85 percent or higher,Landline,1,0.8978,1.8032,1.1254,1.7862
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Cell,1,0.9664,0.7057,0.4592,0.6978
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,18 to 34,White,State Sen. 5,85 percent or higher,Cell,1,0.8615,0.955,0.739,0.9303
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,State Sen. 5,50 to 85 percent,Cell,1,0.7531,0.8526,0.5429,0.866
Dem,65 and older,Grade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Democrat,Nonwhite,65 and older,Hispanic,State Sen. 12,85 percent or higher,Cell,1,0.9564,1.8303,0.9671,1.8012
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,State Sen. 8,50 to 85 percent,Cell,1,0.7775,0.6556,0.3649,0.6421
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Landline,1,0.8944,1.7418,1.1579,1.6952
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,Unknown,State Sen. 12,50 to 85 percent,Cell,1,0.8477,1.2608,0.55,1.2583
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Cell,1,0.883,0.6886,0.4224,0.6835
Dem,65 and older,Some college or trade school,Asian,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,Other Non-White,State Sen. 5,Less than 50 percent,Landline,1,0.36870000000000003,1.0076,1.7698,1.0752
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9566,0.6801,0.3555,0.6692
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9415,0.4719,0.1836,0.4595
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Don't know,Don't know,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Unknown,State Sen. 5,85 percent or higher,Landline,1,0.8571,0.4577,0.12,0.4633
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Hispanic,State Sen. 8,85 percent or higher,Cell,1,0.9309,0.4406,0.1931,0.4347
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,State Sen. 5,50 to 85 percent,Cell,1,0.5131,0.8648,0.5156,0.9824
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,State Sen. 5,85 percent or higher,Landline,1,0.9468,0.7054,0.3046,0.6948
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,50 to 85 percent,Cell,1,0.598,0.7915,0.736,0.8359
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Already voted,Independent (No party),Nonwhite,65 and older,Hispanic,State Sen. 5,Less than 50 percent,Cell,1,0.4259,1.6836,2.7444,2.0028
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Landline,1,0.9527,1.5942,0.8578,1.5693
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9668,0.6909,0.2942,0.674
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Don't know,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,or as a member of another political party,Nonwhite,35 to 49,White,State Sen. 5,Less than 50 percent,Cell,1,0.3567,1.0242,1.906,1.1975
Und,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,State Sen. 5,85 percent or higher,Cell,0.8889,0.9232,0.9084,0.4602,0.8906
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,State Sen. 5,50 to 85 percent,Cell,1,0.7205,0.6063,0.3369,0.5971
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9124,0.6236,0.3457,0.6166
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Dems. take House,Don't know,Don't know,18 to 29,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,Hispanic,State Sen. 5,Less than 50 percent,Cell,0.5556,0.2602,0.9329,2.5693,0.6078
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,18 to 34,Hispanic,State Sen. 5,50 to 85 percent,Cell,1,0.7487,0.9448,0.7703,0.9841
Rep,50 to 64,Graduate or Professional Degree,Other,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Republican,"White, 4-Year College Grads",50 to 64,Other Non-White,State Sen. 8,85 percent or higher,Cell,1,0.9118,0.725,0.3045,0.7247
Rep,50 to 64,Some college or trade school,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,Hispanic,State Sen. 8,85 percent or higher,Cell,1,0.9682,0.8555,0.4488,0.8347
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,State Sen. 8,85 percent or higher,Cell,1,0.9421,0.4481,0.1894,0.4416
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,State Sen. 5,50 to 85 percent,Cell,1,0.7761,0.8733,0.6291,0.8554
Rep,50 to 64,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,State Sen. 5,50 to 85 percent,Cell,1,0.7664,0.8526,0.5336,0.8637
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",35 to 49,White,State Sen. 5,50 to 85 percent,Cell,1,0.8393,0.7475,0.3811,0.7598
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",18 to 34,Unknown,State Sen. 5,Less than 50 percent,Landline,1,0.2406,1.1608,2.4926,1.326
Dem,65 and older,Bachelors' degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),Nonwhite,65 and older,White,State Sen. 12,50 to 85 percent,Landline,1,0.6504,0.7775,0.5309,0.8356
Rep,65 and older,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9622,0.7549,0.3725,0.7425
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,85 percent or higher,Cell,1,0.9633,1.5746,0.7702,1.5578
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Already voted,Republican,Nonwhite,50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9473,0.8884,0.4417,0.8816
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,State Sen. 12,85 percent or higher,Landline,1,0.9561,1.3015,0.8664,1.2684
Dem,18 to 34,Some college or trade school,Unknown,Male,Black,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Female,Already voted,Independent (No party),Nonwhite,18 to 34,Unknown,State Sen. 5,Less than 50 percent,Cell,1,0.1915,1.1608,3.1283,1.7134
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,State Sen. 5,85 percent or higher,Landline,1,0.9479,0.9454,0.4006,0.9208
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9275,1.9757,0.9978,1.9682
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,State Sen. 5,85 percent or higher,Cell,1,0.97,0.6481,0.2758,0.6372
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,Approve,Don't know,Don't know,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 34,White,State Sen. 5,Less than 50 percent,Cell,1,0.2614,1.0273,2.9588,1.1573
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Democrat,Nonwhite,50 to 64,Hispanic,State Sen. 8,50 to 85 percent,Cell,1,0.6125,0.8033,0.7537,0.8753
Rep,35 to 49,High school,White,Male,White,Approve,Don't know,Unfavorable,Unfavorable,30 to 44,High School Grad. or Less,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,White,State Sen. 5,50 to 85 percent,Landline,1,0.7567,1.6654,1.0955,1.6904
Dem,65 and older,Some college or trade school,White,Female,Hispanic,Don't know,Don't know,Favorable,Don't know,65 and older,Some College Educ.,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,Nonwhite,65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9198,0.7922,0.4963,0.7323
Rep,18 to 34,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,State Sen. 5,85 percent or higher,Cell,1,0.8675,1.1103,0.8428,1.1046
Rep,18 to 34,Bachelors' degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,18 to 34,White,State Sen. 5,85 percent or higher,Cell,1,0.8581,0.833,0.4588,0.83
