response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,file_race_white,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,18 to 34,Some college or trade school,Hispanic,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,18 to 39,Non-White,Less than 50 percent,Cell,1,0.2345,1.7025,4.2175,2.1881,2018-10-13 20:40:41
Rep,35 to 49,Some college or trade school,White,Female,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Dem. Rio Grande,40 to 64,White,Less than 50 percent,Cell,1,0.3049,0.67490000000000006,1.652,0.8176,2018-10-13 20:42:29
Dem,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Bexar,18 to 39,Non-White,Less than 50 percent,Cell,1,0.3167,1.4788,1.7508,1.6175,2018-10-13 20:43:50
Rep,65 and older,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Bexar,65 and older,White,85 percent or higher,Cell,1,0.9552,0.9277,0.332,0.9145,2018-10-13 20:44:26
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",Bexar,40 to 64,White,50 to 85 percent,Cell,1,0.7486,0.9905,0.4721,0.9743,2018-10-13 20:49:06
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,Rep. Rio Grande,65 and older,Non-White,85 percent or higher,Landline,1,0.8776,1.1772,0.464,1.1481,2018-10-13 20:51:03
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Not at all likely,Democrat,Nonwhite,Rep. Rio Grande,65 and older,Non-White,Less than 50 percent,Landline,0,0.3075,1.6013,2.6148,0.3885,2018-10-13 21:17:49
Rep,65 and older,Some college or trade school,Hispanic,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,Dem. Rio Grande,65 and older,Non-White,Less than 50 percent,Landline,1,0.2022,0.7206,1.9184,0.9587,2018-10-13 21:18:52
Dem,65 and older,High school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Bexar,65 and older,White,50 to 85 percent,Landline,1,0.7643,1.7256,0.7009,1.6947,2018-10-13 21:19:19
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,85 percent or higher,Landline,1,0.9641,0.5127,0.2014,0.5051,2018-10-13 21:19:55
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Already voted,Democrat,Nonwhite,Bexar,40 to 64,Non-White,Less than 50 percent,Landline,1,0.0791,0.7029,1.9985,1.3409,2018-10-13 21:20:04
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rep. Rio Grande,65 and older,White,50 to 85 percent,Landline,1,0.8019,0.5707,0.2141,0.5751,2018-10-13 21:20:22
Und,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Bexar,40 to 64,Non-White,Less than 50 percent,Landline,1,0.3223,1.1585,1.5767,1.3865,2018-10-13 21:20:31
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Bexar,40 to 64,White,85 percent or higher,Landline,1,0.965,2.0862,1.4657,2.0551,2018-10-13 21:21:43
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,40 to 64,White,85 percent or higher,Landline,1,0.956,0.96,0.4941,0.9463,2018-10-13 21:22:37
Und,65 and older,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rep. Rio Grande,65 and older,Non-White,85 percent or higher,Landline,1,0.9314,0.9939,0.3043,0.982,2018-10-13 21:22:55
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rep. Rio Grande,40 to 64,Non-White,50 to 85 percent,Landline,1,0.6659,1.4432,0.6415,1.4984,2018-10-13 21:23:04
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Bexar,65 and older,White,85 percent or higher,Landline,1,0.965,0.6393,0.202,0.6298,2018-10-13 21:23:22
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),Nonwhite,Dem. Rio Grande,65 and older,Non-White,85 percent or higher,Landline,1,0.8968,0.5372,0.274,0.5397,2018-10-13 21:24:43
