response,ager,educ,file_race,gender,race_eth,approve,CRIMES,FEMINISM,genballot,hdem_fav,hrep_fav,NFLA,NFLRIGHT,OPIOID,REVERSERACIS,STRANGER,SWAMP,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_party_region,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,agree,oppose,Reps. keep House,Don't know,Favorable,support,support,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Fayette,35 to 49,Other,White,85 percent or higher,Cell,1,0.9712,0.9082,0.371,0.8954,2018-09-10 20:17:36
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,White,Approve,disagree,support,Dems. take House,Favorable,Unfavorable,oppose,oppose,yes,agree,agree,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,50 to 64,"Rest, Democratic",Other Non-White,85 percent or higher,Cell,1,0.9821,0.6555,0.3814,0.6461,2018-09-10 20:29:36
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,agree,Don't know,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,yes,disagree,Don't know,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,65 and older,"Fayette, Democratic",White,85 percent or higher,Cell,1,0.9148,0.7482,0.3427,0.7416,2018-09-10 20:29:54
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9881,0.6902,0.3637,0.6804,2018-09-10 20:22:15
Und,65 and older,Bachelors' degree,White,Male,White,Disapp.,Don't know,support,Reps. keep House,Don't know,Favorable,oppose,oppose,no,disagree,disagree,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,65 and older,"Fayette, Republican",White,85 percent or higher,Landline,1,0.8571,0.8692,0.453,0.8687,2018-09-10 20:27:48
Rep,35 to 49,High school,White,Male,White,Approve,disagree,support,Reps. keep House,Favorable,Unfavorable,oppose,oppose,yes,agree,disagree,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,35 to 49,"Rest, Republican",White,85 percent or higher,Cell,1,0.9387,2.6405,1.7901,2.6101,2018-09-10 20:31:24
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,support,no,agree,agree,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,35 to 49,"Rest, Democratic",White,50 to 85 percent,Cell,1,0.6834,1.1986,1.3176,1.1893,2018-09-10 20:19:15
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,agree,agree,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,18 to 34,"Rest, Democratic",White,50 to 85 percent,Cell,1,0.6526,1.1724,0.9364,1.2229,2018-09-10 20:22:42
Rep,65 and older,Some college or trade school,White,Male,White,Approve,disagree,support,Dems. take House,Unfavorable,Favorable,oppose,oppose,yes,agree,disagree,agree,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,50 to 85 percent,Landline,1,0.5212,0.7002,0.689,0.7151,2018-09-10 20:23:45
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,disagree,support,Dems. take House,Unfavorable,Favorable,oppose,oppose,no,disagree,agree,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9632,0.603,0.2809,0.5948,2018-09-10 20:22:51
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,disagree,oppose,Don't know,Unfavorable,Favorable,oppose,oppose,yes,Don't know,agree,disagree,30 to 44,Some College Educ.,Democratic,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,35 to 49,"Rest, Democratic",White,Less than 50 percent,Cell,0.7778,0.2196,1.3199,7.8614,1.0302,2018-09-10 20:18:21
Und,65 and older,Grade school,White,Female,Other,Disapp.,Don't know,Don't know,Don't know,Unfavorable,Don't know,oppose,oppose,no,agree,agree,agree,65 and older,High School Grad. or Less,Republican,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,Inner Bluegrass,65 and older,"Rest, Republican",White,Less than 50 percent,Cell,0.7778,0.3501,2.5454,5.5631,1.9934,2018-09-10 20:28:42
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Fayette,35 to 49,"Fayette, Democratic",White,50 to 85 percent,Cell,1,0.7248,0.9893,0.7185,1.014,2018-09-10 20:21:57
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Democratic",White,85 percent or higher,Landline,1,0.9904,0.6918,0.2506,0.682,2018-09-10 20:17:09
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,Black,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,Fayette,50 to 64,"Fayette, Democratic",Unknown,Less than 50 percent,Cell,1,0.1675,0.6511,1.9076,0.9069,2018-09-10 20:23:00
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,disagree,oppose,Reps. keep House,Don't know,Favorable,oppose,Don't know,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Republican",White,85 percent or higher,Landline,1,0.9632,0.8447,0.3079,0.8332,2018-09-10 20:27:03
Rep,50 to 64,High school,White,Female,White,Approve,disagree,oppose,Dems. take House,Don't know,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Fayette,50 to 64,"Fayette, Democratic",White,85 percent or higher,Landline,0.7778,0.9694,1.7926,0.8724,1.7364,2018-09-10 20:19:06
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,agree,agree,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Inner Bluegrass,50 to 64,"Rest, Democratic",Black,50 to 85 percent,Cell,1,0.842,0.5838,0.3194,0.5849,2018-09-10 20:30:03
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9645,0.5286,0.2177,0.5213,2018-09-10 20:20:54
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,disagree,oppose,Dems. take House,Unfavorable,Favorable,oppose,support,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Democratic",Unknown,50 to 85 percent,Landline,1,0.5694,0.6214,0.3033,0.6282,2018-09-10 20:26:09
Und,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,agree,support,Dems. take House,Don't know,Unfavorable,support,support,yes,agree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Fayette,35 to 49,"Fayette, Democratic",White,85 percent or higher,Landline,1,0.9776,0.8768,0.5164,0.859,2018-09-10 20:17:54
Dem,50 to 64,High school,White,Male,Black,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Inner Bluegrass,50 to 64,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9869,1.8189,1.0339,1.7929,2018-09-10 20:28:15
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,disagree,Don't know,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,disagree,disagree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,50 to 64,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9731,0.8009,0.3936,0.7841,2018-09-10 20:29:18
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,oppose,Dems. take House,Don't know,Don't know,support,support,no,disagree,disagree,agree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,35 to 49,Other,White,85 percent or higher,Cell,1,0.9029,0.8305,0.419,0.8245,2018-09-10 20:18:48
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9439,0.6902,0.3794,0.6819,2018-09-10 20:26:00
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,"Rest, Democratic",White,50 to 85 percent,Cell,1,0.8357,0.9299,0.6319,0.9325,2018-09-10 20:31:42
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,disagree,support,Reps. keep House,Unfavorable,Favorable,oppose,support,no,disagree,disagree,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Inner Bluegrass,50 to 64,"Rest, Republican",White,85 percent or higher,Cell,1,0.9285,0.7683,0.2309,0.7603,2018-09-10 20:25:06
Rep,50 to 64,Bachelors' degree,White,Male,Other,Don't know,disagree,Don't know,Don't know,Unfavorable,Favorable,oppose,oppose,no,Don't know,disagree,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Nonwhite,Inner Bluegrass,50 to 64,"Rest, Republican",White,85 percent or higher,Cell,1,0.9691,0.8844,0.2505,0.8721,2018-09-10 20:31:42
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Democratic",White,85 percent or higher,Landline,1,0.9903,0.761,0.2622,0.7502,2018-09-10 20:21:48
Dem,65 and older,Bachelors' degree,Other,Female,White,Disapp.,agree,oppose,Dems. take House,Don't know,Don't know,oppose,support,no,disagree,agree,disagree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,"Rest, Democratic",Other Non-White,50 to 85 percent,Landline,1,0.7042,0.79990000000000006,0.7035,0.7916,2018-09-10 20:27:12
Und,65 and older,High school,White,Female,White,Approve,disagree,support,Don't know,Unfavorable,Favorable,Don't know,Don't know,yes,agree,disagree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,65 and older,"Fayette, Democratic",White,85 percent or higher,Landline,1,0.9472,1.7626,1.1028,1.7409,2018-09-10 20:27:21
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,agree,Don't know,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,disagree,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,Other,White,50 to 85 percent,Cell,1,0.8259,0.9656,0.4036,0.97,2018-09-10 20:29:45
Dem,18 to 34,Graduate or Professional Degree,Black,Male,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,18 to 34,"Fayette, Democratic",Black,50 to 85 percent,Cell,1,0.7517,0.869,0.4969,0.8855,2018-09-10 20:27:21
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,oppose,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Fayette,35 to 49,"Fayette, Democratic",White,85 percent or higher,Landline,1,0.9819,0.9176,0.5572,0.9044,2018-09-10 20:24:03
Dem,50 to 64,Graduate or Professional Degree,White,Male,Other,Disapp.,Don't know,Don't know,Don't know,Favorable,Unfavorable,support,support,yes,agree,agree,disagree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,Inner Bluegrass,50 to 64,"Rest, Republican",White,85 percent or higher,Cell,1,0.9566,0.8041,0.2422,0.7859,2018-09-10 20:30:30
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,agree,support,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,no,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Republican",White,85 percent or higher,Cell,1,0.9755,0.884,0.3287,0.8658,2018-09-10 20:24:12
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,agree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Republican",White,85 percent or higher,Landline,1,0.9836,0.8447,0.3021,0.8285,2018-09-10 20:20:27
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,yes,agree,disagree,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9713,0.5556,0.2102,0.5478,2018-09-10 20:28:24
Und,65 and older,Some college or trade school,White,Male,White,Approve,disagree,support,Reps. keep House,Don't know,Don't know,oppose,oppose,no,agree,agree,agree,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9638,0.6205,0.3697,0.6069,2018-09-10 20:28:51
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,disagree,support,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,agree,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,35 to 49,"Fayette, Republican",White,85 percent or higher,Cell,1,0.9463,1.0706,0.6457,1.0575,2018-09-10 20:19:06
Dem,50 to 64,High school,Black,Male,Other,Disapp.,agree,Don't know,Dems. take House,Don't know,Unfavorable,support,support,yes,disagree,agree,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Inner Bluegrass,50 to 64,"Rest, Democratic",Black,85 percent or higher,Cell,1,0.9361,1.1229,0.668,1.1103,2018-09-10 20:20:36
Dem,65 and older,Some college or trade school,White,Male,Other,Don't know,agree,Don't know,Dems. take House,Don't know,Don't know,oppose,oppose,Don't know,agree,agree,Don't know,65 and older,Some College Educ.,Democratic,Male,Not at all likely,Democrat,Nonwhite,Nonwhite,Inner Bluegrass,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,0.8889,0.9806,0.8241,0.5187,0.7657,2018-09-10 20:21:03
Rep,65 and older,High school,White,Female,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Don't know,oppose,oppose,no,agree,agree,disagree,65 and older,High School Grad. or Less,Democratic,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,65 and older,"Rest, Democratic",White,Less than 50 percent,Landline,0.6667,0.412,2.1235,5.6698,1.2991,2018-09-10 20:22:42
Und,65 and older,Some college or trade school,White,Male,White,Approve,disagree,Don't know,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,no,agree,agree,agree,45 to 64,Some College Educ.,Republican,Male,Not at all likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Inner Bluegrass,50 to 64,"Rest, Republican",White,85 percent or higher,Cell,0,0.9165,0.96,0.3519,0.5903,2018-09-10 20:18:30
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,disagree,oppose,Reps. keep House,Favorable,Favorable,oppose,support,no,agree,agree,agree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Inner Bluegrass,18 to 34,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9551,1.4442,0.9707,1.4254,2018-09-10 20:27:21
Dem,65 and older,Some college or trade school,Black,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Fayette,65 and older,"Fayette, Democratic",Black,85 percent or higher,Landline,1,0.9648,0.5014,0.2769,0.4945,2018-09-10 20:21:48
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Unfavorable,oppose,oppose,yes,agree,agree,agree,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Fayette,35 to 49,Other,Unknown,50 to 85 percent,Landline,1,0.7338,0.9267,0.5133,0.9479,2018-09-10 20:30:57
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,disagree,Don't know,Reps. keep House,Favorable,Favorable,oppose,support,yes,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Republican",White,85 percent or higher,Cell,1,0.9763,0.884,0.3285,0.8714,2018-09-10 20:26:00
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,agree,oppose,Dems. take House,Favorable,Unfavorable,oppose,oppose,no,agree,agree,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,1,0.9425,0.5929,0.3491,0.5859,2018-09-10 20:30:39
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Fayette,50 to 64,"Fayette, Republican",Other Non-White,85 percent or higher,Landline,1,0.9636,0.8255,0.4238,0.8073,2018-09-10 20:23:27
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,Don't know,Don't know,Reps. keep House,Unfavorable,Don't know,oppose,support,no,Don't know,agree,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,35 to 49,"Rest, Republican",Unknown,85 percent or higher,Cell,1,0.9236,0.6108,0.2519,0.6048,2018-09-10 20:27:39
Rep,18 to 34,Bachelors' degree,Black,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Favorable,support,support,yes,disagree,agree,disagree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,Fayette,18 to 34,"Fayette, Democratic",Black,Less than 50 percent,Cell,1,0.3357,1.0058,2.005,1.0917,2018-09-10 20:23:09
Dem,35 to 49,Some college or trade school,Black,Female,Other,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Inner Bluegrass,35 to 49,"Rest, Democratic",Black,85 percent or higher,Cell,1,0.9691,0.6266,0.5091,0.6179,2018-09-10 20:31:33
Rep,65 and older,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,disagree,oppose,Reps. keep House,Unfavorable,Favorable,oppose,oppose,no,agree,agree,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Inner Bluegrass,65 and older,"Rest, Republican",White,85 percent or higher,Cell,1,0.9529,0.831,0.2862,0.8203,2018-09-10 20:20:36
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,disagree,agree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Inner Bluegrass,65 and older,"Rest, Democratic",White,85 percent or higher,Landline,1,0.8676,0.7255,0.3974,0.7239,2018-09-10 20:30:12
Dem,35 to 49,Some college or trade school,Black,Female,White,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,Don't know,Don't know,no,disagree,agree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Fayette,35 to 49,"Fayette, Democratic",Black,85 percent or higher,Cell,1,0.9472,0.6463,0.4699,0.6313,2018-09-10 20:19:51
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,oppose,Dems. take House,Favorable,Favorable,oppose,oppose,no,disagree,disagree,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9849,0.5051,0.1989,0.4978,2018-09-10 20:18:30
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,agree,support,Dems. take House,Favorable,Unfavorable,support,support,no,agree,disagree,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Rest,50 to 64,"Rest, Democratic",White,85 percent or higher,Cell,1,0.9322,0.6311,0.3122,0.6243,2018-09-10 20:20:45
