response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,West,50 to 85 percent,Cell,1,0.8358,0.7983,0.4301,0.7891,2018-10-23 14:03:30
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,East,85 percent or higher,Landline,1,0.9575,1.0179,0.5647,1.0218,2018-10-23 14:03:30
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Don't know,Favorable,Don't know,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Non-White,Dona Ana,Less than 50 percent,Cell,1,0.3168,0.7879,1.7605,0.872,2018-10-23 14:03:39
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,West,Less than 50 percent,Cell,0.7778,0.3397,0.613,1.2762,0.6688,2018-10-23 14:03:39
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,East,85 percent or higher,Landline,1,0.9434,1.0326,0.5752,1.0311,2018-10-23 14:03:39
Dem,35 to 49,Some college or trade school,Hispanic,Female,Black,Approve,Dems. take House,Favorable,Don't know,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,West,Less than 50 percent,Cell,1,0.4182,0.7065,1.0971,0.81,2018-10-23 14:03:39
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,West,85 percent or higher,Cell,1,0.9628,0.9205,0.5279,0.9177,2018-10-23 14:03:39
Rep,18 to 34,High school,Hispanic,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Republican,Male,Somewhat likely,Republican,Nonwhite,18 to 34,Non-White,West,Less than 50 percent,Cell,0.4444,0.3075,1.0922,2.9794,0.6674,2018-10-23 14:03:39
Rep,50 to 64,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,50 to 64,White,East,85 percent or higher,Cell,1,0.9661,0.6846,0.3123,0.6824,2018-10-23 14:03:39
Dem,[DO NOT READ] Refused,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,West,85 percent or higher,Cell,1,0.955,0.8886,0.434,0.8864,2018-10-23 14:03:48
Rep,35 to 49,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,Unknown,East,50 to 85 percent,Cell,1,0.6353,2.3443,2.0316,2.4829,2018-10-23 14:03:48
Dem,65 and older,High school,Hispanic,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Non-White,West,Less than 50 percent,Cell,1,0.3902,1.284,2.2245,1.3774,2018-10-23 14:03:48
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,West,50 to 85 percent,Cell,1,0.7585,1.4644,0.8258,1.506,2018-10-23 14:03:48
Rep,35 to 49,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,Nonwhite,35 to 49,White,West,85 percent or higher,Cell,1,0.9624,0.9139,0.5493,0.9165,2018-10-23 14:03:48
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,West,85 percent or higher,Landline,1,0.97,0.6652,0.3331,0.658,2018-10-23 14:03:48
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,East,50 to 85 percent,Cell,1,0.8357,0.8231,0.491,0.8343,2018-10-23 14:03:48
Dem,65 and older,High school,Black,Male,Black,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Non-White,West,50 to 85 percent,Landline,0.5556,0.7179,1.4237,0.9476,1.2716,2018-10-23 14:03:57
Dem,65 and older,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,65 and older,Non-White,Dona Ana,50 to 85 percent,Landline,1,0.8134,1.0525,0.5148,1.0418,2018-10-23 14:03:57
Und,18 to 34,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Democratic,Male,Not at all likely,Republican,Nonwhite,18 to 34,White,West,Less than 50 percent,Cell,0.4444,0.0716,0.6003,3.2769,0.2047,2018-10-23 14:03:57
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,Dona Ana,50 to 85 percent,Cell,1,0.652,0.9674,0.6866,1.02,2018-10-23 14:03:57
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,West,Less than 50 percent,Cell,1,0.4274,0.7252,1.1202,0.8278,2018-10-23 14:03:57
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,West,85 percent or higher,Cell,1,0.97,0.6784,0.2855,0.676,2018-10-23 14:03:57
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,Unknown,East,Less than 50 percent,Cell,1,0.3287,1.2459,2.209,1.5025,2018-10-23 14:03:57
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,West,50 to 85 percent,Landline,1,0.6007,0.7679,0.5897,0.6964,2018-10-23 14:03:57
Und,18 to 34,Graduate or Professional Degree,White,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,18 to 29,Postgraduate Degree,Republican,Male,Already voted,Republican,Nonwhite,18 to 34,White,East,85 percent or higher,Cell,1,0.8993,0.5933,0.3649,0.6028,2018-10-23 14:03:57
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,East,50 to 85 percent,Cell,1,0.7737,0.8231,0.5303,0.8628,2018-10-23 14:04:06
Rep,65 and older,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,Nonwhite,65 and older,Non-White,Dona Ana,85 percent or higher,Cell,1,0.97,1.2773,0.5522,1.2793,2018-10-23 14:04:06
Dem,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,East,Less than 50 percent,Cell,1,0.3868,0.7613,1.1733,0.8869,2018-10-23 14:04:06
Rep,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Dona Ana,Less than 50 percent,Cell,0.2222,0.1155,0.8693,4.6013,0.3034,2018-10-23 14:04:06
Dem,18 to 34,High school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",18 to 34,Non-White,West,Less than 50 percent,Cell,0.7778,0.2402,1.0729,3.3164,0.8453,2018-10-23 14:04:15
Rep,18 to 34,High school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Republican,Male,Very likely,Republican,Nonwhite,18 to 34,Non-White,West,Less than 50 percent,Cell,1,0.3795,1.0922,2.4144,1.1763,2018-10-23 14:04:15
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,Dona Ana,50 to 85 percent,Cell,1,0.5275,1.6511,1.7982,1.8087,2018-10-23 14:04:15
Rep,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,[DO NOT READ] Don't know/Refused,65 and older,White,East,50 to 85 percent,Landline,1,0.8365,0.8387,0.5054,0.8648,2018-10-23 14:04:15
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,Nonwhite,50 to 64,Non-White,East,Less than 50 percent,Cell,1,0.3604,0.5463,0.7668,0.5928,2018-10-23 14:04:15
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,West,50 to 85 percent,Landline,1,0.8198,0.8578,0.4995,0.8719,2018-10-23 14:04:15
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,West,85 percent or higher,Cell,1,0.8813,0.9319,0.5141,0.9378,2018-10-23 14:04:15
Dem,65 and older,Grade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",65 and older,White,East,Less than 50 percent,Landline,0,0.1772,1.3186,5.6869,0.2855,2018-10-23 14:04:15
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,West,50 to 85 percent,Cell,1,0.5553,0.779,0.6403,0.7982,2018-10-23 14:04:24
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,50 to 64,Non-White,East,Less than 50 percent,Landline,1,0.2696,0.7376,1.5953,1.0031,2018-10-23 14:04:33
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,White,East,85 percent or higher,Cell,1,0.97,0.9243,0.4839,0.9143,2018-10-23 14:04:33
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",35 to 49,White,East,Less than 50 percent,Cell,1,0.3231,0.53,1.1553,0.6864,2018-10-23 14:04:33
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Already voted,Democrat,Nonwhite,35 to 49,Non-White,West,Less than 50 percent,Cell,1,0.2793,1.1802,3.3226,1.5897,2018-10-23 14:04:33
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,Dona Ana,85 percent or higher,Cell,1,0.9435,1.1843,0.6022,1.169,2018-10-23 14:04:33
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Don't know,45 to 64,Some College Educ.,Republican,Male,Not at all likely,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,White,West,50 to 85 percent,Cell,0,0.6902,0.804,0.5437,0.3139,2018-10-23 14:04:33
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,White,East,50 to 85 percent,Landline,1,0.8364,0.8719,0.5129,0.899,2018-10-23 14:04:33
Rep,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,35 to 49,Non-White,West,Less than 50 percent,Cell,1,0.2852,0.7398,1.704,0.9203,2018-10-23 14:04:42
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,West,85 percent or higher,Cell,1,0.9673,0.6814,0.2938,0.6791,2018-10-23 14:04:42
Rep,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Republican,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Non-White,East,50 to 85 percent,Cell,1,0.8486,0.7316,0.456,0.7227,2018-10-23 14:04:42
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.97,1.2068,0.6034,1.2087,2018-10-23 14:04:51
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,East,85 percent or higher,Cell,1,0.9276,0.9678,0.5361,0.9548,2018-10-23 14:04:51
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Already voted,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,White,West,85 percent or higher,Landline,1,0.9621,0.9139,0.5495,0.9166,2018-10-23 14:04:51
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,West,50 to 85 percent,Cell,1,0.6218,0.79990000000000006,0.7066,0.8095,2018-10-23 14:04:51
Dem,65 and older,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Non-White,Dona Ana,50 to 85 percent,Cell,1,0.8095,1.0525,0.5173,1.0717,2018-10-23 14:04:51
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,50 to 64,White,West,85 percent or higher,Landline,1,0.8892,0.9386,0.4899,0.926,2018-10-23 14:04:51
Rep,65 and older,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,Nonwhite,65 and older,White,West,85 percent or higher,Landline,1,0.9581,0.9943,0.5161,0.9979,2018-10-23 14:04:51
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,East,85 percent or higher,Cell,1,0.9527,0.6846,0.3167,0.6831,2018-10-23 14:04:51
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,East,85 percent or higher,Cell,1,0.9172,0.9423,0.606,0.9437,2018-10-23 14:05:00
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,East,85 percent or higher,Cell,1,0.9176,0.6945,0.33,0.6955,2018-10-23 14:05:00
Rep,35 to 49,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),[DO NOT READ] Don't know/Refused,35 to 49,White,West,50 to 85 percent,Cell,0.7778,0.7239,0.7635,0.5239,0.6537,2018-10-23 14:05:00
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,East,85 percent or higher,Cell,1,0.9234,0.9609,0.5159,0.9617,2018-10-23 14:05:00
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,West,85 percent or higher,Landline,1,0.9631,0.7135,0.3126,0.7113,2018-10-23 14:05:00
Dem,35 to 49,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",35 to 49,White,West,85 percent or higher,Landline,1,0.9234,1.5004,1.1009,1.5163,2018-10-23 14:05:09
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,White,West,85 percent or higher,Landline,1,0.97,0.6814,0.293,0.679,2018-10-23 14:05:09
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Dona Ana,85 percent or higher,Landline,1,0.916,1.2068,0.639,1.2087,2018-10-23 14:05:09
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Reps. keep House,Unfavorable,Don't know,65 and older,Some College Educ.,Republican,Male,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,West,85 percent or higher,Cell,1,0.9574,0.9943,0.5165,0.95,2018-10-23 14:05:09
Dem,50 to 64,Graduate or Professional Degree,White,Female,Black,Don't know,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),Nonwhite,50 to 64,White,East,85 percent or higher,Landline,1,0.97,0.6633,0.2947,0.6561,2018-10-23 14:05:09
Dem,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,65 and older,White,West,85 percent or higher,Landline,1,0.97,0.6814,0.293,0.679,2018-10-23 14:05:09
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,65 and older,Non-White,Dona Ana,85 percent or higher,Landline,1,0.9412,1.2286,0.5608,1.2372,2018-10-23 14:05:09
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,East,85 percent or higher,Cell,1,0.8891,0.9,0.5901,0.9047,2018-10-23 14:05:09
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,Non-White,West,Less than 50 percent,Cell,0.8889,0.274,0.6155,1.5553,0.7342,2018-10-23 14:05:09
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",65 and older,White,Dona Ana,50 to 85 percent,Landline,0.4444,0.6848,0.7525,0.4499,0.5511,2018-10-23 14:05:09
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,East,85 percent or higher,Landline,1,0.958,1.0106,0.5407,1.0079,2018-10-23 14:05:09
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,West,50 to 85 percent,Cell,1,0.5152,1.4077,1.3972,1.549,2018-10-23 14:05:18
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Democrat,Nonwhite,65 and older,Non-White,East,Less than 50 percent,Landline,1,0.375,0.7757,1.2469,0.9662,2018-10-23 14:05:18
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Don't know,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Dona Ana,85 percent or higher,Cell,0.4444,0.9061,1.1682,0.5357,1.111,2018-10-23 14:05:18
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Dona Ana,50 to 85 percent,Cell,1,0.8149,0.7525,0.3781,0.7655,2018-10-23 14:05:18
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,East,85 percent or higher,Cell,1,0.97,0.9047,0.4619,0.9015,2018-10-23 14:05:18
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,East,85 percent or higher,Cell,1,0.9602,1.0326,0.5652,1.0296,2018-10-23 14:05:27
