response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,High school,Unknown,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,Unknown,Rest,85 percent or higher,Landline,0.8889,0.97,0.9867,0.6003,0.9791,2018-10-27 16:34:53
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Central,85 percent or higher,Cell,1,0.9061,0.8732,0.6313,0.8853,2018-10-27 16:38:38
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Shawnee,85 percent or higher,Cell,1,0.97,1.1787,0.7236,1.1739,2018-10-27 16:38:47
Und,65 and older,High school,White,Male,White,Approve,Don't know,Favorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,65 and older,White,Central,85 percent or higher,Cell,1,0.8683,0.9734,0.6269,0.9809,2018-10-27 16:41:56
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Central,85 percent or higher,Landline,1,0.9224,0.7939,0.3297,0.7941,2018-10-27 16:42:32
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Cell,1,0.97,0.7033,0.2693,0.7004,2018-10-27 16:47:40
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Landline,1,0.97,0.9583,0.3815,0.9593,2018-10-27 16:50:31
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.9332,1.0133,0.8901,1.0124,2018-10-27 16:55:10
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Reps. keep House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Central,50 to 85 percent,Cell,1,0.6071,1.6465,1.1545,1.7569,2018-10-27 16:56:22
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Democratic,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,"White, 4-Year College Grads",White,65 and older,Unknown,Central,50 to 85 percent,Cell,0.7778,0.601,1.2,0.9981,0.9329,2018-10-27 16:59:04
Dem,50 to 64,Some college or trade school,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,Shawnee,50 to 85 percent,Cell,1,0.5397,1.1726,1.496,1.2783,2018-10-27 17:00:25
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Shawnee,50 to 85 percent,Cell,0.8889,0.6918,1.0973,1.2562,1.0712,2018-10-27 17:03:12
Und,18 to 34,Graduate or Professional Degree,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Postgraduate Degree,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,18 to 34,White,Douglas,85 percent or higher,Cell,1,0.97,1.1616,0.4697,1.1483,2018-10-27 17:08:54
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.9359,0.8563,0.6491,0.8627,2018-10-27 17:11:27
Und,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Shawnee,85 percent or higher,Landline,1,0.8806,0.9064,0.6782,0.9118,2018-10-27 17:13:24
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Cell,1,0.9442,0.6801,0.2358,0.6709,2018-10-27 17:15:41
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Landline,1,0.97,1.1243,0.6854,1.1198,2018-10-27 17:19:44
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest,50 to 85 percent,Cell,1,0.7288,1.1866,0.7972,1.2273,2018-10-27 17:20:47
3,35 to 49,Graduate or Professional Degree,Asian,Male,White,Approve,Don't know,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Non-White,Douglas,50 to 85 percent,Cell,1,0.8137,2.2624,1.3859,2.3448,2018-10-27 17:23:20
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest,50 to 85 percent,Cell,1,0.784,1.3409,0.9287,1.3712,2018-10-27 17:29:11
Dem,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Cell,1,0.97,0.9583,0.3815,0.9544,2018-10-27 17:30:46
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.9648,0.8481,0.5269,0.8449,2018-10-27 17:32:34
Rep,35 to 49,Some college or trade school,White,Male,Other,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Central,85 percent or higher,Cell,1,0.9133,1.0626,0.7918,1.064,2018-10-27 17:32:43
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.97,0.6764,0.5227,0.6737,2018-10-27 17:35:34
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,Some College Educ.,Republican,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.8728,0.8608,0.7736,0.8669,2018-10-27 17:38:16
3,65 and older,[DO NOT READ] Refused,White,Female,White,Approve,Dems. take House,Favorable,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.8186,1.1275,1.5707,1.1671,2018-10-27 17:39:19
Rep,18 to 34,Bachelors' degree,White,Male,White,Don't know,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Shawnee,Less than 50 percent,Cell,1,0.345,1.0417,2.641,1.3251,2018-10-27 17:39:28
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Central,50 to 85 percent,Cell,1,0.5279,1.6874,1.643,1.8472,2018-10-27 17:41:16
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Cell,1,0.97,1.0254,0.616,1.0213,2018-10-27 17:42:37
Rep,65 and older,High school,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Cell,1,0.8673,1.0254,0.6886,0.9405,2018-10-27 17:47:26
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Landline,1,0.97,0.8336,0.3544,0.8344,2018-10-27 17:48:11
Und,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,High School Grad. or Less,Republican,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",White,50 to 64,White,Shawnee,85 percent or higher,Cell,0.8889,0.97,1.1787,0.7236,1.1597,2018-10-27 17:48:38
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Landline,1,0.9675,1.1243,0.6872,1.1111,2018-10-27 17:48:56
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Shawnee,85 percent or higher,Cell,0.8889,0.9023,0.9426,0.7449,0.9193,2018-10-27 17:53:08
Und,50 to 64,Bachelors' degree,Unknown,Female,Other,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,Unknown,Douglas,50 to 85 percent,Landline,1,0.827,1.3042,0.4489,1.2891,2018-10-27 18:00:02
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Central,85 percent or higher,Landline,1,0.9594,0.7964,0.536,0.7937,2018-10-27 18:03:36
Dem,65 and older,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Male,[DO NOT READ] Don't know/Refused,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Rest,85 percent or higher,Cell,1,0.9497,0.5264,0.3272,0.5004,2018-10-27 18:06:45
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Central,85 percent or higher,Cell,1,0.959,0.5539,0.2187,0.5555,2018-10-27 18:08:06
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Don't know,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,50 to 64,White,Central,85 percent or higher,Cell,1,0.97,0.7898,0.2823,0.7906,2018-10-27 18:09:00
Und,50 to 64,Some college or trade school,Unknown,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,50 to 64,Unknown,Rest,85 percent or higher,Landline,1,0.9095,0.6843,0.6362,0.6746,2018-10-27 18:15:00
Dem,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Non-White,Rest,85 percent or higher,Cell,1,0.9431,1.2216,1.3228,1.2192,2018-10-27 18:15:35
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.97,0.7175,0.3972,0.7146,2018-10-27 18:17:41
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Douglas,85 percent or higher,Cell,1,0.97,1.1122,0.4982,1.0994,2018-10-27 18:21:44
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Cell,1,0.9591,0.6801,0.2322,0.682,2018-10-27 18:23:50
Dem,35 to 49,Some college or trade school,White,Male,Other,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Douglas,85 percent or higher,Cell,1,0.97,1.2297,1.043,1.2247,2018-10-27 18:24:26
Rep,35 to 49,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Shawnee,85 percent or higher,Cell,1,0.97,1.3449,1.084,1.3295,2018-10-27 18:26:32
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Central,85 percent or higher,Cell,1,0.87,1.3151,1.1977,1.3249,2018-10-27 18:28:20
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Shawnee,85 percent or higher,Cell,1,0.97,0.8036,0.4361,0.8003,2018-10-27 18:39:08
Dem,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Rest,Less than 50 percent,Landline,1,0.4246,0.8251,1.1641,0.8741,2018-10-27 18:39:17
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Central,85 percent or higher,Cell,1,0.97,0.8052,0.3286,0.7959,2018-10-27 18:41:50
Rep,65 and older,Some college or trade school,Unknown,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Shawnee,85 percent or higher,Cell,1,0.9153,0.6941,0.4557,0.6842,2018-10-27 18:42:17
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Douglas,Less than 50 percent,Cell,1,0.4511,1.8649,2.4415,2.1046,2018-10-27 18:44:41
Und,35 to 49,Some college or trade school,White,Female,White,Don't know,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Central,50 to 85 percent,Cell,0.4444,0.7135,1.2852,1.1114,0.835,2018-10-27 18:45:26
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.97,0.6809,0.3386,0.6781,2018-10-27 18:50:54
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Rest,50 to 85 percent,Cell,1,0.8091,1.361,1.1961,1.3852,2018-10-27 18:57:12
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Cell,0.4444,0.9016,1.0201,0.5961,0.9684,2018-10-27 18:57:39
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.9614,0.8481,0.5288,0.8451,2018-10-27 19:02:52
3,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Shawnee,85 percent or higher,Cell,1,0.931,0.6838,0.4906,0.6833,2018-10-27 19:07:58
Und,18 to 34,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Central,Less than 50 percent,Landline,0,0.3857,1.8553,4.7018,0.4945,2018-10-27 19:13:22
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Douglas,85 percent or higher,Cell,1,0.97,0.9778,0.563,0.9738,2018-10-27 19:18:35
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.937,0.9666,0.8396,0.9533,2018-10-27 19:18:44
3,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Central,50 to 85 percent,Cell,1,0.6876,1.1205,0.6924,1.1701,2018-10-27 19:18:53
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Rest,85 percent or higher,Cell,1,0.97,0.8608,0.6963,0.8573,2018-10-27 19:19:29
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Shawnee,85 percent or higher,Cell,1,0.97,0.7711,0.2995,0.7623,2018-10-27 19:21:26
Rep,18 to 34,Some college or trade school,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Central,Less than 50 percent,Cell,1,0.0891,1.6188,9.6279,2.255,2018-10-27 19:24:53
3,18 to 34,Some college or trade school,White,Female,White,Don't know,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Central,Less than 50 percent,Cell,1,0.2908,1.2384,3.8004,1.6489,2018-10-27 19:27:53
Und,50 to 64,High school,White,Male,White,Disapp.,Don't know,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Shawnee,Less than 50 percent,Cell,0.8889,0.4064,1.3222,3.1139,1.4661,2018-10-27 19:28:56
Rep,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Unknown,Rest,50 to 85 percent,Cell,1,0.7437,1.1418,0.7612,1.1772,2018-10-27 19:31:55
Dem,65 and older,High school,White,Female,White,Don't know,Reps. keep House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Cell,1,0.8045,1.6128,0.957,1.6428,2018-10-27 19:38:49
Und,65 and older,Bachelors' degree,White,Female,White,Disapp.,Don't know,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,[DO NOT READ] Don't know/Refused,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Central,50 to 85 percent,Cell,0,0.8436,1.2406,0.657,0.7929,2018-10-27 19:39:34
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest,50 to 85 percent,Cell,1,0.6816,1.005,0.7589,1.0511,2018-10-27 19:40:19
Und,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Rest,50 to 85 percent,Cell,1,0.8065,0.899,0.4617,0.9154,2018-10-27 19:47:29
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Cell,1,0.9517,0.6845,0.3835,0.6874,2018-10-27 19:48:14
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Cell,1,0.97,1.075,0.6504,1.0706,2018-10-27 19:48:41
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Central,85 percent or higher,Cell,1,0.97,0.7964,0.5301,0.7873,2018-10-27 19:49:08
Und,50 to 64,High school,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,Nonwhite,50 to 64,White,Central,85 percent or higher,Cell,1,0.97,1.3878,0.734,1.3822,2018-10-27 19:49:44
Und,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Not at all likely,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Rest,85 percent or higher,Cell,0,0.8633,0.5645,0.2882,0.3034,2018-10-27 19:49:44
