response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Und,65 and older,Some college or trade school,White,Male,White,Don't know,Don't know,Disapp.,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,0.6667,0.614,1.0028,0.8468,0.9997,2018-09-13 23:04:29
Und,50 to 64,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Shawnee,85 percent or higher,Cell,1,0.959,0.7238,0.3302,0.7268,2018-09-13 23:04:56
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Support,Don't know,Don't know,oppose,Don't know,disagree,Don't know,Favorable,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Central,85 percent or higher,Cell,0.4444,0.9824,0.944,0.7786,0.8983,2018-09-13 23:06:26
Dem,50 to 64,High school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,Don't know,Dems. take House,Unfavorable,Favorable,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Shawnee,85 percent or higher,Landline,1,0.8563,1.3615,0.9545,1.3978,2018-09-13 23:08:41
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,65 and older,Postgraduate Degree,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Central,85 percent or higher,Landline,0.4444,0.9257,0.6605,0.3565,0.5883,2018-09-13 23:10:56
Und,35 to 49,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Support,agree,Don't know,Don't know,Don't know,agree,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Shawnee,50 to 85 percent,Cell,0.5556,0.713,1.3548,1.141,1.0775,2018-09-13 23:11:41
Dem,65 and older,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Don't know,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.9982,0.5749,0.2773,0.5829,2018-09-13 23:14:23
Dem,65 and older,High school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Unfavorable,Don't know,disagree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.7302,1.1808,1.1403,1.1968,2018-09-13 23:15:08
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Don't know,agree,Don't know,support,Support,disagree,Reps. keep House,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,Non-White,Rest,Less than 50 percent,Cell,0.8889,0.3237,1.1648,2.3765,1.2368,2018-09-13 23:21:12
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.9918,0.5749,0.2791,0.5823,2018-09-13 23:22:42
Dem,65 and older,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Cell,1,0.9564,0.7708,0.2437,0.7814,2018-09-13 23:25:24
Dem,65 and older,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9849,0.9811,0.6361,0.9887,2018-09-13 23:25:24
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,Hispanic,Male,[DO NOT READ] Don't know/Refused,Support,agree,Don't know,support,Support,Don't know,Dems. take House,Favorable,Favorable,disagree,30 to 44,[DO NOT READ] Don't know/Refused,Democratic,Male,Very likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 34,Non-White,Douglas,50 to 85 percent,Cell,1,0.5136,0.9777,1.5925,1.0276,2018-09-13 23:25:33
Dem,65 and older,Bachelors' degree,White,Female,White,Don't know,Don't know,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Landline,0.4444,0.9894,0.5749,0.2797,0.5754,2018-09-13 23:27:03
Rep,50 to 64,Graduate or Professional Degree,White,Female,Black,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,White,Central,50 to 85 percent,Landline,1,0.7451,0.8659,0.5283,0.8763,2018-09-13 23:30:03
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Central,Less than 50 percent,Landline,1,0.2803,0.8476,2.2665,1.076,2018-09-13 23:30:48
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,50 to 64,White,Central,85 percent or higher,Landline,1,0.9682,0.6429,0.362,0.6512,2018-09-13 23:30:57
Dem,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.9981,0.5696,0.2474,0.5776,2018-09-13 23:31:06
Rep,65 and older,Bachelors' degree,White,Male,White,Support,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Shawnee,Less than 50 percent,Cell,1,0.4731,0.8447,1.0576,0.9604,2018-09-13 23:31:24
Rep,65 and older,High school,White,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Central,85 percent or higher,Landline,1,0.8652,1.4036,1.1294,1.4391,2018-09-13 23:34:06
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Rest,Less than 50 percent,Cell,1,0.4653,0.7632,1.1128,0.8705,2018-09-13 23:34:24
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Shawnee,85 percent or higher,Cell,1,0.989,0.5137,0.2735,0.5201,2018-09-13 23:37:15
Und,35 to 49,Some college or trade school,White,Male,White,Oppose,agree,Approve,oppose,Oppose,disagree,Don't know,Unfavorable,Unfavorable,disagree,30 to 44,Some College Educ.,Republican,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",White,35 to 49,White,Shawnee,85 percent or higher,Cell,1,0.8669,1.6656,1.3657,1.6711,2018-09-13 23:38:00
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,Don't know,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Rest,50 to 85 percent,Landline,1,0.5469,1.4206,1.6625,1.571,2018-09-13 23:38:09
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,Asian,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Non-White,Douglas,85 percent or higher,Cell,1,0.9983,0.8964,0.4421,0.909,2018-09-13 23:38:27
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Central,85 percent or higher,Landline,1,0.9081,0.5107,0.3374,0.512,2018-09-13 23:38:36
Dem,65 and older,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Cell,1,0.9896,1.2689,0.6819,1.2804,2018-09-13 23:41:00
Und,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,agree,65 and older,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Rest,50 to 85 percent,Landline,1,0.828,0.6162,0.3101,0.6194,2018-09-13 23:44:00
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Rest,85 percent or higher,Landline,1,0.955,0.6781,0.3621,0.6875,2018-09-13 23:45:03
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Landline,1,0.9896,1.5975,0.7801,1.6118,2018-09-13 23:45:34
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Don't know,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Douglas,85 percent or higher,Cell,0.7778,0.8898,1.5487,0.7626,1.5517,2018-09-13 23:45:43
Und,65 and older,Bachelors' degree,Hispanic,Female,Black,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Don't know,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,Shawnee,85 percent or higher,Cell,1,0.996,0.6005,0.3342,0.6085,2018-09-13 23:46:06
Rep,50 to 64,High school,White,Male,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Unfavorable,agree,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest,85 percent or higher,Cell,1,0.9781,1.8637,1.1276,1.8757,2018-09-13 23:46:15
Rep,65 and older,High school,White,Female,White,Oppose,agree,Disapp.,oppose,Oppose,agree,Reps. keep House,Unfavorable,Unfavorable,disagree,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Shawnee,85 percent or higher,Landline,1,0.8808,1.4249,1.0978,1.429,2018-09-13 23:46:28
Rep,50 to 64,High school,Unknown,Female,White,Support,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Unknown,Rest,50 to 85 percent,Cell,1,0.796,1.7273,1.5005,1.74,2018-09-13 23:47:58
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,Don't know,Don't know,support,Oppose,Don't know,Dems. take House,Favorable,Don't know,disagree,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,35 to 49,Non-White,Douglas,85 percent or higher,Cell,1,0.9946,0.98,0.7605,0.9906,2018-09-13 23:48:25
Rep,50 to 64,High school,White,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Central,50 to 85 percent,Cell,1,0.716,1.8231,1.4523,1.9232,2018-09-13 23:48:34
Dem,50 to 64,Some college or trade school,White,Male,White,Don't know,agree,Disapp.,support,Oppose,agree,Don't know,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Central,85 percent or higher,Cell,1,0.9916,1.1603,0.6534,1.1751,2018-09-13 23:51:34
Rep,65 and older,Grade school,White,Female,White,Support,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,Less than 50 percent,Landline,1,0.2228,1.3258,5.364,1.7733,2018-09-13 23:53:31
Und,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Don't know,agree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,Less than 50 percent,Cell,0.8889,0.2544,1.1364,3.2882,1.2448,2018-09-13 23:53:49
Dem,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Shawnee,85 percent or higher,Landline,1,0.9958,0.9362,0.3425,0.9486,2018-09-13 23:54:43
Rep,65 and older,Some college or trade school,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Unfavorable,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Douglas,85 percent or higher,Cell,1,0.9805,1.2416,0.6781,1.2571,2018-09-13 23:57:34
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown,Central,85 percent or higher,Cell,1,0.9871,0.8284,0.4065,0.8388,2018-09-13 23:57:34
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Don't know,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Shawnee,50 to 85 percent,Cell,1,0.7764,0.741,0.5374,0.7717,2018-09-13 23:58:28
Dem,35 to 49,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Central,50 to 85 percent,Cell,1,0.6798,0.82,0.5972,0.8725,2018-09-13 23:58:46
Rep,18 to 34,Some college or trade school,White,Male,Black,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Shawnee,50 to 85 percent,Cell,1,0.5298,0.7087,0.7147,0.7884,2018-09-13 23:58:46
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,30 to 44,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Shawnee,50 to 85 percent,Cell,1,0.6587,0.3891,0.2774,0.3979,2018-09-13 23:59:40
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Shawnee,50 to 85 percent,Cell,1,0.6039,0.5334,0.3144,0.5793,2018-09-14 00:01:40
Dem,35 to 49,Bachelors' degree,White,Male,Hispanic,Don't know,disagree,Disapp.,oppose,Support,disagree,Dems. take House,Favorable,Don't know,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Douglas,50 to 85 percent,Cell,1,0.8301,1.0946,0.5122,1.1287,2018-09-14 00:02:52
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Favorable,Favorable,disagree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,35 to 49,White,Rest,50 to 85 percent,Cell,1,0.7506,0.9893,0.7913,1.0357,2018-09-14 00:03:10
Dem,65 and older,High school,White,Male,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Cell,1,0.9424,1.134,0.8473,1.151,2018-09-14 00:03:19
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Shawnee,85 percent or higher,Cell,1,0.963,0.9449,0.397,0.9574,2018-09-14 00:04:31
Dem,18 to 34,High school,White,Male,White,Support,agree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Shawnee,Less than 50 percent,Cell,1,0.3696,0.8928,3.3183,1.0672,2018-09-14 00:04:58
Rep,65 and older,High school,White,Female,Other,Don't know,disagree,Don't know,oppose,Oppose,Don't know,Reps. keep House,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,White,Rest,85 percent or higher,Cell,1,0.9821,1.4941,1.1003,1.5127,2018-09-14 00:06:28
Dem,65 and older,Some college or trade school,Unknown,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown,Rest,50 to 85 percent,Cell,1,0.5479,0.9009,1.1047,0.9396,2018-09-14 00:07:40
Dem,18 to 34,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,30 to 44,4-year College Grad.,Republican,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Rest,85 percent or higher,Cell,1,0.9593,0.5719,0.3982,0.5743,2018-09-14 00:09:01
Dem,50 to 64,Graduate or Professional Degree,Black,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Non-White,Shawnee,85 percent or higher,Landline,1,0.8538,0.6755,0.4358,0.6938,2018-09-14 00:09:46
Rep,65 and older,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Oppose,agree,Reps. keep House,Don't know,Don't know,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Rest,50 to 85 percent,Cell,1,0.6862,0.6284,0.2977,0.6676,2018-09-14 00:10:13
Dem,18 to 34,Bachelors' degree,White,Female,White,Support,disagree,Approve,oppose,Support,disagree,Don't know,Unfavorable,Unfavorable,agree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Rest,50 to 85 percent,Landline,1,0.561,0.4609,0.4175,0.5073,2018-09-14 00:10:22
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Don't know,Favorable,Unfavorable,disagree,18 to 29,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Central,50 to 85 percent,Cell,1,0.573,0.3904,0.4048,0.4281,2018-09-14 00:10:58
Und,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Approve,support,Oppose,disagree,Reps. keep House,Favorable,Don't know,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Central,85 percent or higher,Landline,1,0.9375,0.6667,0.3945,0.677,2018-09-14 00:13:22
Rep,18 to 34,Some college or trade school,Hispanic,Male,White,Oppose,disagree,Disapp.,oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,18 to 29,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,Non-White,Rest,Less than 50 percent,Cell,0.6667,0.28,0.8547,3.2785,0.8096,2018-09-14 00:13:40
Und,35 to 49,Some college or trade school,White,Male,Hispanic,Support,disagree,Disapp.,Don't know,Oppose,disagree,Don't know,Unfavorable,Don't know,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Douglas,85 percent or higher,Cell,1,0.8964,1.7266,1.0325,1.7622,2018-09-14 00:15:10
Dem,65 and older,Some college or trade school,White,Female,White,Don't know,disagree,Disapp.,Don't know,Oppose,agree,Reps. keep House,Favorable,Don't know,disagree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest,85 percent or higher,Landline,1,0.9338,1.2807,0.8099,1.2843,2018-09-14 00:17:25
