response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_party_model,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,White,85 percent or higher,Cell,1,0.965,1.0754,0.8239,1.0957,2018-10-11 22:49:01
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.965,0.7062,0.5517,0.7196,2018-10-11 22:49:01
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.1322,0.9878,1.1441,2018-10-11 22:57:25
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,40 to 64,Unknown,White,85 percent or higher,Cell,1,0.956,0.6705,0.5692,0.6836,2018-10-11 22:59:04
Dem,50 to 64,High school,Asian,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Rest,40 to 64,Unknown,Unknown/Non-White,85 percent or higher,Landline,1,0.965,1.6618,1.6116,1.6792,2018-10-11 22:59:22
Dem,50 to 64,Bachelors' degree,Other,Male,Asian,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,Duluth,40 to 64,Probably Clinton,Unknown/Non-White,85 percent or higher,Cell,1,0.9287,0.5999,0.4438,0.6133,2018-10-11 22:59:40
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.965,1.0495,0.881,1.0693,2018-10-11 22:59:40
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,1,0.8036,0.609,0.5414,0.6346,2018-10-11 22:59:58
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Most Trump,White,85 percent or higher,Landline,1,0.965,1.6066,1.4216,1.637,2018-10-11 23:04:18
Und,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9585,0.5273,0.3953,0.5375,2018-10-11 23:06:06
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.965,1.2541,1.2183,1.2851,2018-10-11 23:07:27
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,18 to 39,Unknown,White,85 percent or higher,Cell,1,0.8867,1.4847,1.6231,1.526,2018-10-11 23:08:48
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,40 to 64,Most Trump,White,85 percent or higher,Cell,1,0.965,0.7628,0.5228,0.7772,2018-10-11 23:09:42
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,40 to 64,Most Trump,White,50 to 85 percent,Cell,1,0.78,0.6108,0.5046,0.6393,2018-10-11 23:10:36
Dem,35 to 49,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,40 to 64,Probably Trump,Unknown/Non-White,85 percent or higher,Landline,1,0.9347,1.4641,1.4424,1.4958,2018-10-11 23:11:57
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 39,Probably Trump,White,85 percent or higher,Cell,0.5556,0.965,1.4046,1.2187,1.3833,2018-10-11 23:13:18
Und,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.3312,1.1002,1.3451,2018-10-11 23:14:12
Rep,65 and older,High school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,Unknown/Non-White,85 percent or higher,Landline,0.8889,0.9649,1.3438,1.3129,1.3508,2018-10-11 23:15:06
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.1322,0.9878,1.1441,2018-10-11 23:15:15
Und,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Iron Range,18 to 39,Unknown,White,85 percent or higher,Landline,1,0.951,1.4847,1.5133,1.4986,2018-10-11 23:15:24
Dem,65 and older,High school,White,Female,White,Approve,Don't know,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9588,1.3615,1.1933,1.3453,2018-10-11 23:17:38
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.965,0.6905,0.5119,0.7036,2018-10-11 23:17:38
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.3615,1.1857,1.3872,2018-10-11 23:17:47
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Minn. Exurbs,40 to 64,Probably Trump,White,50 to 85 percent,Landline,1,0.8199,0.9145,1.0027,0.9501,2018-10-11 23:17:56
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.9566,1.3143,1.2387,1.34,2018-10-11 23:18:05
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Don't know,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Iron Range,40 to 64,Most Trump,White,85 percent or higher,Cell,1,0.965,1.1335,0.8348,1.155,2018-10-11 23:18:23
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Duluth,18 to 39,Probably Clinton,White,85 percent or higher,Cell,1,0.8798,0.9089,0.8765,0.9352,2018-10-11 23:18:23
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,Probably Trump,White,50 to 85 percent,Cell,1,0.7233,0.9272,1.1079,0.9821,2018-10-11 23:19:17
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9416,1.3428,1.2466,1.3709,2018-10-11 23:19:17
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.1322,0.9878,1.1441,2018-10-11 23:21:23
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.5155,0.3643,0.5253,2018-10-11 23:25:26
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Minn. Exurbs,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.3428,1.2164,1.3682,2018-10-11 23:27:14
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,Probably Trump,Unknown/Non-White,85 percent or higher,Landline,1,0.965,0.4923,0.3553,0.5017,2018-10-11 23:29:02
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.5155,0.3643,0.5283,2018-10-11 23:29:20
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,1,0.965,1.5109,1.2691,1.5268,2018-10-11 23:29:29
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,Probably Trump,White,85 percent or higher,Cell,1,0.8788,1.1865,1.0932,1.2209,2018-10-11 23:31:38
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,Unknown/Non-White,50 to 85 percent,Landline,0.8889,0.8288,0.716,0.7681,0.7123,2018-10-11 23:31:47
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9638,1.2991,1.1779,1.3238,2018-10-11 23:32:59
Rep,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Duluth,65 and older,Unknown,Unknown/Non-White,85 percent or higher,Landline,0,0.965,0.634,0.5793,0.6053,2018-10-11 23:33:26
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Most Trump,White,85 percent or higher,Landline,1,0.8609,1.6289,1.5533,1.644,2018-10-11 23:33:26
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.9595,1.6066,1.4524,1.6376,2018-10-11 23:34:56
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Trump,White,85 percent or higher,Landline,0.6667,0.9462,1.1322,1.0074,1.0732,2018-10-11 23:35:14
Rep,35 to 49,High school,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,30 to 44,High School Grad. or Less,Republican,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,40 to 64,Most Trump,White,50 to 85 percent,Landline,0.2222,0.6691,1.5771,1.7761,0.8733,2018-10-11 23:35:23
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9647,0.9813,0.8742,0.9915,2018-10-11 23:35:32
Und,18 to 34,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,Iron Range,18 to 39,Probably Trump,Unknown/Non-White,85 percent or higher,Landline,1,0.965,0.6563,0.5255,0.6632,2018-10-11 23:36:35
Dem,65 and older,High school,White,Male,White,Approve,Dems. take House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.9384,1.395,1.1404,1.4247,2018-10-11 23:36:35
3,50 to 64,High school,Unknown,Male,Other,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,Iron Range,40 to 64,Probably Trump,Unknown/Non-White,85 percent or higher,Landline,1,0.965,1.4315,1.2964,1.4465,2018-10-11 23:37:11
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.965,1.2541,1.2183,1.2673,2018-10-11 23:37:29
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.9627,0.6506,0.5373,0.663,2018-10-11 23:38:23
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,40 to 64,Most Trump,White,85 percent or higher,Landline,1,0.9051,0.7628,0.5573,0.782,2018-10-11 23:39:35
Dem,65 and older,High school,White,Female,Asian,Approve,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),Nonwhite,Nonwhite,Rest,65 and older,Unknown,White,Less than 50 percent,Landline,0.6667,0.431,1.1579,2.2465,0.6136,2018-10-11 23:39:35
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Don't know,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,40 to 64,Probably Trump,Unknown/Non-White,85 percent or higher,Landline,1,0.965,0.883,0.7447,0.8997,2018-10-11 23:39:44
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,Probably Trump,White,85 percent or higher,Cell,1,0.9399,0.9813,0.8974,1.002,2018-10-11 23:39:53
Rep,50 to 64,Grade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,40 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.965,1.6066,1.4441,1.637,2018-10-11 23:41:05
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",White,Rest,40 to 64,Probably Trump,White,85 percent or higher,Landline,0.7778,0.9071,0.6222,0.5088,0.6137,2018-10-11 23:41:14
3,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,Duluth,40 to 64,Unknown,Unknown/Non-White,85 percent or higher,Landline,1,0.965,0.7482,0.7056,0.7623,2018-10-11 23:41:41
Dem,50 to 64,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,Unknown/Non-White,50 to 85 percent,Landline,1,0.7516,0.9151,1.1806,0.9634,2018-10-11 23:42:08
Und,65 and older,High school,White,Female,White,Don't know,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Not at all likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,50 to 85 percent,Landline,0.4444,0.6314,1.1314,1.3544,0.5957,2018-10-11 23:42:44
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Duluth,18 to 39,Probably Clinton,White,50 to 85 percent,Cell,0.5556,0.5718,0.7278,1.0522,0.6498,2018-10-11 23:43:29
Rep,65 and older,Some college or trade school,Other,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,Unknown,Unknown/Non-White,85 percent or higher,Landline,1,0.965,1.015,0.9753,1.0342,2018-10-11 23:46:02
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.965,0.3582,0.2252,0.365,2018-10-11 23:46:29
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Don't know,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.965,0.3496,0.2408,0.3562,2018-10-11 23:46:41
Und,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Clinton,White,50 to 85 percent,Landline,1,0.5509,0.8154,1.1442,0.9057,2018-10-11 23:51:50
Rep,35 to 49,Bachelors' degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Iron Range,40 to 64,Unknown,Unknown/Non-White,85 percent or higher,Landline,1,0.965,0.9564,0.8523,0.9745,2018-10-11 23:53:29
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,65 and older,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.8029,0.5864,0.8181,2018-10-11 23:53:38
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Unknown,White,85 percent or higher,Landline,1,0.9305,1.2851,1.1817,1.3256,2018-10-11 23:54:11
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,50 to 85 percent,Landline,1,0.7536,0.851,0.9992,0.8955,2018-10-11 23:54:14
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Duluth,65 and older,Probably Clinton,White,85 percent or higher,Landline,1,0.965,0.9027,0.7271,0.9122,2018-10-11 23:54:29
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Minn. Exurbs,40 to 64,Probably Trump,White,85 percent or higher,Landline,1,0.9257,0.9557,0.8232,0.9774,2018-10-11 23:55:53
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,40 to 64,Probably Clinton,White,50 to 85 percent,Landline,0.8889,0.7019,0.9623,1.0939,1.0044,2018-10-11 23:56:02
3,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Iron Range,65 and older,Unknown,White,85 percent or higher,Landline,0.6667,0.9331,1.4746,1.4034,1.4742,2018-10-11 23:56:02
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Already voted,Republican,"White, No 4-Year College Degree",White,Iron Range,65 and older,Probably Trump,White,85 percent or higher,Landline,1,0.965,0.9594,0.811,0.9831,2018-10-11 23:56:26
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Duluth,40 to 64,Probably Clinton,White,50 to 85 percent,Cell,1,0.7087,0.6148,0.6935,0.6533,2018-10-11 23:56:35
