response,ager,educ,file_race,gender,race_eth,approve,GOVHR,NFLA,NFLRIGHT,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedc,educ3,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Rep.,Don't know,Don't know,Favorable,Dem.,Don't know,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Major Suburbs,40 to 64,4-year College Grad.,White,50 to 85 percent,Cell,1,0.5853,0.7623,0.386,0.8186
Rep,35 to 49,Some college or trade school,Unknown,Male,Hispanic,Approve,Rep.,Don't know,Don't know,Don't know,Rep.,Favorable,30 to 44,Some College Educ.,Republican,Male,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,Rio Grande/South,18 to 39,No 4-year College Degree,Unknown,50 to 85 percent,Cell,1,0.5956,1.0733,1.3526,0.9222
Rep,65 and older,High school,White,Female,White,Approve,Dem.,support,oppose,Don't know,Rep.,Favorable,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,Less than 50 percent,Landline,1,0.4731,1.1714,1.7597,1.223
Dem,50 to 64,Bachelors' degree,White,Male,Black,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Rural,40 to 64,4-year College Grad.,White,50 to 85 percent,Cell,1,0.832,0.6683,0.3038,0.6773
Dem,35 to 49,Bachelors' degree,White,Male,Asian,Don't know,Lib./Don't know,support,support,Favorable,Don't know,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Major Suburbs,40 to 64,4-year College Grad.,White,50 to 85 percent,Cell,1,0.6584,0.7623,0.3431,0.8018
Rep,35 to 49,Bachelors' degree,Unknown,Male,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rio Grande/South,40 to 64,4-year College Grad.,Unknown,85 percent or higher,Cell,0.8889,0.92490000000000006,0.6286,0.2928,0.6241
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,65 and older,4-year College Grad.,Unknown,85 percent or higher,Landline,1,0.9817,0.8052,0.2533,0.8015
Dem,[DO NOT READ] Refused,Grade school,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dem.,Don't know,Don't know,Favorable,Dem.,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,Rural,65 and older,No 4-year College Degree,Other Non-White,50 to 85 percent,Landline,1,0.6075,1.228,1.5685,1.3098
Und,18 to 34,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Lib./Don't know,support,oppose,Unfavorable,Rep.,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,[DO NOT READ] Don't know/Refused,Major City,18 to 39,4-year College Grad.,White,50 to 85 percent,Cell,1,0.5555,0.8982,0.5693,0.9738
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Major City,40 to 64,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9762,1.2228,0.5791,1.2172
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",Major City,65 and older,4-year College Grad.,White,Less than 50 percent,Cell,1,0.1472,0.9336,2.2702,1.3547
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Rep.,oppose,oppose,Don't know,Don't know,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Minor City,40 to 64,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.2832,1.127,2.257,1.4031
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",Major City,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.8782,0.8652,0.3974,0.8703
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.8739,1.0353,0.6637,1.0421
Rep,35 to 49,High school,Hispanic,Female,Hispanic,Approve,Rep.,oppose,oppose,Don't know,Rep.,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Not at all likely,Republican,Nonwhite,Minor City,40 to 64,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,1,0.4425,1.7121,2.034,1.1476
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,Don't know,oppose,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Rural,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.8642,1.0064,0.6935,0.9927
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rural,65 and older,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.838,0.7021,0.3323,0.7108
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rural,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.8727,1.099,0.7709,1.1065
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,18 to 39,4-year College Grad.,White,Less than 50 percent,Landline,1,0.2783,0.7918,1.403,0.9897
Rep,50 to 64,High school,White,Male,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Major City,40 to 64,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9828,1.2228,0.5752,1.2109
Rep,65 and older,High school,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9931,1.0829,0.6525,1.0784
Rep,65 and older,High school,Other,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Major Suburbs,65 and older,No 4-year College Degree,Other Non-White,50 to 85 percent,Cell,1,0.6817,1.3417,1.2435,1.4028
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Minor City,40 to 64,Postgraduate Degree,Other Non-White,85 percent or higher,Landline,1,0.9597,0.7641,0.3704,0.7613
Dem,50 to 64,Graduate or Professional Degree,White,Male,Black,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Major Suburbs,40 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9858,0.6757,0.2646,0.6726
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,Don't know,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",Major Suburbs,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9611,1.2352,0.6026,1.2306
Dem,50 to 64,High school,Hispanic,Female,Hispanic,Disapp.,Dem.,oppose,oppose,Favorable,Dem.,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Rural,40 to 64,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.9401,1.4376,1.0335,1.4349
Und,18 to 34,Graduate or Professional Degree,White,Female,Hispanic,Don't know,Lib./Don't know,support,support,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),Nonwhite,Minor City,18 to 39,Postgraduate Degree,White,Less than 50 percent,Cell,0.8889,0.3484,0.8366,1.3361,0.8657
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9491,1.0996,0.5618,1.0965
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Rio Grande/South,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9731,0.9502,0.6244,0.946
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9855,1.0996,0.541,1.0945
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",Major City,40 to 64,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.6903,0.8141,0.4547,0.8494
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Lib./Don't know,support,support,Don't know,Rep.,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Rural,65 and older,No 4-year College Degree,Other Non-White,85 percent or higher,Landline,1,0.987,1.1335,0.8505,1.1283
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Major City,18 to 39,4-year College Grad.,White,Less than 50 percent,Cell,1,0.3581,0.9615,1.2972,1.1376
Rep,65 and older,High school,White,Female,White,Approve,Rep.,oppose,oppose,Don't know,Rep.,Favorable,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,Less than 50 percent,Landline,0.7778,0.4749,1.1714,1.7532,1.1223
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Rep.,oppose,support,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Major City,40 to 64,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9899,0.8567,0.315,0.8529
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Rio Grande/South,40 to 64,4-year College Grad.,Hispanic,85 percent or higher,Landline,1,0.9577,0.8638,0.4144,0.8608
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Major Suburbs,65 and older,4-year College Grad.,Other Non-White,85 percent or higher,Landline,1,0.9934,0.8123,0.326,0.809
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Major City,18 to 39,4-year College Grad.,White,85 percent or higher,Cell,1,0.8575,0.8139,0.3757,0.8214
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Rep.,oppose,Don't know,Don't know,Rep.,Favorable,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.1542,1.1714,5.4,1.4679
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Major Suburbs,40 to 64,4-year College Grad.,Unknown,85 percent or higher,Landline,1,0.9663,0.7497,0.2647,0.7467
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Rural,40 to 64,4-year College Grad.,White,85 percent or higher,Landline,1,0.9616,0.6601,0.2703,0.6576
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Major Suburbs,40 to 64,4-year College Grad.,White,85 percent or higher,Landline,1,0.9908,0.7876,0.2619,0.7841
Und,35 to 49,Graduate or Professional Degree,Black,Female,Other,Don't know,Lib./Don't know,oppose,oppose,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),Nonwhite,Major Suburbs,40 to 64,Postgraduate Degree,Other Non-White,85 percent or higher,Landline,1,0.9405,0.7724,0.4032,0.7617
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Rep.,support,support,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Rural,40 to 64,4-year College Grad.,White,Less than 50 percent,Landline,1,0.2957,0.6967,0.9719,0.779
Rep,18 to 34,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Republican,Nonwhite,Rio Grande/South,18 to 39,4-year College Grad.,Hispanic,50 to 85 percent,Cell,1,0.8367,1.0119,0.6836,1.0247
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9679,1.0353,0.5993,1.031
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Major City,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9923,1.3157,0.616,1.3101
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Major Suburbs,40 to 64,Postgraduate Degree,Other Non-White,85 percent or higher,Cell,1,0.9735,0.7724,0.3895,0.7637
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rural,65 and older,4-year College Grad.,White,85 percent or higher,Landline,1,0.9342,0.7416,0.3022,0.7406
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dem.,Don't know,Don't know,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Minor City,40 to 64,No 4-year College Degree,White,Less than 50 percent,Cell,0.8889,0.0925,1.127,4.2612,1.6879
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Rep.,oppose,oppose,Don't know,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Minor City,40 to 64,Postgraduate Degree,White,85 percent or higher,Cell,0.8889,0.9661,0.6978,0.2543,0.6859
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Other,Male,Very likely,Democrat,"White, No 4-Year College Degree",Major Suburbs,65 and older,No 4-year College Degree,White,50 to 85 percent,Landline,1,0.8497,1.1737,0.6862,1.1585
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Dem.,support,support,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Minor City,65 and older,Postgraduate Degree,White,85 percent or higher,Landline,1,0.9581,0.6876,0.247,0.6852
Und,50 to 64,Bachelors' degree,White,Male,Other,Approve,Rep.,oppose,support,Don't know,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),Nonwhite,Rural,40 to 64,4-year College Grad.,White,50 to 85 percent,Cell,1,0.5028,0.6977,0.505,0.7229
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",Major City,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.8814,1.2348,0.7178,1.2416
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Rep.,oppose,oppose,Don't know,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rural,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9403,1.0353,0.6169,1.0333
3,50 to 64,Bachelors' degree,White,Male,White,Approve,Lib./Don't know,oppose,support,Don't know,Rep.,Don't know,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Major City,40 to 64,4-year College Grad.,White,50 to 85 percent,Cell,0.7778,0.7237,0.8322,0.3828,0.7903
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dem.,oppose,support,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Rio Grande/South,65 and older,No 4-year College Degree,Hispanic,85 percent or higher,Landline,1,0.8919,1.4171,1.1094,1.4227
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,Hispanic,50 to 85 percent,Cell,0.6667,0.7221,1.7016,1.3587,1.3972
Rep,50 to 64,High school,White,Female,White,Approve,Rep.,oppose,oppose,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Major Suburbs,40 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9701,1.2008,0.6169,1.1867
