response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedc,file_race_unkother,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.965,0.8094,0.3632,0.8093,2018-10-15 00:24:53
Dem,65 and older,Grade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.965,1.0684,0.5235,1.0683,2018-10-15 00:35:36
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,Less than 50 percent,Landline,1,0.3411,0.7689,1.1406,0.9227,2018-10-15 00:35:54
Und,65 and older,Some college or trade school,White,Female,White,Disapp.,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Female,Not at all likely,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,Less than 50 percent,Landline,0,0.4034,0.93,1.2032,0.2537,2018-10-15 00:37:24
Rep,65 and older,High school,White,Female,White,Approve,Don't know,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,Less than 50 percent,Landline,1,0.4136,1.6875,2.9858,1.945,2018-10-15 00:46:06
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.9205,0.5573,0.1733,0.5514,2018-10-15 00:47:54
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,50 to 85 percent,Landline,1,0.7647,1.3227,0.6019,1.3627,2018-10-15 00:54:54
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,65 and older,White,85 percent or higher,Landline,1,0.965,0.5708,0.1914,0.5707,2018-10-15 00:55:12
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,40 to 64,White,50 to 85 percent,Landline,1,0.7533,1.4087,0.7545,1.4057,2018-10-15 00:57:18
Und,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,18 to 39,White,Less than 50 percent,Landline,0.6667,0.1662,2.3047,9.8,2.2514,2018-10-15 01:06:57
Rep,18 to 34,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Republican,Nonwhite,Nonwhite,Mr. Ojeda's District,18 to 39,White,85 percent or higher,Landline,1,0.8659,1.0603,0.5538,1.0499,2018-10-15 01:31:23
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.9599,0.4413,0.1295,0.4414,2018-10-15 01:39:13
Rep,50 to 64,High school,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Huntington/West,40 to 64,Unknown/Non-White,Less than 50 percent,Landline,0.8889,0.2501,1.8509,9.0367,2.2545,2018-10-15 01:46:43
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.941,0.6519,0.2892,0.6453,2018-10-15 21:32:44
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Huntington/West,65 and older,White,50 to 85 percent,Landline,1,0.7493,0.8172,0.3498,0.8158,2018-10-15 21:39:47
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,40 to 64,Unknown/Non-White,50 to 85 percent,Cell,1,0.7792,0.7401,0.436,0.7603,2018-10-15 21:41:26
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.965,0.7184,0.3237,0.7183,2018-10-15 21:45:56
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Mr. Ojeda's District,18 to 39,White,Less than 50 percent,Landline,0.8889,0.1572,1.5669,7.221,1.8191,2018-10-15 21:47:09
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,40 to 64,White,50 to 85 percent,Landline,1,0.7562,0.7764,0.3005,0.8012,2018-10-15 21:47:45
Und,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Greenbrier/East,40 to 64,Unknown/Non-White,85 percent or higher,Landline,1,0.965,1.0867,0.891,1.0866,2018-10-15 21:48:03
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,50 to 85 percent,Landline,1,0.8306,0.8686,0.4095,0.8616,2018-10-15 21:51:39
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,50 to 85 percent,Landline,1,0.8227,0.983,0.4977,1.0017,2018-10-15 21:55:15
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9061,0.7602,0.3543,0.7521,2018-10-15 21:58:06
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,50 to 85 percent,Landline,1,0.7259,1.8423,1.5768,1.8437,2018-10-15 21:58:15
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,Coal Country,65 and older,White,85 percent or higher,Landline,1,0.8869,1.0684,0.5687,1.0776,2018-10-15 21:58:24
Rep,50 to 64,High school,White,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Republican,Nonwhite,Nonwhite,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.9608,1.1379,0.6489,1.138,2018-10-15 21:58:51
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,Coal Country,65 and older,Unknown/Non-White,85 percent or higher,Landline,1,0.9027,0.5541,0.2679,0.5482,2018-10-15 21:58:51
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.965,0.8094,0.3632,0.8093,2018-10-15 21:59:36
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Coal Country,65 and older,Unknown/Non-White,50 to 85 percent,Landline,1,0.8471,0.6663,0.3184,0.6761,2018-10-15 21:59:36
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,40 to 64,White,85 percent or higher,Landline,1,0.9352,1.3558,0.6933,1.3592,2018-10-15 22:00:48
Und,65 and older,High school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,50 to 85 percent,Landline,0.7778,0.8347,1.7792,1.0975,1.7068,2018-10-15 22:01:00
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Landline,1,0.876,0.7259,0.3609,0.7333,2018-10-15 22:03:22
Und,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Mr. Ojeda's District,40 to 64,White,85 percent or higher,Cell,1,0.8715,0.7736,0.3272,0.782,2018-10-15 22:04:07
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Huntington/West,65 and older,Unknown/Non-White,85 percent or higher,Cell,1,0.965,0.7401,0.3706,0.74,2018-10-15 22:04:52
Dem,65 and older,High school,White,Male,Other,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,Coal Country,65 and older,White,Less than 50 percent,Landline,1,0.0456,1.2634,5.4927,2.0172,2018-10-15 22:05:55
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,65 and older,White,85 percent or higher,Landline,1,0.9638,1.1425,0.6401,1.1424,2018-10-15 22:07:07
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,[DO NOT READ] Don't know/Refused,Independent (No party),"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,85 percent or higher,Cell,1,0.8851,0.6013,0.2748,0.5571,2018-10-15 22:08:46
Dem,35 to 49,Some college or trade school,White,Female,Hispanic,Don't know,Don't know,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Mr. Ojeda's District,40 to 64,White,Less than 50 percent,Landline,1,0.21560000000000001,0.8472,1.8858,1.1269,2018-10-15 22:09:13
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.9485,0.6277,0.2335,0.6285,2018-10-15 22:09:51
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,Less than 50 percent,Landline,1,0.1959,1.6242,6.8402,1.9554,2018-10-15 22:10:16
Dem,[DO NOT READ] Refused,High school,White,Female,White,Don't know,Reps. keep House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Coal Country,40 to 64,White,Less than 50 percent,Landline,0.8889,0.3369,1.6242,3.982,1.6939,2018-10-15 22:17:10
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,50 to 85 percent,Landline,1,0.8206,1.4633,1.0394,1.4916,2018-10-15 22:17:15
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,85 percent or higher,Landline,1,0.965,0.6706,0.3153,0.665,2018-10-15 22:18:18
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Mr. Ojeda's District,65 and older,White,85 percent or higher,Landline,1,0.8618,1.0546,0.4661,1.0676,2018-10-15 22:18:36
Rep,35 to 49,Bachelors' degree,White,Female,Hispanic,Don't know,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,Nonwhite,Huntington/West,40 to 64,White,85 percent or higher,Cell,1,0.905,0.8956,0.4391,0.8861,2018-10-15 22:19:03
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,[DO NOT READ] Don't know/Refused,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Huntington/West,65 and older,White,Less than 50 percent,Landline,0.4444,0.1658,1.1645,3.0097,0.6019,2018-10-15 22:19:21
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,Huntington/West,40 to 64,Unknown/Non-White,85 percent or higher,Cell,1,0.9607,1.1245,0.8328,1.1146,2018-10-15 22:19:48
Dem,65 and older,High school,White,Male,Hispanic,Approve,Dems. take House,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Coal Country,65 and older,White,Less than 50 percent,Landline,1,0.0762,1.2634,5.4927,2.1618,2018-10-15 22:21:45
Dem,50 to 64,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Huntington/West,40 to 64,White,50 to 85 percent,Landline,1,0.5821,1.5791,1.394,1.7039,2018-10-15 22:22:03
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Greenbrier/East,40 to 64,White,85 percent or higher,Landline,1,0.965,0.8096,0.4105,0.8094,2018-10-15 22:22:30
Und,65 and older,Grade school,White,Female,Other,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,Huntington/West,65 and older,White,85 percent or higher,Cell,1,0.9435,1.4271,0.7954,1.4295,2018-10-15 22:22:48
