response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,High school,Hispanic,Male,Hispanic,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Hispanic,Aurora,85 percent or higher,Cell,1,0.919,1.3973,1.1662,1.4184,2018-09-12 22:25:02
Dem,18 to 34,Some college or trade school,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Don't know,Unfavorable,agree,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Douglas,50 to 85 percent,Cell,0.5556,0.6758,1.4193,1.6678,1.1226,2018-09-12 22:27:35
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Adams,85 percent or higher,Cell,1,0.8888,0.5128,0.4291,0.5304,2018-09-12 22:36:11
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,Hispanic,Adams,50 to 85 percent,Cell,1,0.7458,0.4745,0.4172,0.5035,2018-09-12 22:50:52
Dem,18 to 34,Bachelors' degree,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Aurora,50 to 85 percent,Cell,0.6667,0.511,0.6976,1.0474,0.5487,2018-09-12 22:54:01
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9844,0.8557,0.6143,0.8771,2018-09-12 22:54:55
Rep,18 to 34,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Aurora,85 percent or higher,Cell,1,0.8894,0.6691,0.5966,0.6792,2018-09-12 22:56:16
Dem,65 and older,Some college or trade school,White,Female,Hispanic,Don't know,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,White,Adams,85 percent or higher,Cell,0.6667,0.9381,0.5708,0.5289,0.5749,2018-09-12 22:59:43
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,Don't know,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,Don't know,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9922,1.0381,0.5964,1.0614,2018-09-12 23:05:28
Und,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Adams,85 percent or higher,Cell,1,0.9839,0.5809,0.4431,0.5955,2018-09-12 23:11:46
Dem,50 to 64,Some college or trade school,White,Female,White,Support,agree,Disapp.,oppose,Oppose,agree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Aurora,85 percent or higher,Cell,1,0.9892,1.1741,0.8961,1.1993,2018-09-12 23:13:52
Dem,18 to 34,Bachelors' degree,Black,Female,[DO NOT READ] Don't know/Refused,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,4-year College Grad.,Democratic,Female,Somewhat likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 34,Other Non-White,Aurora,50 to 85 percent,Cell,0.5556,0.8197,0.9784,0.8252,0.8351,2018-09-12 23:13:52
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Aurora,85 percent or higher,Cell,1,0.9611,1.1294,0.7172,1.1588,2018-09-12 23:15:22
Dem,18 to 34,High school,Hispanic,Male,Hispanic,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,High School Grad. or Less,Other,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Hispanic,Aurora,50 to 85 percent,Cell,1,0.6999,1.2552,1.2716,1.3457,2018-09-12 23:19:44
Rep,35 to 49,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Adams,85 percent or higher,Cell,0.8889,0.9901,0.6085,0.4891,0.6145,2018-09-12 23:20:20
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.9871,0.6499,0.4854,0.6662,2018-09-12 23:23:20
Rep,35 to 49,Bachelors' degree,Hispanic,Male,White,Oppose,disagree,Approve,oppose,Support,Don't know,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Hispanic,Douglas,85 percent or higher,Cell,1,0.9204,1.8854,1.1591,1.9423,2018-09-12 23:23:29
Rep,65 and older,Some college or trade school,White,Male,White,Support,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Aurora,85 percent or higher,Landline,1,0.9871,0.9617,0.7301,0.9859,2018-09-12 23:27:23
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Douglas,85 percent or higher,Cell,1,0.9924,1.9508,1.1761,2.0005,2018-09-12 23:29:56
Rep,18 to 34,Bachelors' degree,White,Male,Other,Oppose,agree,Don't know,support,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,4-year College Grad.,Other,Male,Not very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Aurora,50 to 85 percent,Cell,0.5556,0.6355,0.6925,0.8252,0.4651,2018-09-12 23:40:45
Dem,65 and older,Bachelors' degree,Black,Female,Black,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Other Non-White,Adams,85 percent or higher,Landline,1,0.9879,0.7727,0.5332,0.7922,2018-09-12 23:43:35
Dem,35 to 49,Bachelors' degree,Unknown,Male,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,35 to 49,Unknown,Aurora,50 to 85 percent,Cell,1,0.6215,1.2618,1.4282,1.3805,2018-09-12 23:47:02
Rep,65 and older,Graduate or Professional Degree,Asian,Male,Asian,Oppose,disagree,Approve,Don't know,Don't know,disagree,Reps. keep House,Don't know,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,Other Non-White,Aurora,85 percent or higher,Cell,1,0.979,1.3867,0.8128,1.4216,2018-09-12 23:47:04
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Favorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,50 to 64,White,Adams,85 percent or higher,Cell,1,0.9867,0.5789,0.409,0.5935,2018-09-12 23:47:22
Dem,65 and older,Bachelors' degree,Unknown,Male,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Adams,85 percent or higher,Landline,1,0.9896,0.5659,0.4573,0.5802,2018-09-12 23:48:34
Dem,18 to 34,Bachelors' degree,White,Male,White,Don't know,agree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Unfavorable,disagree,18 to 29,4-year College Grad.,Other,Male,Not very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Aurora,Less than 50 percent,Cell,0.5556,0.4375,0.4918,0.8908,0.2915,2018-09-12 23:48:34
Dem,65 and older,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Douglas,85 percent or higher,Landline,1,0.9949,1.6794,1.3524,1.7227,2018-09-12 23:50:04
Dem,18 to 34,Bachelors' degree,Hispanic,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Hispanic,Rest of Araphahoe,Less than 50 percent,Cell,1,0.3736,0.6026,0.9316,0.7277,2018-09-12 23:50:22
Rep,65 and older,Some college or trade school,Asian,Male,Asian,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,Other Non-White,Aurora,85 percent or higher,Cell,0.8889,0.8751,1.3487,1.0407,1.3841,2018-09-12 23:50:40
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Aurora,85 percent or higher,Cell,1,0.9878,1.1701,0.8307,1.1995,2018-09-12 23:50:40
Rep,50 to 64,High school,Unknown,Male,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Unknown,Adams,85 percent or higher,Cell,1,0.9439,0.9946,0.9507,1.022,2018-09-12 23:51:07
Dem,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.5118,1.0472,1.3724,1.1149,2018-09-12 23:52:19
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Landline,1,0.9906,1.708,1.0763,1.7454,2018-09-12 23:52:55
Und,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Don't know,disagree,Disapp.,oppose,Oppose,disagree,Don't know,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Other,Male,Not at all likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Hispanic,Aurora,Less than 50 percent,Cell,0.5556,0.3239,0.6347,1.3675,0.285,2018-09-12 23:53:49
Rep,50 to 64,Grade school,Hispanic,Female,White,Oppose,agree,Disapp.,Don't know,Support,disagree,Reps. keep House,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Hispanic,Adams,Less than 50 percent,Landline,1,0.1156,1.0448,4.2034,1.6562,2018-09-12 23:55:01
Und,35 to 49,High school,White,Female,White,Support,disagree,Don't know,support,Support,disagree,Don't know,Don't know,Don't know,disagree,30 to 44,High School Grad. or Less,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Rest of Araphahoe,50 to 85 percent,Cell,0,0.6584,1.7456,2.0222,0.8154,2018-09-12 23:55:55
Dem,35 to 49,Graduate or Professional Degree,White,Male,Other,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9965,0.8017,0.604,0.8227,2018-09-12 23:58:55
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Oppose,agree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Aurora,85 percent or higher,Cell,1,0.9937,1.1701,0.8257,1.2001,2018-09-13 00:01:53
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9728,0.9115,0.6465,0.9345,2018-09-13 00:03:32
Rep,50 to 64,Bachelors' degree,Asian,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Other Non-White,Douglas,85 percent or higher,Cell,1,0.9882,2.3885,1.3994,2.4487,2018-09-13 00:04:25
Dem,65 and older,Bachelors' degree,White,Female,White,Don't know,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9968,0.9163,0.6138,0.9388,2018-09-13 00:05:47
Rep,18 to 34,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,18 to 29,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Rest of Araphahoe,50 to 85 percent,Landline,0.8889,0.7853,0.8022,0.7768,0.7433,2018-09-13 00:07:08
Dem,35 to 49,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Aurora,85 percent or higher,Cell,1,0.9349,1.0038,0.7529,1.0324,2018-09-13 00:07:35
Dem,65 and older,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Adams,85 percent or higher,Cell,1,0.9945,0.5708,0.4989,0.5856,2018-09-13 00:08:02
Und,18 to 34,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,4-year College Grad.,Democratic,Male,Not very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Douglas,50 to 85 percent,Landline,0.4444,0.6292,1.0521,1.3504,0.6564,2018-09-13 00:08:20
Rep,65 and older,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Support,agree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Aurora,85 percent or higher,Cell,1,0.9944,1.1015,0.773,1.1299,2018-09-13 00:08:37
Rep,18 to 34,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Favorable,disagree,18 to 29,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Rest of Araphahoe,Less than 50 percent,Cell,0.5556,0.4055,0.4958,0.9703,0.3515,2018-09-13 00:09:59
Dem,18 to 34,Some college or trade school,White,Female,Hispanic,Oppose,agree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Aurora,Less than 50 percent,Cell,1,0.2531,0.5134,1.8707,0.6064,2018-09-13 00:11:47
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Douglas,85 percent or higher,Cell,1,0.9223,1.9092,1.5243,1.938,2018-09-13 00:14:11
Dem,35 to 49,Bachelors' degree,Unknown,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Aurora,85 percent or higher,Cell,1,0.9839,1.0387,0.7927,1.0648,2018-09-13 00:14:11
Dem,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Support,disagree,Don't know,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Hispanic,Adams,Less than 50 percent,Cell,1,0.3794,0.49,0.8566,0.4569,2018-09-13 00:15:33
Dem,18 to 34,Some college or trade school,Black,Male,Black,Oppose,disagree,Don't know,oppose,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,30 to 44,Some College Educ.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Other Non-White,Aurora,Less than 50 percent,Cell,0.6667,0.3555,0.6286,1.5782,0.5951,2018-09-13 00:17:54
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9723,1.0153,0.7896,1.0411,2018-09-13 00:18:15
Dem,65 and older,High school,White,Female,Hispanic,Don't know,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Adams,85 percent or higher,Cell,1,0.906,0.9116,0.8545,0.9253,2018-09-13 00:18:42
Dem,65 and older,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9942,0.9422,0.7176,0.9664,2018-09-13 00:20:09
Dem,18 to 34,Some college or trade school,White,Female,White,Support,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Other,Female,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,18 to 34,White,Aurora,50 to 85 percent,Cell,1,0.829,0.8217,0.8031,0.8362,2018-09-13 00:20:21
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,4-year College Grad.,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown,Douglas,85 percent or higher,Landline,1,0.9544,1.1497,0.9275,1.1685,2018-09-13 00:20:45
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Support,disagree,Approve,support,Support,agree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Douglas,85 percent or higher,Landline,1,0.9923,1.9563,1.1459,2.0061,2018-09-13 00:20:54
Dem,65 and older,High school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Favorable,disagree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Adams,85 percent or higher,Cell,1,0.9666,0.8019,0.7665,0.8225,2018-09-13 00:21:30
Dem,18 to 34,Some college or trade school,White,Female,White,Oppose,agree,Disapp.,support,Support,disagree,Dems. take House,Don't know,Don't know,disagree,18 to 29,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Rest of Araphahoe,Less than 50 percent,Cell,1,0.4927,0.5698,0.9202,0.6508,2018-09-13 00:21:33
Dem,35 to 49,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,oppose,Support,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,Some College Educ.,Other,Female,Very likely,or as a member of another political party,"White, No 4-Year College Degree",White,35 to 49,White,Aurora,Less than 50 percent,Cell,0.7778,0.4955,0.904,1.4593,0.8901,2018-09-13 00:22:42
Rep,35 to 49,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Oppose,disagree,Approve,oppose,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,White,Rest of Araphahoe,Less than 50 percent,Cell,0.7778,0.3865,0.7438,1.3503,0.6084,2018-09-13 00:22:45
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Favorable,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9899,1.0755,0.7115,1.1027,2018-09-13 00:23:12
