response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,educ3,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Morris,85 percent or higher,Cell,1,0.8811,0.7179,0.3352,0.6999,2018-10-28 17:26:06
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Morris,85 percent or higher,Cell,1,0.9474,0.6379,0.3252,0.6222,2018-10-28 17:26:06
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Somerset,85 percent or higher,Landline,1,0.97,0.6824,0.3087,0.6719,2018-10-28 17:27:27
4,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Somerset,Less than 50 percent,Cell,1,0.3215,0.9195,1.338,1.0032,2018-10-28 17:27:27
Und,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Hunterdon/Warren,85 percent or higher,Landline,0.4444,0.97,0.8219,0.3971,0.7528,2018-10-28 17:27:45
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Essex/Union,85 percent or higher,Landline,1,0.97,0.9042,0.4038,0.8836,2018-10-28 17:27:45
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,Postgraduate Degree,Non-White,Somerset,50 to 85 percent,Cell,1,0.8063,0.8108,0.4097,0.8161,2018-10-28 17:28:03
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.8752,0.8844,0.5969,0.8623,2018-10-28 17:28:21
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Somerset,Less than 50 percent,Cell,1,0.3856,1.0593,2.6448,1.2201,2018-10-28 17:30:36
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Non-White,Essex/Union,85 percent or higher,Cell,1,0.8766,0.5986,0.3085,0.5836,2018-10-28 17:31:39
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Approve,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Non-White,Somerset,Less than 50 percent,Cell,0.7778,0.3617,0.7082,1.0026,0.6829,2018-10-28 17:32:06
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Hispanic,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,[DO NOT READ] Don't know/Refused,Non-White,Hunterdon/Warren,Less than 50 percent,Cell,0.4444,0.3426,1.2645,2.1809,1.1462,2018-10-28 17:52:29
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,Hispanic,Male,[DO NOT READ] Don't know/Refused,Don't know,Don't know,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Male,Very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,[DO NOT READ] Don't know/Refused,Non-White,Morris,50 to 85 percent,Cell,0.4444,0.8026,0.7808,0.4419,0.6821,2018-10-28 17:55:29
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Morris,Less than 50 percent,Cell,1,0.4597,1.1454,2.0115,1.1868,2018-10-28 17:56:32
Und,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,[DO NOT READ] Don't know/Refused,Democrat,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.5006,1.8815,2.8892,1.5766,2018-10-28 17:59:05
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Essex/Union,Less than 50 percent,Landline,1,0.459,0.9466,0.9679,0.981,2018-10-28 18:02:14
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Essex/Union,85 percent or higher,Landline,1,0.9116,1.0366,0.4481,1.0263,2018-10-28 18:14:54
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,No 4-year College Degree,White,Somerset,85 percent or higher,Landline,1,0.97,1.1664,0.8655,1.1484,2018-10-28 18:16:51
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Morris,Less than 50 percent,Cell,1,0.4773,0.6877,0.7096,0.7091,2018-10-28 18:19:02
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Favorable,Favorable,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,Postgraduate Degree,White,Essex/Union,50 to 85 percent,Cell,0.8889,0.5656,0.7555,0.5786,0.7852,2018-10-28 18:25:20
Dem,35 to 49,High school,White,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,No 4-year College Degree,White,Essex/Union,85 percent or higher,Cell,1,0.97,1.0346,0.8174,1.0186,2018-10-28 18:48:11
Und,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Somerset,Less than 50 percent,Cell,0.7778,0.4938,1.2593,1.2062,1.1906,2018-10-28 18:52:05
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,18 to 34,Postgraduate Degree,White,Somerset,Less than 50 percent,Cell,0.8889,0.3596,0.6361,1.0386,0.6484,2018-10-28 18:59:53
Dem,50 to 64,Some college or trade school,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,No 4-year College Degree,Non-White,Essex/Union,50 to 85 percent,Landline,1,0.5507,1.3292,1.6959,1.427,2018-10-28 19:01:00
Und,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,50 to 64,Postgraduate Degree,Non-White,Somerset,Less than 50 percent,Landline,0,0.2608,0.8008,1.4807,0.4401,2018-10-28 19:07:54
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Morris,50 to 85 percent,Landline,1,0.8151,1.1641,0.9035,1.1699,2018-10-28 19:10:54
Dem,50 to 64,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,No 4-year College Degree,White,Somerset,85 percent or higher,Landline,1,0.97,1.1366,0.8429,1.119,2018-10-28 19:31:49
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Postgraduate Degree,Non-White,Hunterdon/Warren,85 percent or higher,Cell,1,0.97,0.735,0.3877,0.7236,2018-10-28 19:49:27
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,4-year College Grad.,White,Essex/Union,85 percent or higher,Landline,1,0.9641,0.901,0.4305,0.8874,2018-10-28 19:57:06
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,Unknown,Somerset,50 to 85 percent,Cell,1,0.8391,1.1164,0.542,1.1173,2018-10-28 19:59:48
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,White,Essex/Union,85 percent or higher,Cell,1,0.97,1.2943,0.903,1.2743,2018-10-28 20:01:25
Dem,18 to 34,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,4-year College Grad.,Non-White,Somerset,Less than 50 percent,Cell,1,0.4869,0.8879,1.0287,0.9132,2018-10-28 20:14:28
Dem,35 to 49,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,4-year College Grad.,Non-White,Morris,85 percent or higher,Cell,1,0.894,0.5804,0.311,0.5656,2018-10-28 20:15:40
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Essex/Union,85 percent or higher,Landline,1,0.8651,1.2556,0.9998,1.2514,2018-10-28 20:18:45
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Female,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Postgraduate Degree,Non-White,Essex/Union,Less than 50 percent,Cell,0.4444,0.4709,0.6033,0.7648,0.3906,2018-10-28 20:21:45
Dem,50 to 64,Bachelors' degree,Other,Male,Black,Don't know,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Republican,Nonwhite,Nonwhite,50 to 64,4-year College Grad.,Non-White,Essex/Union,85 percent or higher,Cell,1,0.9421,1.0255,0.4392,1.02,2018-10-28 20:48:40
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Unknown,Morris,85 percent or higher,Landline,1,0.9437,0.4986,0.2716,0.4919,2018-10-28 20:54:31
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,4-year College Grad.,White,Morris,Less than 50 percent,Landline,1,0.3925,0.9178,1.1637,1.0532,2018-10-28 21:11:23
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Unknown,Essex/Union,50 to 85 percent,Cell,1,0.547,0.9607,0.7756,1.0327,2018-10-28 21:17:22
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,High School Grad. or Less,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Essex/Union,Less than 50 percent,Cell,1,0.3394,1.2429,3.0773,1.1168,2018-10-28 21:18:25
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,White,Morris,Less than 50 percent,Cell,1,0.4181,0.8979,1.0639,1.0171,2018-10-28 21:29:31
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Postgraduate Degree,Non-White,Essex/Union,50 to 85 percent,Cell,0.8889,0.812,0.7808,0.4102,0.7507,2018-10-28 21:31:01
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Republican,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Somerset,50 to 85 percent,Cell,1,0.7878,1.2224,1.098,1.1977,2018-10-28 21:48:29
Und,50 to 64,High school,Unknown,Female,White,Don't know,Reps. keep House,Unfavorable,Don't know,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,Unknown,Somerset,Less than 50 percent,Landline,1,0.4488,1.6169,2.8679,1.8056,2018-10-28 21:49:23
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Essex/Union,85 percent or higher,Cell,1,0.97,0.7025,0.3189,0.6951,2018-10-28 21:59:44
Dem,35 to 49,Graduate or Professional Degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,Non-White,Somerset,85 percent or higher,Cell,1,0.9433,0.5815,0.2776,0.567,2018-10-28 22:00:47
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Somerset,50 to 85 percent,Cell,1,0.6951,0.8415,0.5103,0.8671,2018-10-28 22:12:07
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.97,0.8661,0.4434,0.8527,2018-10-28 22:17:42
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.7033,1.0721,0.6745,1.1026,2018-10-28 22:18:27
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Hunterdon/Warren,85 percent or higher,Cell,1,0.8964,0.8644,0.5057,0.8576,2018-10-28 22:21:54
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Somerset,85 percent or higher,Landline,1,0.97,0.6824,0.3087,0.6719,2018-10-28 22:25:03
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",White,35 to 49,No 4-year College Degree,White,Hunterdon/Warren,50 to 85 percent,Cell,1,0.512,1.579,2.3751,1.7973,2018-10-28 22:48:02
Dem,50 to 64,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,Nonwhite,50 to 64,4-year College Grad.,Non-White,Hunterdon/Warren,85 percent or higher,Cell,1,0.935,1.1136,0.5778,1.1092,2018-10-28 22:48:02
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,No 4-year College Degree,White,Morris,50 to 85 percent,Cell,1,0.5719,0.8053,1.1183,0.8124,2018-10-28 22:51:20
Und,50 to 64,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,No 4-year College Degree,Unknown,Morris,50 to 85 percent,Cell,1,0.7927,1.193,1.065,1.2039,2018-10-28 23:00:56
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Postgraduate Degree,White,Essex/Union,50 to 85 percent,Cell,0,0.7612,0.8474,0.4687,0.6187,2018-10-28 23:03:12
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Favorable,Don't know,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,18 to 34,4-year College Grad.,Non-White,Morris,50 to 85 percent,Cell,1,0.5691,0.7058,0.5506,0.7532,2018-10-28 23:11:45
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,White,Essex/Union,85 percent or higher,Landline,1,0.9616,0.721,0.3303,0.7102,2018-10-28 23:16:26
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,Postgraduate Degree,Unknown,Somerset,85 percent or higher,Landline,1,0.97,0.794,0.3769,0.7857,2018-10-28 23:19:53
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,No 4-year College Degree,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9424,1.3039,1.2014,1.2864,2018-10-28 23:26:20
Und,35 to 49,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Unknown,Hunterdon/Warren,85 percent or higher,Cell,1,0.9474,1.1587,0.6835,1.1427,2018-10-29 00:06:28
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Postgraduate Degree,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.8928,0.743,0.4159,0.73740000000000006,2018-10-29 00:06:46
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Postgraduate Degree,White,Somerset,50 to 85 percent,Cell,1,0.8403,0.6812,0.3954,0.6816,2018-10-29 00:26:06
Dem,35 to 49,Bachelors' degree,Asian,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,4-year College Grad.,Non-White,Essex/Union,Less than 50 percent,Cell,0.6667,0.2648,1.1045,2.0318,0.7891,2018-10-29 00:31:30
Dem,50 to 64,Graduate or Professional Degree,Other,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,Postgraduate Degree,Non-White,Morris,85 percent or higher,Landline,1,0.97,0.4332,0.2126,0.4233,2018-10-29 00:52:24
Rep,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Don't know,Dems. take House,Don't know,Favorable,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Republican,Nonwhite,Nonwhite,18 to 34,4-year College Grad.,Non-White,Somerset,Less than 50 percent,Cell,0.5556,0.0735,0.9285,3.3308,0.6167,2018-10-29 01:00:21
