response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",50 to 85 percent,Cell,0.7778,0.5931,0.9383,0.5678,0.8958,2018-10-23 14:08:18
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Trump",85 percent or higher,Landline,1,0.8625,0.7452,0.3733,0.7552,2018-10-23 14:08:18
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.9631,0.8199,0.3476,0.8208,2018-10-23 14:08:18
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",85 percent or higher,Cell,1,0.8567,0.8741,0.5161,0.8866,2018-10-23 14:08:18
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",Less than 50 percent,Landline,1,0.4769,1.551,1.9857,1.7394,2018-10-23 14:08:18
Rep,65 and older,Graduate or Professional Degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,65 and older,Other Non-White,"Burlington, Trump",50 to 85 percent,Landline,1,0.5513,1.0681,0.5738,1.2139,2018-10-23 14:08:27
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,"Burlington, Trump",85 percent or higher,Landline,1,0.97,0.6583,0.3905,0.662,2018-10-23 14:08:27
3,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Ocean,Less than 50 percent,Cell,1,0.1956,1.6068,6.2556,1.9369,2018-10-23 14:08:27
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,"Burlington, Clinton",85 percent or higher,Landline,1,0.9393,1.0671,0.424,1.0703,2018-10-23 14:08:27
Und,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Ocean,50 to 85 percent,Cell,0.7778,0.7377,0.6363,0.442,0.6074,2018-10-23 14:08:36
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Burlington, Clinton",Less than 50 percent,Cell,1,0.2964,1.0865,1.5414,1.3457,2018-10-23 14:08:36
Dem,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Black,"Burlington, Clinton",85 percent or higher,Cell,1,0.97,2.4919,1.6142,2.4934,2018-10-23 14:08:45
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Ocean,85 percent or higher,Cell,1,0.97,0.753,0.3326,0.7535,2018-10-23 14:08:45
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Burlington, Clinton",50 to 85 percent,Landline,1,0.8414,1.1742,0.5156,1.1939,2018-10-23 14:08:45
