response,ager,educ,file_race,gender,race_eth,approve,GAHORSERACE,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Don't know,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Dekalb,85 percent or higher,Cell,1,0.9624,0.8062,0.4351,0.7934,2018-10-29 01:25:26
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fulton,85 percent or higher,Landline,1,0.97,0.727,0.4856,0.7151,2018-10-29 01:27:05
Rep,50 to 64,Bachelors' degree,Other,Female,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Other Non-White,Fulton,85 percent or higher,Landline,1,0.97,1.471,0.8996,1.4543,2018-10-29 01:55:22
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,Nonwhite,40 to 64,4-year College Grad.,White,Fulton,85 percent or higher,Cell,1,0.9433,1.1613,0.7212,1.1538,2018-10-29 02:02:20
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Fulton,85 percent or higher,Landline,1,0.9106,1.1759,1.089,1.1448,2018-10-29 02:09:05
Rep,50 to 64,Some college or trade school,White,Female,Other,Don't know,Lib./Don't know,Don't know,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,40 to 64,No 4-year College Degree,White,Dekalb,85 percent or higher,Cell,1,0.97,0.8921,0.6834,0.871,2018-10-29 02:11:47
Rep,65 and older,High school,White,Female,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Fulton,85 percent or higher,Landline,1,0.97,1.1759,1.0223,1.1625,2018-10-29 02:13:08
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Fulton,50 to 85 percent,Cell,1,0.7269,1.3091,1.1026,1.3379,2018-10-29 02:19:05
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Fulton,85 percent or higher,Cell,1,0.97,1.0626,0.6457,1.0506,2018-10-29 02:23:26
Dem,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Republican,Nonwhite,40 to 64,Postgraduate Degree,Black,Fulton,85 percent or higher,Cell,1,0.9697,0.7281,0.5935,0.7162,2018-10-29 02:40:19
Und,50 to 64,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Abrams (D),Dems. take House,Unfavorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,Postgraduate Degree,Other Non-White,Fulton,50 to 85 percent,Cell,1,0.5722,1.1452,1.3342,1.2198,2018-10-29 21:37:18
Rep,50 to 64,Bachelors' degree,White,Male,Other,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,White,Cobb,85 percent or higher,Cell,1,0.97,0.8825,0.5122,0.8681,2018-10-29 21:38:48
Dem,18 to 34,Bachelors' degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,18 to 39,4-year College Grad.,Black,Cobb,Less than 50 percent,Cell,1,0.3137,1.2691,2.6988,1.5261,2018-10-29 21:47:28
Rep,18 to 34,High school,White,Female,White,Approve,Abrams (D),Reps. keep House,Don't know,Favorable,18 to 29,High School Grad. or Less,Other,Female,Not at all likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,No 4-year College Degree,White,Fulton,Less than 50 percent,Cell,0.6667,0.1809,1.3966,6.1451,0.6152,2018-10-29 21:59:46
Dem,50 to 64,Graduate or Professional Degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Black,Fulton,85 percent or higher,Landline,1,0.97,0.7281,0.5933,0.7198,2018-10-29 22:00:43
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Fulton,85 percent or higher,Cell,1,0.9652,1.0828,0.6431,1.0714,2018-10-29 22:01:37
Dem,18 to 34,Grade school,Black,Male,Black,Approve,Kemp (R),Dems. take House,Favorable,Favorable,30 to 44,High School Grad. or Less,Democratic,Female,Not at all likely,or as a member of another political party,Nonwhite,18 to 39,No 4-year College Degree,Black,Fulton,85 percent or higher,Cell,0,0.97,1.1335,1.0212,0.8594,2018-10-29 22:02:31
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Dekalb,85 percent or higher,Cell,1,0.9675,0.7812,0.5251,0.7685,2018-10-29 22:03:34
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Don't know,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,Unknown,Dekalb,85 percent or higher,Landline,1,0.8853,1.2357,0.7719,1.2034,2018-10-29 22:03:43
Rep,50 to 64,High school,Black,Female,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,Black,Dekalb,85 percent or higher,Cell,1,0.9328,0.6366,0.6292,0.62,2018-10-29 22:11:13
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Fulton,Less than 50 percent,Cell,1,0.2686,1.0539,2.4159,1.3118,2018-10-29 22:11:58
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Lib./Don't know,Dems. take House,Unfavorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,Cobb,85 percent or higher,Cell,1,0.947,1.3572,0.7213,1.3373,2018-10-29 22:18:00
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Fulton,85 percent or higher,Cell,1,0.9681,1.4042,0.8743,1.3887,2018-10-29 22:19:03
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),Nonwhite,40 to 64,4-year College Grad.,Black,Fulton,85 percent or higher,Cell,1,0.97,0.9348,0.6473,0.9242,2018-10-29 22:26:15
Dem,50 to 64,Graduate or Professional Degree,Other,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Other Non-White,Fulton,50 to 85 percent,Cell,1,0.7501,0.8667,0.7531,0.9028,2018-10-29 22:34:19
Und,35 to 49,Graduate or Professional Degree,Black,Female,Black,Disapp.,Abrams (D),Dems. take House,Don't know,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,[DO NOT READ] Refused,Nonwhite,40 to 64,Postgraduate Degree,Black,Dekalb,85 percent or higher,Cell,1,0.9059,0.6288,0.5176,0.6296,2018-10-29 22:37:10
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Kemp (R),Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Fulton,85 percent or higher,Cell,1,0.9646,0.6845,0.4783,0.6773,2018-10-29 22:39:07
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Dekalb,85 percent or higher,Cell,1,0.9691,0.9178,0.5265,0.9028,2018-10-29 22:48:28
Und,65 and older,Bachelors' degree,White,Male,Other,Disapp.,Lib./Don't know,Dems. take House,Don't know,Don't know,65 and older,4-year College Grad.,Democratic,Male,Somewhat likely,Independent (No party),Nonwhite,65 and older,4-year College Grad.,White,Cobb,85 percent or higher,Landline,0.3333,0.97,1.1333,0.6506,1.0232,2018-10-29 23:04:07
Dem,35 to 49,High school,White,Female,White,Disapp.,Lib./Don't know,Reps. keep House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Cobb,Less than 50 percent,Landline,0,0.2825,0.9685,2.8836,0.2288,2018-10-29 23:08:10
Rep,18 to 34,High school,White,Male,Other,Disapp.,Lib./Don't know,Reps. keep House,Unfavorable,Don't know,18 to 29,High School Grad. or Less,Republican,Male,Not very likely,Independent (No party),Nonwhite,18 to 39,No 4-year College Degree,White,Dekalb,85 percent or higher,Cell,0.2222,0.9563,0.9204,0.6766,0.7523,2018-10-29 23:29:37
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Cobb,85 percent or higher,Landline,1,0.97,0.8992,0.5076,0.8845,2018-10-29 23:32:01
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,Unknown,Fulton,50 to 85 percent,Cell,1,0.5971,0.8952,0.7974,0.9816,2018-10-29 23:38:55
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Abrams (D),Dems. take House,Don't know,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Very likely,Democrat,Nonwhite,18 to 39,4-year College Grad.,Other Non-White,Fulton,Less than 50 percent,Cell,0.7778,0.2521,1.5986,3.5733,1.5921,2018-10-29 23:48:41
Und,35 to 49,Graduate or Professional Degree,Black,Male,Black,Disapp.,Lib./Don't know,Dems. take House,Favorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Not very likely,Independent (No party),Nonwhite,40 to 64,Postgraduate Degree,Black,Fulton,50 to 85 percent,Cell,0.1111,0.5058,0.5185,0.7871,0.216,2018-10-29 23:52:17
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Cobb,85 percent or higher,Cell,1,0.963,0.8825,0.5159,0.861,2018-10-29 23:58:44
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Lib./Don't know,Dems. take House,Don't know,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Other,Female,Very likely,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,40 to 64,[DO NOT READ] Don't know/Refused,White,Fulton,50 to 85 percent,Cell,0.4444,0.5622,1.0851,1.3087,0.8889,2018-10-30 00:04:42
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Dekalb,85 percent or higher,Cell,1,0.9549,0.7591,0.4295,0.7474,2018-10-30 00:10:06
Dem,35 to 49,Graduate or Professional Degree,Other,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Democrat,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,Other Non-White,Dekalb,50 to 85 percent,Cell,1,0.5194,1.0838,1.1932,1.1048,2018-10-30 00:12:03
Rep,50 to 64,Bachelors' degree,Unknown,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,Unknown,Fulton,85 percent or higher,Cell,1,0.9185,1.1499,0.5926,1.1365,2018-10-30 00:14:18
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Fulton,85 percent or higher,Cell,1,0.97,0.8899,0.7564,0.8798,2018-10-30 00:16:46
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Dekalb,85 percent or higher,Cell,1,0.97,0.6279,0.3957,0.6208,2018-10-30 00:16:55
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Kemp (R),Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Fulton,50 to 85 percent,Landline,1,0.5644,0.7357,0.9974,0.7427,2018-10-30 00:26:04
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Abrams (D),Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Dekalb,50 to 85 percent,Cell,1,0.7685,0.591,0.4668,0.6123,2018-10-30 00:28:28
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Kemp (R),Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",40 to 64,4-year College Grad.,White,Fulton,85 percent or higher,Cell,1,0.97,0.8789,0.519,0.8689,2018-10-30 00:28:28
