response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,educ3,file_race_noblack,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,18 to 34,Graduate or Professional Degree,White,Female,Hispanic,Approve,Reps. keep House,Favorable,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.9652,0.7361,0.5359,0.7329,2018-10-23 14:03:30
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,4-year College Grad.,White,Orange,50 to 85 percent,Landline,1,0.6078,0.9443,0.9228,0.9569,2018-10-23 14:03:30
Dem,65 and older,High school,Hispanic,Male,White,Don't know,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Already voted,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Hispanic,Orange,85 percent or higher,Landline,1,0.9423,0.8668,0.4218,0.8716,2018-10-23 14:03:30
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,San Bernardino,85 percent or higher,Cell,0.8889,0.9342,0.9946,0.3658,0.9868,2018-10-23 14:03:30
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.9653,0.8995,0.49,0.8956,2018-10-23 14:03:30
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,Unknown,Orange,50 to 85 percent,Cell,1,0.5733,0.678,0.5602,0.7306,2018-10-23 14:03:39
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Landline,1,0.9475,0.9312,0.5006,0.9354,2018-10-23 14:03:39
Und,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,Don't know,Reps. keep House,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Orange,85 percent or higher,Cell,1,0.9574,1.2169,0.644,1.2008,2018-10-23 14:03:39
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,85 percent or higher,Cell,1,0.9449,0.9326,0.4558,0.93,2018-10-23 14:03:39
Rep,65 and older,High school,Unknown,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Unknown,Orange,85 percent or higher,Landline,1,0.9123,1.1688,0.7773,1.17,2018-10-23 14:03:39
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,35 to 49,No 4-year College Degree,Hispanic,Orange,Less than 50 percent,Cell,1,0.142,1.0731,5.5759,1.5703,2018-10-23 14:03:48
Dem,35 to 49,Graduate or Professional Degree,Asian,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",35 to 49,Postgraduate Degree,Asian,Los Angeles,50 to 85 percent,Cell,0.7778,0.5966,0.9404,1.0354,0.7771,2018-10-23 14:03:48
Und,50 to 64,High school,Asian,Male,Asian,Approve,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Somewhat likely,[DO NOT READ] Refused,Nonwhite,50 to 64,No 4-year College Degree,Asian,San Bernardino,Less than 50 percent,Cell,0.7778,0.2269,1.726,3.9719,1.3592,2018-10-23 14:03:48
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Very likely,Republican,Nonwhite,50 to 64,No 4-year College Degree,Hispanic,Orange,Less than 50 percent,Cell,1,0.3212,1.4924,3.4667,1.6463,2018-10-23 14:03:57
Dem,18 to 34,Bachelors' degree,White,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 34,4-year College Grad.,White,Orange,85 percent or higher,Cell,1,0.9076,0.6795,0.3587,0.6806,2018-10-23 14:03:57
Rep,35 to 49,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Republican,Nonwhite,35 to 49,4-year College Grad.,Hispanic,Los Angeles,Less than 50 percent,Cell,1,0.3069,0.9029,1.4404,1.104,2018-10-23 14:03:57
Rep,50 to 64,Bachelors' degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,Other Non-White,Orange,50 to 85 percent,Cell,1,0.8018,1.1548,0.668,1.1763,2018-10-23 14:03:57
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",18 to 34,4-year College Grad.,Unknown,Orange,50 to 85 percent,Cell,1,0.8356,0.6373,0.3353,0.6453,2018-10-23 14:04:06
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,35 to 49,No 4-year College Degree,Hispanic,Orange,50 to 85 percent,Cell,1,0.7794,0.6545,0.4058,0.6695,2018-10-23 14:04:06
Dem,65 and older,High school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,No 4-year College Degree,Hispanic,Orange,85 percent or higher,Landline,1,0.8636,1.084,0.7234,1.0926,2018-10-23 14:04:15
Und,35 to 49,Some college or trade school,Asian,Male,Asian,Disapp.,Don't know,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Not at all likely,Independent (No party),Nonwhite,35 to 49,No 4-year College Degree,Asian,San Bernardino,Less than 50 percent,Cell,0.2222,0.1284,1.241,4.5131,0.333,2018-10-23 14:04:15
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Postgraduate Degree,Hispanic,Los Angeles,85 percent or higher,Cell,1,0.9391,0.7832,0.3488,0.7815,2018-10-23 14:04:15
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,Nonwhite,50 to 64,4-year College Grad.,White,Orange,85 percent or higher,Cell,0.6667,0.9484,1.2835,0.7313,1.2365,2018-10-23 14:04:15
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Orange,85 percent or higher,Cell,1,0.9515,0.9836,0.5091,0.9804,2018-10-23 14:04:15
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,85 percent or higher,Landline,1,0.97,1.1986,0.7978,1.1931,2018-10-23 14:04:15
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,18 to 34,4-year College Grad.,Asian,Orange,Less than 50 percent,Cell,0.7778,0.2634,1.0112,2.3394,1.1471,2018-10-23 14:04:15
Dem,50 to 64,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Other,Female,Already voted,Independent (No party),"White, 4-Year College Grads",50 to 64,Postgraduate Degree,Other Non-White,Los Angeles,85 percent or higher,Cell,1,0.9102,1.4739,1.3603,1.4921,2018-10-23 14:04:15
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Other,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,35 to 49,Postgraduate Degree,Asian,Los Angeles,50 to 85 percent,Landline,1,0.8231,0.7068,0.4165,0.7171,2018-10-23 14:04:15
Und,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Landline,1,0.9166,0.6998,0.2872,0.7001,2018-10-23 14:04:24
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,85 percent or higher,Landline,1,0.9683,1.2408,0.8014,1.2352,2018-10-23 14:04:24
Dem,65 and older,Bachelors' degree,Hispanic,Male,Other,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,Nonwhite,65 and older,4-year College Grad.,Hispanic,Los Angeles,50 to 85 percent,Cell,1,0.8046,0.9662,0.443,1.0032,2018-10-23 14:04:24
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 34,4-year College Grad.,Hispanic,Los Angeles,Less than 50 percent,Cell,1,0.4277,0.9158,1.1669,0.9687,2018-10-23 14:04:24
Dem,35 to 49,Bachelors' degree,Asian,Male,Asian,Don't know,Dems. take House,Don't know,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,Nonwhite,35 to 49,4-year College Grad.,Asian,Los Angeles,50 to 85 percent,Cell,1,0.7859,0.9827,0.65,1.0039,2018-10-23 14:04:33
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Orange,85 percent or higher,Cell,1,0.906,0.9042,0.6474,0.8908,2018-10-23 14:04:33
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,4-year College Grad.,White,Orange,50 to 85 percent,Cell,1,0.7503,0.7004,0.4098,0.7208,2018-10-23 14:04:33
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,No 4-year College Degree,White,Los Angeles,Less than 50 percent,Cell,0.4444,0.1734,1.083,4.5567,0.6356,2018-10-23 14:04:33
Rep,50 to 64,Bachelors' degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,50 to 64,4-year College Grad.,Hispanic,Orange,85 percent or higher,Cell,1,0.8911,0.8724,0.3487,0.8758,2018-10-23 14:04:33
Und,18 to 34,Bachelors' degree,Asian,Female,Asian,Approve,Reps. keep House,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Not at all likely,[DO NOT READ] Refused,Nonwhite,18 to 34,4-year College Grad.,Asian,Orange,Less than 50 percent,Cell,0.5556,0.4028,1.3455,2.7562,0.6213,2018-10-23 14:04:42
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Orange,50 to 85 percent,Landline,1,0.8111,1.2587,1.0109,1.2448,2018-10-23 14:04:42
Und,18 to 34,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Don't know,Don't know,Don't know,18 to 29,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Postgraduate Degree,Asian,Los Angeles,50 to 85 percent,Cell,0.8889,0.8203,0.7626,0.541,0.7414,2018-10-23 14:04:42
Rep,65 and older,Graduate or Professional Degree,Other,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,Other Non-White,Orange,50 to 85 percent,Cell,1,0.8061,1.0768,0.8165,1.1176,2018-10-23 14:04:42
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Los Angeles,85 percent or higher,Cell,1,0.9547,1.1539,0.6954,1.1498,2018-10-23 14:04:42
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,85 percent or higher,Landline,1,0.8873,0.9326,0.4854,0.919,2018-10-23 14:04:42
Rep,50 to 64,Bachelors' degree,Hispanic,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,Hispanic,Orange,85 percent or higher,Cell,1,0.9172,1.193,0.6978,1.1934,2018-10-23 14:04:42
Rep,65 and older,[DO NOT READ] Refused,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,[DO NOT READ] Don't know/Refused,White,Orange,85 percent or higher,Landline,1,0.9683,1.1075,1.1045,1.1025,2018-10-23 14:04:51
Dem,35 to 49,Graduate or Professional Degree,Black,Male,[DO NOT READ] Don't know/Refused,Approve,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,35 to 49,Postgraduate Degree,Other Non-White,Orange,85 percent or higher,Cell,1,0.9458,0.6164,0.3464,0.6147,2018-10-23 14:04:51
Rep,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Postgraduate Degree,Asian,Orange,50 to 85 percent,Cell,1,0.515,0.861,0.7395,0.9465,2018-10-23 14:04:51
Dem,18 to 34,Some college or trade school,White,Male,White,Approve,Dems. take House,Don't know,Favorable,18 to 29,Some College Educ.,Democratic,Male,Somewhat likely,Democrat,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,White,Orange,Less than 50 percent,Cell,0.4444,0.3847,0.8501,1.4722,0.5354,2018-10-23 14:04:51
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,4-year College Grad.,Unknown,Orange,85 percent or higher,Cell,1,0.9177,0.6311,0.2871,0.6313,2018-10-23 14:04:51
Rep,50 to 64,Bachelors' degree,Asian,Female,Asian,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,4-year College Grad.,Asian,Los Angeles,85 percent or higher,Cell,1,0.9526,1.7772,1.1949,1.7712,2018-10-23 14:04:51
Und,[DO NOT READ] Refused,High school,Hispanic,Male,Hispanic,Disapp.,Don't know,Don't know,Don't know,30 to 44,High School Grad. or Less,Other,Male,Very likely,Independent (No party),Nonwhite,35 to 49,No 4-year College Degree,Hispanic,Orange,Less than 50 percent,Cell,0.7778,0.336,0.8065,1.3815,0.7909,2018-10-23 14:05:00
Dem,18 to 34,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Postgraduate Degree,Asian,Orange,85 percent or higher,Cell,1,0.8963,0.8392,0.6893,0.8417,2018-10-23 14:05:00
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,White,Orange,85 percent or higher,Cell,1,0.97,0.9326,0.444,0.933,2018-10-23 14:05:00
Dem,65 and older,Some college or trade school,Asian,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,No 4-year College Degree,Asian,Orange,50 to 85 percent,Cell,1,0.558,1.3605,1.56,1.4732,2018-10-23 14:05:00
Rep,18 to 34,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,Unknown,Orange,85 percent or higher,Cell,1,0.922,0.8991,0.7337,0.8989,2018-10-23 14:05:00
Dem,18 to 34,Some college or trade school,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",18 to 34,No 4-year College Degree,Other Non-White,Los Angeles,Less than 50 percent,Cell,1,0.3471,1.3207,3.7969,1.5724,2018-10-23 14:05:00
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Postgraduate Degree,Hispanic,Los Angeles,85 percent or higher,Cell,1,0.9548,1.0421,0.6181,1.0384,2018-10-23 14:05:09
Dem,65 and older,Graduate or Professional Degree,Asian,Male,Other,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),Nonwhite,65 and older,Postgraduate Degree,Asian,Orange,85 percent or higher,Landline,1,0.9612,1.0254,0.5877,1.0122,2018-10-23 14:05:09
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Orange,85 percent or higher,Cell,1,0.97,0.676,0.2706,0.6763,2018-10-23 14:05:09
Dem,65 and older,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,4-year College Grad.,Hispanic,San Bernardino,85 percent or higher,Landline,1,0.888,1.2978,0.5509,1.3033,2018-10-23 14:05:09
Rep,18 to 34,High school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,High School Grad. or Less,Republican,Male,Almost certain,Republican,Nonwhite,18 to 34,No 4-year College Degree,Hispanic,Orange,Less than 50 percent,Cell,1,0.2773,0.7959,1.6532,0.9953,2018-10-23 14:05:09
Und,35 to 49,Bachelors' degree,Asian,Female,Asian,Disapp.,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),Nonwhite,35 to 49,4-year College Grad.,Asian,Los Angeles,50 to 85 percent,Cell,0,0.6903,1.3075,1.3335,0.5099,2018-10-23 14:05:09
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Los Angeles,85 percent or higher,Cell,1,0.9174,0.821,0.3932,0.8213,2018-10-23 14:05:18
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Orange,85 percent or higher,Cell,1,0.97,0.9146,0.3528,0.9036,2018-10-23 14:05:18
Und,50 to 64,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,No 4-year College Degree,Hispanic,Los Angeles,85 percent or higher,Cell,1,0.8891,1.0436,0.6027,1.0479,2018-10-23 14:05:18
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,4-year College Grad.,White,Orange,85 percent or higher,Cell,1,0.9471,0.9646,0.4064,0.9619,2018-10-23 14:05:18
Dem,50 to 64,Some college or trade school,White,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,No 4-year College Degree,White,Orange,85 percent or higher,Landline,1,0.9357,1.2642,0.9303,1.246,2018-10-23 14:05:27
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,No 4-year College Degree,White,Orange,85 percent or higher,Cell,1,0.8917,1.3088,0.9789,1.2896,2018-10-23 14:05:27
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",65 and older,4-year College Grad.,Unknown,Orange,85 percent or higher,Landline,1,0.9636,1.1463,0.5847,1.1481,2018-10-23 14:05:27
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Very likely,or as a member of another political party,"White, 4-Year College Grads",35 to 49,Postgraduate Degree,Unknown,Orange,50 to 85 percent,Cell,1,0.783,0.4978,0.2445,0.4933,2018-10-23 14:05:27
Dem,18 to 34,High school,White,Male,Asian,Disapp.,Don't know,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Other,Male,Almost certain,[DO NOT READ] Refused,Nonwhite,18 to 34,No 4-year College Degree,White,Orange,Less than 50 percent,Cell,0.8889,0.3838,0.9044,1.6917,1.0123,2018-10-23 14:05:27
