response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,35 to 49,White,85 percent or higher,Cell,1,0.9599,0.8079,0.3551,0.8161,2018-10-18 23:32:08
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,0.5844,0.2228,0.59,2018-10-18 23:35:19
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,18 to 34,White,85 percent or higher,Cell,1,0.9287,0.9744,0.489,0.9872,2018-10-18 23:38:01
Rep,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,White,85 percent or higher,Cell,1,0.9102,1.0848,0.8463,1.1015,2018-10-18 23:38:19
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,St. Clair,50 to 64,White,85 percent or higher,Cell,1,0.97,0.7397,0.3345,0.7467,2018-10-18 23:40:25
Dem,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",White,Rest,35 to 49,White,85 percent or higher,Cell,1,0.8763,0.9047,0.4304,0.9359,2018-10-18 23:40:52
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,White,50 to 85 percent,Landline,1,0.823,0.6872,0.2907,0.7071,2018-10-18 23:41:46
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.8759,1.6501,0.9999,1.6495,2018-10-18 23:42:13
Und,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Unfavorable,30 to 44,Some College Educ.,Republican,Female,Not at all likely,Republican,"White, No 4-Year College Degree",White,Madison,35 to 49,White,50 to 85 percent,Landline,0,0.8149,0.88,0.6648,0.4313,2018-10-18 23:43:43
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,St. Clair,50 to 64,White,85 percent or higher,Landline,1,0.97,0.7397,0.3345,0.7505,2018-10-18 23:46:31
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,Rest,18 to 34,White,50 to 85 percent,Cell,1,0.5307,1.071,0.7122,1.1871,2018-10-18 23:48:55
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,St. Clair,50 to 64,White,85 percent or higher,Cell,1,0.8638,1.0813,0.6582,1.1051,2018-10-18 23:50:16
Und,50 to 64,Some college or trade school,White,Female,White,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Not at all likely,or as a member of another political party,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Landline,0,0.9016,1.0134,0.5435,0.6101,2018-10-18 23:51:19
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.97,0.7995,0.2614,0.807,2018-10-18 23:52:04
Und,65 and older,High school,White,Male,White,Don't know,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,1.6501,0.903,1.6533,2018-10-18 23:52:13
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,18 to 34,White,50 to 85 percent,Cell,1,0.5056,1.6254,2.2924,1.8183,2018-10-18 23:54:55
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Madison,65 and older,White,85 percent or higher,Landline,1,0.97,0.6655,0.2471,0.6718,2018-10-18 23:54:55
Rep,35 to 49,Some college or trade school,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,Other Non-White,85 percent or higher,Cell,1,0.8835,0.6844,0.6367,0.684,2018-10-18 23:55:13
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.9388,0.7139,0.244,0.7286,2018-10-18 23:56:52
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Madison,35 to 49,White,Less than 50 percent,Cell,1,0.0953,0.7131,4.0454,1.1665,2018-10-19 00:05:04
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,Less than 50 percent,Landline,1,0.4141,1.3151,2.2016,1.5304,2018-10-19 00:11:04
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",White,St. Clair,35 to 49,White,Less than 50 percent,Cell,0.2222,0.2992,0.815,1.7802,0.3232,2018-10-19 00:14:22
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",White,Rest,65 and older,White,50 to 85 percent,Cell,1,0.547,0.7332,0.5169,0.8422,2018-10-19 00:14:40
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,50 to 64,White,85 percent or higher,Cell,1,0.97,0.7397,0.3345,0.7467,2018-10-19 00:14:40
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,Madison,50 to 64,White,85 percent or higher,Landline,1,0.9678,1.1414,0.6471,1.1433,2018-10-19 00:15:52
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,White,Less than 50 percent,Cell,1,0.1,1.303,4.8658,2.1064,2018-10-19 00:18:06
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,50 to 64,Black,85 percent or higher,Landline,1,0.97,0.895,0.3665,0.9034,2018-10-19 00:24:33
Und,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.6592,0.2492,0.6654,2018-10-19 00:24:51
Dem,35 to 49,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Don't know,Dems. take House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Not very likely,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,Rest,35 to 49,White,Less than 50 percent,Cell,0.4444,0.3459,0.7211,1.135,0.3632,2018-10-19 00:27:24
Rep,65 and older,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,Less than 50 percent,Landline,1,0.1849,0.902,2.7121,1.2563,2018-10-19 00:32:12
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,St. Clair,50 to 64,Unknown,Less than 50 percent,Cell,1,0.4138,0.5713,0.6533,0.6157,2018-10-19 00:33:24
3,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,or as a member of another political party,"White, 4-Year College Grads",White,St. Clair,18 to 34,White,Less than 50 percent,Cell,0.5556,0.2624,0.9809,2.1888,0.6565,2018-10-19 00:33:51
3,50 to 64,Some college or trade school,Black,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,Nonwhite,Nonwhite,St. Clair,50 to 64,Black,85 percent or higher,Landline,1,0.9564,1.1344,0.7185,1.1538,2018-10-19 00:38:12
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,50 to 64,White,85 percent or higher,Landline,1,0.9349,1.1737,1.1675,1.1882,2018-10-19 00:40:18
Dem,65 and older,High school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Rest,65 and older,Other Non-White,85 percent or higher,Landline,1,0.9506,1.1027,0.7867,1.1147,2018-10-19 00:40:45
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,Nonwhite,St. Clair,50 to 64,Black,50 to 85 percent,Cell,0.7778,0.6192,1.1015,0.5288,1.0602,2018-10-19 00:43:09
Dem,65 and older,Grade school,White,Male,White,Approve,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,Less than 50 percent,Landline,1,0.251,1.3151,3.6313,1.8475,2018-10-19 00:43:18
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Don't know,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,Madison,65 and older,White,85 percent or higher,Landline,1,0.97,0.4865,0.2106,0.4911,2018-10-19 00:46:18
Dem,35 to 49,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,35 to 49,White,85 percent or higher,Cell,1,0.9407,1.1468,0.775,1.1465,2018-10-19 00:51:58
Rep,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,1.0713,0.4781,1.0814,2018-10-19 00:52:43
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,0.7382,0.2758,0.7489,2018-10-19 00:53:10
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.9093,1.3064,0.7782,1.3053,2018-10-19 00:53:46
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Already voted,Democrat,"White, 4-Year College Grads",White,St. Clair,65 and older,White,50 to 85 percent,Landline,1,0.5301,1.0124,0.7673,1.1716,2018-10-19 00:54:40
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",White,Rest,35 to 49,White,85 percent or higher,Landline,1,0.97,0.7006,0.3875,0.7108,2018-10-19 00:58:25
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.9656,0.5396,0.9674,2018-10-19 00:59:19
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Madison,18 to 34,White,85 percent or higher,Cell,1,0.8839,1.0187,0.7516,1.0381,2018-10-19 01:02:01
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,50 to 64,Black,85 percent or higher,Cell,1,0.97,1.1992,0.6704,1.2106,2018-10-19 01:02:19
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.9665,1.0713,0.4798,1.0875,2018-10-19 01:02:54
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,Rest,50 to 64,White,85 percent or higher,Landline,1,0.9115,0.7139,0.2514,0.7133,2018-10-19 01:03:57
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.9512,0.6236,0.2685,0.6348,2018-10-19 01:04:24
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",White,Madison,50 to 64,White,85 percent or higher,Cell,1,0.9562,0.8358,0.3879,0.8363,2018-10-19 01:06:48
Und,65 and older,Some college or trade school,Black,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,65 and older,Black,Less than 50 percent,Landline,1,0.4374,1.078,1.7308,1.2406,2018-10-19 01:08:09
Dem,18 to 34,Some college or trade school,Black,Male,Other,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,Madison,18 to 34,Black,85 percent or higher,Landline,1,0.8916,1.009,0.7701,1.027,2018-10-19 01:08:18
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.97,1.3939,0.8622,1.407,2018-10-19 01:09:30
Rep,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,Rest,35 to 49,White,Less than 50 percent,Cell,1,0.4271,0.905,1.5614,0.971,2018-10-19 01:10:33
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.9675,1.6501,0.9053,1.6659,2018-10-19 01:12:48
Und,50 to 64,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Female,Somewhat likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,St. Clair,50 to 64,White,85 percent or higher,Landline,0.6667,0.9035,1.0229,0.665,0.9313,2018-10-19 01:13:33
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Landline,1,0.97,0.7617,0.2792,0.7689,2018-10-19 01:13:33
Rep,65 and older,High school,White,Female,White,Don't know,Don't know,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,St. Clair,65 and older,White,85 percent or higher,Landline,1,0.9421,1.5755,1.2046,1.5938,2018-10-19 01:19:06
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,Rest,65 and older,White,50 to 85 percent,Landline,1,0.6642,1.1884,0.7256,1.2104,2018-10-19 01:22:33
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Somewhat likely,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Landline,0.6667,0.9405,1.463,0.8325,1.3678,2018-10-19 01:22:42
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,Madison,65 and older,Other Non-White,85 percent or higher,Landline,1,0.8985,0.3641,0.2148,0.3702,2018-10-19 01:23:36
Und,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Don't know,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,65 and older,White,85 percent or higher,Cell,1,0.9484,1.2221,0.8287,1.2356,2018-10-19 01:28:42
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Dems. take House,Don't know,Favorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,[DO NOT READ] Refused,"White, 4-Year College Grads",White,Rest,50 to 64,White,50 to 85 percent,Cell,1,0.6889,0.984,0.3389,1.0412,2018-10-19 01:30:57
3,35 to 49,Bachelors' degree,Asian,Female,Other,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,Madison,35 to 49,Other Non-White,Less than 50 percent,Cell,0.8889,0.4,0.376,0.6702,0.4237,2018-10-19 01:31:15
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,Rest,35 to 49,White,85 percent or higher,Cell,0.7778,0.8877,0.8079,0.384,0.7447,2018-10-19 01:33:07
Dem,35 to 49,Graduate or Professional Degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Already voted,Democrat,Nonwhite,Nonwhite,St. Clair,35 to 49,Black,50 to 85 percent,Cell,1,0.6221,0.9653,0.7804,1.076,2018-10-19 01:34:01
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,30 to 44,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",White,Rest,18 to 34,White,Less than 50 percent,Cell,1,0.3919,1.1001,2.0877,1.3723,2018-10-19 01:36:25
Und,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,Postgraduate Degree,Other,Female,Not very likely,Republican,"White, 4-Year College Grads",White,Rest,18 to 34,White,Less than 50 percent,Cell,0.4444,0.2131,0.6721,1.9796,0.3136,2018-10-19 01:36:34
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,Rest,65 and older,White,85 percent or higher,Cell,1,0.97,0.8052,0.2642,0.8128,2018-10-19 01:40:28
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.9395,1.0134,0.5215,1.034,2018-10-19 01:42:07
Dem,50 to 64,High school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,50 to 64,Black,50 to 85 percent,Cell,1,0.8145,2.0157,1.2416,2.0773,2018-10-19 01:51:45
Und,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,St. Clair,50 to 64,White,50 to 85 percent,Cell,1,0.7693,1.2027,0.8646,1.2501,2018-10-19 01:52:39
Dem,50 to 64,Grade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,St. Clair,50 to 64,Black,Less than 50 percent,Cell,1,0.2637,1.53,3.9892,1.9623,2018-10-19 01:53:06
Dem,50 to 64,Some college or trade school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,Rest,50 to 64,White,85 percent or higher,Cell,1,0.97,1.0713,0.4781,1.0814,2018-10-19 01:54:00
Rep,35 to 49,High school,White,Male,Black,Don't know,Dems. take House,Don't know,Favorable,30 to 44,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,Rest,35 to 49,White,50 to 85 percent,Cell,1,0.837,1.7213,1.2239,1.7235,2018-10-19 02:00:13
