response,ager,educ,file_race,gender,race_eth,approve,CHECK,CLIMATE,FEMINISM,genballot,hdem_fav,hrep_fav,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Black,"Rest, Clinton",50 to 85 percent,Cell,1,0.5401,0.9425,1.2969,0.982
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9553,0.9291,0.6644,0.9395
Und,35 to 49,Bachelors' degree,Black,Female,Black,Don't know,Check,Don't know,oppose,Don't know,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Black,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.885,0.7226,0.4755,0.7367
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",35 to 49,White,"Rest, Trump",85 percent or higher,Cell,1,0.9315,0.9318,0.612,0.9444
Dem,65 and older,High school,Black,Female,Black,Don't know,Don't know,Not or not very,support,Dems. take House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Other,Female,Somewhat likely,Democrat,Nonwhite,65 and older,Black,"Rest, Clinton",50 to 85 percent,Landline,0.7778,0.561,1.2847,1.4563,1.0685
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9692,0.9385,0.5132,0.9481
Dem,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Don't know,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,50 to 64,Black,"Virginia Beach, Clinton",Less than 50 percent,Cell,1,0.4354,0.7893,0.9343,0.9099
Dem,35 to 49,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Unfavorable,agree,30 to 44,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,35 to 49,Other Non-White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.6252,1.0788,1.2299,1.1061
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Not or not very,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9606,0.8635,0.2991,0.8728
Dem,65 and older,High school,Black,Female,Black,Disapp.,Check,Not or not very,Don't know,Dems. take House,Favorable,Unfavorable,agree,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,"Rest, Clinton",85 percent or higher,Cell,1,0.9606,1.1113,0.813,1.1232
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Support,Very or somewhat,support,Reps. keep House,Don't know,Favorable,agree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,Other Non-White,"Rest, Trump",50 to 85 percent,Cell,1,0.6136,1.1499,0.934,1.2421
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.9789,0.923,0.3722,0.9321
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Support,Very or somewhat,support,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,"Rest, Clinton",Less than 50 percent,Cell,0.8889,0.3299,0.9425,2.1464,0.9959
Und,[DO NOT READ] Refused,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Not or not very,support,Dems. take House,Unfavorable,Don't know,disagree,65 and older,Some College Educ.,Other,Male,Not at all likely,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,0.1111,0.8639,0.9194,0.5151,0.5368
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Support,Not or not very,support,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown,"Rest, Trump",85 percent or higher,Landline,1,0.9345,1.0195,0.6001,1.0329
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.939,0.9385,0.5297,0.9504
Dem,[DO NOT READ] Refused,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Check,Not or not very,oppose,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Some College Educ.,Republican,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,White,"Virginia Beach, Clinton",85 percent or higher,Cell,1,0.9326,0.8251,0.4107,0.8252
Dem,65 and older,Bachelors' degree,White,Male,Black,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8649,0.8172,0.4289,0.8357
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9403,0.8792,0.4203,0.8903
Und,65 and older,Some college or trade school,White,Female,White,Approve,Support,Very or somewhat,Don't know,Reps. keep House,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.8944,0.9857,0.5659,1.0037
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,disagree,18 to 29,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,"Rest, Trump",50 to 85 percent,Landline,1,0.642,1.3917,1.2286,1.4232
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Support,Not or not very,support,Reps. keep House,Don't know,Favorable,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.9211,0.923,0.3955,0.9366
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.5909,0.9738,0.716,1.0044
Und,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Unknown,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8936,0.8721,0.4914,0.8881
Rep,65 and older,Graduate or Professional Degree,Asian,Male,Asian,Approve,Support,Very or somewhat,oppose,Don't know,Unfavorable,Favorable,disagree,65 and older,Postgraduate Degree,Other,Male,Not very likely,Independent (No party),Nonwhite,65 and older,Other Non-White,"Virginia Beach, Trump",50 to 85 percent,Landline,0.6667,0.826,1.0716,0.491,0.8593
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Check,Very or somewhat,oppose,Reps. keep House,Don't know,Don't know,agree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",85 percent or higher,Landline,1,0.8952,0.8547,0.3502,0.8702
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.9103,0.9586,0.4874,0.974
Rep,35 to 49,High school,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,disagree,30 to 44,High School Grad. or Less,Other,Male,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,"Virginia Beach, Clinton",Less than 50 percent,Cell,0.8889,0.3806,1.1856,2.1864,1.2322
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Approve,Don't know,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,Unknown,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.8852,0.8543,0.3794,0.8544
Dem,50 to 64,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),[DO NOT READ] Don't know/Refused,50 to 64,White,"Rest, Trump",50 to 85 percent,Landline,1,0.5893,0.985,0.6565,1.0162
Dem,50 to 64,Some college or trade school,Black,Female,White,Disapp.,Check,Very or somewhat,support,Don't know,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",50 to 64,Black,"Rest, Trump",85 percent or higher,Landline,0.6667,0.9027,0.8804,0.5773,0.8488
Rep,35 to 49,High school,Black,Female,White,Disapp.,Check,Very or somewhat,support,Don't know,Don't know,Favorable,agree,30 to 44,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,Black,"Virginia Beach, Clinton",Less than 50 percent,Cell,0.7778,0.0694,1.1438,6.2639,1.394
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Democrat,Nonwhite,35 to 49,White,"Virginia Beach, Trump",50 to 85 percent,Cell,1,0.8117,0.9678,0.5005,0.9712
Rep,50 to 64,Bachelors' degree,White,Female,Asian,Approve,Support,Not or not very,support,Reps. keep House,Don't know,Unfavorable,agree,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Republican,Nonwhite,50 to 64,White,"Virginia Beach, Trump",50 to 85 percent,Landline,0.2222,0.5043,0.9822,0.8544,0.5678
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,disagree,30 to 44,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,"Virginia Beach, Trump",Less than 50 percent,Cell,1,0.481,1.0364,1.5759,1.0954
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9568,0.8635,0.3003,0.8731
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,Other,Approve,Support,Very or somewhat,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,White,"Rest, Trump",85 percent or higher,Landline,0.8889,0.9363,0.8978,0.3408,0.9038
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",50 to 85 percent,Landline,1,0.8256,1.024,0.5203,1.054
Dem,35 to 49,Bachelors' degree,Black,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,Black,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.6123,0.8202,0.7237,0.8863
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Check,Very or somewhat,support,Don't know,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",50 to 85 percent,Landline,1,0.7873,0.9803,0.3631,1.0161
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Favorable,agree,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,65 and older,Black,"Rest, Trump",85 percent or higher,Landline,1,0.9211,0.9086,0.7919,0.9085
Dem,50 to 64,High school,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,"Rest, Trump",50 to 85 percent,Landline,1,0.7979,1.4268,1.0134,1.4759
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Support,Not or not very,Don't know,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Rest, Trump",85 percent or higher,Cell,1,0.9597,0.9584,0.4894,0.9688
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Check,Very or somewhat,oppose,Dems. take House,Favorable,Favorable,agree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Trump",85 percent or higher,Cell,1,0.9552,0.8429,0.3758,0.8523
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Check,Very or somewhat,oppose,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,"Rest, Trump",85 percent or higher,Landline,1,0.9019,0.9886,0.504,0.9884
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Disapp.,Don't know,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,Nonwhite,18 to 34,Other Non-White,"Virginia Beach, Trump",Less than 50 percent,Landline,0.1111,0.1857,1.2782,4.8459,0.9465
Rep,50 to 64,Grade school,Black,Female,Asian,Disapp.,Support,Very or somewhat,support,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,High School Grad. or Less,Other,Female,Not very likely,Independent (No party),Nonwhite,50 to 64,Black,"Virginia Beach, Clinton",Less than 50 percent,Cell,0.1111,0.2664,1.1201,2.8552,0.3875
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Don't know,Very or somewhat,Don't know,Dems. take House,Favorable,Favorable,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,"Rest, Trump",Less than 50 percent,Landline,1,0.3818,0.9459,0.8549,1.1201
Dem,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Favorable,Unfavorable,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,"Rest, Trump",85 percent or higher,Landline,1,0.935,0.9884,0.6197,1.0013
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.6048,0.8928,0.5645,0.9668
Rep,50 to 64,Some college or trade school,White,Female,Hispanic,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,White,"Virginia Beach, Trump",85 percent or higher,Landline,1,0.9278,0.9557,0.5636,0.969
Dem,65 and older,High school,Black,Female,Black,Disapp.,Check,Very or somewhat,Don't know,Dems. take House,Don't know,Don't know,agree,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,"Rest, Trump",50 to 85 percent,Landline,1,0.5714,1.391,1.3838,1.5219
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Check,Very or somewhat,support,Dems. take House,Favorable,Unfavorable,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 34,White,"Virginia Beach, Clinton",50 to 85 percent,Cell,1,0.7186,1.1524,0.8063,1.2117
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Support,Not or not very,oppose,Reps. keep House,Unfavorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,"Rest, Trump",85 percent or higher,Landline,1,0.9897,0.8949,0.3803,0.9038
Rep,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,Don't know,Support,Not or not very,oppose,Reps. keep House,Don't know,Favorable,agree,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,White,"Rest, Clinton",85 percent or higher,Cell,1,0.946,0.8467,0.4305,0.8568
