response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,Asian,Male,[DO NOT READ] Don't know/Refused,Don't know,Dems. take House,Don't know,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,50 to 64,Non-White,Cumberland,50 to 85 percent,Cell,1,0.6766,0.8346,0.5265,0.8819
Und,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Dauphin,Less than 50 percent,Landline,1,0.3692,1.3283,3.3119,1.4487
Dem,65 and older,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Non-White,Cumberland,85 percent or higher,Cell,1,0.956,0.5125,0.1807,0.5156
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,York,50 to 85 percent,Cell,1,0.8101,0.6769,0.3571,0.6951
Dem,50 to 64,Some college or trade school,Black,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,Non-White,Cumberland,85 percent or higher,Landline,1,0.8974,0.9859,0.6195,0.9984
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,York,85 percent or higher,Landline,1,0.9558,0.7889,0.374,0.7937
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Dauphin,85 percent or higher,Cell,1,0.8829,0.8671,0.4999,0.8799
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Dauphin,85 percent or higher,Landline,1,0.97,0.7019,0.342,0.7055
Dem,65 and older,High school,White,Male,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),Nonwhite,65 and older,White,Dauphin,50 to 85 percent,Landline,1,0.5925,1.3022,1.5697,1.4083
Dem,50 to 64,Graduate or Professional Degree,White,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,50 to 64,White,Dauphin,85 percent or higher,Landline,1,0.939,1.1288,0.8079,1.1236
Und,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Dauphin,85 percent or higher,Landline,1,0.97,0.7167,0.3502,0.7204
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.8752,1.2771,0.9029,1.2974
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Cumberland,85 percent or higher,Cell,1,0.9637,1.2585,0.6248,1.2654
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dauphin,85 percent or higher,Landline,1,0.97,0.8397,0.4813,0.8439
Dem,35 to 49,High school,Hispanic,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Non-White,Dauphin,50 to 85 percent,Landline,1,0.514,1.4854,2.3737,1.6493
Und,35 to 49,Some college or trade school,White,Male,Asian,Disapp.,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Somewhat likely,Independent (No party),Nonwhite,35 to 49,White,York,Less than 50 percent,Landline,0.8889,0.309,0.8227,1.5935,0.7059
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Not very likely,Democrat,"White, No 4-Year College Degree",35 to 49,White,York,50 to 85 percent,Cell,0.1111,0.786,0.8278,0.604,0.484
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,York,85 percent or higher,Landline,1,0.97,0.6451,0.2246,0.6483
Und,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),Nonwhite,50 to 64,Unknown,Dauphin,85 percent or higher,Cell,1,0.97,0.8393,0.4576,0.8436
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Don't know,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.97,0.5697,0.2289,0.5726
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Dauphin,85 percent or higher,Landline,1,0.97,1.5168,0.7954,1.5245
Dem,18 to 34,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,White,Dauphin,50 to 85 percent,Cell,1,0.7364,0.9717,0.8123,1.0126
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.97,0.5697,0.2289,0.5726
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",18 to 34,White,Dauphin,50 to 85 percent,Cell,1,0.7838,0.6776,0.5391,0.6993
Dem,18 to 34,Some college or trade school,Hispanic,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Favorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 34,Non-White,Dauphin,Less than 50 percent,Cell,1,0.4313,0.7876,1.6613,0.905
Rep,[DO NOT READ] Refused,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dauphin,85 percent or higher,Landline,1,0.9346,1.5736,1.2634,1.5863
Rep,65 and older,Some college or trade school,Unknown,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Dauphin,85 percent or higher,Landline,1,0.97,0.6663,0.3921,0.6697
Rep,18 to 34,Some college or trade school,Hispanic,Male,[DO NOT READ] Don't know/Refused,Don't know,Reps. keep House,Don't know,Favorable,18 to 29,Some College Educ.,Other,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,18 to 34,Non-White,Cumberland,Less than 50 percent,Cell,1,0.2755,0.6252,1.4925,0.7906
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,50 to 64,Non-White,Cumberland,50 to 85 percent,Landline,1,0.7312,0.6559,0.3875,0.6597
Und,50 to 64,Some college or trade school,Black,Female,White,Disapp.,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Non-White,Dauphin,50 to 85 percent,Landline,1,0.6843,0.9668,0.8706,1.0197
Dem,65 and older,High school,White,Male,White,Don't know,Don't know,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Dauphin,85 percent or higher,Landline,1,0.9358,1.6068,1.2918,1.6195
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Cumberland,85 percent or higher,Landline,1,0.9587,1.096,0.7453,1.1023
Und,65 and older,Some college or trade school,White,Male,White,Disapp.,Don't know,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Not at all likely,Republican,"White, No 4-Year College Degree",65 and older,White,Dauphin,50 to 85 percent,Landline,0,0.629,0.6537,0.4565,0.2358
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Cumberland,85 percent or higher,Landline,1,0.8619,1.0317,0.5657,1.0502
Dem,35 to 49,High school,Unknown,Male,Black,Don't know,Dems. take House,Don't know,Don't know,45 to 64,High School Grad. or Less,Democratic,Male,Very likely,Democrat,Nonwhite,35 to 49,Unknown,Cumberland,50 to 85 percent,Cell,0.7778,0.5725,1.0401,1.2805,0.9984
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,York,85 percent or higher,Cell,1,0.97,1.2154,0.7059,1.2216
Und,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,White,Cumberland,Less than 50 percent,Landline,0.6667,0.4301,0.8364,1.3438,0.7714
Dem,65 and older,High school,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,York,Less than 50 percent,Landline,1,0.4405,1.3028,2.537,1.386
Rep,35 to 49,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Cumberland,85 percent or higher,Cell,1,0.9669,1.6129,1.2678,1.6214
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Dauphin,85 percent or higher,Landline,1,0.866,0.8765,0.6437,0.8917
Und,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,Dauphin,50 to 85 percent,Landline,1,0.7484,0.8418,0.5223,0.8451
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.97,0.5572,0.1963,0.56
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.97,0.6666,0.2763,0.67
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.97,0.5572,0.1963,0.56
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,Unknown,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,65 and older,Unknown,Dauphin,85 percent or higher,Landline,1,0.8926,0.7895,0.6327,0.8
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,Unknown,Cumberland,85 percent or higher,Landline,1,0.97,0.5289,0.225,0.5316
Dem,65 and older,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,Unknown,York,85 percent or higher,Landline,1,0.9213,1.1732,0.7993,1.1963
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Cumberland,85 percent or higher,Landline,1,0.97,1.0499,0.6171,1.0552
Dem,[DO NOT READ] Refused,Bachelors' degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,35 to 49,Non-White,Cumberland,50 to 85 percent,Landline,1,0.819,0.7387,0.3322,0.7573
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Cumberland,85 percent or higher,Cell,1,0.8829,0.8584,0.4131,0.8711
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",50 to 64,White,Dauphin,50 to 85 percent,Cell,1,0.5927,1.2341,1.0886,1.2661
Rep,50 to 64,[DO NOT READ] Refused,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Cumberland,85 percent or higher,Landline,1,0.97,1.1657,0.6582,1.1716
Dem,18 to 34,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Don't know,Favorable,18 to 29,Postgraduate Degree,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",18 to 34,Unknown,Cumberland,Less than 50 percent,Cell,0.8889,0.3149,0.4337,0.7586,0.4585
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Very likely,Independent (No party),Nonwhite,35 to 49,Non-White,Dauphin,50 to 85 percent,Cell,1,0.5428,0.7894,0.8176,0.818
Rep,35 to 49,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,York,50 to 85 percent,Landline,1,0.6933,0.793,0.5736,0.801
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,Cumberland,50 to 85 percent,Landline,1,0.7617,1.0379,0.7618,1.0405
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",18 to 34,White,York,85 percent or higher,Cell,1,0.9278,1.0749,0.4944,1.0844
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dauphin,85 percent or higher,Landline,1,0.9501,1.5392,1.0658,1.5493
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",50 to 64,White,Dauphin,85 percent or higher,Landline,0.7778,0.9462,1.6123,1.0442,1.5813
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Dauphin,50 to 85 percent,Cell,1,0.8378,1.2524,1.0108,1.2799
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",35 to 49,White,Dauphin,85 percent or higher,Landline,1,0.97,0.9254,0.6334,0.9301
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,York,50 to 85 percent,Cell,1,0.5241,0.7362,0.422,0.8144
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Cumberland,85 percent or higher,Landline,1,0.97,0.5697,0.2289,0.5726
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,York,85 percent or higher,Landline,1,0.97,1.4251,0.6089,1.4323
Rep,65 and older,Some college or trade school,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Non-White,York,85 percent or higher,Landline,1,0.9189,0.7544,0.3876,0.7619
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",50 to 64,White,Dauphin,85 percent or higher,Landline,1,0.9402,1.3504,1.1355,1.3605
Und,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown,Dauphin,Less than 50 percent,Landline,1,0.3595,0.5624,1.0953,0.6711
