response,ager,educ,file_race,gender,race_eth,approve,ASSAULTW,ENGLISH,genballot,hdem_fav,hrep_fav,LIFECHANGE,OPIOID,REVERSERACIS,STRANGER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_party_model,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,White,Disapp.,support,disagree,Don't know,Don't know,Favorable,agree,no,disagree,agree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,Unknown,Well-educ. Trump,85 percent or higher,Cell,0.8889,0.9844,0.8589,0.6003,0.8792,2018-09-10 20:26:54
Rep,50 to 64,Grade school,Unknown,Male,White,Approve,support,agree,Reps. keep House,Don't know,Don't know,agree,no,agree,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Probably Trump,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.8847,1.8836,1.8161,1.962,2018-09-10 20:29:45
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9826,0.8471,0.6904,0.8738,2018-09-10 20:21:57
Rep,50 to 64,High school,White,Male,Other,Approve,support,Don't know,Reps. keep House,Don't know,Don't know,agree,yes,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,Probably Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.9701,1.8989,1.8214,1.9595,2018-09-10 20:17:09
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,support,agree,Reps. keep House,Unfavorable,Favorable,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9385,1.8844,1.4008,1.9496,2018-09-10 20:20:18
Und,35 to 49,Bachelors' degree,Other,Female,Black,Disapp.,oppose,disagree,Dems. take House,Don't know,Don't know,agree,no,agree,agree,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Most Clinton,Non-White,Well-educ. Clinton,50 to 85 percent,Cell,0.6667,0.559,0.95,1.2248000000000001,0.7631,2018-09-10 20:21:21
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,support,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9289,1.0437,0.9054,1.0809,2018-09-10 20:25:42
Rep,50 to 64,Some college or trade school,White,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Favorable,agree,no,disagree,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Less-educ. Clinton,50 to 85 percent,Landline,0.8889,0.6036,1.2255,1.758,1.3225,2018-09-10 20:23:36
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,Don't know,yes,disagree,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,Unknown,Less-educ. Clinton,85 percent or higher,Cell,1,0.9725,0.6553,0.5031,0.6762,2018-09-10 20:18:21
Rep,18 to 34,Bachelors' degree,White,Female,White,Approve,oppose,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,18 to 29,4-year College Grad.,Democratic,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,18 to 34,Most Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,0.7778,0.6867,0.6631,0.6843,0.5815,2018-09-10 20:26:09
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Don't know,agree,no,disagree,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Probably Trump,Unknown,Less educ. Trump,85 percent or higher,Landline,1,0.9918,0.8368,0.5368,0.8635,2018-09-10 20:22:42
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,yes,disagree,agree,30 to 44,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,Probably Clinton,White,Less educ. Trump,85 percent or higher,Cell,1,0.8715,0.743,0.73740000000000006,0.7754,2018-09-10 20:23:00
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9983,0.879,0.6585,0.9073,2018-09-10 20:28:24
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Don't know,Don't know,Favorable,agree,no,disagree,disagree,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Landline,0.8889,0.9517,1.5114,1.1639,1.5355,2018-09-10 20:26:00
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,agree,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9416,0.5723,0.4744,0.5919,2018-09-10 20:18:57
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,disagree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Female,[DO NOT READ] Don't know/Refused,Republican,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,0.4444,0.9625,0.7051,0.5754,0.6568,2018-09-10 20:24:03
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9822,0.7006,0.5369,0.7227,2018-09-10 20:29:09
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,oppose,disagree,Reps. keep House,Favorable,Favorable,agree,yes,Don't know,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Maybe Trump,White,Less educ. Trump,50 to 85 percent,Cell,1,0.6281,1.3667,1.5596,1.5019,2018-09-10 20:23:27
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,agree,65 and older,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Less educ. Trump,85 percent or higher,Landline,1,0.88,0.738,0.6254,0.7692,2018-09-10 20:18:12
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Most Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9953,0.4548,0.3408,0.4695,2018-09-10 20:30:21
Rep,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Don't know,Don't know,Favorable,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Other,Female,Not very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,0.3333,0.9657,1.2087,0.9792,1.0879,2018-09-10 20:29:27
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,agree,no,agree,disagree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Less educ. Trump,85 percent or higher,Landline,1,0.9955,0.9912,0.8187,1.0234,2018-09-10 20:20:09
Rep,65 and older,High school,White,Female,White,Don't know,support,disagree,Dems. take House,Don't know,Favorable,agree,no,agree,disagree,65 and older,High School Grad. or Less,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,Maybe Trump,White,Less educ. Trump,50 to 85 percent,Landline,1,0.8195,1.3746,1.533,1.4086,2018-09-10 20:25:33
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Trump,White,Less educ. Trump,85 percent or higher,Landline,1,0.9231,0.9975,0.9272,1.0338,2018-09-10 20:17:54
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Reps. keep House,Unfavorable,Favorable,agree,yes,agree,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9519,0.7051,0.5818,0.7285,2018-09-10 20:20:09
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,18 to 29,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Probably Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.8305,0.8291,0.7095,0.871,2018-09-10 20:23:45
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,disagree,Reps. keep House,Don't know,Favorable,Don't know,no,agree,disagree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9004,0.7038,0.6863,0.7189,2018-09-10 20:24:12
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,Unknown,Well-educ. Clinton,85 percent or higher,Landline,1,0.9845,0.5872,0.4283,0.6028,2018-09-10 20:19:51
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,yes,disagree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9895,0.8735,0.6326,0.9012,2018-09-10 20:22:15
Rep,65 and older,Some college or trade school,White,Male,Hispanic,Approve,support,disagree,Reps. keep House,Don't know,Favorable,Don't know,Don't know,agree,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.908,0.8617,0.8034,0.8947,2018-09-10 20:28:51
Rep,65 and older,Graduate or Professional Degree,White,Female,Hispanic,Approve,Don't know,agree,Reps. keep House,Don't know,Favorable,agree,no,Don't know,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Cell,1,0.9715,0.5723,0.4599,0.5905,2018-09-10 20:31:15
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,disagree,45 to 64,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Less educ. Trump,85 percent or higher,Landline,1,0.9425,0.8139,0.7077,0.8319,2018-09-10 20:23:27
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,oppose,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Most Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9233,0.6986,0.5407,0.724,2018-09-10 20:29:09
Rep,65 and older,High school,White,Female,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Most Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9483,0.9601,0.9245,0.9816,2018-09-10 20:22:15
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9634,0.7006,0.5474,0.7233,2018-09-10 20:22:42
Rep,50 to 64,Graduate or Professional Degree,Unknown,Male,White,Don't know,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,agree,agree,45 to 64,Postgraduate Degree,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Maybe Trump,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.9768,1.1692,0.8178,1.2062,2018-09-10 20:18:48
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Unfavorable,Favorable,agree,no,disagree,disagree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Maybe Trump,White,Less educ. Trump,85 percent or higher,Landline,1,0.9279,0.8626,0.6912,0.8935,2018-09-10 20:19:24
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,disagree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Trump,Unknown,Well-educ. Trump,85 percent or higher,Cell,1,0.9533,0.9293,0.6403,0.9504,2018-09-10 20:19:42
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Maybe Trump,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9655,1.0332,0.7233,1.0665,2018-09-10 20:22:15
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,support,agree,Dems. take House,Favorable,Unfavorable,disagree,no,disagree,agree,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,Probably Clinton,White,Less-educ. Clinton,85 percent or higher,Landline,1,0.9918,0.7038,0.6231,0.7263,2018-09-10 20:26:36
Rep,50 to 64,Some college or trade school,White,Male,[DO NOT READ] Don't know/Refused,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Landline,1,0.9849,1.1924,1.1189,1.23,2018-09-10 20:21:12
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Less educ. Trump,85 percent or higher,Landline,1,0.9414,0.8139,0.7085,0.8418,2018-09-10 20:30:12
Dem,18 to 34,Bachelors' degree,Unknown,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,disagree,yes,disagree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Probably Clinton,Unknown,Less educ. Trump,Less than 50 percent,Cell,1,0.391,0.8519,1.5552,1.0255,2018-09-10 20:25:06
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Most Clinton,White,Well-educ. Clinton,50 to 85 percent,Landline,1,0.7868,0.5318,0.5032,0.5463,2018-09-10 20:18:48
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Unfavorable,agree,no,disagree,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Less educ. Trump,85 percent or higher,Landline,1,0.9817,1.3905,1.0762,1.4344,2018-09-10 20:21:21
Und,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,support,disagree,Don't know,Don't know,Unfavorable,disagree,no,disagree,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,Unknown,Less educ. Trump,Less than 50 percent,Cell,1,0.4111,1.7894,2.9522,2.1318,2018-09-10 20:24:30
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Don't know,agree,no,disagree,agree,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Most Clinton,White,Less-educ. Clinton,50 to 85 percent,Landline,0.7778,0.6635,0.7153,0.9559,0.7034,2018-09-10 20:29:00
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,disagree,no,agree,disagree,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,18 to 34,Probably Clinton,White,Well-educ. Clinton,Less than 50 percent,Cell,0.6667,0.4375,1.2108,2.076,0.939,2018-09-10 20:24:57
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,agree,no,disagree,agree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Probably Clinton,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.9697,1.0437,0.8673,1.069,2018-09-10 20:30:57
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,oppose,disagree,Reps. keep House,Don't know,Unfavorable,agree,yes,agree,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Probably Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.9623,1.363,1.2183,1.4072,2018-09-10 20:28:33
Rep,[DO NOT READ] Refused,Some college or trade school,Unknown,Female,White,Approve,support,agree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,Maybe Trump,Unknown,Less educ. Trump,85 percent or higher,Cell,1,0.9956,0.8836,0.6784,0.9104,2018-09-10 20:30:30
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,support,disagree,Dems. take House,Don't know,Unfavorable,disagree,no,disagree,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Maybe Trump,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.8862,1.5693,1.1295,1.6342,2018-09-10 20:28:51
Rep,35 to 49,Bachelors' degree,White,Female,[DO NOT READ] Don't know/Refused,Approve,oppose,agree,Reps. keep House,Don't know,Favorable,agree,yes,agree,disagree,30 to 44,4-year College Grad.,Other,Female,Almost certain,Republican,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,35 to 49,Maybe Trump,White,Well-educ. Clinton,85 percent or higher,Cell,1,0.891,1.8964,1.5495,1.9735,2018-09-10 20:30:03
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,Probably Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.7257,1.1241,1.2243,1.2056,2018-09-10 20:24:03
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,support,disagree,Dems. take House,Favorable,Favorable,agree,no,agree,agree,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Probably Clinton,White,Well-educ. Clinton,50 to 85 percent,Cell,0.3333,0.7391,1.2102,1.2689,0.9011,2018-09-10 20:28:51
Rep,65 and older,Some college or trade school,Unknown,Male,White,Approve,oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,yes,agree,agree,65 and older,Some College Educ.,Other,Male,Very likely,or as a member of another political party,"White, No 4-Year College Degree",White,65 and older,Maybe Trump,Unknown,Well-educ. Clinton,85 percent or higher,Cell,1,0.992,1.0458,0.7744,1.076,2018-09-10 20:29:36
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,support,disagree,Reps. keep House,Unfavorable,Favorable,agree,no,agree,agree,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,Maybe Trump,White,Well-educ. Clinton,50 to 85 percent,Cell,1,0.776,1.6059,1.7573,1.7042,2018-09-10 20:20:45
Rep,18 to 34,Bachelors' degree,White,Male,White,Disapp.,support,disagree,Reps. keep House,Don't know,Don't know,agree,no,disagree,disagree,18 to 29,4-year College Grad.,Other,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,Maybe Trump,White,Well-educ. Trump,Less than 50 percent,Cell,0.8889,0.4029,1.1965,2.081,1.2626,2018-09-10 20:17:18
Und,18 to 34,High school,White,Male,[DO NOT READ] Don't know/Refused,Approve,support,disagree,Don't know,Don't know,Don't know,agree,no,disagree,disagree,18 to 29,High School Grad. or Less,Republican,Male,Not very likely,or as a member of another political party,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,18 to 34,Probably Trump,White,Less educ. Trump,50 to 85 percent,Cell,0,0.5509,1.3108,2.099,0.5445,2018-09-10 20:20:09
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,support,disagree,Reps. keep House,Don't know,Favorable,agree,no,disagree,disagree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Probably Trump,White,Less educ. Trump,85 percent or higher,Cell,1,0.8798,1.1082,0.9634,1.1324,2018-09-10 20:31:33
