response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,0.6827,0.5504,0.6623,2018-10-27 17:00:25
Dem,18 to 34,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,Unknown,Assembly Dist. 68,50 to 85 percent,Cell,1,0.6516,1.1049,1.2619,1.1342,2018-10-27 17:00:34
Und,18 to 34,Some college or trade school,White,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Very likely,Democrat,Nonwhite,No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,0.7778,0.4107,0.6637,1.076,0.6248,2018-10-27 17:03:18
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.97,0.6758,0.4192,0.6556,2018-10-27 17:06:09
Dem,65 and older,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,Nonwhite,Postgraduate Degree,Other Non-White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,0.792,0.4326,0.7626,2018-10-27 17:10:57
Dem,65 and older,Bachelors' degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,4-year College Grad.,White,Assembly Dist. 73/74,Less than 50 percent,Cell,1,0.1814,1.1206,5.0328,1.6576,2018-10-27 17:22:21
Dem,65 and older,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Don't know,Don't know,65 and older,Postgraduate Degree,Other,Male,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,Postgraduate Degree,Other Non-White,Assembly Dist. 73/74,Less than 50 percent,Landline,0.4444,0.4733,0.8188,0.9188,0.4761,2018-10-27 17:22:39
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,85 percent or higher,Cell,1,0.9221,0.8086,0.5201,0.7879,2018-10-27 17:23:06
Rep,65 and older,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,[DO NOT READ] Don't know/Refused,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Landline,1,0.9597,0.6825,0.3738,0.6565,2018-10-27 17:24:27
Dem,50 to 64,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Postgraduate Degree,Other Non-White,Irvine,85 percent or higher,Cell,1,0.97,0.9803,0.4756,0.951,2018-10-27 17:24:36
Und,18 to 34,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,18 to 29,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.2094,0.4497,1.1073,0.5845,2018-10-27 17:30:18
Und,18 to 34,Bachelors' degree,Unknown,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Don't know,Don't know,18 to 29,4-year College Grad.,Democratic,Female,Already voted,Independent (No party),[DO NOT READ] Don't know/Refused,4-year College Grad.,Unknown,Assembly Dist. 68,Less than 50 percent,Cell,1,0.4407,1.0589,1.7203,1.2322,2018-10-27 17:30:36
Dem,35 to 49,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",4-year College Grad.,Hispanic,Assembly Dist. 68,50 to 85 percent,Cell,1,0.8319,1.2185,1.1332,1.2031,2018-10-27 17:37:22
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,1.0633,0.9838,1.0367,2018-10-27 17:37:22
Dem,18 to 34,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,White,Irvine,Less than 50 percent,Cell,0.8889,0.4565,0.7889,1.1867,0.8355,2018-10-27 17:40:04
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.7822,1.3917,1.5464,1.3867,2018-10-27 17:40:31
Rep,50 to 64,Bachelors' degree,White,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.97,1.2167,0.7178,1.1803,2018-10-27 17:46:26
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.8275,0.7818,0.6001,0.7725,2018-10-27 17:49:35
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.86240000000000006,0.6332,0.4719,0.6221,2018-10-27 17:50:47
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,White,Assembly Dist. 68,85 percent or higher,Landline,1,0.97,0.8804,0.5132,0.8541,2018-10-27 17:52:14
Dem,50 to 64,Some college or trade school,White,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.787,1.2911,1.3481,1.3127,2018-10-27 17:55:32
Und,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,Less than 50 percent,Cell,0.7778,0.3699,0.7973,1.1808,0.7562,2018-10-27 17:57:20
Rep,18 to 34,Graduate or Professional Degree,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,[DO NOT READ] Don't know/Refused,Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9554,0.6803,0.4094,0.6606,2018-10-27 18:01:48
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9227,1.0633,1.0342,1.0462,2018-10-27 18:04:30
Und,50 to 64,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.3991,1.1286,2.0849,1.2718,2018-10-27 18:04:39
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Republican,Female,Very likely,Democrat,Nonwhite,No 4-year College Degree,Hispanic,Irvine,Less than 50 percent,Cell,1,0.1761,0.7013,2.5544,0.8354,2018-10-27 18:04:39
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.431,0.6721,0.8232,0.7865,2018-10-27 18:04:48
Dem,50 to 64,Some college or trade school,Other,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",No 4-year College Degree,Other Non-White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.4764,1.215,1.7922,1.2347,2018-10-27 18:07:48
Rep,50 to 64,Graduate or Professional Degree,White,Female,Other,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Postgraduate Degree,Other,Female,[DO NOT READ] Don't know/Refused,Republican,Nonwhite,Postgraduate Degree,White,Assembly Dist. 73/74,Less than 50 percent,Cell,1,0.1544,0.7301,3.3401,0.6132,2018-10-27 18:12:54
Dem,18 to 34,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,50 to 85 percent,Cell,1,0.6939,0.9293,0.8774,0.906,2018-10-27 18:13:12
Dem,35 to 49,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.5141,1.3321,2.2125,1.4926,2018-10-27 18:13:21
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,Less than 50 percent,Cell,1,0.4691,0.8266,0.9946,0.8417,2018-10-27 18:18:49
Dem,50 to 64,Graduate or Professional Degree,Asian,Female,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Postgraduate Degree,Other Non-White,Assembly Dist. 68,50 to 85 percent,Cell,1,0.7651,0.9573,0.7122,0.9571,2018-10-27 18:20:05
Rep,65 and older,Some college or trade school,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",No 4-year College Degree,Hispanic,Assembly Dist. 68,85 percent or higher,Cell,1,0.9628,0.8531,0.5625,0.8328,2018-10-27 18:21:58
Dem,65 and older,Grade school,Hispanic,Male,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Male,Already voted,Democrat,Nonwhite,No 4-year College Degree,Hispanic,Assembly Dist. 68,85 percent or higher,Cell,1,0.8674,0.8362,0.6204,0.8331,2018-10-27 18:25:20
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,White,Irvine,50 to 85 percent,Cell,1,0.6863,0.9201,0.7776,0.9362,2018-10-27 18:26:23
Rep,65 and older,High school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Male,Already voted,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,Unknown,Assembly Dist. 68,50 to 85 percent,Cell,1,0.5939,1.6516,2.1182,1.7883,2018-10-27 18:27:26
Dem,50 to 64,Some college or trade school,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Already voted,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,Other Non-White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.2858,1.2966,2.9851,1.6896,2018-10-27 18:29:46
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Already voted,Republican,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,0.6395,0.3701,0.6236,2018-10-27 18:44:41
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Irvine,85 percent or higher,Cell,1,0.8719,1.1919,0.8681,1.1693,2018-10-27 18:47:27
Dem,18 to 34,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,Some College Educ.,Democratic,Female,[DO NOT READ] Don't know/Refused,or as a member of another political party,Nonwhite,No 4-year College Degree,Hispanic,Assembly Dist. 68,Less than 50 percent,Cell,0.2222,0.0674,0.59,3.1626,0.2324,2018-10-27 18:55:47
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9585,0.7179,0.3828,0.7014,2018-10-27 19:03:18
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Irvine,85 percent or higher,Cell,1,0.9518,1.1919,0.7952,1.166,2018-10-27 19:03:28
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9669,0.9629,0.712,0.9394,2018-10-27 19:03:45
Dem,35 to 49,Graduate or Professional Degree,Other,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,Other Non-White,Irvine,85 percent or higher,Cell,1,0.8693,0.888,0.5698,0.8842,2018-10-27 19:06:28
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9558,1.2167,0.7284,1.17,2018-10-27 19:07:22
Rep,65 and older,Graduate or Professional Degree,White,Male,Asian,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,Nonwhite,Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9647,0.6395,0.3721,0.6206,2018-10-27 19:12:19
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,Other Non-White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9304,0.8248,0.4044,0.8102,2018-10-27 19:14:25
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),Nonwhite,Postgraduate Degree,Other Non-White,Irvine,85 percent or higher,Landline,0.8889,0.9499,0.8703,0.3481,0.8412,2018-10-27 19:16:29
Und,35 to 49,Graduate or Professional Degree,Hispanic,Female,White,Approve,Don't know,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Postgraduate Degree,Hispanic,Irvine,85 percent or higher,Cell,1,0.9675,0.6669,0.4668,0.6471,2018-10-27 19:20:50
Rep,35 to 49,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),Nonwhite,4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9255,1.2226,0.9586,1.1908,2018-10-27 19:20:50
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9508,0.6827,0.5615,0.668,2018-10-27 19:21:35
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Already voted,Independent (No party),"White, 4-Year College Grads",Postgraduate Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9636,0.6726,0.3811,0.6566,2018-10-27 19:24:15
Dem,18 to 34,Some college or trade school,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,No 4-year College Degree,White,Irvine,Less than 50 percent,Cell,0.7778,0.476,0.781,0.9976,0.7289,2018-10-27 19:24:44
Dem,35 to 49,Graduate or Professional Degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),Nonwhite,Postgraduate Degree,Other Non-White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.4551,0.8325,1.0485,0.8511,2018-10-27 19:26:59
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9435,1.0732,0.8184,1.0515,2018-10-27 19:27:44
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.97,0.9081,0.5938,0.881,2018-10-27 19:28:02
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.97,0.9629,0.7098,0.9389,2018-10-27 19:30:17
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",No 4-year College Degree,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.5652,1.2604,1.5441,1.327,2018-10-27 19:30:24
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.8928,1.2167,0.7799,1.19,2018-10-27 19:32:40
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Dems. take House,Favorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,85 percent or higher,Cell,1,0.9571,1.1762,0.7805,1.1495,2018-10-27 19:35:49
Dem,35 to 49,Bachelors' degree,Other,Male,Asian,Approve,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,4-year College Grad.,Other Non-White,Irvine,50 to 85 percent,Cell,1,0.6242,2.0378,1.7787,2.1075,2018-10-27 19:40:37
Dem,18 to 34,Graduate or Professional Degree,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,Postgraduate Degree,Other Non-White,Irvine,85 percent or higher,Cell,1,0.8756,0.888,0.5657,0.8531,2018-10-27 19:41:04
Dem,35 to 49,Bachelors' degree,Asian,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Don't know,30 to 44,4-year College Grad.,Democratic,Female,Somewhat likely,Democrat,[DO NOT READ] Don't know/Refused,4-year College Grad.,Other Non-White,Assembly Dist. 68,85 percent or higher,Cell,0.6667,0.9685,1.2789,0.9028,1.1788,2018-10-27 19:42:52
Dem,35 to 49,High school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Democratic,Female,Already voted,Democrat,"White, No 4-Year College Degree",No 4-year College Degree,Unknown,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9016,1.4921,1.6089,1.4749,2018-10-27 19:46:08
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 73/74,85 percent or higher,Cell,1,0.9661,1.1568,0.7045,1.1225,2018-10-27 19:51:14
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.6222,1.4679,1.9247,1.519,2018-10-27 19:54:32
Rep,35 to 49,Some college or trade school,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Republican,Nonwhite,No 4-year College Degree,Hispanic,Assembly Dist. 73/74,50 to 85 percent,Cell,1,0.8335,1.225,1.3656,1.2092,2018-10-27 19:56:11
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",4-year College Grad.,White,Assembly Dist. 68,Less than 50 percent,Cell,1,0.2772,0.8053,1.7981,0.9816,2018-10-27 19:58:17
