response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9223,1.0641,0.6223,1.0852
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Less-educ. Trump,85 percent or higher,Landline,1,0.965,1.4877,1.2731,1.5111
Dem,65 and older,Some college or trade school,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Independent (No party),Nonwhite,Nonwhite,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.774,0.52,0.7796
Dem,[DO NOT READ] Refused,Bachelors' degree,Black,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,65 and older,Non-White,Kansas City,85 percent or higher,Cell,1,0.9599,0.93,0.594,0.9449
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,Kansas City,50 to 85 percent,Landline,1,0.5738,1.0268,1.4155,1.1284
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.6731,0.3623,0.6837
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Clinton Precinct,Less than 50 percent,Cell,0.5556,0.4602,1.2304,2.0874,0.8809
Rep,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,0.8889,0.9115,1.0551,0.5288,1.0499
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Kansas City,50 to 85 percent,Cell,1,0.7623,0.9532,0.9374,0.998
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown,Less-educ. Trump,85 percent or higher,Cell,1,0.965,0.8323,0.4608,0.8383
Und,35 to 49,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.5476,1.3343,1.2486,1.479
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Less-educ. Trump,85 percent or higher,Cell,1,0.965,0.9813,0.4649,0.9967
Dem,65 and older,High school,White,Female,White,Disapp.,Reps. keep House,Favorable,Favorable,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.7516,2.3856,2.8345,2.5035
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.677,0.4473,0.6819
Und,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Kansas City,85 percent or higher,Cell,0.8889,0.8568,0.6272,0.4733,0.6223
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Unfavorable,Unfavorable,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,Less than 50 percent,Cell,1,0.4503,1.2922,2.1468,1.4873
Dem,50 to 64,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Kansas City,85 percent or higher,Cell,1,0.8533,1.4107,1.4404,1.4527
Rep,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,18 to 29,High School Grad. or Less,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Clinton Precinct,50 to 85 percent,Cell,0.6667,0.5223,2.0801,4.2995,1.6255
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Clinton Precinct,85 percent or higher,Cell,1,0.8808,0.5094,0.3033,0.5224
Dem,50 to 64,Some college or trade school,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Clinton Precinct,50 to 85 percent,Cell,1,0.6944,1.075,1.0011,1.1427
Dem,18 to 34,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Less-educ. Trump,85 percent or higher,Cell,1,0.965,0.6573,0.4688,0.6677
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Less-educ. Trump,85 percent or higher,Landline,1,0.965,0.6579,0.3806,0.6682
Rep,18 to 34,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Favorable,18 to 29,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Clinton Precinct,Less than 50 percent,Cell,1,0.3349,1.9841,9.0237,2.2184
3,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,18 to 29,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Less-educ. Trump,50 to 85 percent,Cell,0.6667,0.6063,0.8199,0.8054,0.7644
Dem,18 to 34,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Non-White,Less-educ. Trump,85 percent or higher,Cell,1,0.965,0.5192,0.3817,0.5273
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,1.1616,0.6074,1.1798
Dem,65 and older,Graduate or Professional Degree,Other,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Non-White,Clinton Precinct,50 to 85 percent,Landline,1,0.7987,1.085,0.7963,1.1281
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,0.9116,0.5471,0.926
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,Less than 50 percent,Cell,1,0.4409,1.3921,2.5326,1.6091
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,0.5556,0.274,0.5643
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Less-educ. Trump,85 percent or higher,Cell,1,0.965,0.7727,0.4151,0.7848
Dem,65 and older,Bachelors' degree,Black,Female,Black,Disapp.,Dems. take House,Unfavorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Non-White,Kansas City,85 percent or higher,Landline,1,0.9605,0.93,0.5936,0.9449
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.965,0.716,0.3666,0.7273
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9087,1.0641,0.6316,1.0695
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,0.8076,0.5372,0.8203
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.7336,0.4417,0.7389
Rep,65 and older,High school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.8547,1.7502,1.9641,1.802
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9649,0.8233,0.5262,0.8293
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Clinton Precinct,50 to 85 percent,Cell,1,0.7735,1.075,0.8988,1.1231
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.965,1.084,0.5804,1.101
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Well-educ. Trump,85 percent or higher,Landline,1,0.9649,0.6541,0.3722,0.6644
Dem,50 to 64,Bachelors' degree,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Less-educ. Trump,85 percent or higher,Cell,1,0.965,1.1773,0.6893,1.1958
Und,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,0.5643,0.3017,0.5731
3,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Unfavorable,Unfavorable,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Kansas City,Less than 50 percent,Cell,1,0.4447,0.6113,1.0838,0.7053
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Kansas City,85 percent or higher,Cell,1,0.965,0.7842,0.4275,0.7965
Dem,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,50 to 85 percent,Cell,1,0.5776,1.5826,1.6628,1.6449
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Don't know,Reps. keep House,Don't know,Favorable,18 to 29,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,0.5567,0.3256,0.5686
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Less-educ. Trump,50 to 85 percent,Cell,1,0.6683,1.0834,0.9562,1.1094
Dem,18 to 34,Bachelors' degree,White,Male,White,Don't know,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Less-educ. Trump,Less than 50 percent,Cell,0.7778,0.2671,1.0828,2.6019,0.8688
Und,35 to 49,Graduate or Professional Degree,White,Male,White,Don't know,Don't know,Unfavorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Very likely,[DO NOT READ] Refused,"White, 4-Year College Grads",White,35 to 49,White,Less-educ. Trump,Less than 50 percent,Cell,0.6667,0.4459,0.8849,1.2204,0.8239
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,1.1531,0.5873,1.1712
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9218,0.716,0.3838,0.7303
Und,35 to 49,Some college or trade school,White,Male,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,35 to 49,White,Well-educ. Trump,Less than 50 percent,Cell,0.7778,0.4482,1.3446,2.5206,1.4377
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Don't know,Favorable,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown,Well-educ. Trump,Less than 50 percent,Cell,0.6667,0.2188,1.5249,4.4566,1.1194
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,Unknown,Less-educ. Trump,Less than 50 percent,Cell,1,0.4933,1.5763,1.9873,1.7821
Rep,65 and older,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Less-educ. Trump,85 percent or higher,Cell,1,0.965,1.7747,1.5289,1.8026
Dem,35 to 49,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,Unknown,Kansas City,50 to 85 percent,Cell,1,0.5939,0.9484,0.8639,1.0357
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9275,0.6684,0.4077,0.6813
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,35 to 49,Non-White,Clinton Precinct,85 percent or higher,Cell,1,0.9493,0.8168,0.5671,0.8307
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,0.9547,0.5708,0.9697
Und,18 to 34,Bachelors' degree,White,Female,White,Don't know,Don't know,Don't know,Don't know,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Well-educ. Trump,Less than 50 percent,Cell,0.3333,0.1455,1.0543,4.6176,0.5634
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Clinton Precinct,Less than 50 percent,Cell,1,0.2008,1.4198,4.9285,1.9508
Rep,35 to 49,Graduate or Professional Degree,White,Female,Other,Approve,Reps. keep House,Don't know,Favorable,30 to 44,Postgraduate Degree,Republican,Female,Very likely,or as a member of another political party,Nonwhite,Nonwhite,35 to 49,White,Clinton Precinct,Less than 50 percent,Cell,1,0.4468,0.8323,1.3942,0.8928
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Cell,1,0.965,1.3676,0.825,1.3891
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,50 to 85 percent,Cell,1,0.623,0.7669,0.6149,0.8305
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Female,White,Approve,Don't know,Don't know,Favorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,Non-White,Less-educ. Trump,50 to 85 percent,Cell,1,0.7935,0.8425,0.5954,0.8768
Rep,18 to 34,Some college or trade school,Asian,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,18 to 34,Non-White,Well-educ. Trump,Less than 50 percent,Cell,1,0.2123,1.0115,4.6794,1.3718
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Don't know,Don't know,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,35 to 49,White,Clinton Precinct,85 percent or higher,Cell,1,0.889,0.5556,0.2974,0.569
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Well-educ. Trump,85 percent or higher,Cell,1,0.965,1.5061,0.7951,1.5297
Dem,35 to 49,Some college or trade school,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,Unknown,Clinton Precinct,85 percent or higher,Cell,1,0.8538,1.0231,0.6506,1.0296
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Well-educ. Trump,85 percent or higher,Cell,1,0.9466,0.716,0.3737,0.7283
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Well-educ. Trump,50 to 85 percent,Landline,1,0.6891,1.2657,1.3703,1.2924
Rep,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Other,Male,Very likely,Republican,Nonwhite,Nonwhite,50 to 64,Non-White,Well-educ. Trump,Less than 50 percent,Cell,0.7778,0.2922,1.3576,3.9553,1.3752
Rep,18 to 34,High school,White,Male,White,Don't know,Don't know,Don't know,Favorable,18 to 29,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Less-educ. Trump,Less than 50 percent,Cell,0.4444,0.3103,1.9583,7.3672,1.2206
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Clinton Precinct,85 percent or higher,Landline,1,0.965,1.0716,0.54990000000000006,1.0885
Und,50 to 64,Some college or trade school,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Well-educ. Trump,85 percent or higher,Landline,0.8889,0.9197,0.9168,0.7086,0.913
