response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Und,35 to 49,High school,Black,Male,White,Approve,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,Black,South,Less than 50 percent,Cell,0,0.2809,1.2675,3.7182,0.3082
Rep,65 and older,Some college or trade school,Black,Female,White,Approve,Reps. keep House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,Black,South,50 to 85 percent,Cell,1,0.6217,0.8042,0.5694,0.8283
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,South,85 percent or higher,Cell,1,0.8887,0.7682,0.4374,0.7859
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.9179,0.983,0.4888,1.0018
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Charlottesville,85 percent or higher,Cell,1,0.9328,0.9142,0.409,0.9301
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Charlottesville,50 to 85 percent,Cell,1,0.7084,0.8056,0.4494,0.8524
Dem,65 and older,Grade school,Black,Male,Black,Disapp.,Dems. take House,Unfavorable,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Black,South,85 percent or higher,Landline,1,0.8717,1.5889,1.237,1.6295
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,North,85 percent or higher,Landline,1,0.9456,0.8787,0.4329,0.8927
Dem,65 and older,Some college or trade school,Black,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Very likely,Independent (No party),Nonwhite,65 and older,Black,Charlottesville,Less than 50 percent,Landline,0.8889,0.127,0.9251,2.9361,1.128
Dem,35 to 49,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",40 to 64,White,North,85 percent or higher,Landline,1,0.9111,1.0935,0.6166,1.0976
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,North,85 percent or higher,Landline,1,0.941,1.1968,0.5684,1.202
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Charlottesville,85 percent or higher,Landline,1,0.9595,0.7914,0.3206,0.8031
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Very likely,[DO NOT READ] Refused,"White, No 4-Year College Degree",65 and older,White,South,Less than 50 percent,Landline,1,0.483,0.8732,0.9887,0.926
Dem,65 and older,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,South,50 to 85 percent,Landline,1,0.7886,0.8042,0.4494,0.8367
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Landline,1,0.9303,0.804,0.3801,0.8072
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Charlottesville,85 percent or higher,Landline,1,0.965,0.9676,0.4045,0.9735
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,South,50 to 85 percent,Landline,1,0.8194,0.9283,0.4439,0.9603
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Landline,1,0.9409,0.7562,0.3595,0.7595
Dem,18 to 34,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,18 to 29,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",18 to 39,White,Charlottesville,50 to 85 percent,Landline,1,0.6395,2.0711,2.2826,2.2298
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Disapp.,Dems. take House,Favorable,Favorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,Unknown,Charlottesville,85 percent or higher,Cell,1,0.9241,0.8845,0.6459,0.9007
Rep,18 to 34,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,Some College Educ.,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",18 to 39,White,South,50 to 85 percent,Cell,1,0.5502,1.3495,1.3755,1.4086
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,18 to 29,4-year College Grad.,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",18 to 39,White,North,50 to 85 percent,Cell,1,0.7159,1.2548,0.8537,1.3614
Dem,65 and older,High school,White,Female,White,Disapp.,Don't know,Unfavorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Not very likely,Democrat,"White, No 4-Year College Degree",65 and older,White,South,50 to 85 percent,Cell,0,0.6933,1.1214,0.9391,0.5414
Dem,50 to 64,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Other,Female,Already voted,Independent (No party),Nonwhite,40 to 64,Black,Charlottesville,50 to 85 percent,Cell,1,0.703,1.3942,1.2222,1.5187
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,South,85 percent or higher,Cell,1,0.9388,1.5346,1.1468,1.5602
Und,65 and older,Graduate or Professional Degree,Hispanic,Male,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,Other Non-White,South,50 to 85 percent,Cell,1,0.7791,0.6111,0.3458,0.6369
Dem,35 to 49,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.9332,1.1356,0.5966,1.1553
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Don't know,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,North,50 to 85 percent,Cell,1,0.7711,1.5224,1.0669,1.5893
Dem,35 to 49,Graduate or Professional Degree,Other,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,40 to 64,Other Non-White,Charlottesville,85 percent or higher,Cell,1,0.9177,0.8653,0.5242,0.8819
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,North,Less than 50 percent,Cell,1,0.4713,0.8587,1.003,0.9783
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,South,85 percent or higher,Landline,1,0.9365,1.5696,1.133,1.5962
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,South,Less than 50 percent,Cell,1,0.3058,0.617,1.0523,0.6989
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Landline,1,0.956,0.6546,0.2854,0.6645
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,South,85 percent or higher,Cell,1,0.9469,0.7826,0.3708,0.795
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.9572,0.965,0.5194,0.9795
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",40 to 64,White,South,85 percent or higher,Cell,1,0.9352,0.7682,0.4158,0.7814
Dem,65 and older,Some college or trade school,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Other Non-White,South,50 to 85 percent,Landline,1,0.6027,0.7487,0.5328,0.8145
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,South,Less than 50 percent,Cell,1,0.4981,0.7376,0.8335,0.8314
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Landline,1,0.9069,0.7703,0.3367,0.7732
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Charlottesville,85 percent or higher,Landline,1,0.9619,0.8223,0.3624,0.8343
Und,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,South,50 to 85 percent,Landline,1,0.5168,0.9178,0.8358,1.0271
Und,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Don't know,Favorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,South,85 percent or higher,Cell,1,0.9323,0.665,0.3363,0.6766
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,North,Less than 50 percent,Landline,1,0.3789,0.8248,1.1697,0.9822
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",40 to 64,White,North,50 to 85 percent,Landline,1,0.7494,0.8669,0.5359,0.878
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,White,Charlottesville,50 to 85 percent,Landline,1,0.7244,0.6974,0.3544,0.7352
Und,35 to 49,High school,White,Female,White,Don't know,Don't know,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Not very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,South,Less than 50 percent,Cell,0,0.3574,1.0839,2.3154,0.3643
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",40 to 64,White,South,85 percent or higher,Landline,1,0.9521,0.691,0.3732,0.6944
Dem,18 to 34,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 39,Black,Charlottesville,50 to 85 percent,Cell,1,0.7708,1.4854,1.0292,1.5507
Rep,50 to 64,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,Charlottesville,50 to 85 percent,Landline,1,0.5217,1.3772,1.6193,1.5386
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,Black,Female,[DO NOT READ] Don't know/Refused,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,[DO NOT READ] Don't know/Refused,Democratic,Female,Almost certain,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,40 to 64,Black,South,85 percent or higher,Cell,0.4444,0.8745,1.0863,0.9363,1.0433
Dem,50 to 64,Bachelors' degree,White,Female,White,Don't know,Don't know,Favorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,South,50 to 85 percent,Landline,1,0.8007,0.6711,0.3788,0.6966
Rep,50 to 64,Bachelors' degree,Black,Female,Other,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,Black,South,Less than 50 percent,Landline,1,0.265,0.6464,1.2808,0.832
Dem,50 to 64,High school,Black,Female,Black,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,40 to 64,Black,South,85 percent or higher,Landline,1,0.8922,1.3973,1.12,1.4027
Rep,65 and older,Bachelors' degree,Unknown,Male,Other,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),Nonwhite,65 and older,Unknown,South,85 percent or higher,Landline,1,0.9556,0.8157,0.4758,0.828
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",40 to 64,White,North,50 to 85 percent,Landline,1,0.6215,0.9025,0.6884,0.9765
Rep,65 and older,High school,Unknown,Male,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown,South,Less than 50 percent,Landline,0.4444,0.3235,1.1297,3.3168,0.7069
Dem,35 to 49,Some college or trade school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Unfavorable,30 to 44,Some College Educ.,Other,Female,Somewhat likely,Democrat,Nonwhite,40 to 64,Black,South,50 to 85 percent,Landline,0.7778,0.6387,0.817,0.6375,0.6951
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,Postgraduate Degree,Other,Female,Already voted,[DO NOT READ] Refused,"White, 4-Year College Grads",65 and older,White,Charlottesville,50 to 85 percent,Landline,1,0.6057,0.6787,0.4379,0.7647
Dem,65 and older,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Other,Female,Very likely,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,South,50 to 85 percent,Landline,1,0.5807,0.7282,0.7201,0.7555
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",40 to 64,White,Charlottesville,50 to 85 percent,Cell,1,0.8051,0.8527,0.4048,0.8843
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Cell,1,0.9502,0.7703,0.3214,0.7823
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Charlottesville,85 percent or higher,Landline,1,0.9506,1.1179,0.5093,1.1352
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,South,85 percent or higher,Cell,1,0.9319,0.9264,0.4332,0.9426
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Unknown,North,85 percent or higher,Landline,1,0.9043,0.7082,0.5035,0.723
Rep,50 to 64,High school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,North,50 to 85 percent,Cell,1,0.7959,1.4716,1.2484,1.5288
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,South,85 percent or higher,Cell,1,0.9488,0.8004,0.3647,0.813
Und,65 and older,High school,Black,Female,Black,Disapp.,Dems. take House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Almost certain,Democrat,Nonwhite,65 and older,Black,South,50 to 85 percent,Landline,1,0.5101,1.1352,1.2966,1.2736
Dem,50 to 64,High school,White,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Democrat,Nonwhite,40 to 64,White,South,85 percent or higher,Landline,1,0.898,1.5346,1.1988,1.5679
Dem,35 to 49,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Very likely,Democrat,Nonwhite,40 to 64,Black,Charlottesville,Less than 50 percent,Cell,1,0.4761,1.0856,1.3236,1.1535
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,North,85 percent or higher,Landline,1,0.9185,1.0764,0.5318,1.0969
Rep,[DO NOT READ] Refused,High school,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",40 to 64,White,South,85 percent or higher,Landline,1,0.8808,1.3284,0.9845,1.3605
Dem,50 to 64,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,Nonwhite,40 to 64,White,Charlottesville,50 to 85 percent,Cell,1,0.5099,0.8113,0.6695,0.9103
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,40 to 64,Black,South,50 to 85 percent,Cell,1,0.7149,0.9438,0.7071,0.9972
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,North,85 percent or higher,Landline,1,0.8552,0.7606,0.3856,0.782
Rep,35 to 49,Bachelors' degree,White,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,Nonwhite,18 to 39,White,South,50 to 85 percent,Cell,1,0.5232,0.9713,0.8802,1.0845
Dem,35 to 49,Bachelors' degree,Black,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",40 to 64,Black,Charlottesville,50 to 85 percent,Cell,1,0.83,0.9972,0.4952,1.0296
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,North,85 percent or higher,Landline,1,0.9291,0.8614,0.3509,0.8767
Dem,65 and older,High school,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,65 and older,High School Grad. or Less,Other,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,South,Less than 50 percent,Cell,1,0.4981,1.0669,1.4446,1.1271
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,White,Charlottesville,50 to 85 percent,Cell,1,0.7683,0.7986,0.3872,0.8342
Dem,18 to 34,Bachelors' degree,Asian,Male,Asian,Disapp.,Dems. take House,Favorable,Unfavorable,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,18 to 39,Other Non-White,Charlottesville,50 to 85 percent,Landline,1,0.6508,1.2639,1.0882,1.3566
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",40 to 64,White,Charlottesville,85 percent or higher,Cell,1,0.965,0.965,0.5152,0.979
Dem,50 to 64,Graduate or Professional Degree,White,Female,Other,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,40 to 64,White,Charlottesville,85 percent or higher,Landline,1,0.9018,0.8354,0.4442,0.8531
Dem,65 and older,Bachelors' degree,Hispanic,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Other Non-White,South,50 to 85 percent,Landline,1,0.5808,0.6225,0.418,0.6818
