response,ager,educ,file_race,gender,race_eth,ACHA,APPKAV,approve,genballot,hdem_fav,HEALTH,hrep_fav,SINGLEPAY,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,Other,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,Non-White,Rest of Douglas,50 to 85 percent,Cell,1,0.8076,1.529,1.3409,1.5941,2018-09-23 19:12:21
Und,50 to 64,High school,White,Female,White,Oppose,support,Don't know,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Sarpy,85 percent or higher,Cell,1,0.9576,1.4296,1.2785,1.4593,2018-09-23 19:16:06
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Favorable,Don't know,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,Unknown,Rest of Douglas,85 percent or higher,Cell,1,0.9333,0.7469,0.4586,0.7543,2018-09-23 19:22:57
Rep,65 and older,High school,White,Male,White,Oppose,Don't know,Approve,Reps. keep House,Don't know,Yes,Favorable,Support,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Sarpy,85 percent or higher,Cell,1,0.9822,1.3788,1.2272,1.4058,2018-09-23 19:25:30
Rep,65 and older,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Oppose,65 and older,4-year College Grad.,Other,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,"Omaha, Trump",85 percent or higher,Cell,1,0.8895,0.9989,0.5452,1.0086,2018-09-23 19:27:36
Dem,18 to 34,Bachelors' degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Support,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Clinton",85 percent or higher,Cell,0.7778,0.9515,1.1343,0.7576,1.1459,2018-09-23 19:35:34
Dem,18 to 34,Bachelors' degree,Hispanic,Male,Hispanic,Don't know,Don't know,Don't know,Don't know,Favorable,No,Unfavorable,Don't know,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,Non-White,"Omaha, Clinton",50 to 85 percent,Cell,0.8889,0.84,1.2343,0.8752,1.2297,2018-09-23 19:35:43
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Rest of Douglas,50 to 85 percent,Cell,1,0.8004,1.0183,0.7244,1.063,2018-09-23 19:43:04
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,18 to 34,White,Rest of Douglas,85 percent or higher,Cell,1,0.9419,0.9811,0.6687,1.0029,2018-09-23 19:45:10
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Rest of Douglas,85 percent or higher,Cell,1,0.9455,0.911,0.4922,0.9309,2018-09-23 19:52:44
Rep,50 to 64,Bachelors' degree,White,Female,White,Support,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Support,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Sarpy,50 to 85 percent,Cell,1,0.7746,1.0083,0.727,1.0578,2018-09-23 19:52:53
Dem,35 to 49,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Trump",85 percent or higher,Cell,1,0.9683,0.941,0.5038,0.9599,2018-09-23 19:53:20
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,Don't know,Disapp.,Dems. take House,Don't know,Yes,Unfavorable,Oppose,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Trump",85 percent or higher,Cell,1,0.996,0.9161,0.4396,0.9349,2018-09-23 20:01:17
Und,[DO NOT READ] Refused,Some college or trade school,White,Female,[DO NOT READ] Don't know/Refused,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Don't know,Support,45 to 64,Some College Educ.,Democratic,Female,Not very likely,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,50 to 64,White,"Omaha, Clinton",50 to 85 percent,Cell,0.2222,0.6142,0.8685,0.765,0.4557,2018-09-23 20:06:58
Rep,18 to 34,Bachelors' degree,White,Female,White,Oppose,Don't know,Disapp.,Don't know,Don't know,No,Favorable,Support,18 to 29,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Trump",Less than 50 percent,Cell,0.7778,0.3622,0.9241,1.5941,1.0222,2018-09-23 20:12:31
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Trump",50 to 85 percent,Cell,1,0.8355,0.7671,0.4551,0.7958,2018-09-23 20:21:37
Dem,65 and older,High school,White,Female,White,Oppose,Don't know,Don't know,Don't know,Favorable,Yes,Unfavorable,Support,65 and older,High School Grad. or Less,Democratic,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.8768,1.1239,0.9317,1.0835,2018-09-23 20:22:13
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Unfavorable,No,Unfavorable,Oppose,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,"Omaha, Trump",85 percent or higher,Landline,1,0.994,0.71,0.3423,0.7243,2018-09-23 20:23:52
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,support,Disapp.,Dems. take House,Favorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest of Douglas,85 percent or higher,Landline,1,0.9959,0.847,0.4036,0.8644,2018-09-23 20:33:25
Und,65 and older,Some college or trade school,Unknown,Female,White,Support,Don't know,Approve,Don't know,Unfavorable,Yes,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,Unknown,"Omaha, Trump",85 percent or higher,Landline,1,0.9264,0.6804,0.4435,0.6967,2018-09-23 20:50:38
Rep,65 and older,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest of Douglas,85 percent or higher,Cell,1,0.8858,1.1612,0.8715,1.1726,2018-09-23 20:54:41
Dem,18 to 34,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9942,0.8195,0.5452,0.834,2018-09-23 20:55:08
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Oppose,support,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Rest of Douglas,85 percent or higher,Cell,1,0.9965,0.6911,0.3434,0.7053,2018-09-23 20:56:47
Und,18 to 34,Bachelors' degree,White,Male,White,Oppose,support,Approve,Don't know,Don't know,No,Unfavorable,Support,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Clinton",Less than 50 percent,Cell,0.3333,0.4318,1.0242,1.4269,0.6217,2018-09-23 20:58:26
Und,18 to 34,Bachelors' degree,White,Male,Hispanic,Don't know,Don't know,Approve,Don't know,Don't know,No,Don't know,Support,30 to 44,4-year College Grad.,Other,Male,Not at all likely,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,"Omaha, Trump",Less than 50 percent,Cell,0.1111,0.157,1.0346,4.0438,0.2557,2018-09-23 20:58:35
Rep,35 to 49,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest of Douglas,Less than 50 percent,Cell,1,0.3893,1.2214,2.0626,1.3414,2018-09-23 21:06:33
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9893,0.838,0.4153,0.8546,2018-09-23 21:06:33
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,oppose,Don't know,Dems. take House,Don't know,Yes,Favorable,Oppose,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.9904,0.8561,0.4803,0.873,2018-09-23 21:13:54
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Support,Don't know,Disapp.,Don't know,Don't know,Yes,Favorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9794,0.7029,0.3372,0.7166,2018-09-23 21:20:30
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Don't know,No,Unfavorable,Don't know,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Trump",85 percent or higher,Landline,1,0.879,1.0357,0.5603,1.0671,2018-09-23 21:26:48
Rep,65 and older,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Support,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,"Omaha, Trump",85 percent or higher,Landline,1,0.9895,1.1544,0.6487,1.1772,2018-09-23 21:29:57
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,support,Approve,Reps. keep House,Unfavorable,No,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,"Omaha, Clinton",50 to 85 percent,Cell,1,0.8202,0.9723,0.6299,0.9846,2018-09-23 21:34:58
Rep,65 and older,High school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Trump",85 percent or higher,Cell,1,0.9851,1.4832,1.2722,1.5123,2018-09-23 21:34:58
Rep,[DO NOT READ] Refused,Some college or trade school,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Don't know,Favorable,Oppose,65 and older,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Trump",85 percent or higher,Landline,1,0.951,1.0896,0.7556,1.1012,2018-09-23 21:54:26
Rep,65 and older,High school,White,Male,White,Oppose,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.9617,1.4684,1.2647,1.4852,2018-09-23 22:01:46
Rep,18 to 34,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Support,30 to 44,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,"Omaha, Clinton",50 to 85 percent,Landline,1,0.6851,1.1507,1.0392,1.1808,2018-09-23 22:03:25
Dem,35 to 49,Bachelors' degree,Asian,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,Non-White,Sarpy,85 percent or higher,Landline,1,0.9914,1.0951,0.6617,1.1134,2018-09-23 22:05:49
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,support,Approve,Don't know,Don't know,No,Don't know,Support,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,50 to 64,White,Rest of Douglas,85 percent or higher,Landline,1,0.9956,0.9215,0.529,0.9385,2018-09-23 22:09:34
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,"Omaha, Trump",85 percent or higher,Landline,1,0.9709,0.6006,0.303,0.6125,2018-09-23 22:11:04
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Sarpy,85 percent or higher,Landline,1,0.9965,0.7389,0.3611,0.7541,2018-09-23 22:15:31
Rep,65 and older,High school,White,Female,White,Oppose,support,Approve,Reps. keep House,Don't know,Yes,Favorable,Don't know,65 and older,High School Grad. or Less,Republican,Female,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",White,65 and older,White,Sarpy,85 percent or higher,Landline,1,0.8862,1.2316,1.237,1.1649,2018-09-23 22:17:10
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Oppose,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,"Omaha, Trump",85 percent or higher,Landline,0.8889,0.9849,0.7568,0.4379,0.7563,2018-09-23 22:18:31
Rep,65 and older,Some college or trade school,White,Female,Hispanic,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,Nonwhite,65 and older,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.9584,0.9636,0.6618,0.9835,2018-09-23 22:21:13
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Female,White,Don't know,Don't know,Disapp.,Don't know,Favorable,No,Unfavorable,Don't know,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,"Omaha, Trump",85 percent or higher,Landline,1,0.9957,0.5792,0.2909,0.5911,2018-09-23 22:22:43
Rep,65 and older,High school,White,Female,White,Oppose,support,Approve,Reps. keep House,Favorable,No,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Trump",85 percent or higher,Landline,1,0.9918,1.3249,1.1492,1.3513,2018-09-23 22:27:31
Rep,65 and older,Some college or trade school,White,Female,White,Oppose,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",White,65 and older,White,Rest of Douglas,50 to 85 percent,Landline,0.7778,0.8078,1.0523,0.8584,1.0277,2018-09-23 22:31:16
Rep,65 and older,High school,White,Female,White,Support,Don't know,Approve,Reps. keep House,Favorable,No,Favorable,Don't know,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Rest of Douglas,85 percent or higher,Landline,0.7778,0.9548,1.2098,0.9471,1.2068,2018-09-23 22:36:13
Rep,65 and older,Bachelors' degree,White,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Favorable,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest of Douglas,85 percent or higher,Landline,0.8889,0.9944,0.9416,0.4658,0.957,2018-09-23 22:53:19
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.9982,0.8257,0.4693,0.8431,2018-09-23 22:56:01
Dem,65 and older,High school,White,Female,White,Oppose,oppose,Disapp.,Don't know,Unfavorable,No,Unfavorable,Support,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Landline,0.4444,0.9887,1.1239,0.8262,1.1236,2018-09-23 23:30:20
Rep,65 and older,Bachelors' degree,Unknown,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,"Omaha, Trump",85 percent or higher,Landline,1,0.995,0.8413,0.4994,0.8584,2018-09-23 23:30:37
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Support,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,"Omaha, Trump",85 percent or higher,Landline,1,0.9935,0.5792,0.2915,0.5909,2018-09-23 23:43:04
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,support,Don't know,Reps. keep House,Don't know,No,Favorable,Support,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Sarpy,85 percent or higher,Landline,1,0.9788,0.9586,0.5736,0.9774,2018-09-23 23:43:49
Rep,65 and older,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Oppose,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Rest of Douglas,85 percent or higher,Landline,1,0.9938,1.0373000000000001,0.7065,1.0581,2018-09-23 23:50:52
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Oppose,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest of Douglas,85 percent or higher,Landline,1,0.926,0.883,0.5346,0.8915,2018-09-23 23:59:25
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Rest of Douglas,85 percent or higher,Landline,1,0.9931,0.7845,0.3739,0.8002,2018-09-24 00:08:28
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,4-year College Grad.,Republican,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.9733,1.0209,0.5821,1.041,2018-09-24 00:41:13
Und,65 and older,Bachelors' degree,Unknown,Male,White,Oppose,support,Approve,Reps. keep House,Don't know,No,Don't know,Support,65 and older,4-year College Grad.,Republican,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,"Omaha, Trump",50 to 85 percent,Landline,0.7778,0.821,0.9555,0.6573,0.8651,2018-09-24 00:54:56
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.9861,0.8257,0.475,0.8419,2018-09-24 00:56:08
Dem,65 and older,Bachelors' degree,White,Male,White,Oppose,Don't know,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest of Douglas,85 percent or higher,Landline,1,0.9973,1.0541,0.5106,1.0761,2018-09-24 01:06:33
Rep,65 and older,Some college or trade school,White,Female,White,Support,support,Approve,Reps. keep House,Unfavorable,Yes,Favorable,Don't know,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,"Omaha, Trump",85 percent or higher,Landline,1,0.9701,0.9733,0.6737,0.9927,2018-09-24 01:16:47
Und,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Don't know,Don't know,Disapp.,Don't know,Don't know,No,Don't know,Don't know,45 to 64,4-year College Grad.,Other,Female,Not very likely,[DO NOT READ] Refused,Nonwhite,Nonwhite,35 to 49,Non-White,"Omaha, Clinton",Less than 50 percent,Landline,0,0.3196,1.229,2.3975,0.4012,2018-09-24 01:17:23
Dem,35 to 49,Graduate or Professional Degree,Unknown,Male,White,Support,support,Don't know,Reps. keep House,Don't know,No,Unfavorable,Support,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,Unknown,"Omaha, Clinton",85 percent or higher,Cell,0.7778,0.8777,0.798,0.5397,0.7847,2018-09-24 01:37:31
Dem,65 and older,Bachelors' degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,No,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Clinton",85 percent or higher,Landline,1,0.9964,0.9069,0.4265,0.924,2018-09-24 01:41:25
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,oppose,Disapp.,Dems. take House,Favorable,Yes,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Trump",50 to 85 percent,Cell,1,0.8135,0.7468,0.4195,0.7777,2018-09-24 01:41:34
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,support,Approve,Reps. keep House,Unfavorable,No,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,"Omaha, Clinton",85 percent or higher,Cell,1,0.9901,1.0584,0.5812,1.0794,2018-09-24 01:44:59
