response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,educ3,file_race_hisp,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Some college or trade school,White,Female,White,NA,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9817,1.5448,0.9582,1.5457,2018-09-19 02:57:21
Dem,65 and older,Bachelors' degree,White,Female,White,NA,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Orange,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.98740000000000006,1.1846,0.6377,1.1853,2018-09-19 02:57:57
Dem,65 and older,Bachelors' degree,White,Female,White,NA,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Orange,65 and older,4-year College Grad.,White,Less than 50 percent,Cell,0.8889,0.4741,1.6554,1.9884,1.7978,2018-09-19 02:58:15
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,NA,Disapp.,Reps. keep House,Don't know,Favorable,Support,Don't know,Support,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Republican,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,Unknown,85 percent or higher,Cell,1,0.8532,0.6737,0.627,0.684,2018-09-19 02:58:42
Rep,65 and older,Bachelors' degree,White,Female,White,NA,Approve,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Orange,65 and older,4-year College Grad.,White,50 to 85 percent,Cell,1,0.8385,2.0063,1.4647,2.0417,2018-09-19 03:00:57
Dem,50 to 64,Some college or trade school,White,Female,White,NA,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9514,0.8723,0.4915,0.8743,2018-09-19 03:05:04
Dem,65 and older,Some college or trade school,White,Male,White,NA,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9729,0.9427,0.5367,0.9369,2018-09-19 03:05:58
Und,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,NA,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,30 to 44,Postgraduate Degree,Other,Female,[DO NOT READ] Don't know/Refused,Independent (No party),Nonwhite,Orange,35 to 49,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.7477,1.053,0.8611,0.9378,2018-09-19 03:16:34
Rep,65 and older,Graduate or Professional Degree,White,Male,White,NA,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Oppose,agree,65 and older,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9744,0.7654,0.4919,0.7609,2018-09-19 03:19:16
Dem,50 to 64,Bachelors' degree,Unknown,Female,White,NA,Disapp.,Dems. take House,Favorable,Don't know,Oppose,Don't know,Oppose,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,Unknown,85 percent or higher,Landline,1,0.9509,1.1776,0.927,1.1803,2018-09-19 03:19:34
Dem,65 and older,Some college or trade school,White,Male,White,NA,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9826,0.9427,0.5313,0.9433,2018-09-19 03:21:49
Dem,18 to 34,Some college or trade school,White,Male,White,NA,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9819,0.6053,0.4028,0.6057,2018-09-19 03:24:13
Dem,35 to 49,Graduate or Professional Degree,White,Female,Hispanic,NA,Disapp.,Dems. take House,Don't know,Don't know,Don't know,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,San Diego,35 to 49,Postgraduate Degree,White,50 to 85 percent,Cell,0.6667,0.7587,1.0576,0.886,1.033,2018-09-19 03:27:40
Rep,65 and older,Some college or trade school,White,Male,White,NA,Approve,Reps. keep House,Favorable,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Landline,1,0.9751,1.2797,0.7878,1.2806,2018-09-19 03:31:49
Dem,65 and older,Graduate or Professional Degree,White,Female,Black,NA,Disapp.,Dems. take House,Unfavorable,Unfavorable,Don't know,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.8726,0.6807,0.4572,0.6889,2018-09-19 03:49:21
Dem,50 to 64,Some college or trade school,White,Male,White,NA,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",Orange,50 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9357,0.7194,0.3909,0.7131,2018-09-19 03:51:18
Und,18 to 34,Graduate or Professional Degree,White,Female,Hispanic,NA,Disapp.,Dems. take House,Unfavorable,Unfavorable,Oppose,Oppose,Don't know,disagree,18 to 29,Postgraduate Degree,Democratic,Female,Very likely,Democrat,Nonwhite,San Diego,18 to 34,Postgraduate Degree,White,85 percent or higher,Cell,1,0.8582,0.437,0.3522,0.4335,2018-09-19 03:51:27
Dem,18 to 34,High school,Hispanic,Male,Asian,NA,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,18 to 29,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,San Diego,18 to 34,No 4-year College Degree,Hispanic,85 percent or higher,Cell,1,0.8853,0.58,0.8955,0.5859,2018-09-19 03:57:54
Dem,50 to 64,Some college or trade school,White,Male,White,NA,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,Less than 50 percent,Cell,0.6667,0.4934,1.129,1.3521,0.8623,2018-09-19 03:59:06
Rep,65 and older,Bachelors' degree,White,Male,White,NA,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,Don't know,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9793,1.3377,0.8065,1.3309,2018-09-19 04:00:54
Rep,65 and older,Some college or trade school,White,Female,White,NA,Approve,Reps. keep House,Don't know,Favorable,Oppose,Don't know,Don't know,agree,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9647,1.5448,0.9752,1.5339,2018-09-19 04:01:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,NA,Disapp.,Dems. take House,Favorable,Don't know,Support,Support,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),Nonwhite,San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.966,0.5217,0.302,0.5223,2018-09-19 04:08:12
Rep,50 to 64,Grade school,White,Male,White,NA,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,High School Grad. or Less,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Orange,50 to 64,No 4-year College Degree,White,85 percent or higher,Cell,1,0.8595,0.9766,1.6222,0.9904,2018-09-19 04:09:33
Dem,18 to 34,Bachelors' degree,Asian,Male,Other,NA,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,San Diego,18 to 34,4-year College Grad.,Other Non-White,85 percent or higher,Cell,1,0.8853,0.6753,0.4721,0.6822,2018-09-19 04:12:06
Rep,35 to 49,Graduate or Professional Degree,White,Male,Hispanic,NA,Approve,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,agree,30 to 44,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),Nonwhite,San Diego,35 to 49,Postgraduate Degree,White,85 percent or higher,Cell,0.7778,0.8953,0.8524,0.5831,0.8246,2018-09-19 04:19:06
Dem,65 and older,Bachelors' degree,White,Male,White,NA,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Cell,0.8889,0.8725,0.9855,0.6153,0.9644,2018-09-19 04:19:15
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,NA,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.983,0.5866,0.3566,0.587,2018-09-19 04:19:24
Rep,18 to 34,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Unfavorable,Don't know,Support,Oppose,Oppose,agree,30 to 44,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",Orange,18 to 34,4-year College Grad.,White,50 to 85 percent,Cell,0.4444,0.7867,1.0611,0.9381,0.8321,2018-09-19 22:48:17
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Don't know,Oppose,Oppose,disagree,65 and older,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9517,1.0541,0.6402,1.0564,2018-09-19 22:56:41
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",San Diego,65 and older,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9381,0.7654,0.511,0.7681,2018-09-19 23:07:49
Dem,50 to 64,Bachelors' degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Support,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,0.8889,0.9691,0.8446,0.4728,0.8423,2018-09-19 23:10:22
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Don't know,Support,Support,Support,agree,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",San Diego,35 to 49,No 4-year College Degree,White,Less than 50 percent,Cell,0.7778,0.2473,1.6405,4.018,1.2979,2018-09-19 23:26:38
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,Unknown,85 percent or higher,Cell,1,0.9086,0.4991,0.412,0.5026,2018-09-19 23:41:28
Dem,50 to 64,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",Orange,50 to 64,Postgraduate Degree,Unknown,85 percent or higher,Cell,1,0.9459,0.497,0.379,0.4928,2018-09-19 23:50:14
Rep,18 to 34,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,18 to 29,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",San Diego,18 to 34,Postgraduate Degree,White,50 to 85 percent,Cell,1,0.7988,0.6132,0.6026,0.6284,2018-09-20 00:26:43
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,support,Disapp.,Dems. take House,Unfavorable,Unfavorable,Don't know,Support,Oppose,disagree,18 to 29,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,White,85 percent or higher,Cell,1,0.8788,0.7307,0.5512,0.7243,2018-09-20 00:32:38
Dem,35 to 49,Some college or trade school,White,Male,White,Don't know,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Some College Educ.,Democratic,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",San Diego,35 to 49,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9268,1.0499,0.6135,1.0404,2018-09-20 00:36:39
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,35 to 49,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9066,0.8476,0.5593,0.8538,2018-09-20 00:41:47
Dem,65 and older,Grade school,Hispanic,Male,Hispanic,Don't know,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,Don't know,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,San Diego,65 and older,No 4-year College Degree,Hispanic,85 percent or higher,Cell,0.7778,0.9748,0.9033,1.0736,0.8978,2018-09-20 00:59:35
Rep,35 to 49,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Support,Support,Support,agree,30 to 44,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",San Diego,35 to 49,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9475,1.7205,1.0814,1.7061,2018-09-20 01:01:50
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,35 to 49,4-year College Grad.,Unknown,85 percent or higher,Cell,1,0.9437,1.2677,0.9735,1.2715,2018-09-20 01:12:33
Rep,50 to 64,High school,Hispanic,Male,Hispanic,support,Disapp.,Reps. keep House,Don't know,Don't know,Support,Oppose,Oppose,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Republican,Nonwhite,San Diego,50 to 64,No 4-year College Degree,Hispanic,85 percent or higher,Cell,0.7778,0.9287,0.7741,0.9618,0.7667,2018-09-20 01:14:48
Rep,35 to 49,Graduate or Professional Degree,Unknown,Male,Asian,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,or as a member of another political party,Nonwhite,San Diego,35 to 49,Postgraduate Degree,Unknown,85 percent or higher,Cell,1,0.8865,0.811,0.7338,0.8191,2018-09-20 01:15:33
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9948,0.5217,0.2933,0.5224,2018-09-20 01:15:42
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,Postgraduate Degree,White,85 percent or higher,Cell,1,0.9422,0.4322,0.2529,0.4284,2018-09-20 01:16:00
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",San Diego,50 to 64,4-year College Grad.,White,85 percent or higher,Cell,1,0.9655,0.9118,0.498,0.9055,2018-09-20 01:18:56
Dem,65 and older,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",San Diego,65 and older,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9826,0.9427,0.5313,0.9433,2018-09-20 01:32:44
Dem,18 to 34,Some college or trade school,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Don't know,Oppose,Don't know,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.4321,1.0212,1.6784,1.0847,2018-09-20 01:33:01
Rep,35 to 49,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Oppose,Support,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",San Diego,35 to 49,No 4-year College Degree,White,85 percent or higher,Cell,1,0.9326,1.4252,0.8971,1.4311,2018-09-20 01:36:19
Rep,[DO NOT READ] Refused,High school,White,Male,White,support,Approve,Reps. keep House,Favorable,Favorable,Support,Support,Support,agree,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",San Diego,50 to 64,No 4-year College Degree,White,85 percent or higher,Cell,0.8889,0.9289,0.8079,1.2429,0.8062,2018-09-20 01:39:18
Dem,35 to 49,High school,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,Don't know,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,Nonwhite,San Diego,35 to 49,No 4-year College Degree,Hispanic,Less than 50 percent,Cell,0.7778,0.3651,1.4059,4.675,1.5245,2018-09-20 01:42:18
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Orange,50 to 64,Postgraduate Degree,Unknown,85 percent or higher,Cell,1,0.9801,0.6,0.448,0.6003,2018-09-20 01:46:38
Dem,65 and older,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",San Diego,65 and older,4-year College Grad.,White,85 percent or higher,Cell,1,0.9695,1.1897,0.6781,1.1908,2018-09-20 01:49:20
Rep,50 to 64,Bachelors' degree,Unknown,Female,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Don't know,agree,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,[DO NOT READ] Don't know/Refused,San Diego,50 to 64,4-year College Grad.,Unknown,85 percent or higher,Landline,1,0.9471,1.4296,1.1735,1.4176,2018-09-20 01:50:32
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",San Diego,18 to 34,No 4-year College Degree,White,Less than 50 percent,Cell,1,0.1879,1.1483,4.6369,1.5797,2018-09-20 01:51:53
Rep,50 to 64,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Support,Support,agree,45 to 64,[DO NOT READ] Don't know/Refused,Other,Male,Somewhat likely,Independent (No party),[DO NOT READ] Don't know/Refused,San Diego,50 to 64,[DO NOT READ] Don't know/Refused,White,85 percent or higher,Landline,0.7778,0.958,0.6292,0.4782,0.5991,2018-09-20 01:56:14
Rep,35 to 49,Graduate or Professional Degree,Asian,Female,Asian,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,Orange,35 to 49,Postgraduate Degree,Other Non-White,50 to 85 percent,Cell,1,0.8337,1.3644,1.0007,1.3549,2018-09-20 02:00:17
Dem,65 and older,Bachelors' degree,Hispanic,Male,Hispanic,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Don't know,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Orange,65 and older,4-year College Grad.,Hispanic,85 percent or higher,Cell,1,0.9831,0.9402,0.4046,0.9408,2018-09-20 02:00:56
Dem,35 to 49,Some college or trade school,Asian,Female,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",San Diego,35 to 49,No 4-year College Degree,Other Non-White,85 percent or higher,Landline,1,0.9599,1.3527,0.7456,1.3548,2018-09-20 02:02:35
