response,ager,educ,file_race,gender,race_eth,approve,COLLUDE,CRIMES,DEMIMPEACH,genballot,hdem_fav,hrep_fav,MUELLER,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,region,age_combinedb,file_race_black,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,65 and older,Some college or trade school,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Some College Educ.,Republican,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Cell,1,0.9102,0.9712,0.4319,0.9954,2018-09-10 20:20:54
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Cell,1,0.9891,0.6079,0.2504,0.5989,2018-09-10 20:16:51
Und,50 to 64,Bachelors' degree,Other,Male,White,Approve,Don't know,Don't know,agree,Reps. keep House,Don't know,Don't know,Don't know,18 to 29,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,18 to 34,Other Non-White,Less than 50 percent,Cell,1,0.494,1.8482,2.8576,2.0961,2018-09-10 20:18:39
Rep,65 and older,Some college or trade school,White,Male,White,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Oppose,65 and older,Some College Educ.,Republican,Male,Somewhat likely,Republican,"White, No 4-Year College Degree",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9775,0.7254,0.2507,0.7238,2018-09-10 20:22:33
Rep,35 to 49,Bachelors' degree,Black,Male,White,Approve,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,18 to 34,Black,Less than 50 percent,Cell,1,0.2301,2.3815,8.2941,3.1807,2018-09-10 20:26:18
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9791,0.4784,0.1554,0.4873,2018-09-10 20:30:03
Rep,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Chesterfield,50 to 64,Unknown,85 percent or higher,Cell,1,0.8869,0.6868,0.3936,0.7061,2018-09-10 20:19:33
Dem,65 and older,Graduate or Professional Degree,White,Male,Black,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Henrico,65 and older,White,50 to 85 percent,Landline,1,0.8004,0.4745,0.1548,0.4949,2018-09-10 20:21:30
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,50 to 64,White,85 percent or higher,Landline,1,0.9689,0.4835,0.2317,0.4926,2018-09-10 20:23:36
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,65 and older,Unknown,85 percent or higher,Cell,1,0.9699,0.4708,0.1609,0.4796,2018-09-10 20:24:21
Rep,65 and older,High school,White,Female,Hispanic,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Don't know,Oppose,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,Nonwhite,Rest,65 and older,White,50 to 85 percent,Landline,0.8889,0.79,1.5811,1.4367,1.628,2018-09-10 20:30:57
Dem,35 to 49,Graduate or Professional Degree,White,Male,Black,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Don't know,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Chesterfield,35 to 49,White,85 percent or higher,Cell,1,0.9264,0.599,0.3123,0.6126,2018-09-10 20:29:27
Rep,65 and older,High school,White,Female,White,Approve,agree,disagree,disagree,Reps. keep House,Favorable,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Landline,1,0.9359,1.5129,1.5115,1.5263,2018-09-10 20:24:30
Und,65 and older,Some college or trade school,Black,Male,White,Approve,agree,disagree,disagree,Don't know,Favorable,Favorable,Oppose,30 to 44,Some College Educ.,Other,Female,Not very likely,Republican,"White, No 4-Year College Degree",Henrico,35 to 49,Black,Less than 50 percent,Landline,0.3333,0.3165,1.1743,2.5752,0.5293,2018-09-10 20:21:03
Und,50 to 64,Bachelors' degree,Black,Female,Black,Disapp.,agree,Don't know,agree,Dems. take House,Unfavorable,Don't know,Oppose,45 to 64,4-year College Grad.,Other,Female,Not at all likely,Democrat,Nonwhite,Chesterfield,50 to 64,Black,50 to 85 percent,Cell,0,0.7945,1.5475,1.094,0.7358,2018-09-10 20:20:18
Rep,35 to 49,Bachelors' degree,Black,Male,White,Approve,agree,agree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,35 to 49,Black,85 percent or higher,Landline,1,0.9734,0.8716,0.4349,0.8879,2018-09-10 20:18:57
Dem,18 to 34,Bachelors' degree,White,Male,White,Disapp.,agree,disagree,agree,Dems. take House,Don't know,Unfavorable,Oppose,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,18 to 34,White,85 percent or higher,Cell,0.8889,0.9378,0.9829,0.4984,0.9981,2018-09-10 20:17:54
Dem,[DO NOT READ] Refused,High school,White,Female,Hispanic,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Henrico,35 to 49,White,85 percent or higher,Cell,1,0.9039,1.0879,1.1886,1.1159,2018-09-10 20:30:21
Rep,65 and older,Graduate or Professional Degree,White,Male,Hispanic,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,Nonwhite,Chesterfield,50 to 64,White,85 percent or higher,Landline,1,0.9164,0.7512,0.3464,0.7576,2018-09-10 20:20:18
Dem,65 and older,High school,Hispanic,Male,White,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,High School Grad. or Less,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",Henrico,50 to 64,Other Non-White,50 to 85 percent,Landline,1,0.5242,2.8699,6.258,3.2182,2018-09-10 20:20:18
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,50 to 64,White,50 to 85 percent,Cell,1,0.76,0.6766,0.3802,0.7112,2018-09-10 20:18:03
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9597,0.4621,0.1878,0.4668,2018-09-10 20:17:27
Rep,65 and older,High school,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9226,1.2813,0.8786,1.2923,2018-09-10 20:19:51
Dem,50 to 64,Graduate or Professional Degree,White,Female,[DO NOT READ] Don't know/Refused,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Favorable,Support,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,[DO NOT READ] Don't know/Refused,Rest,50 to 64,White,50 to 85 percent,Cell,1,0.8306,1.1537,0.7243,1.1664,2018-09-10 20:20:45
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",Rest,65 and older,Unknown,85 percent or higher,Landline,1,0.9057,0.5558,0.3007,0.5605,2018-09-10 20:23:18
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Landline,1,0.9549,0.7872,0.3987,0.7949,2018-09-10 20:23:18
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Chesterfield,50 to 64,White,85 percent or higher,Landline,1,0.9214,0.867,0.3696,0.8744,2018-09-10 20:29:18
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,disagree,agree,agree,Dems. take House,Favorable,Favorable,Support,65 and older,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9859,0.5521,0.1656,0.5598,2018-09-10 20:19:42
Und,65 and older,Graduate or Professional Degree,Black,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Favorable,Support,45 to 64,Postgraduate Degree,Other,Female,Very likely,Democrat,"White, 4-Year College Grads",Henrico,50 to 64,Black,50 to 85 percent,Cell,0,0.7404,1.0312,0.7012,0.7673,2018-09-10 20:21:03
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,35 to 49,White,85 percent or higher,Cell,1,0.9155,0.6311,0.3115,0.6464,2018-09-10 20:20:09
Und,65 and older,Grade school,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Male,[DO NOT READ] Don't know/Refused,Republican,"White, No 4-Year College Degree",Rest,65 and older,White,85 percent or higher,Cell,0.7778,0.9816,1.7156,1.3245,1.6838,2018-09-10 20:18:39
Dem,50 to 64,Bachelors' degree,White,Male,Black,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Rest,50 to 64,White,85 percent or higher,Cell,1,0.9511,0.8472,0.3733,0.8644,2018-09-10 20:43:24
Dem,65 and older,Graduate or Professional Degree,Asian,Male,Other,Disapp.,disagree,disagree,agree,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Chesterfield,65 and older,Other Non-White,85 percent or higher,Cell,1,0.9879,0.7736,0.3948,0.788,2018-09-10 20:35:36
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,disagree,agree,agree,Dems. take House,Favorable,Favorable,Support,30 to 44,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Henrico,18 to 34,White,85 percent or higher,Cell,0.7778,0.9257,0.9829,0.5049,0.9729,2018-09-10 20:33:39
Rep,50 to 64,Bachelors' degree,Black,Female,White,Approve,disagree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",Rest,50 to 64,Black,85 percent or higher,Cell,1,0.9669,0.942,0.545,0.9599,2018-09-10 20:52:18
Rep,18 to 34,Bachelors' degree,White,Female,White,Disapp.,agree,agree,agree,Reps. keep House,Favorable,Don't know,Oppose,18 to 29,4-year College Grad.,Other,Female,Very likely,or as a member of another political party,"White, 4-Year College Grads",Henrico,18 to 34,White,Less than 50 percent,Cell,0.7778,0.2871,1.3107,3.2577,1.3344,2018-09-10 20:57:24
Rep,50 to 64,High school,Unknown,Female,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",Rest,50 to 64,Unknown,85 percent or higher,Cell,1,0.8932,1.8942,2.1387,1.9456,2018-09-10 20:50:03
Und,65 and older,Graduate or Professional Degree,White,Female,White,Approve,agree,disagree,agree,Reps. keep House,Favorable,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,65 and older,White,85 percent or higher,Cell,1,0.9861,0.4219,0.1679,0.4297,2018-09-10 20:59:57
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,or as a member of another political party,"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9013,0.6821,0.3937,0.6998,2018-09-10 20:55:00
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,agree,disagree,disagree,Reps. keep House,Don't know,Favorable,Oppose,45 to 64,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",Chesterfield,50 to 64,White,85 percent or higher,Cell,1,0.9784,0.7645,0.3787,0.7741,2018-09-10 21:14:25
Rep,35 to 49,Some college or trade school,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Don't know,Favorable,Oppose,30 to 44,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",Rest,18 to 34,White,85 percent or higher,Cell,1,0.8524,1.7292,1.3202,1.7871,2018-09-10 21:09:10
Rep,50 to 64,Some college or trade school,White,Male,White,Disapp.,disagree,agree,agree,Don't know,Favorable,Favorable,Oppose,45 to 64,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",Henrico,50 to 64,White,50 to 85 percent,Cell,0.7778,0.6826,1.4817,0.8133,1.2814,2018-09-10 21:11:52
Dem,35 to 49,High school,Unknown,Female,Black,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Unfavorable,Support,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,Rest,35 to 49,Unknown,85 percent or higher,Cell,1,0.9182,1.5103,1.8963,1.5463,2018-09-10 21:12:37
Dem,50 to 64,Some college or trade school,White,Male,Black,Disapp.,disagree,agree,agree,Dems. take House,Don't know,Don't know,Support,45 to 64,Some College Educ.,Other,Male,Almost certain,Democrat,Nonwhite,Rest,50 to 64,White,Less than 50 percent,Cell,1,0.1201,1.7735,6.4421,2.7667,2018-09-10 21:15:31
Dem,18 to 34,Some college or trade school,White,Male,White,Approve,disagree,disagree,disagree,Reps. keep House,Don't know,Don't know,Support,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",Rest,18 to 34,White,50 to 85 percent,Cell,0.4444,0.5677,2.9248,3.3599,2.0549,2018-09-10 21:20:46
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Cell,1,0.9785,0.6405,0.2494,0.6524,2018-09-10 21:13:40
Dem,50 to 64,Bachelors' degree,Unknown,Male,White,Disapp.,disagree,Don't know,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,50 to 64,Unknown,50 to 85 percent,Cell,1,0.7977,1.1692,0.4685,1.2199,2018-09-10 21:30:13
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,agree,Don't know,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",Chesterfield,65 and older,White,85 percent or higher,Cell,1,0.946,0.6221,0.2511,0.6279,2018-09-10 21:28:43
Dem,50 to 64,Some college or trade school,White,Female,Black,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,Chesterfield,50 to 64,White,85 percent or higher,Cell,1,0.9514,0.9533,0.5933,0.9726,2018-09-10 21:20:55
Dem,18 to 34,Graduate or Professional Degree,White,Male,White,Disapp.,disagree,agree,disagree,Dems. take House,Favorable,Unfavorable,Support,30 to 44,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,18 to 34,White,85 percent or higher,Cell,1,0.9637,0.8084,0.4587,0.8239,2018-09-10 21:30:49
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Henrico,35 to 49,White,85 percent or higher,Cell,1,0.9663,0.4062,0.2087,0.4139,2018-09-10 21:37:16
Rep,50 to 64,Some college or trade school,Hispanic,Female,White,Approve,agree,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",Chesterfield,50 to 64,Other Non-White,85 percent or higher,Cell,1,0.857,1.2491,1.0658,1.2612,2018-09-10 21:43:07
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,disagree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,50 to 64,White,85 percent or higher,Cell,1,0.9505,0.7471,0.4064,0.7623,2018-09-10 21:31:43
Dem,35 to 49,Bachelors' degree,Black,Female,White,Disapp.,disagree,disagree,Don't know,Dems. take House,Favorable,Unfavorable,Support,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,35 to 49,Black,85 percent or higher,Landline,1,0.8631,0.9566,0.7223,0.9869,2018-09-10 21:37:52
Rep,65 and older,High school,White,Female,White,Approve,Don't know,disagree,agree,Reps. keep House,Unfavorable,Favorable,Oppose,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",Henrico,65 and older,White,85 percent or higher,Landline,1,0.9185,1.1299,0.9603,1.1395,2018-09-10 21:39:22
Dem,50 to 64,Graduate or Professional Degree,Hispanic,Male,Hispanic,Disapp.,agree,agree,agree,Dems. take House,Favorable,Unfavorable,Support,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,Nonwhite,Henrico,50 to 64,Other Non-White,85 percent or higher,Landline,1,0.918,0.6818,0.3691,0.698,2018-09-10 21:42:31
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,agree,Don't know,agree,Reps. keep House,Don't know,Favorable,Don't know,30 to 44,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",Chesterfield,35 to 49,White,85 percent or higher,Cell,1,0.8626,0.6311,0.3306,0.6512,2018-09-10 21:30:49
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,disagree,Don't know,Don't know,Dems. take House,Favorable,Unfavorable,Support,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",Rest,65 and older,White,85 percent or higher,Landline,1,0.9559,0.5361,0.2819,0.5467,2018-09-10 21:32:37
Rep,50 to 64,Bachelors' degree,Unknown,Female,White,Approve,agree,disagree,disagree,Reps. keep House,Unfavorable,Favorable,Oppose,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",Henrico,50 to 64,Unknown,50 to 85 percent,Cell,1,0.7619,1.031,0.5337,1.0833,2018-09-10 21:33:40
