response,ager,educ,file_race,gender,race_eth,APPKAV,approve,genballot,hdem_fav,hrep_fav,NAFTA,TARIFF,TAXREFORM,TRUMPECON,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,65 and older,Some college or trade school,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Somerset,85 percent or higher,Landline,1,0.9758,1.0654,0.4505,1.0811,2018-09-17 23:13:05
Dem,65 and older,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Somerset,50 to 85 percent,Landline,1,0.8185,0.7655,0.3996,0.7927,2018-09-17 23:16:23
Dem,18 to 34,Some college or trade school,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Don't know,Oppose,Oppose,Oppose,disagree,18 to 29,Some College Educ.,Other,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Somerset,Less than 50 percent,Cell,1,0.3577,0.5965,1.0402,0.7195,2018-09-17 23:18:32
Rep,65 and older,High school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Don't know,Support,Support,Support,agree,65 and older,High School Grad. or Less,Democratic,Male,Not at all likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.8631,1.6264,1.5249,1.3904,2018-09-17 23:19:08
Rep,65 and older,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Essex/Union,85 percent or higher,Cell,1,0.9949,1.7141,0.8279,1.7405,2018-09-17 23:27:41
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Somerset,50 to 85 percent,Landline,1,0.8319,0.884,0.4408,0.8903,2018-09-17 23:40:25
Dem,[DO NOT READ] Refused,Some college or trade school,White,Female,White,support,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9159,0.8657,0.448,0.8832,2018-09-17 23:41:46
Rep,18 to 34,Bachelors' degree,White,Female,Other,support,Disapp.,Dems. take House,Unfavorable,Favorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Other,Female,Very likely,Democrat,Nonwhite,Nonwhite,18 to 34,White,Essex/Union,Less than 50 percent,Cell,1,0.3685,0.9671,1.5804,1.0655,2018-09-18 00:05:04
Dem,[DO NOT READ] Refused,Graduate or Professional Degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Essex/Union,85 percent or higher,Landline,1,0.9756,1.21,0.5933,1.2279,2018-09-18 00:10:19
Dem,65 and older,Bachelors' degree,White,Male,White,Don't know,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Somerset,85 percent or higher,Landline,1,0.982,1.2355,0.5711,1.2536,2018-09-18 00:16:37
Dem,18 to 34,Bachelors' degree,Asian,Female,Asian,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Other Non-White,Somerset,50 to 85 percent,Landline,1,0.6999,0.6204,0.5119,0.6583,2018-09-18 00:17:40
Rep,50 to 64,Bachelors' degree,White,Female,White,Don't know,Approve,Reps. keep House,Don't know,Don't know,Don't know,Don't know,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Somewhat likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,50 to 85 percent,Landline,0.4444,0.6693,1.0722,0.7343,0.7927,2018-09-18 00:17:49
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Essex/Union,Less than 50 percent,Landline,1,0.4409,1.9198,2.1524,2.2181,2018-09-18 00:25:40
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.9822,1.2215,0.6029,1.2394,2018-09-18 00:36:05
Dem,50 to 64,Some college or trade school,White,Female,White,Don't know,Disapp.,Dems. take House,Favorable,Unfavorable,Oppose,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Somerset,85 percent or higher,Landline,1,0.8701,1.3541,0.8552,1.3903,2018-09-18 00:36:32
Rep,65 and older,Graduate or Professional Degree,Unknown,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Somerset,85 percent or higher,Landline,1,0.9904,1.1362,0.555,1.1531,2018-09-18 00:38:47
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Somerset,85 percent or higher,Landline,1,0.9857,1.3784,0.6507,1.3986,2018-09-18 00:42:59
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.8672,0.8623,0.4799,0.867,2018-09-18 00:47:54
Rep,35 to 49,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Unfavorable,Don't know,Don't know,Oppose,Oppose,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Somerset,85 percent or higher,Landline,1,0.9649,0.8667,0.5469,0.88,2018-09-18 00:51:48
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Dems. take House,Don't know,Favorable,Support,Support,Support,agree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Somerset,85 percent or higher,Landline,1,0.9371,0.8721,0.4206,0.8876,2018-09-18 00:54:39
Rep,50 to 64,Bachelors' degree,White,Male,Black,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Support,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,White,Somerset,50 to 85 percent,Cell,1,0.5369,1.0456,0.9024,1.1628,2018-09-18 01:00:48
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Don't know,Approve,Reps. keep House,Don't know,Don't know,Support,Don't know,Support,agree,65 and older,Some College Educ.,Democratic,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.8678,0.8657,0.4729,0.8891,2018-09-18 01:07:59
Rep,50 to 64,Graduate or Professional Degree,White,Male,Hispanic,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,50 to 64,White,Somerset,85 percent or higher,Landline,1,0.8779,0.954,0.4957,0.9783,2018-09-18 01:09:38
Dem,[DO NOT READ] Refused,Bachelors' degree,White,Female,White,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Morris,85 percent or higher,Landline,1,0.9163,1.3014,0.6713,1.3075,2018-09-18 01:20:34
Dem,50 to 64,High school,Black,Female,Black,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,Nonwhite,50 to 64,Other Non-White,Essex/Union,85 percent or higher,Cell,1,0.954,2.5682,2.1674,2.5836,2018-09-18 01:21:55
Rep,65 and older,Bachelors' degree,White,Female,White,support,Disapp.,Reps. keep House,Don't know,Favorable,Support,Support,Support,agree,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.7167,1.0903,0.636,1.1092,2018-09-18 01:24:01
Rep,50 to 64,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Oppose,Support,agree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Essex/Union,50 to 85 percent,Landline,1,0.8391,1.8163,1.0373000000000001,1.8742,2018-09-18 01:27:28
Rep,35 to 49,Bachelors' degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,White,Essex/Union,85 percent or higher,Cell,0.7778,0.9722,1.1421,0.5997,1.14,2018-09-18 01:28:04
Rep,65 and older,Bachelors' degree,Unknown,Male,White,support,Disapp.,Reps. keep House,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,65 and older,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,65 and older,Unknown,Hunterdon/Warren,85 percent or higher,Cell,0.8889,0.9158,1.4264,0.7886,1.4194,2018-09-18 01:29:25
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Essex/Union,85 percent or higher,Landline,1,0.8854,1.1721,0.5092,1.2007,2018-09-18 01:34:50
Dem,50 to 64,High school,White,Female,White,support,Approve,Reps. keep House,Favorable,Favorable,Support,Support,Support,agree,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Hunterdon/Warren,Less than 50 percent,Landline,0.4444,0.3496,2.1334,5.9059,1.3501,2018-09-18 01:39:29
Dem,35 to 49,Bachelors' degree,Asian,Male,Asian,oppose,Disapp.,Dems. take House,Don't know,Don't know,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Other,Male,Very likely,Democrat,Nonwhite,Nonwhite,35 to 49,Other Non-White,Essex/Union,50 to 85 percent,Cell,1,0.6196,1.4963,1.4263,1.5431,2018-09-18 20:54:52
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Support,Don't know,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Morris,50 to 85 percent,Cell,1,0.8022,0.8026,0.5977,0.8336,2018-09-18 20:59:13
Dem,35 to 49,Some college or trade school,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,Unknown,Morris,85 percent or higher,Cell,0.8889,0.9645,0.766,0.5438,0.7746,2018-09-18 21:19:10
Rep,65 and older,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Support,Support,Support,agree,65 and older,Postgraduate Degree,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Somerset,85 percent or higher,Cell,1,0.8656,1.2539,0.7322,1.2883,2018-09-18 21:28:10
Dem,65 and older,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Support,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Hunterdon/Warren,85 percent or higher,Landline,1,0.991,0.7883,0.3802,0.8001,2018-09-18 21:47:50
Und,35 to 49,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,disagree,30 to 44,Postgraduate Degree,Other,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Essex/Union,Less than 50 percent,Cell,0.7778,0.4518,0.9478,1.2441,1.012,2018-09-18 21:47:59
Rep,35 to 49,Bachelors' degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Don't know,Support,Support,Support,agree,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Morris,50 to 85 percent,Cell,1,0.6805,0.7704,0.6583,0.7872,2018-09-18 21:49:02
Rep,50 to 64,Bachelors' degree,White,Female,Hispanic,support,Approve,Reps. keep House,Favorable,Favorable,Support,Support,Support,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Essex/Union,85 percent or higher,Landline,1,0.9774,1.6654,0.7329,1.6899,2018-09-18 21:50:41
Dem,50 to 64,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.9918,1.5994,1.4306,1.6234,2018-09-18 22:02:45
Rep,65 and older,Bachelors' degree,Unknown,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Morris,85 percent or higher,Landline,1,0.9854,1.4944,0.8209,1.5164,2018-09-18 22:06:39
Rep,65 and older,High school,White,Male,White,Don't know,Approve,Dems. take House,Don't know,Favorable,Oppose,Oppose,Support,agree,65 and older,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Morris,85 percent or higher,Cell,0.4444,0.9893,1.6707,1.4388,1.6755,2018-09-18 22:09:39
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Favorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.9795,0.7906,0.4295,0.8022,2018-09-18 22:09:57
Rep,18 to 34,Bachelors' degree,White,Male,White,Don't know,Approve,Reps. keep House,Favorable,Favorable,Don't know,Support,Don't know,agree,18 to 29,4-year College Grad.,Other,Male,Somewhat likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Hunterdon/Warren,Less than 50 percent,Cell,0.5556,0.2022,0.7093,2.3815,0.4722,2018-09-18 22:10:51
Und,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,Other,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,45 to 64,[DO NOT READ] Don't know/Refused,Republican,Male,Somewhat likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,White,Hunterdon/Warren,85 percent or higher,Landline,0.4444,0.9694,0.734,0.7962,0.6925,2018-09-18 22:11:36
Und,50 to 64,Graduate or Professional Degree,White,Male,White,support,Approve,Reps. keep House,Don't know,Favorable,Oppose,Oppose,Support,agree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Somerset,85 percent or higher,Cell,1,0.9073,0.954,0.4797,0.9744,2018-09-18 22:11:54
Dem,50 to 64,Graduate or Professional Degree,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,45 to 64,Postgraduate Degree,Democratic,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.8647,0.7752,0.4698,0.7965,2018-09-18 22:16:49
Rep,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Don't know,Reps. keep House,Don't know,Favorable,Support,Oppose,Don't know,Don't know,65 and older,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Essex/Union,50 to 85 percent,Landline,1,0.5748,1.0288,0.6509,1.1299,2018-09-18 22:18:10
Dem,35 to 49,Bachelors' degree,Unknown,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,Unknown,Essex/Union,85 percent or higher,Cell,1,0.8845,1.179,0.8462,1.2079,2018-09-18 22:18:19
Und,18 to 34,Bachelors' degree,Unknown,Female,Hispanic,oppose,Disapp.,Dems. take House,Don't know,Unfavorable,Support,Oppose,Oppose,agree,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,Unknown,Essex/Union,85 percent or higher,Cell,1,0.878,0.8491,0.6207,0.8708,2018-09-18 22:19:31
Und,65 and older,Bachelors' degree,Unknown,Female,White,oppose,Disapp.,Dems. take House,Don't know,Favorable,Support,Oppose,Oppose,disagree,65 and older,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,Hunterdon/Warren,85 percent or higher,Cell,1,0.9918,1.3079,0.7363,1.3234,2018-09-18 22:20:34
Dem,35 to 49,High school,White,Male,White,oppose,Disapp.,Dems. take House,Favorable,Unfavorable,Support,Oppose,Oppose,disagree,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Hunterdon/Warren,85 percent or higher,Cell,1,0.8561,1.1187,1.397,1.1511,2018-09-18 22:23:43
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,oppose,Disapp.,Dems. take House,Favorable,Don't know,Don't know,Oppose,Oppose,agree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Hunterdon/Warren,50 to 85 percent,Landline,1,0.7372,0.9783,0.7356,1.0294,2018-09-18 22:25:13
Rep,[DO NOT READ] Refused,Graduate or Professional Degree,White,Female,White,support,Approve,Reps. keep House,Unfavorable,Favorable,Oppose,Support,Support,agree,65 and older,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Morris,50 to 85 percent,Landline,1,0.7067,1.0219,0.7697,1.0827,2018-09-18 22:27:37
Rep,50 to 64,High school,White,Female,White,support,Approve,Reps. keep House,Don't know,Don't know,Support,Support,Support,agree,45 to 64,High School Grad. or Less,Other,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Essex/Union,50 to 85 percent,Landline,0.7778,0.6422,2.6981,3.4444,2.2995,2018-09-18 22:28:40
