response,ager,educ,file_race,gender,race_eth,approve,sdem_fav,SENC,srep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_white,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,High school,White,Male,Other,Approve,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,White,Pima,Less than 50 percent,Cell,1,0.2595,1.782,3.3522,2.0222,2018-10-15 23:19:39
Rep,50 to 64,Bachelors' degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Phoenix/Tempe,50 to 85 percent,Cell,1,0.6641,1.142,0.9049,1.1915,2018-10-15 23:21:54
Dem,65 and older,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Rest,85 percent or higher,Cell,1,0.879,0.9388,0.6235,0.9381,2018-10-15 23:22:12
Rep,35 to 49,Some college or trade school,White,Male,Other,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Independent (No party),Nonwhite,35 to 49,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.7877,0.9954,0.7676,1.0317,2018-10-15 23:22:30
Dem,35 to 49,Bachelors' degree,Hispanic,Female,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Already voted,Democrat,Nonwhite,35 to 49,Non-White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9854,1.2844,0.953,1.274,2018-10-15 23:22:48
Rep,18 to 34,High school,Hispanic,Female,Hispanic,Disapp.,Don't know,Dem.,Don't know,18 to 29,High School Grad. or Less,Democratic,Male,Very likely,Independent (No party),Nonwhite,18 to 34,Non-White,Pima,Less than 50 percent,Cell,0.6667,0.0885,2.29,9.352,2.3835,2018-10-15 23:24:54
Rep,18 to 34,Bachelors' degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,18 to 29,4-year College Grad.,Republican,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",18 to 34,White,Phoenix/Tempe,50 to 85 percent,Cell,0,0.5993,1.1669,1.1463,0.398,2018-10-15 23:25:30
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Cell,1,0.9978,0.6406,0.3365,0.6343,2018-10-15 23:27:09
Rep,50 to 64,Bachelors' degree,White,Female,Black,Approve,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Other,Female,Very likely,Independent (No party),Nonwhite,50 to 64,White,Phoenix/Tempe,Less than 50 percent,Cell,1,0.4788,1.2193,1.6267,1.2627,2018-10-15 23:33:12
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,White,Disapp.,Favorable,Don't know,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Unknown,Rest,85 percent or higher,Cell,1,0.9891,0.6479,0.3611,0.6407,2018-10-15 23:35:00
Rep,50 to 64,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",50 to 64,White,Pima,85 percent or higher,Cell,1,0.9328,0.9289,0.4636,0.93,2018-10-15 23:43:15
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9941,1.055,0.5387,1.0439,2018-10-15 23:43:24
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9008,0.7776,0.5193,0.7839,2018-10-15 23:43:42
Dem,50 to 64,Some college or trade school,Black,Female,Black,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Democrat,Nonwhite,50 to 64,Non-White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9833,1.0808,0.7085,1.0688,2018-10-15 23:46:14
Rep,65 and older,High school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.985,1.2226,0.8488,1.2035,2018-10-15 23:46:32
Rep,35 to 49,High school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Rest,50 to 85 percent,Cell,1,0.8013,1.4586,1.2073,1.4766,2018-10-15 23:47:08
Dem,18 to 34,Graduate or Professional Degree,Other,Female,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,18 to 29,Postgraduate Degree,Other,Female,Very likely,Independent (No party),Nonwhite,18 to 34,Non-White,Rest,50 to 85 percent,Cell,0.7778,0.6287,0.9575,1.0048,0.9029,2018-10-15 23:48:38
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,Rest,50 to 85 percent,Landline,1,0.6132,0.8068,0.7065,0.8843,2018-10-15 23:49:23
Dem,35 to 49,Graduate or Professional Degree,Unknown,Female,Other,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,35 to 49,Unknown,Pima,Less than 50 percent,Cell,1,0.4292,0.9938,1.2078,1.1251,2018-10-15 23:49:59
Dem,18 to 34,Some college or trade school,Hispanic,Male,Hispanic,Disapp.,Don't know,Dem.,Don't know,30 to 44,Some College Educ.,Other,Male,Somewhat likely,Independent (No party),Nonwhite,18 to 34,Non-White,Rest,Less than 50 percent,Cell,0.6667,0.2075,1.3826,5.0727,0.9885,2018-10-15 23:54:47
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Disapp.,Unfavorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9593,0.7798,0.4864,0.7719,2018-10-15 23:55:05
Rep,35 to 49,High school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",35 to 49,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9055,1.4958,1.3314,1.4893,2018-10-16 00:00:56
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.8382,0.9709,0.616,0.9764,2018-10-16 00:09:26
Rep,50 to 64,Bachelors' degree,White,Male,Hispanic,Approve,Unfavorable,Rep.,Favorable,45 to 64,4-year College Grad.,Other,Male,Very likely,Independent (No party),Nonwhite,50 to 64,White,Rest of Maricopa,Less than 50 percent,Cell,0.8889,0.0683,1.2743,4.8691,1.6864,2018-10-16 00:12:35
Dem,35 to 49,Graduate or Professional Degree,Other,Male,White,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",35 to 49,Non-White,Pima,50 to 85 percent,Cell,1,0.7058,1.0578,0.6411,1.123,2018-10-16 00:17:59
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,Postgraduate Degree,Other,Male,Already voted,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest of Maricopa,Less than 50 percent,Cell,1,0.4908,1.0124,1.2346,1.1698,2018-10-16 00:21:02
Dem,50 to 64,Some college or trade school,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.562,0.8991,0.7876,0.9663,2018-10-16 00:23:44
Rep,65 and older,Bachelors' degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9157,0.956,0.5575,0.9606,2018-10-16 00:24:56
Dem,50 to 64,Bachelors' degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9951,1.0707,0.544,1.0596,2018-10-16 00:33:58
Rep,50 to 64,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Phoenix/Tempe,85 percent or higher,Cell,1,0.9889,0.9843,0.5523,0.9734,2018-10-16 00:40:07
Dem,50 to 64,Bachelors' degree,Hispanic,Male,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,Non-White,Phoenix/Tempe,50 to 85 percent,Landline,1,0.8055,1.3301,0.9021,1.3455,2018-10-16 00:42:58
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Unfavorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.638,0.9957,0.8463,1.046,2018-10-16 00:46:16
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Other,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9428,0.7096,0.4208,0.7035,2018-10-16 00:51:32
Dem,35 to 49,High school,Unknown,Male,White,Disapp.,Favorable,Dem.,Unfavorable,30 to 44,High School Grad. or Less,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",35 to 49,Unknown,Pima,Less than 50 percent,Landline,1,0.1373,1.8726,7.256,2.7456,2018-10-16 00:53:47
Rep,35 to 49,Bachelors' degree,White,Female,White,Approve,Don't know,Rep.,Don't know,30 to 44,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Rest of Maricopa,85 percent or higher,Landline,1,0.8532,1.0866,0.9004,1.0654,2018-10-16 00:57:41
Rep,65 and older,Some college or trade school,White,Female,Hispanic,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,50 to 64,White,Rest,85 percent or higher,Landline,1,0.9904,0.9068,0.5945,0.8969,2018-10-16 00:59:02
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9809,0.8335,0.4676,0.8273,2018-10-16 01:05:25
Dem,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Male,[DO NOT READ] Don't know/Refused,Disapp.,Don't know,Dem.,Don't know,65 and older,[DO NOT READ] Don't know/Refused,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,65 and older,White,Rest,85 percent or higher,Landline,1,0.928,0.8528,0.4748,0.8467,2018-10-16 01:11:16
Rep,[DO NOT READ] Refused,[DO NOT READ] Refused,White,Female,[DO NOT READ] Don't know/Refused,Approve,Unfavorable,Rep.,Favorable,65 and older,[DO NOT READ] Don't know/Refused,Republican,Female,Already voted,[DO NOT READ] Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9943,0.8639,0.5255,0.8561,2018-10-16 01:15:46
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9765,0.6851,0.3155,0.6804,2018-10-16 01:20:47
Dem,65 and older,Some college or trade school,White,Female,White,Approve,Don't know,Rep.,Unfavorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",65 and older,White,Pima,50 to 85 percent,Landline,1,0.7697,0.7792,0.4361,0.7683,2018-10-16 01:21:32
Dem,18 to 34,High school,White,Male,White,Approve,Favorable,Don't know,Unfavorable,18 to 29,High School Grad. or Less,Other,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,Pima,Less than 50 percent,Cell,1,0.351,1.8208,2.8331,2.2904,2018-10-16 01:21:59
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,White,Rest,85 percent or higher,Cell,1,0.8761,0.8857,0.6085,0.8855,2018-10-16 01:25:26
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Unfavorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Pima,85 percent or higher,Landline,1,0.9946,1.0766,0.5006,1.0653,2018-10-16 01:40:08
Dem,35 to 49,Bachelors' degree,White,Female,White,Disapp.,Favorable,Don't know,Unfavorable,30 to 44,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Phoenix/Tempe,Less than 50 percent,Cell,0.8889,0.4906,1.25,1.8591,1.3343,2018-10-16 01:40:35
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9604,0.7239,0.3849,0.721,2018-10-16 01:47:28
Rep,50 to 64,High school,White,Female,White,Approve,Don't know,Rep.,Favorable,45 to 64,High School Grad. or Less,Republican,Female,Very likely,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9919,1.4469,1.0725,1.427,2018-10-16 01:47:55
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9587,0.8841,0.4536,0.8752,2018-10-16 01:49:52
Dem,65 and older,Grade school,Hispanic,Female,Hispanic,Disapp.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,Non-White,Pima,85 percent or higher,Landline,1,0.98740000000000006,1.4465,0.777,1.4305,2018-10-16 01:51:04
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9944,0.8881,0.5357,0.8768,2018-10-16 01:51:31
Dem,65 and older,High school,Unknown,Male,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Already voted,Democrat,"White, No 4-Year College Degree",65 and older,Unknown,Pima,Less than 50 percent,Landline,1,0.3269,1.5103,2.2989,1.9358,2018-10-16 01:53:10
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Approve,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,[DO NOT READ] Don't know/Refused,18 to 34,White,Rest,85 percent or higher,Cell,1,0.9587,1.1391,0.7662,1.1277,2018-10-16 01:58:43
Rep,18 to 34,Some college or trade school,Unknown,Male,White,Approve,Unfavorable,Rep.,Unfavorable,30 to 44,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",18 to 34,Unknown,Rest,Less than 50 percent,Landline,1,0.3164,1.1268,2.5196,1.3601,2018-10-16 02:05:31
Dem,65 and older,Some college or trade school,Unknown,Male,White,Disapp.,Favorable,Dem.,Don't know,65 and older,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",65 and older,Unknown,Rest of Maricopa,85 percent or higher,Landline,1,0.991,0.7715,0.4055,0.7631,2018-10-16 02:05:49
Rep,65 and older,Some college or trade school,White,Male,White,Disapp.,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.9965,0.8128,0.4402,0.8045,2018-10-16 02:08:04
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,Less than 50 percent,Landline,1,0.3734,0.9213,1.3796,0.9873,2018-10-16 02:10:10
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Favorable,Rep.,Unfavorable,65 and older,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9898,0.7239,0.3735,0.716,2018-10-16 02:10:19
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Unfavorable,Rep.,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest of Maricopa,50 to 85 percent,Cell,1,0.6962,1.1537,0.9998,1.1942,2018-10-16 02:11:22
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,Non-White,Rest of Maricopa,85 percent or higher,Landline,1,0.9818,0.8016,0.4649,0.7927,2018-10-16 02:16:10
Und,18 to 34,High school,Unknown,Female,Other,Don't know,Don't know,Don't know,Don't know,18 to 29,High School Grad. or Less,Republican,Female,Not at all likely,[DO NOT READ] Refused,Nonwhite,18 to 34,Unknown,Rest,Less than 50 percent,Landline,0,0.3215,1.8302,5.5126,0.4526,2018-10-16 02:25:04
Und,65 and older,High school,White,Male,White,Approve,Unfavorable,Rep.,Unfavorable,45 to 64,High School Grad. or Less,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Landline,1,0.567,1.4227,1.4573,1.5265,2018-10-16 02:26:43
Rep,50 to 64,High school,Unknown,Female,Hispanic,Approve,Unfavorable,Rep.,Favorable,45 to 64,High School Grad. or Less,Democratic,Female,Very likely,Independent (No party),Nonwhite,50 to 64,Unknown,Rest of Maricopa,85 percent or higher,Landline,1,0.9119,1.3849,1.0342,1.3559,2018-10-16 02:31:04
Dem,65 and older,Some college or trade school,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Landline,1,0.985,0.7191,0.4045,0.7111,2018-10-16 02:32:07
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,Postgraduate Degree,Democratic,Female,Already voted,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9905,0.6406,0.339,0.635,2018-10-16 02:32:16
Rep,[DO NOT READ] Refused,Some college or trade school,White,Female,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Pima,85 percent or higher,Landline,1,0.9891,0.7784,0.3551,0.7698,2018-10-16 02:32:38
Rep,[DO NOT READ] Refused,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Don't know,Unfavorable,Rep.,Favorable,65 and older,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),[DO NOT READ] Don't know/Refused,65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9916,0.942,0.5093,0.9318,2018-10-16 02:32:52
Dem,65 and older,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",65 and older,White,Rest,85 percent or higher,Landline,1,0.9936,0.8266,0.477,0.8178,2018-10-16 02:57:23
Dem,50 to 64,Bachelors' degree,White,Female,White,Disapp.,Favorable,Dem.,Unfavorable,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",50 to 64,White,Rest,85 percent or higher,Landline,1,0.9312,0.9864,0.6268,0.979,2018-10-16 02:57:23
Rep,50 to 64,Some college or trade school,Asian,Female,White,Approve,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Non-White,Rest of Maricopa,85 percent or higher,Landline,1,0.9648,1.1348,0.8296,1.1229,2018-10-16 03:01:48
Rep,50 to 64,Some college or trade school,White,Male,Hispanic,Don't know,Unfavorable,Rep.,Favorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,Nonwhite,50 to 64,White,Rest,50 to 85 percent,Landline,1,0.6822,0.9628,0.782,1.0299,2018-10-16 03:01:53
Dem,65 and older,Grade school,White,Female,Hispanic,Disapp.,Don't know,Dem.,Unfavorable,65 and older,High School Grad. or Less,Democratic,Female,Very likely,Democrat,Nonwhite,65 and older,White,Pima,85 percent or higher,Landline,1,0.9941,1.1656,0.5496,1.1505,2018-10-16 03:02:33
Dem,65 and older,Bachelors' degree,White,Female,Black,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,65 and older,White,Rest of Maricopa,50 to 85 percent,Landline,1,0.7452,0.8344,0.5883,0.8542,2018-10-16 03:03:09
Dem,65 and older,Bachelors' degree,White,Male,White,Disapp.,Favorable,Dem.,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",65 and older,White,Phoenix/Tempe,85 percent or higher,Landline,1,0.992,0.8972,0.4431,0.8849,2018-10-16 03:03:45
Dem,18 to 34,Some college or trade school,Unknown,Female,Other,Disapp.,Favorable,Dem.,Unfavorable,18 to 29,Some College Educ.,Democratic,Female,Very likely,Democrat,Nonwhite,18 to 34,Unknown,Rest of Maricopa,50 to 85 percent,Landline,1,0.5235,0.8878,1.0896,0.9092,2018-10-16 03:04:57
Und,65 and older,High school,White,Male,White,Approve,Unfavorable,Rep.,Unfavorable,65 and older,High School Grad. or Less,Republican,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,Rest,85 percent or higher,Cell,1,0.9852,1.2861,0.8312,1.2659,2018-10-16 03:05:15
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Unfavorable,Rep.,Favorable,65 and older,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,Rest of Maricopa,85 percent or higher,Cell,1,0.9922,0.8128,0.4421,0.804,2018-10-16 03:05:51
